,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2005-01-25,354.0,354.0,354.0,354.0,2437870000,487574,186,0.0,354.0
1,2005-01-26,354.0,354.0,354.0,354.0,12500899980,2500010,101,354.0,354.0
2,2005-01-30,354.0,354.0,354.0,354.0,1839615542,367776,17,354.0,354.0
3,2005-02-01,336.0,352.0,336.0,349.0,314779101,65747,73,354.0,349.0
4,2005-02-02,351.0,351.0,349.0,349.0,123671761,24917,37,349.0,349.0
5,2005-02-05,349.0,357.0,349.0,349.0,117012829,23528,21,349.0,349.0
6,2005-02-06,354.0,361.0,351.0,351.0,120783264,23729,26,349.0,351.0
7,2005-02-07,354.0,354.0,351.0,351.0,70118235,14010,10,351.0,351.0
8,2005-02-08,364.0,368.0,353.0,353.0,172263922,33210,29,351.0,353.0
9,2005-02-09,371.0,371.0,367.0,367.0,2342342940,446586,63,353.0,367.0
10,2005-02-12,384.0,385.0,369.0,369.0,5584757130,1027732,26,367.0,369.0
11,2005-02-13,384.0,387.0,377.0,377.0,479957933,87843,51,369.0,377.0
12,2005-02-14,395.0,396.0,380.0,380.0,169285496,30289,26,377.0,380.0
13,2005-02-15,399.0,399.0,394.0,394.0,879675408,156228,74,380.0,394.0
14,2005-02-16,396.0,414.0,395.0,398.0,261634668,44818,34,394.0,398.0
15,2005-02-23,396.0,398.0,396.0,398.0,13463993,2403,6,398.0,398.0
16,2005-02-26,411.0,418.0,399.0,399.0,43764919,7520,11,398.0,399.0
17,2005-02-27,419.0,419.0,400.0,400.0,48726112,8234,8,399.0,400.0
18,2005-02-28,420.0,420.0,400.0,400.0,20811520,3510,4,400.0,400.0
19,2005-03-01,420.0,420.0,406.0,406.0,346009540,58310,50,400.0,406.0
20,2005-03-02,426.0,426.0,411.0,411.0,330116660,54837,49,406.0,411.0
21,2005-03-05,432.0,432.0,420.0,420.0,529270094,86742,60,411.0,420.0
22,2005-03-06,432.0,441.0,411.0,427.0,72784764520,12518618,13,420.0,427.0
23,2005-03-07,448.0,448.0,427.0,433.0,71458787419,11847571,67,427.0,433.0
24,2005-03-08,448.0,448.0,436.0,436.0,309100589,48874,47,433.0,436.0
25,2005-03-09,446.0,446.0,439.0,439.0,366784199,58233,44,436.0,439.0
26,2005-03-12,454.0,456.0,442.0,442.0,276519301,43120,54,439.0,442.0
27,2005-03-13,453.0,464.0,447.0,447.0,371257325,56989,37,442.0,447.0
28,2005-03-14,467.0,470.0,452.0,452.0,242241120,36483,38,447.0,452.0
29,2005-03-15,452.0,474.0,452.0,456.0,298677097,44718,39,452.0,456.0
30,2005-03-16,467.0,479.0,460.0,460.0,256410380,37900,39,456.0,460.0
31,2005-03-26,479.0,479.0,461.0,461.0,21119820,3120,3,460.0,461.0
32,2005-03-27,484.0,484.0,462.0,462.0,77979752,11406,15,461.0,462.0
33,2005-03-30,485.0,485.0,462.0,462.0,3918372,572,5,462.0,462.0
34,2005-04-03,485.0,485.0,462.0,462.0,21661750,3160,11,462.0,462.0
35,2005-04-04,485.0,485.0,465.0,465.0,173223678,25248,31,462.0,465.0
36,2005-04-05,488.0,488.0,465.0,465.0,11298588,1637,4,465.0,465.0
37,2005-04-06,489.0,489.0,466.0,466.0,16108448,2333,6,465.0,466.0
38,2005-04-10,489.0,489.0,471.0,471.0,298778910,43239,47,466.0,471.0
39,2005-04-11,489.0,494.0,472.0,472.0,85784239,12410,15,471.0,472.0
40,2005-04-12,485.0,486.0,472.0,472.0,85458175,12506,24,472.0,472.0
41,2005-04-13,475.0,475.0,473.0,473.0,119145718,17767,29,472.0,473.0
42,2005-04-16,491.0,491.0,474.0,474.0,114218503,16503,22,473.0,474.0
43,2005-04-27,473.0,474.0,473.0,473.0,13571486,2028,8,474.0,473.0
44,2005-04-30,473.0,487.0,473.0,473.0,48771904,7280,6,473.0,473.0
45,2005-05-01,484.0,484.0,467.0,474.0,86804852,12842,11,473.0,474.0
46,2005-05-02,466.0,473.0,450.0,470.0,214831914,33470,28,474.0,470.0
47,2005-05-03,470.0,470.0,470.0,470.0,198414304,29841,16,470.0,470.0
48,2005-05-04,470.0,470.0,470.0,470.0,6941556,1044,2,470.0,470.0
