,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2004-01-19,784.0,784.0,784.0,784.0,48599982000,2699999,1752,784.0,784.0
1,2004-01-21,824.0,824.0,785.0,785.0,28349122,1500,8,784.0,785.0
2,2004-01-24,825.0,825.0,785.0,785.0,9460599,500,3,785.0,785.0
3,2004-01-25,825.0,825.0,787.0,787.0,37939744,2005,6,785.0,787.0
4,2004-01-26,826.0,826.0,790.0,790.0,94769174,5000,6,787.0,790.0
5,2004-01-27,829.0,829.0,829.0,829.0,1713060000,90000,134,790.0,829.0
6,2004-01-28,871.0,871.0,844.0,844.0,419684388,21000,40,829.0,844.0
7,2004-01-31,886.0,886.0,886.0,886.0,1449072499,71239,144,844.0,886.0
8,2004-02-01,931.0,931.0,886.0,929.0,28371005051,1330212,1578,886.0,929.0
9,2004-02-03,976.0,976.0,963.0,976.0,5082798228,227058,378,929.0,976.0
10,2004-02-04,1024.0,1024.0,1020.0,1024.0,3137990204,133517,113,976.0,1024.0
11,2004-02-07,1075.0,1075.0,1025.0,1071.0,4633889852,188471,214,1024.0,1071.0
12,2004-02-08,1076.0,1111.0,1066.0,1083.0,4680836505,188274,255,1071.0,1083.0
13,2004-02-09,1068.0,1083.0,1033.0,1059.0,3570262849,146864,193,1083.0,1059.0
14,2004-02-14,1046.0,1046.0,1035.0,1045.0,1782374386,74348,188,1059.0,1045.0
15,2004-02-15,1042.0,1042.0,1002.0,1020.0,547439212,23400,35,1045.0,1020.0
16,2004-02-16,1019.0,1019.0,998.0,1010.0,1777814152,76740,154,1020.0,1010.0
17,2004-02-17,1005.0,1018.0,1005.0,1010.0,1533801656,66201,93,1010.0,1010.0
18,2004-02-18,1017.0,1060.0,1007.0,1057.0,2742415818,113076,147,1010.0,1057.0
19,2004-02-21,1110.0,1110.0,1070.0,1070.0,525258923,20933,47,1057.0,1070.0
20,2004-02-22,1075.0,1103.0,1074.0,1089.0,6978286536,279121,109,1070.0,1089.0
21,2004-02-23,1102.0,1118.0,1102.0,1107.0,1047076762,40958,66,1089.0,1107.0
22,2004-02-24,1118.0,1133.0,1116.0,1116.0,793540303,30748,47,1107.0,1116.0
23,2004-02-25,1125.0,1127.0,1118.0,1118.0,328983425,12725,35,1116.0,1118.0
24,2004-02-28,1127.0,1172.0,1127.0,1146.0,1798736710,68428,89,1118.0,1146.0
25,2004-02-29,1177.0,1203.0,1164.0,1164.0,555400350,20167,45,1146.0,1164.0
26,2004-03-03,1203.0,1220.0,1178.0,1202.0,2752504543,99774,93,1164.0,1202.0
27,2004-03-06,1198.0,1198.0,1167.0,1189.0,1121336976,41315,91,1202.0,1189.0
28,2004-03-07,1142.0,1172.0,1142.0,1172.0,53056862582,1987243,53,1189.0,1172.0
29,2004-03-08,1166.0,1166.0,1142.0,1162.0,618133610,23454,58,1172.0,1162.0
30,2004-03-09,1145.0,1145.0,1104.0,1140.0,670206909,26259,67,1162.0,1140.0
31,2004-03-10,1111.0,1127.0,1083.0,1127.0,411141509,16395,39,1140.0,1127.0
32,2004-03-13,1108.0,1122.0,1072.0,1122.0,155832071,6252,17,1127.0,1122.0
33,2004-03-14,1083.0,1112.0,1066.0,1112.0,304625603,12389,31,1122.0,1112.0
34,2004-03-15,1066.0,1091.0,1056.0,1091.0,561168775,23077,32,1112.0,1091.0
35,2004-03-16,1056.0,1109.0,1056.0,1083.0,574850191,23424,38,1091.0,1083.0
36,2004-03-17,1109.0,1111.0,1091.0,1091.0,461380600,18094,35,1083.0,1091.0
37,2004-03-27,1111.0,1111.0,1093.0,1093.0,94198166,3694,8,1091.0,1093.0
38,2004-03-28,1111.0,1146.0,1095.0,1095.0,107028315,4156,15,1093.0,1095.0
39,2004-03-29,1146.0,1149.0,1100.0,1100.0,144307596,5480,10,1095.0,1100.0
40,2004-03-30,1133.0,1155.0,1108.0,1108.0,293971152,11213,29,1100.0,1108.0
41,2004-04-03,1142.0,1155.0,1113.0,1113.0,280260081,10680,24,1108.0,1113.0
42,2004-04-04,1155.0,1155.0,1121.0,1121.0,436586605,16531,28,1113.0,1121.0
43,2004-04-07,1124.0,1133.0,1065.0,1120.0,111435074,4370,15,1121.0,1120.0
44,2004-04-10,1068.0,1109.0,1064.0,1109.0,378314139,15486,33,1120.0,1109.0
45,2004-04-12,1054.0,1094.0,1054.0,1094.0,523918531,21633,42,1109.0,1094.0
46,2004-04-13,1072.0,1091.0,1067.0,1091.0,485002583,19579,35,1094.0,1091.0
47,2004-04-14,1111.0,1111.0,1073.0,1092.0,506582313,20138,28,1091.0,1092.0
48,2004-04-17,1092.0,1092.0,1072.0,1090.0,172089487,6974,21,1092.0,1090.0
49,2004-04-18,1072.0,1090.0,1072.0,1090.0,23639036,961,7,1090.0,1090.0
50,2004-04-21,1065.0,1090.0,1065.0,1090.0,4037613,165,4,1090.0,1090.0
51,2004-04-24,1063.0,1089.0,1063.0,1089.0,54561765,2237,3,1090.0,1089.0
52,2004-04-25,1089.0,1111.0,1059.0,1082.0,2250029470,90622,99,1089.0,1082.0
53,2004-04-26,1068.0,1111.0,1067.0,1098.0,1271084922,50010,43,1082.0,1098.0
54,2004-04-27,1081.0,1098.0,1081.0,1098.0,39931930,1610,2,1098.0,1098.0
55,2004-04-28,1074.0,1093.0,1046.0,1093.0,196821894,8173,17,1098.0,1093.0
56,2004-05-01,1046.0,1092.0,1038.0,1092.0,38362920,1607,5,1093.0,1092.0
57,2004-05-04,1037.0,1091.0,1037.0,1091.0,24407350,1025,3,1092.0,1091.0
58,2004-05-05,1058.0,1089.0,1037.0,1038.0,2114553932,88762,97,1091.0,1038.0
59,2004-05-08,1089.0,1090.0,1045.0,1045.0,275365263,11010,6,1038.0,1045.0
60,2004-05-09,1045.0,1045.0,1045.0,1045.0,12881323,537,6,1045.0,1045.0
61,2004-05-10,1055.0,1055.0,1045.0,1045.0,7290670,302,3,1045.0,1045.0
62,2004-05-11,1040.0,1046.0,1040.0,1045.0,301584453,12614,28,1045.0,1045.0
63,2004-05-15,993.0,1044.0,993.0,1044.0,11536556,506,2,1045.0,1044.0
64,2004-05-16,993.0,1043.0,993.0,1043.0,51259550,2250,7,1044.0,1043.0
65,2004-05-17,993.0,1037.0,993.0,1037.0,211007054,9264,5,1043.0,1037.0
66,2004-05-18,985.0,1020.0,985.0,1020.0,567848194,25119,39,1037.0,1020.0
67,2004-05-19,969.0,1012.0,969.0,1012.0,274144916,12324,16,1020.0,1012.0
68,2004-05-22,962.0,1009.0,962.0,1009.0,105002374,4757,7,1012.0,1009.0
69,2004-05-23,962.0,996.0,962.0,996.0,469377622,21266,23,1009.0,996.0
70,2004-05-24,979.0,996.0,979.0,992.0,772500796,34167,21,996.0,992.0
71,2004-05-25,992.0,992.0,992.0,992.0,117291560,5155,8,992.0,992.0
72,2004-05-26,992.0,992.0,992.0,992.0,111234528,4889,17,992.0,992.0
73,2004-05-29,992.0,992.0,992.0,992.0,449680528,19764,15,992.0,992.0
74,2004-05-30,992.0,992.0,991.0,991.0,232297760,10210,16,992.0,991.0
75,2004-05-31,991.0,1002.0,991.0,993.0,452231901,19774,26,991.0,993.0
76,2004-06-01,991.0,993.0,991.0,993.0,396849151,17429,21,993.0,993.0
77,2004-06-02,991.0,993.0,991.0,992.0,871991063,38305,20,993.0,992.0
78,2004-06-05,992.0,992.0,992.0,992.0,319034200,14011,24,992.0,992.0
79,2004-06-07,989.0,991.0,981.0,991.0,284219550,12610,25,992.0,991.0
80,2004-06-08,980.0,990.0,980.0,990.0,45224770,2010,9,991.0,990.0
81,2004-06-09,979.0,990.0,959.0,990.0,24740174,1124,6,990.0,990.0
82,2004-06-12,975.0,990.0,975.0,990.0,5596290,250,3,990.0,990.0
83,2004-06-13,941.0,983.0,941.0,983.0,237976760,11017,9,990.0,983.0
84,2004-06-14,934.0,972.0,934.0,972.0,364516110,17010,17,983.0,972.0
85,2004-06-15,924.0,969.0,924.0,969.0,106202390,5010,3,972.0,969.0
86,2004-06-20,921.0,921.0,921.0,921.0,10564000,500,2,969.0,921.0
87,2004-06-22,875.0,875.0,875.0,875.0,10036000,500,1,921.0,875.0
88,2004-06-23,831.0,831.0,831.0,831.0,9534500,500,1,875.0,831.0
89,2004-06-26,789.0,831.0,789.0,800.0,1086951742,59188,59,831.0,800.0
90,2004-06-27,801.0,840.0,801.0,810.0,62115181,3341,15,800.0,810.0
91,2004-06-28,851.0,851.0,851.0,851.0,119872320,6141,11,810.0,851.0
92,2004-06-29,872.0,875.0,854.0,854.0,227213013,11328,26,851.0,854.0
93,2004-06-30,875.0,875.0,854.0,854.0,20430073,1018,5,854.0,854.0
94,2004-07-03,872.0,872.0,854.0,855.0,145951224,7410,10,854.0,855.0
95,2004-07-04,872.0,897.0,856.0,856.0,85473320,4268,9,855.0,856.0
96,2004-07-05,859.0,860.0,856.0,856.0,408085080,20704,7,856.0,856.0
97,2004-07-06,860.0,872.0,857.0,857.0,120939575,6097,8,856.0,857.0
98,2004-07-07,872.0,893.0,859.0,859.0,212079522,10596,16,857.0,859.0
99,2004-07-10,859.0,902.0,859.0,863.0,300629081,14890,18,859.0,863.0
100,2004-07-11,872.0,902.0,864.0,864.0,80671060,4026,10,863.0,864.0
101,2004-07-12,872.0,872.0,865.0,865.0,281853103,14092,21,864.0,865.0
102,2004-07-13,863.0,872.0,863.0,867.0,3778869030,190210,31,865.0,867.0
103,2004-07-14,867.0,872.0,850.0,867.0,285144005,14309,19,867.0,867.0
104,2004-07-17,867.0,867.0,867.0,867.0,54483757,2738,6,867.0,867.0
105,2004-07-18,867.0,867.0,867.0,867.0,43843562,2203,5,867.0,867.0
106,2004-07-19,867.0,885.0,867.0,867.0,172687842,8669,12,867.0,867.0
107,2004-07-24,859.0,867.0,859.0,867.0,8510000,428,3,867.0,867.0
108,2004-07-25,859.0,866.0,858.0,866.0,213843276,10857,13,867.0,866.0
109,2004-07-26,872.0,872.0,866.0,866.0,147093635,7355,11,866.0,866.0
110,2004-07-27,872.0,872.0,867.0,867.0,59738860,2987,4,866.0,867.0
111,2004-07-28,866.0,867.0,866.0,867.0,21053196,1058,3,867.0,867.0
112,2004-07-31,866.0,867.0,866.0,867.0,244594007,12303,12,867.0,867.0
113,2004-08-01,866.0,867.0,866.0,867.0,215872424,10857,12,867.0,867.0
114,2004-08-02,867.0,867.0,867.0,867.0,569105080,28620,11,867.0,867.0
115,2004-08-03,867.0,904.0,867.0,867.0,229932226,11556,10,867.0,867.0
116,2004-08-04,867.0,872.0,867.0,867.0,267374186,13427,12,867.0,867.0
117,2004-08-07,867.0,867.0,867.0,867.0,37826582,1902,6,867.0,867.0
118,2004-08-08,867.0,867.0,867.0,867.0,525005943,26389,14,867.0,867.0
119,2004-08-09,866.0,872.0,866.0,867.0,199279030,10010,8,867.0,867.0
120,2004-08-10,866.0,867.0,866.0,867.0,166282852,8360,12,867.0,867.0
121,2004-08-11,867.0,872.0,867.0,868.0,312955485,15657,18,867.0,868.0
122,2004-08-16,858.0,866.0,858.0,866.0,256251861,13010,15,868.0,866.0
123,2004-08-18,856.0,865.0,856.0,865.0,155501948,7910,14,866.0,865.0
124,2004-08-22,857.0,865.0,857.0,865.0,631250,32,2,865.0,865.0
125,2004-08-24,822.0,860.0,822.0,860.0,188787240,10010,9,865.0,860.0
126,2004-08-25,822.0,850.0,822.0,850.0,373376942,19798,17,860.0,850.0
127,2004-08-28,854.0,854.0,850.0,850.0,3526200,180,3,850.0,850.0
128,2004-08-29,811.0,850.0,811.0,850.0,7318020,385,3,850.0,850.0
129,2004-08-31,850.0,850.0,850.0,850.0,585040,30,11,850.0,850.0
130,2004-09-05,811.0,847.0,811.0,847.0,95541523,5136,9,850.0,847.0
131,2004-09-06,811.0,845.0,811.0,845.0,92542890,4975,3,847.0,845.0
132,2004-09-20,844.0,845.0,844.0,845.0,9122528,471,3,845.0,845.0
133,2004-09-25,828.0,845.0,828.0,845.0,27895800,1468,6,845.0,845.0
134,2004-10-10,802.0,845.0,802.0,837.0,321354299,17329,23,845.0,837.0
135,2004-10-11,806.0,836.0,806.0,836.0,42446576,2294,6,837.0,836.0
136,2004-10-31,805.0,836.0,805.0,834.0,498919146,26080,10,836.0,834.0
137,2004-11-02,806.0,833.0,806.0,833.0,26185980,1415,6,834.0,833.0
138,2004-11-06,792.0,829.0,792.0,829.0,151648684,8338,13,833.0,829.0
139,2004-11-08,787.0,809.0,787.0,799.0,1767938330,96460,18,829.0,799.0
140,2004-11-09,799.0,799.0,799.0,799.0,14882336,812,1,799.0,799.0
141,2004-11-10,825.0,825.0,799.0,799.0,21008160,1110,4,799.0,799.0
142,2004-11-13,825.0,828.0,801.0,801.0,106549305,5615,7,799.0,801.0
143,2004-11-15,828.0,828.0,802.0,802.0,40881970,2152,6,801.0,802.0
144,2004-11-16,807.0,807.0,803.0,803.0,345048892,18640,11,802.0,803.0
145,2004-11-17,803.0,828.0,803.0,803.0,33511096,1801,5,803.0,803.0
146,2004-11-20,828.0,828.0,804.0,804.0,56086361,2952,5,803.0,804.0
147,2004-11-21,828.0,828.0,804.0,804.0,25302580,1332,3,804.0,804.0
148,2004-11-22,828.0,828.0,805.0,805.0,41248329,2171,7,804.0,805.0
149,2004-11-23,845.0,845.0,806.0,806.0,32046609,1653,5,805.0,806.0
150,2004-11-24,828.0,828.0,807.0,807.0,90170436,4746,6,806.0,807.0
151,2004-11-27,807.0,807.0,807.0,807.0,4259830,230,2,807.0,807.0
152,2004-11-28,807.0,808.0,807.0,807.0,14078950,760,5,807.0,807.0
153,2004-11-29,807.0,808.0,807.0,807.0,42251367,2280,5,807.0,807.0
154,2004-12-12,807.0,807.0,807.0,807.0,18521000,1000,1,807.0,807.0
155,2004-12-13,824.0,824.0,807.0,807.0,10106375,535,4,807.0,807.0
156,2004-12-14,807.0,807.0,807.0,807.0,2963680,160,2,807.0,807.0
157,2004-12-15,807.0,807.0,806.0,807.0,119553301,6456,11,807.0,807.0
158,2005-01-17,767.0,808.0,767.0,797.0,36900599420,1992360,30,807.0,797.0
159,2005-01-18,758.0,792.0,758.0,792.0,174669048,10038,7,797.0,792.0
160,2005-01-22,753.0,792.0,753.0,792.0,8472860,490,3,792.0,792.0
161,2005-01-24,753.0,789.0,753.0,789.0,109527167,6340,10,792.0,789.0
162,2005-01-25,784.0,789.0,784.0,789.0,12555833,698,6,789.0,789.0
163,2005-01-30,783.0,789.0,783.0,789.0,270915,15,2,789.0,789.0
164,2005-04-03,750.0,750.0,750.0,750.0,8600500,500,2,789.0,750.0
165,2005-04-04,712.0,712.0,712.0,712.0,8170500,500,2,750.0,712.0
166,2005-04-18,709.0,712.0,709.0,712.0,814120,50,2,712.0,712.0
167,2005-04-19,709.0,712.0,709.0,712.0,1155189,71,2,712.0,712.0
168,2005-04-20,747.0,747.0,708.0,713.0,181510043,11010,17,712.0,713.0
169,2005-07-06,747.0,747.0,747.0,747.0,8740980,510,3,713.0,747.0
170,2005-07-09,747.0,747.0,747.0,747.0,1336716,78,3,747.0,747.0
171,2005-07-11,741.0,747.0,741.0,747.0,2160370,127,3,747.0,747.0
