,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-01-03,9975.0,9975.0,9975.0,9975.0,900000000000,90000000,26099,9975.0,9975.0
1,2021-02-13,10973.0,10973.0,10275.0,10908.0,357864020865,32725468,6780,9975.0,10973.0
2,2021-02-14,11073.0,11412.0,9975.0,10460.0,204276835264,19481208,6510,10908.0,10175.0
3,2021-02-15,10125.0,10125.0,9427.0,9788.0,154006731727,15696036,3741,10460.0,9925.0
4,2021-02-16,9875.0,9876.0,9478.0,9680.0,43217192635,4453622,1718,9788.0,9714.0
5,2021-02-17,9776.0,9953.0,9643.0,9773.0,27501555302,2807135,1097,9680.0,9758.0
6,2021-02-20,9841.0,9841.0,9377.0,9539.0,41817682693,4372895,1431,9773.0,9476.0
7,2021-02-21,9337.0,9526.0,9011.0,9150.0,63798183375,6955106,1496,9539.0,9203.0
8,2021-02-22,9148.0,9176.0,9028.0,9088.0,25061963790,2751055,1224,9150.0,9059.0
9,2021-02-23,9002.0,9777.0,8788.0,9283.0,69483520734,7466586,1793,9088.0,9574.0
10,2021-02-24,9764.0,9764.0,9277.0,9406.0,37439888711,3970904,1294,9283.0,9461.0
11,2021-02-27,9477.0,9566.0,9388.0,9479.0,35254585165,3710399,658,9406.0,9393.0
12,2021-02-28,9477.0,9507.0,9330.0,9470.0,22390433737,2358539,559,9479.0,9492.0
13,2021-03-01,9487.0,9677.0,9470.0,9502.0,20018442743,2101729,644,9470.0,9527.0
14,2021-03-02,9665.0,9665.0,9400.0,9482.0,17908593445,1884198,532,9502.0,9487.0
15,2021-03-03,9546.0,9546.0,9389.0,9466.0,16726156623,1762765,447,9482.0,9484.0
16,2021-03-06,9576.0,9776.0,9489.0,9589.0,28221089195,2935756,611,9466.0,9700.0
17,2021-03-07,9677.0,9786.0,9676.0,9688.0,11274236347,1160891,410,9589.0,9753.0
18,2021-03-08,9696.0,9773.0,9479.0,9628.0,13427374334,1391114,644,9688.0,9585.0
19,2021-03-09,9625.0,9626.0,9437.0,9555.0,11358756001,1185858,541,9628.0,9492.0
20,2021-03-10,9566.0,9586.0,9401.0,9510.0,9988516958,1047805,454,9555.0,9476.0
21,2021-03-13,9566.0,9576.0,9390.0,9515.0,17362666054,1820263,448,9510.0,9489.0
22,2021-03-14,9422.0,9615.0,9398.0,9507.0,21187430136,2223125,420,9515.0,9519.0
23,2021-03-15,9576.0,9596.0,9440.0,9519.0,20402505965,2138053,437,9507.0,9574.0
24,2021-03-16,9477.0,9672.0,9448.0,9529.0,26992584702,2825464,481,9519.0,9565.0
25,2021-03-17,9487.0,9976.0,9327.0,9738.0,56387889507,5776286,511,9529.0,9975.0
26,2021-03-27,9507.0,9916.0,9507.0,9685.0,4713039478,485452,243,9738.0,9752.0
27,2021-03-28,9770.0,9843.0,9636.0,9730.0,5620606263,576216,280,9685.0,9735.0
28,2021-03-30,9766.0,9766.0,9629.0,9668.0,3907614081,403181,255,9730.0,9672.0
29,2021-03-31,9672.0,9676.0,9557.0,9616.0,4510330216,467872,176,9668.0,9626.0
30,2021-04-03,9673.0,9673.0,9477.0,9551.0,7023641489,733564,232,9616.0,9525.0
31,2021-04-04,9576.0,9576.0,9425.0,9494.0,7377039537,775137,244,9551.0,9487.0
32,2021-04-05,9477.0,9525.0,9388.0,9461.0,7271820223,766786,195,9494.0,9467.0
33,2021-04-06,9514.0,9514.0,9402.0,9441.0,6907639935,729870,170,9461.0,9466.0
34,2021-04-07,9497.0,9524.0,9387.0,9434.0,11415532156,1207081,254,9441.0,9524.0
35,2021-04-10,9497.0,9497.0,9362.0,9411.0,6515940122,690672,230,9434.0,9393.0
36,2021-04-11,9417.0,9477.0,9327.0,9383.0,21557986126,2292029,277,9411.0,9459.0
