,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-02-25,1404.0,1404.0,1403.0,1403.0,45966173000,2088865,277,0.0,1403.0
1,2003-02-26,1409.0,1409.0,1403.0,1409.0,3329160040,151265,27,1403.0,1409.0
2,2003-03-01,1417.0,1417.0,1417.0,1417.0,696221955,31333,14,1409.0,1417.0
3,2003-03-02,1425.0,1425.0,1425.0,1425.0,277374210,12416,10,1417.0,1425.0
4,2003-03-03,1425.0,1427.0,1416.0,1426.0,2364777945,106440,30,1425.0,1426.0
5,2003-03-04,1426.0,1426.0,1426.0,1426.0,89341782,3994,12,1426.0,1426.0
6,2003-03-05,1424.0,1426.0,1424.0,1426.0,677558684,30306,25,1426.0,1426.0
7,2003-03-08,1426.0,1426.0,1425.0,1425.0,102838800,4600,3,1426.0,1425.0
8,2003-03-10,1354.0,1382.0,1354.0,1354.0,172369492,8000,3,1425.0,1354.0
9,2003-03-12,1313.0,1374.0,1313.0,1374.0,557624340,26890,10,1354.0,1374.0
10,2003-03-15,1305.0,1374.0,1305.0,1374.0,157951250,7600,9,1374.0,1374.0
11,2003-03-16,1373.0,1425.0,1371.0,1425.0,1710964296,78887,50,1374.0,1425.0
12,2003-03-18,1424.0,1425.0,1403.0,1403.0,36877201,1666,5,1425.0,1403.0
13,2003-03-19,1403.0,1403.0,1403.0,1403.0,447240000,20330,3,1403.0,1403.0
14,2003-03-30,1402.0,1402.0,1402.0,1402.0,481336330,21889,8,1403.0,1402.0
15,2003-03-31,1403.0,1403.0,1403.0,1403.0,11924000000,542000,17,1402.0,1403.0
16,2003-04-05,1473.0,1473.0,1416.0,1416.0,17992853530,809890,36,1403.0,1416.0
17,2003-04-06,1416.0,1428.0,1416.0,1428.0,15913325312,710418,77,1416.0,1428.0
18,2003-04-07,1441.0,1446.0,1441.0,1442.0,18456684050,816390,86,1428.0,1442.0
19,2003-04-08,1457.0,1457.0,1456.0,1457.0,35646739954,1560404,194,1442.0,1457.0
