,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2019-06-08,895.0,895.0,895.0,895.0,44796490000,4479649,481,895.0,895.0
1,2019-06-09,895.0,895.0,895.0,895.0,17046730000,1704673,258,895.0,895.0
2,2019-06-10,895.0,895.0,895.0,895.0,9946200000,994620,363,895.0,895.0
3,2019-06-11,895.0,895.0,895.0,895.0,46062080000,4606208,1372,895.0,895.0
4,2019-06-12,895.0,895.0,895.0,895.0,89270990000,8927099,1166,895.0,895.0
5,2019-07-01,896.0,922.0,896.0,903.0,3214869772,318542,226,895.0,900.0
6,2019-07-02,895.0,905.0,892.0,894.0,4698201019,470267,337,903.0,893.0
7,2019-07-03,891.0,893.0,882.0,888.0,2455068117,247647,205,894.0,884.0
8,2019-07-06,894.0,897.0,860.0,876.0,1077452271,110152,109,888.0,861.0
9,2019-07-07,860.0,862.0,854.0,857.0,2971644452,310495,171,876.0,859.0
10,2019-07-08,878.0,878.0,867.0,870.0,1363089647,140273,102,857.0,873.0
11,2019-07-09,868.0,870.0,859.0,862.0,1354204892,140650,120,870.0,861.0
12,2019-07-10,847.0,860.0,846.0,852.0,1890016891,198634,206,862.0,860.0
13,2019-07-13,880.0,880.0,824.0,839.0,4580209484,488612,298,852.0,827.0
14,2019-07-14,825.0,864.0,825.0,847.0,1238624853,130951,121,839.0,855.0
15,2019-07-15,864.0,864.0,842.0,856.0,990917064,103685,109,847.0,852.0
16,2019-07-16,852.0,862.0,806.0,837.0,2120190940,226899,96,856.0,842.0
17,2019-07-17,837.0,855.0,837.0,853.0,1414089067,148406,49,837.0,849.0
18,2019-07-20,833.0,855.0,833.0,836.0,1791909569,191868,105,853.0,837.0
19,2019-07-21,833.0,842.0,833.0,839.0,676232917,72185,56,836.0,836.0
20,2019-07-22,833.0,854.0,824.0,836.0,1106816430,118516,76,839.0,831.0
21,2019-07-23,829.0,833.0,824.0,829.0,1297784538,140181,66,836.0,832.0
22,2019-07-24,819.0,845.0,819.0,839.0,374675466,39971,49,829.0,838.0
23,2019-07-27,828.0,837.0,828.0,832.0,313363590,33729,23,839.0,834.0
24,2019-07-28,841.0,842.0,833.0,833.0,194528042,20897,38,832.0,833.0
25,2019-07-29,833.0,839.0,832.0,834.0,708421615,76060,68,833.0,832.0
26,2019-07-30,840.0,842.0,833.0,835.0,895866864,96068,58,834.0,842.0
27,2019-07-31,854.0,859.0,847.0,855.0,1871040898,195818,84,835.0,859.0
28,2019-08-03,868.0,868.0,852.0,863.0,639419399,66296,65,855.0,868.0
29,2019-08-04,869.0,877.0,860.0,869.0,2084172216,214812,100,863.0,877.0
30,2019-08-05,877.0,894.0,873.0,885.0,1966911551,198939,71,869.0,885.0
31,2019-08-06,877.0,893.0,877.0,884.0,5221433651,528658,70,885.0,881.0
32,2019-08-07,846.0,886.0,846.0,884.0,1612831107,163407,78,884.0,885.0
33,2019-08-10,878.0,886.0,877.0,879.0,1201614710,122352,61,884.0,880.0
34,2019-08-11,851.0,885.0,851.0,881.0,1762320994,179085,47,879.0,884.0
35,2019-08-13,884.0,886.0,877.0,883.0,4607376416,467131,40,881.0,886.0
36,2019-08-14,878.0,891.0,877.0,885.0,3882956154,392757,92,883.0,891.0
37,2019-08-17,878.0,895.0,878.0,887.0,1595322892,160952,118,885.0,892.0
38,2019-08-18,887.0,891.0,884.0,890.0,1895075331,190724,84,887.0,891.0
39,2019-08-19,892.0,893.0,883.0,891.0,2489687901,250103,89,890.0,891.0
40,2019-08-21,892.0,899.0,891.0,897.0,3103365029,309760,112,891.0,898.0
41,2019-08-24,895.0,904.0,895.0,900.0,3910026328,388987,167,897.0,904.0
42,2019-08-25,897.0,917.0,897.0,905.0,2031611322,200981,118,900.0,904.0
43,2019-08-26,913.0,940.0,911.0,921.0,3042668163,295636,144,905.0,939.0
44,2019-08-27,940.0,963.0,940.0,952.0,3004034406,282361,147,921.0,950.0
45,2019-08-28,963.0,963.0,952.0,956.0,3062599370,286651,133,952.0,958.0
46,2019-08-31,963.0,994.0,963.0,985.0,1771991017,160998,131,956.0,994.0
47,2019-09-01,995.0,1020.0,995.0,1013.0,1831594119,161809,124,985.0,1013.0
48,2019-09-02,1021.0,1032.0,995.0,1016.0,5354598175,471960,146,1013.0,1012.0
49,2019-09-03,1023.0,1035.0,1021.0,1029.0,1109147060,96495,65,1016.0,1035.0
50,2019-09-04,1038.0,1038.0,994.0,1022.0,4597325113,402748,146,1029.0,1027.0
51,2019-09-07,1030.0,1042.0,1018.0,1025.0,6966415863,608530,168,1022.0,1041.0
52,2019-09-08,1031.0,1051.0,1031.0,1043.0,1167298448,100178,88,1025.0,1051.0
53,2019-09-11,1055.0,1101.0,1055.0,1090.0,3340193382,274251,137,1043.0,1098.0
54,2019-09-14,1106.0,1131.0,1103.0,1119.0,7453479921,596479,154,1090.0,1128.0
55,2019-09-15,1131.0,1132.0,1075.0,1111.0,3701895579,298169,108,1119.0,1113.0
56,2019-09-16,1113.0,1119.0,1110.0,1116.0,3167448168,253977,69,1111.0,1115.0
57,2019-09-17,1125.0,1125.0,1108.0,1112.0,2016758858,162427,62,1116.0,1118.0
58,2019-09-18,1107.0,1107.0,1081.0,1098.0,2970923580,242133,95,1112.0,1085.0
59,2019-09-21,1081.0,1096.0,1081.0,1085.0,1631276177,134557,69,1098.0,1082.0
