,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-06-07,167.0,214.0,160.0,166.0,73748347865,2394260,1292,0.0,166.0
1,2003-06-08,175.0,175.0,175.0,175.0,655360200,20060,10,166.0,175.0
2,2003-06-09,183.0,183.0,178.0,178.0,14382575623,422840,147,175.0,178.0
3,2003-06-10,178.0,178.0,176.0,178.0,1807513013,54349,90,178.0,178.0
4,2003-06-11,175.0,175.0,169.0,169.0,1482088050,46385,38,178.0,169.0
5,2003-06-14,161.0,161.0,161.0,161.0,3592430361,119457,83,169.0,161.0
6,2003-06-15,153.0,160.0,153.0,153.0,13597430566,469786,321,161.0,153.0
7,2003-06-16,153.0,155.0,151.0,152.0,2058489758,72080,63,153.0,152.0
8,2003-06-17,154.0,157.0,154.0,157.0,879423138,30335,61,152.0,157.0
9,2003-06-18,158.0,158.0,157.0,157.0,1182657611,40159,60,157.0,157.0
10,2003-06-21,157.0,158.0,157.0,157.0,1230689704,41920,49,157.0,157.0
11,2003-06-22,157.0,157.0,156.0,156.0,1965877485,67205,82,157.0,156.0
12,2003-06-23,155.0,156.0,149.0,149.0,453352775,15870,31,156.0,149.0
13,2003-06-24,149.0,155.0,149.0,155.0,5222956283,185446,123,149.0,155.0
14,2003-06-25,153.0,153.0,150.0,150.0,513807992,18319,35,155.0,150.0
15,2003-06-28,150.0,150.0,147.0,148.0,453777026,16416,24,150.0,148.0
16,2003-06-29,147.0,152.0,147.0,147.0,1078762972,38949,55,148.0,147.0
17,2003-06-30,153.0,154.0,144.0,144.0,3373046169,119615,104,147.0,144.0
18,2003-07-20,176.0,178.0,144.0,170.0,1857577384,57714,70,144.0,170.0
19,2003-07-21,170.0,170.0,162.0,162.0,2172012767,71198,78,170.0,162.0
20,2003-07-22,160.0,160.0,153.0,153.0,19950700,671,6,162.0,153.0
21,2003-07-23,153.0,153.0,148.0,148.0,1070553131,38510,50,153.0,148.0
22,2003-07-26,150.0,155.0,148.0,155.0,1307006549,46610,70,148.0,155.0
23,2003-07-27,160.0,161.0,158.0,159.0,2324461026,77640,68,155.0,159.0
24,2003-07-28,160.0,160.0,159.0,159.0,1951871697,65327,60,159.0,159.0
25,2003-07-29,159.0,162.0,158.0,160.0,2462206931,82648,77,159.0,160.0
26,2003-07-30,160.0,160.0,160.0,160.0,24403592,814,2,160.0,160.0
27,2003-08-03,144.0,144.0,144.0,144.0,277740415,10282,16,160.0,144.0
28,2003-08-04,144.0,149.0,144.0,145.0,1919283922,70051,58,144.0,145.0
29,2003-08-05,144.0,144.0,139.0,139.0,430149423,16393,18,145.0,139.0
30,2003-08-06,145.0,145.0,139.0,145.0,962330018,35831,46,139.0,145.0
31,2003-08-09,144.0,145.0,144.0,145.0,1361892730,50330,50,145.0,145.0
32,2003-08-10,145.0,145.0,145.0,145.0,59365448,2194,3,145.0,145.0
33,2003-08-11,142.0,145.0,142.0,145.0,1153707860,42925,57,145.0,145.0
34,2003-08-12,145.0,145.0,145.0,145.0,506837005,18730,22,145.0,145.0
35,2003-08-13,145.0,145.0,145.0,145.0,294576970,10886,27,145.0,145.0
36,2003-08-16,145.0,145.0,145.0,145.0,413654446,15286,24,145.0,145.0
37,2003-08-17,144.0,144.0,144.0,144.0,162101000,6000,2,145.0,144.0
38,2003-08-18,144.0,145.0,142.0,145.0,3368076123,124742,24,144.0,145.0
39,2003-08-19,145.0,145.0,145.0,145.0,409903446,15147,18,145.0,145.0
40,2003-08-20,145.0,145.0,145.0,145.0,56694325,2095,6,145.0,145.0
41,2003-08-23,145.0,145.0,145.0,145.0,53148481,1964,7,145.0,145.0
42,2003-08-24,145.0,145.0,137.0,145.0,85636808,3315,5,145.0,145.0
43,2003-08-25,143.0,145.0,142.0,145.0,417929442,15690,11,145.0,145.0
44,2003-08-26,139.0,145.0,139.0,145.0,288889648,11111,13,145.0,145.0
45,2003-08-27,138.0,145.0,137.0,145.0,632646062,24551,25,145.0,145.0
46,2003-08-30,137.0,145.0,137.0,145.0,22779527,886,4,145.0,145.0
47,2003-08-31,137.0,145.0,137.0,145.0,1468246758,57092,48,145.0,145.0
48,2003-09-01,141.0,145.0,141.0,145.0,308223426,11642,15,145.0,145.0
49,2003-09-02,137.0,145.0,137.0,145.0,213707090,8312,11,145.0,145.0
50,2003-09-03,137.0,145.0,137.0,145.0,145459514,5653,10,145.0,145.0
51,2003-09-06,137.0,145.0,137.0,145.0,82828996,3195,8,145.0,145.0
52,2003-09-07,137.0,145.0,137.0,145.0,804525102,31253,32,145.0,145.0
53,2003-09-14,137.0,145.0,137.0,145.0,62692072,2438,11,145.0,145.0
54,2003-09-15,141.0,145.0,137.0,145.0,981422268,37897,32,145.0,145.0
55,2003-09-16,143.0,145.0,143.0,145.0,29481510,1102,2,145.0,145.0
56,2003-09-20,137.0,144.0,137.0,144.0,128763420,5010,2,145.0,144.0
57,2003-09-22,136.0,137.0,136.0,136.0,2490394754,97658,60,144.0,136.0
58,2003-09-23,136.0,136.0,136.0,136.0,550865284,21602,26,136.0,136.0
59,2003-09-27,136.0,136.0,136.0,136.0,282590896,11082,13,136.0,136.0
60,2003-09-28,133.0,136.0,132.0,136.0,125738580,5110,12,136.0,136.0
61,2003-09-29,130.0,135.0,130.0,135.0,48320990,1980,3,136.0,135.0
62,2003-09-30,134.0,135.0,134.0,135.0,993203576,39475,29,135.0,135.0
63,2003-10-01,129.0,135.0,128.0,133.0,64267246422,2686286,19,135.0,133.0
64,2003-10-04,133.0,133.0,133.0,133.0,96115097,3851,7,133.0,133.0
65,2003-10-05,133.0,133.0,133.0,133.0,358382811,14374,9,133.0,133.0
66,2003-10-06,128.0,131.0,128.0,130.0,873407988,35860,19,133.0,130.0
67,2003-10-07,130.0,130.0,126.0,128.0,581827550,24523,16,130.0,128.0
68,2003-10-08,128.0,128.0,126.0,127.0,954928428,40069,29,128.0,127.0
69,2003-10-11,128.0,129.0,128.0,128.0,996129379,41511,35,127.0,128.0
70,2003-10-19,129.0,129.0,129.0,129.0,241500000,10000,1,128.0,129.0
71,2003-10-20,123.0,129.0,123.0,129.0,32265362,1402,2,129.0,129.0
