,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2003-12-02,1059.0,1059.0,1050.0,1053.0,25339319116,555000,653,0.0,1053.0
1,2003-12-03,1106.0,1106.0,1056.0,1056.0,47926817,1000,4,1053.0,1056.0
2,2003-12-06,1108.0,1108.0,1108.0,1108.0,4803300000,100000,242,1056.0,1108.0
3,2003-12-07,1164.0,1164.0,1108.0,1108.0,50431599,1000,2,1108.0,1108.0
4,2003-12-08,1164.0,1164.0,1164.0,1164.0,2471266000,49000,103,1108.0,1164.0
5,2003-12-09,1222.0,1222.0,1222.0,1222.0,1587855675,29985,73,1164.0,1222.0
6,2003-12-10,1161.0,1278.0,1161.0,1178.0,3868505567,75802,313,1222.0,1178.0
7,2003-12-13,1161.0,1165.0,1154.0,1159.0,3167551312,63040,107,1178.0,1159.0
8,2003-12-14,1159.0,1217.0,1131.0,1185.0,1810011088,35236,54,1159.0,1185.0
9,2003-12-15,1185.0,1185.0,1184.0,1185.0,1216781776,23690,29,1185.0,1185.0
10,2003-12-16,1185.0,1185.0,1185.0,1185.0,179560872,3496,10,1185.0,1185.0
11,2003-12-17,1177.0,1177.0,1142.0,1154.0,1071724970,21462,31,1185.0,1154.0
12,2003-12-21,1162.0,1162.0,1157.0,1157.0,504006640,10010,9,1154.0,1157.0
13,2003-12-23,1154.0,1154.0,1151.0,1153.0,1503544388,30089,44,1157.0,1153.0
14,2003-12-24,1131.0,1146.0,1131.0,1146.0,326205900,6657,12,1153.0,1146.0
15,2003-12-27,1152.0,1152.0,1149.0,1149.0,499978000,10010,12,1146.0,1149.0
16,2003-12-28,1152.0,1152.0,1142.0,1149.0,1001910745,20112,28,1149.0,1149.0
17,2003-12-29,1119.0,1139.0,1119.0,1139.0,703815050,14332,12,1149.0,1139.0
18,2003-12-30,1083.0,1131.0,1083.0,1128.0,631243616,13010,16,1139.0,1128.0
19,2003-12-31,1123.0,1130.0,1072.0,1122.0,1469336938,30228,35,1128.0,1122.0
20,2004-01-03,1121.0,1129.0,1121.0,1125.0,914551692,18754,19,1122.0,1125.0
21,2004-01-04,1131.0,1135.0,1128.0,1128.0,571793810,11670,23,1125.0,1128.0
22,2004-01-05,1144.0,1154.0,1129.0,1129.0,56404365,1130,7,1128.0,1129.0
23,2004-01-06,1177.0,1183.0,1170.0,1170.0,999330508,19586,16,1129.0,1170.0
24,2004-01-07,1184.0,1184.0,1173.0,1173.0,221043375,4309,15,1170.0,1173.0
25,2004-01-10,1183.0,1200.0,1183.0,1187.0,775447433,14975,15,1173.0,1187.0
26,2004-01-11,1187.0,1187.0,1187.0,1187.0,113102104,2198,6,1187.0,1187.0
27,2004-01-12,1187.0,1188.0,1187.0,1187.0,572762121,11131,14,1187.0,1187.0
28,2004-01-13,1181.0,1185.0,1154.0,1185.0,227451063,4465,12,1187.0,1185.0
29,2004-01-14,1181.0,1184.0,1181.0,1184.0,256829262,5010,6,1185.0,1184.0
30,2004-01-17,1184.0,1184.0,1183.0,1184.0,308310838,6010,9,1184.0,1184.0
31,2004-01-18,1184.0,1186.0,1177.0,1184.0,540609700,10535,13,1184.0,1184.0
32,2004-01-19,1154.0,1182.0,1154.0,1182.0,75512604,1510,4,1184.0,1182.0
33,2004-01-20,1154.0,1179.0,1154.0,1179.0,113013300,2260,6,1182.0,1179.0
34,2004-01-21,1154.0,1179.0,1154.0,1179.0,51016330,1010,3,1179.0,1179.0
35,2004-01-24,1177.0,1178.0,1177.0,1178.0,306509910,6010,8,1179.0,1178.0
36,2004-01-25,1156.0,1177.0,1154.0,1177.0,663006410,13015,10,1178.0,1177.0
37,2004-01-26,1177.0,1177.0,1177.0,1177.0,31106720,610,5,1177.0,1177.0
38,2004-01-27,1177.0,1177.0,1177.0,1177.0,40793600,800,1,1177.0,1177.0
39,2004-01-28,1177.0,1177.0,1177.0,1177.0,392544335,7697,11,1177.0,1177.0
40,2004-01-31,1181.0,1186.0,1178.0,1178.0,269043440,5240,7,1177.0,1178.0
41,2004-02-01,1154.0,1176.0,1154.0,1176.0,100511790,2010,2,1178.0,1176.0
42,2004-02-03,1174.0,1176.0,1174.0,1176.0,62496999,1228,6,1176.0,1176.0
43,2004-02-04,1174.0,1176.0,1174.0,1176.0,33590160,660,2,1176.0,1176.0
44,2004-02-07,1174.0,1175.0,1174.0,1175.0,390704642,7677,16,1176.0,1175.0
45,2004-02-08,1176.0,1176.0,1175.0,1175.0,84058761,1650,8,1175.0,1175.0
46,2004-02-09,1175.0,1177.0,1146.0,1175.0,56271348,1117,6,1175.0,1175.0
47,2004-02-15,1154.0,1171.0,1154.0,1171.0,186207660,3724,3,1175.0,1171.0
48,2004-02-16,1154.0,1166.0,1154.0,1166.0,368755180,7375,5,1171.0,1166.0
49,2004-02-17,1166.0,1166.0,1154.0,1162.0,339204424,6783,8,1166.0,1162.0
50,2004-02-18,1154.0,1165.0,1154.0,1163.0,257786845,5110,7,1162.0,1163.0
51,2004-02-21,1165.0,1166.0,1163.0,1163.0,154970410,3068,5,1163.0,1163.0
52,2004-02-22,1165.0,1166.0,1163.0,1163.0,93145614,1844,8,1163.0,1163.0
53,2004-02-23,1163.0,1163.0,1156.0,1163.0,561307640,11135,12,1163.0,1163.0
54,2004-02-24,1176.0,1177.0,1167.0,1167.0,366335040,7188,6,1163.0,1167.0
55,2004-02-25,1177.0,1177.0,1168.0,1168.0,135401175,2655,5,1167.0,1168.0
56,2004-03-03,1169.0,1169.0,1169.0,1169.0,25326000,500,1,1168.0,1169.0
57,2004-03-06,1156.0,1166.0,1156.0,1166.0,203414130,4060,12,1169.0,1166.0
58,2004-03-07,1166.0,1166.0,1166.0,1166.0,2426620,48,2,1166.0,1166.0
59,2004-03-08,1177.0,1177.0,1166.0,1171.0,551311490,10810,9,1166.0,1171.0
60,2004-03-09,1171.0,1177.0,1171.0,1174.0,627609464,12310,8,1171.0,1174.0
61,2004-03-10,1177.0,1188.0,1172.0,1174.0,186176705,3659,8,1174.0,1174.0
62,2004-03-13,1174.0,1177.0,1171.0,1174.0,1095754110,21534,13,1174.0,1174.0
63,2004-03-14,1174.0,1174.0,1174.0,1174.0,254928830,5010,4,1174.0,1174.0
64,2004-03-15,1174.0,1174.0,1174.0,1174.0,2123687288,41736,16,1174.0,1174.0
65,2004-03-16,1177.0,1188.0,1177.0,1177.0,1095264171,21476,10,1174.0,1177.0
66,2004-03-17,1177.0,1177.0,1177.0,1177.0,5303920,104,2,1177.0,1177.0
67,2004-03-29,1177.0,1177.0,1177.0,1177.0,53898694,1057,6,1177.0,1177.0
68,2004-03-30,1177.0,1177.0,1177.0,1177.0,17387600,341,4,1177.0,1177.0
69,2004-04-03,1177.0,1177.0,1177.0,1177.0,10206883650,200135,3,1177.0,1177.0
70,2004-04-04,1165.0,1177.0,1165.0,1176.0,174102830,3418,9,1177.0,1176.0
71,2004-04-05,1176.0,1176.0,1154.0,1176.0,68069107,1345,5,1176.0,1176.0
72,2004-04-12,1175.0,1176.0,1175.0,1176.0,22312396,438,3,1176.0,1176.0
73,2004-04-17,1175.0,1176.0,1175.0,1176.0,255220535,5010,14,1176.0,1176.0
74,2004-04-18,1176.0,1176.0,1176.0,1176.0,866400,17,2,1176.0,1176.0
75,2004-04-26,1175.0,1176.0,1175.0,1176.0,139015669,2729,8,1176.0,1176.0
76,2004-04-27,1176.0,1176.0,1176.0,1176.0,789864500,15500,2,1176.0,1176.0
77,2004-05-01,1174.0,1175.0,1174.0,1175.0,1018509200,20010,3,1176.0,1175.0
78,2004-05-04,1154.0,1174.0,1154.0,1174.0,30509010,610,5,1175.0,1174.0
79,2004-05-15,1151.0,1174.0,1151.0,1174.0,15475310,310,3,1174.0,1174.0
80,2004-05-17,1126.0,1174.0,1126.0,1174.0,15148700,310,3,1174.0,1174.0
81,2004-05-23,1115.0,1173.0,1115.0,1173.0,7419341,153,2,1174.0,1173.0
82,2004-05-25,1115.0,1173.0,1115.0,1173.0,7755850,160,2,1173.0,1173.0
83,2004-05-26,1115.0,1169.0,1115.0,1169.0,97112770,2010,2,1173.0,1169.0
84,2004-05-30,1111.0,1143.0,1111.0,1143.0,670852216,13934,13,1169.0,1143.0
85,2004-05-31,1115.0,1142.0,1115.0,1142.0,48796760,1010,2,1143.0,1142.0
86,2004-06-01,1085.0,1141.0,1085.0,1141.0,12247050,260,2,1142.0,1141.0
87,2004-06-02,1114.0,1141.0,1114.0,1141.0,14498487,300,4,1141.0,1141.0
88,2004-06-06,1114.0,1131.0,1096.0,1129.0,783267786,16160,21,1141.0,1129.0
89,2004-06-07,1119.0,1129.0,1119.0,1129.0,11692710,241,3,1129.0,1129.0
90,2004-06-12,1131.0,1176.0,1131.0,1136.0,815170780,16457,10,1129.0,1136.0
91,2004-06-13,1117.0,1176.0,1117.0,1137.0,182272818,3683,13,1136.0,1137.0
92,2004-07-18,1061.0,1061.0,1061.0,1061.0,32200000,700,1,1137.0,1061.0
93,2004-07-20,1078.0,1078.0,1062.0,1062.0,23810110,510,2,1061.0,1062.0
94,2004-07-24,1096.0,1096.0,1062.0,1062.0,18985300,400,2,1062.0,1062.0
95,2004-07-25,1104.0,1104.0,1062.0,1062.0,7637880,160,2,1062.0,1062.0
96,2004-07-27,1108.0,1108.0,1063.0,1063.0,24460700,510,3,1062.0,1063.0
97,2004-07-28,1116.0,1116.0,1063.0,1063.0,10372600,215,2,1063.0,1063.0
98,2004-07-31,1108.0,1108.0,1064.0,1064.0,12461000,260,2,1063.0,1064.0
99,2004-08-01,1064.0,1064.0,1064.0,1064.0,467925000,10150,2,1064.0,1064.0
100,2004-08-03,1064.0,1064.0,1064.0,1064.0,154892990,3360,3,1064.0,1064.0
101,2004-08-04,1080.0,1108.0,1065.0,1065.0,59736530,1260,4,1064.0,1065.0
102,2004-08-08,1064.0,1065.0,1064.0,1065.0,92952200,2015,3,1065.0,1065.0
103,2004-08-09,1061.0,1065.0,1061.0,1065.0,5383500,117,2,1065.0,1065.0
104,2004-08-11,1060.0,1108.0,1060.0,1068.0,569491184,12259,15,1065.0,1068.0
105,2004-08-18,1061.0,1084.0,1061.0,1068.0,93852001,2004,8,1068.0,1068.0
106,2004-08-31,1067.0,1068.0,1067.0,1068.0,12023720,260,6,1068.0,1068.0
107,2004-09-28,542.0,542.0,542.0,542.0,25732500,1095,6,1068.0,542.0
108,2004-09-29,542.0,542.0,531.0,542.0,27827450,1195,8,542.0,542.0
109,2004-10-02,542.0,545.0,542.0,542.0,16026754,680,7,542.0,542.0
110,2004-10-03,540.0,542.0,540.0,542.0,22791861,974,6,542.0,542.0
111,2004-10-04,542.0,542.0,542.0,542.0,1221542,52,2,542.0,542.0
112,2004-10-11,540.0,542.0,540.0,542.0,60911080,2603,4,542.0,542.0
113,2004-10-20,539.0,542.0,539.0,542.0,7239870,310,3,542.0,542.0
114,2004-10-25,540.0,542.0,540.0,542.0,22526440,963,4,542.0,542.0
115,2004-10-30,542.0,542.0,542.0,542.0,4930840,210,2,542.0,542.0
116,2004-10-31,535.0,542.0,535.0,542.0,32945945,1420,7,542.0,542.0
117,2004-11-01,538.0,542.0,538.0,542.0,11884750,510,3,542.0,542.0
118,2004-11-02,538.0,542.0,538.0,542.0,46066210,1977,6,542.0,542.0
119,2004-11-03,538.0,541.0,538.0,541.0,23371560,1003,3,542.0,541.0
120,2004-11-07,538.0,541.0,538.0,541.0,2564650,110,2,541.0,541.0
121,2004-11-10,541.0,541.0,541.0,541.0,4595782,196,2,541.0,541.0
122,2004-11-13,541.0,542.0,541.0,541.0,23691464,1010,6,541.0,541.0
123,2004-11-15,541.0,541.0,541.0,541.0,167423508,7136,9,541.0,541.0
124,2004-11-29,541.0,541.0,541.0,541.0,23685043,1010,5,541.0,541.0
125,2004-12-12,531.0,531.0,519.0,525.0,34580000,1520,3,541.0,525.0
126,2004-12-15,517.0,525.0,517.0,525.0,451390,20,3,525.0,525.0
127,2004-12-21,515.0,515.0,515.0,515.0,1722563500,77245,8,525.0,515.0
128,2004-12-22,508.0,515.0,508.0,515.0,2246990,102,2,515.0,515.0
129,2004-12-26,489.0,512.0,489.0,512.0,105426790,4976,6,515.0,512.0
130,2004-12-28,487.0,512.0,487.0,512.0,12121242,574,2,512.0,512.0
131,2004-12-29,487.0,510.0,487.0,510.0,121329304,5753,13,512.0,510.0
132,2005-01-01,487.0,519.0,487.0,510.0,18563680,849,6,510.0,510.0
133,2005-01-02,531.0,531.0,510.0,510.0,7260910,320,3,510.0,510.0
134,2005-01-03,535.0,535.0,510.0,510.0,8060360,355,4,510.0,510.0
135,2005-01-05,531.0,531.0,511.0,511.0,50131260,2180,3,510.0,511.0
136,2005-01-08,531.0,531.0,511.0,511.0,7811300,340,2,511.0,511.0
137,2005-01-09,527.0,531.0,511.0,511.0,27004440,1181,4,511.0,511.0
138,2005-01-10,511.0,511.0,511.0,511.0,36953483,1668,7,511.0,511.0
139,2005-01-11,531.0,531.0,511.0,511.0,4821460,210,2,511.0,511.0
140,2005-01-12,525.0,525.0,511.0,511.0,7046480,310,3,511.0,511.0
141,2005-01-15,525.0,525.0,511.0,511.0,13299020,585,5,511.0,511.0
142,2005-01-16,525.0,525.0,511.0,511.0,7046550,310,2,511.0,511.0
143,2005-01-17,511.0,511.0,511.0,511.0,5317200,240,1,511.0,511.0
144,2005-01-18,486.0,511.0,486.0,511.0,12850240,610,3,511.0,511.0
145,2005-01-22,510.0,511.0,510.0,511.0,5198205,235,2,511.0,511.0
146,2005-02-13,485.0,511.0,485.0,511.0,1483590,70,2,511.0,511.0
147,2005-02-14,485.0,511.0,485.0,511.0,1925346,91,2,511.0,511.0
148,2005-03-01,485.0,511.0,485.0,511.0,1799110,85,2,511.0,511.0
149,2005-03-07,485.0,510.0,485.0,510.0,20056292,953,4,511.0,510.0
150,2005-03-08,485.0,510.0,485.0,510.0,10128154,481,3,510.0,510.0
151,2005-04-16,485.0,508.0,485.0,508.0,126274050,6010,2,510.0,508.0
152,2005-04-17,482.0,502.0,482.0,502.0,300859964,14340,13,508.0,502.0
153,2005-04-18,508.0,508.0,485.0,502.0,19717910,910,4,502.0,502.0
154,2005-04-19,503.0,503.0,502.0,502.0,28557810,1310,5,502.0,502.0
155,2005-04-20,502.0,502.0,502.0,502.0,2959622,136,2,502.0,502.0
156,2005-04-24,502.0,502.0,502.0,502.0,3590720,165,2,502.0,502.0
157,2005-04-25,502.0,502.0,502.0,502.0,10880200,500,2,502.0,502.0
158,2005-04-27,503.0,503.0,502.0,502.0,26377600,1210,2,502.0,502.0
159,2005-05-03,502.0,502.0,502.0,502.0,19584000,900,3,502.0,502.0
160,2005-05-10,502.0,502.0,502.0,502.0,21975800,1010,6,502.0,502.0
161,2005-05-14,502.0,527.0,502.0,527.0,1423378872,62337,10,502.0,527.0
162,2005-05-15,527.0,527.0,527.0,527.0,7968717,349,1,527.0,527.0
163,2005-05-16,527.0,528.0,527.0,527.0,29931330,1310,3,527.0,527.0
164,2005-05-18,541.0,541.0,527.0,527.0,697530,30,2,527.0,527.0
165,2005-05-21,527.0,527.0,527.0,527.0,479493,21,1,527.0,527.0
166,2005-05-22,508.0,527.0,508.0,527.0,2208310,100,2,527.0,527.0
167,2005-05-23,527.0,527.0,527.0,527.0,981733,43,1,527.0,527.0
168,2005-06-06,527.0,527.0,527.0,527.0,228300,10,1,527.0,527.0
169,2005-06-19,527.0,527.0,527.0,527.0,228270,10,1,527.0,527.0
170,2005-06-26,527.0,527.0,527.0,527.0,798928220,35010,5,527.0,527.0
171,2005-07-05,521.0,526.0,521.0,526.0,165171440,7310,2,527.0,526.0
172,2005-12-03,508.0,518.0,500.0,518.0,491763930,22510,22,526.0,518.0
173,2005-12-04,508.0,521.0,500.0,514.0,709348915,32018,15,518.0,514.0
174,2005-12-05,489.0,514.0,489.0,514.0,21398710,1010,2,514.0,514.0
175,2005-12-10,488.0,514.0,488.0,514.0,3692622,174,3,514.0,514.0
176,2006-01-02,488.0,514.0,488.0,514.0,645870,30,2,514.0,514.0
177,2006-01-08,488.0,514.0,488.0,514.0,2338510,110,2,514.0,514.0
178,2006-03-07,488.0,514.0,488.0,514.0,518922,24,3,514.0,514.0
179,2006-03-15,488.0,514.0,488.0,514.0,5194790,245,2,514.0,514.0
180,2006-05-15,488.0,488.0,488.0,488.0,42526045,2010,5,514.0,488.0
181,2006-05-21,478.0,488.0,478.0,488.0,3831547349,181164,9,488.0,488.0
182,2006-05-23,485.0,488.0,485.0,488.0,21345550,1010,3,488.0,488.0
183,2006-07-24,461.0,488.0,461.0,486.0,54971529,2610,5,488.0,486.0
184,2006-07-25,476.0,486.0,476.0,486.0,90350250,4310,5,486.0,486.0
185,2006-07-26,485.0,488.0,485.0,486.0,126765738,6010,5,486.0,486.0
186,2006-07-31,488.0,488.0,486.0,486.0,63618600,3010,2,486.0,486.0
187,2006-08-01,488.0,488.0,486.0,486.0,66789880,3160,4,486.0,486.0
188,2006-08-02,488.0,488.0,476.0,486.0,72009979,3410,5,486.0,486.0
189,2006-08-12,482.0,486.0,482.0,486.0,21107430,1010,3,486.0,486.0
190,2006-08-13,482.0,486.0,482.0,486.0,61525716,2944,3,486.0,486.0
191,2006-08-14,482.0,486.0,482.0,486.0,62897302,3010,5,486.0,486.0
192,2006-08-19,482.0,486.0,482.0,486.0,30038494,1438,4,486.0,486.0
193,2006-08-20,482.0,485.0,482.0,485.0,31536390,1510,3,486.0,485.0
194,2006-08-21,482.0,485.0,482.0,485.0,39037830,1870,3,485.0,485.0
195,2006-08-26,476.0,485.0,476.0,485.0,41801650,2010,3,485.0,485.0
196,2006-08-27,475.0,484.0,475.0,484.0,178485495,8660,5,485.0,484.0
197,2006-08-28,474.0,483.0,474.0,483.0,41301510,2010,3,484.0,483.0
198,2006-08-29,474.0,483.0,474.0,483.0,39931910,1940,3,483.0,483.0
199,2006-09-02,475.0,483.0,475.0,483.0,20813330,1010,2,483.0,483.0
200,2006-09-04,475.0,484.0,475.0,482.0,186511880,9010,4,483.0,482.0
201,2006-09-06,484.0,488.0,483.0,483.0,210659220,10010,5,482.0,483.0
202,2006-09-13,488.0,488.0,484.0,484.0,344796150,16311,8,483.0,484.0
203,2006-09-16,485.0,485.0,484.0,484.0,66374782010,3160704,6,484.0,484.0
204,2006-09-17,485.0,485.0,484.0,484.0,66286709310,3156510,4,484.0,484.0
205,2006-09-18,485.0,485.0,484.0,484.0,70367485867,3350983,8,484.0,484.0
206,2006-10-07,475.0,483.0,475.0,483.0,103034490,5010,2,484.0,483.0
207,2006-10-08,474.0,483.0,474.0,483.0,109023420,5310,3,483.0,483.0
208,2006-10-09,473.0,481.0,473.0,481.0,153770142,7503,2,483.0,481.0
209,2006-10-10,472.0,480.0,472.0,480.0,132269930,6470,3,481.0,480.0
210,2006-10-30,471.0,479.0,471.0,479.0,102202810,5010,2,480.0,479.0
211,2006-10-31,470.0,479.0,470.0,479.0,102037470,5010,4,479.0,479.0
212,2006-11-01,469.0,478.0,469.0,478.0,101872130,5010,2,479.0,478.0
213,2006-11-04,468.0,477.0,468.0,477.0,101701790,5010,3,478.0,477.0
214,2006-11-05,468.0,476.0,468.0,476.0,101536450,5010,3,477.0,476.0
215,2006-11-07,467.0,476.0,467.0,476.0,101371110,5010,2,476.0,476.0
216,2006-11-08,466.0,475.0,466.0,475.0,101200770,5010,3,476.0,475.0
217,2006-11-29,465.0,474.0,465.0,474.0,101035430,5010,2,475.0,474.0
218,2006-12-02,465.0,473.0,465.0,473.0,101035120,5010,3,474.0,473.0
219,2006-12-05,464.0,473.0,464.0,473.0,100714780,5010,2,473.0,473.0
220,2006-12-06,463.0,472.0,463.0,472.0,100549440,5010,7,473.0,472.0
221,2006-12-09,462.0,471.0,462.0,471.0,100384100,5010,2,472.0,471.0
222,2006-12-11,462.0,470.0,462.0,470.0,100213760,5010,2,471.0,470.0
223,2006-12-12,461.0,469.0,461.0,469.0,100048430,5010,4,470.0,469.0
