,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2004-09-20,1100.0,1100.0,1100.0,1100.0,7789650000,354075,252,1100.0,1100.0
1,2004-09-21,1155.0,1155.0,1102.0,1102.0,2604361066,118149,515,1100.0,1102.0
2,2004-09-22,1157.0,1157.0,1126.0,1126.0,324115150,14010,17,1102.0,1126.0
3,2004-09-26,1126.0,1127.0,1101.0,1120.0,505488828,22619,46,1126.0,1120.0
4,2004-09-27,1122.0,1122.0,1100.0,1106.0,544787190,24720,28,1120.0,1106.0
5,2004-09-28,1106.0,1106.0,1065.0,1105.0,36717510,1685,4,1106.0,1105.0
6,2004-09-29,1065.0,1104.0,1065.0,1104.0,15130830,710,2,1105.0,1104.0
7,2004-10-02,1050.0,1100.0,1050.0,1100.0,60468850,2879,7,1104.0,1100.0
8,2004-10-04,1045.0,1100.0,1045.0,1100.0,1201492,57,2,1100.0,1100.0
9,2004-10-05,1045.0,1106.0,1045.0,1071.0,640803386,29969,39,1100.0,1071.0
10,2004-10-06,1106.0,1106.0,1071.0,1071.0,1319710,60,3,1071.0,1071.0
11,2004-10-09,1100.0,1100.0,1071.0,1071.0,1204210,55,2,1071.0,1071.0
12,2004-10-10,1070.0,1070.0,1035.0,1068.0,61798360,2982,5,1071.0,1068.0
13,2004-10-11,1035.0,1071.0,1030.0,1067.0,163610377,7678,13,1068.0,1067.0
14,2004-10-12,1066.0,1067.0,1066.0,1067.0,64298840,3018,6,1067.0,1067.0
15,2004-10-13,1100.0,1100.0,1068.0,1068.0,25975640,1181,4,1067.0,1068.0
16,2004-10-16,1068.0,1068.0,1068.0,1068.0,5341000,250,1,1068.0,1068.0
17,2004-10-19,1068.0,1068.0,1068.0,1068.0,940016,44,1,1068.0,1068.0
18,2004-10-20,1100.0,1100.0,1069.0,1069.0,2720064,124,3,1068.0,1069.0
19,2004-10-24,1097.0,1122.0,1077.0,1077.0,169495111,7688,15,1069.0,1077.0
20,2004-10-25,1130.0,1131.0,1098.0,1098.0,288388224,12763,12,1077.0,1098.0
21,2004-10-26,1153.0,1153.0,1101.0,1101.0,47124970,2045,3,1098.0,1101.0
22,2004-10-27,1101.0,1101.0,1101.0,1101.0,3854025,175,3,1101.0,1101.0
23,2004-10-30,1104.0,1104.0,1101.0,1101.0,19559401,887,4,1101.0,1101.0
24,2004-10-31,1101.0,1125.0,1101.0,1117.0,503517817,22403,7,1101.0,1117.0
25,2004-11-01,1100.0,1117.0,1100.0,1117.0,9991340,454,2,1117.0,1117.0
26,2004-11-02,1061.0,1115.0,1061.0,1115.0,43634050,2006,4,1117.0,1115.0
27,2004-11-03,1099.0,1115.0,1098.0,1115.0,5343318,243,4,1115.0,1115.0
28,2004-11-06,1098.0,1115.0,1098.0,1115.0,5183610,236,2,1115.0,1115.0
29,2004-11-08,1059.0,1114.0,1059.0,1114.0,8839770,416,3,1115.0,1114.0
30,2004-11-13,1060.0,1114.0,1060.0,1114.0,5962160,274,3,1114.0,1114.0
31,2004-11-15,1059.0,1146.0,1059.0,1105.0,354318392,16170,18,1114.0,1105.0
32,2004-11-24,1105.0,1105.0,1105.0,1105.0,20056552,908,3,1105.0,1105.0
33,2005-01-03,1125.0,1125.0,1125.0,1125.0,44993000,2000,2,1105.0,1125.0
34,2005-01-05,1117.0,1125.0,1117.0,1125.0,17194200,770,4,1125.0,1125.0
35,2005-01-08,1110.0,1123.0,1110.0,1123.0,111224460,5010,5,1125.0,1123.0
36,2005-01-11,1066.0,1122.0,1066.0,1122.0,2207552,103,2,1123.0,1122.0
37,2005-01-19,1066.0,1121.0,1066.0,1121.0,19369460,908,3,1122.0,1121.0
38,2005-02-09,1065.0,1120.0,1065.0,1120.0,5674250,266,2,1121.0,1120.0
39,2005-02-27,1064.0,1064.0,1064.0,1064.0,10640500,500,1,1120.0,1064.0
40,2005-03-13,1011.0,1061.0,1011.0,1061.0,44790555,2215,4,1064.0,1061.0
41,2005-03-29,1008.0,1008.0,1008.0,1008.0,10073500,500,1,1061.0,1008.0
42,2005-04-10,957.0,957.0,957.0,957.0,532551360,27824,20,1008.0,957.0
43,2005-04-11,957.0,957.0,957.0,957.0,1148400,60,1,957.0,957.0
44,2005-04-17,1000.0,1005.0,959.0,959.0,20130019340,1001650,6,957.0,959.0
45,2005-04-23,959.0,1005.0,959.0,965.0,20249654320,1007700,5,959.0,965.0
46,2005-04-30,1007.0,1007.0,965.0,965.0,273512,14,2,965.0,965.0
47,2005-05-02,966.0,966.0,965.0,965.0,2123940,110,2,965.0,965.0
48,2005-05-10,970.0,970.0,965.0,965.0,4070940,210,2,965.0,965.0
49,2005-05-16,965.0,965.0,965.0,965.0,12869098,667,4,965.0,965.0
50,2005-06-06,965.0,965.0,965.0,965.0,4958301,257,1,965.0,965.0
51,2005-06-12,963.0,965.0,963.0,965.0,10126226,526,3,965.0,965.0
52,2005-06-18,961.0,965.0,961.0,965.0,3170150,165,2,965.0,965.0
53,2005-09-13,917.0,963.0,917.0,963.0,18519600,1010,5,965.0,963.0
54,2005-09-14,915.0,915.0,915.0,915.0,19251810648,1052184,11,963.0,915.0
55,2005-11-20,869.0,970.0,869.0,917.0,522456840,28484,13,915.0,917.0
