,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-21,615.0,615.0,615.0,615.0,29080000,1000,2,615.0,615.0
1,2001-04-24,615.0,615.0,615.0,615.0,28789200,990,1,615.0,615.0
2,2001-05-01,616.0,616.0,616.0,616.0,1338140,46,1,615.0,616.0
3,2001-05-06,616.0,616.0,616.0,616.0,5934156,204,1,616.0,616.0
4,2001-05-07,616.0,616.0,616.0,616.0,17744290,610,1,616.0,616.0
5,2001-05-13,616.0,616.0,616.0,616.0,15592257,536,3,616.0,616.0
6,2001-06-19,631.0,631.0,631.0,631.0,89451000,3000,1,616.0,631.0
7,2001-06-24,647.0,647.0,647.0,647.0,36674400,1200,1,631.0,647.0
8,2001-06-27,653.0,653.0,653.0,653.0,75624150,2450,1,647.0,653.0
9,2001-09-02,595.0,595.0,595.0,595.0,28100000,1000,1,653.0,595.0
10,2001-09-03,624.0,624.0,624.0,624.0,29505000,1000,6,595.0,624.0
11,2001-09-10,656.0,656.0,656.0,656.0,61960000,2000,1,624.0,656.0
12,2001-09-11,662.0,662.0,662.0,662.0,46933500,1500,1,656.0,662.0
13,2001-09-16,669.0,669.0,669.0,669.0,31601000,1000,6,662.0,669.0
14,2001-09-22,675.0,675.0,675.0,675.0,63961668,2004,2,669.0,675.0
15,2001-09-24,675.0,675.0,675.0,675.0,43151784,1352,2,675.0,675.0
16,2001-09-29,675.0,675.0,675.0,675.0,63834000,2000,1,675.0,675.0
17,2001-10-08,676.0,676.0,676.0,676.0,21388410,670,1,675.0,676.0
18,2001-10-10,676.0,676.0,676.0,676.0,59121396,1852,1,676.0,676.0
19,2001-10-23,676.0,676.0,676.0,676.0,31923000,1000,1,676.0,676.0
20,2002-05-18,1060.0,1293.0,1060.0,1293.0,660698750,11906,33,676.0,1293.0
21,2002-05-22,1306.0,1306.0,1306.0,1306.0,61716000,1000,3,1293.0,1306.0
22,2002-05-29,1319.0,1319.0,1319.0,1319.0,93499500,1500,2,1306.0,1319.0
23,2002-06-03,1332.0,1332.0,1332.0,1332.0,228525870,3630,6,1319.0,1332.0
24,2002-06-15,1319.0,1319.0,1319.0,1319.0,127753950,2050,11,1332.0,1319.0
25,2002-06-29,1306.0,1306.0,1306.0,1306.0,127710720,2070,8,1319.0,1306.0
26,2002-06-30,1306.0,1306.0,1306.0,1306.0,61696000,1000,1,1306.0,1306.0
27,2002-07-02,1306.0,1306.0,1306.0,1306.0,123420000,2000,1,1306.0,1306.0
28,2002-07-06,1306.0,1306.0,1306.0,1306.0,61717005,1000,2,1306.0,1306.0
29,2002-07-29,466.0,466.0,466.0,466.0,11000000,500,1,1306.0,466.0
30,2002-08-26,489.0,489.0,489.0,489.0,231000000,10000,1,466.0,489.0
31,2002-10-07,513.0,513.0,513.0,513.0,26680500,1100,6,489.0,513.0
32,2002-10-08,539.0,539.0,539.0,539.0,50934000,2000,1,513.0,539.0
33,2002-10-09,566.0,566.0,566.0,566.0,53480000,2000,1,539.0,566.0
34,2002-10-14,594.0,594.0,594.0,594.0,28077000,1000,2,566.0,594.0
35,2002-10-19,594.0,594.0,564.0,564.0,26815200,1000,2,594.0,564.0
36,2002-10-23,564.0,564.0,564.0,564.0,6161925,231,1,564.0,564.0
37,2002-11-10,564.0,564.0,564.0,564.0,533500,20,10,564.0,564.0
38,2002-11-20,565.0,565.0,565.0,565.0,40023334,1500,2,564.0,565.0
39,2002-12-08,635.0,635.0,635.0,635.0,30000000,1000,1,565.0,635.0
40,2002-12-11,635.0,635.0,635.0,635.0,9000000,300,1,635.0,635.0
41,2002-12-31,635.0,635.0,635.0,635.0,7500000,250,1,635.0,635.0
42,2003-01-11,635.0,635.0,635.0,635.0,15000000,500,1,635.0,635.0
43,2003-01-28,635.0,635.0,635.0,635.0,1200000,40,12,635.0,635.0
44,2003-02-04,649.0,649.0,649.0,649.0,30650000,1000,1,635.0,649.0
45,2003-02-10,649.0,649.0,649.0,649.0,2053550,67,1,649.0,649.0
46,2003-02-15,649.0,649.0,649.0,649.0,1011450,33,1,649.0,649.0
47,2003-03-10,647.0,648.0,647.0,648.0,22955650,750,4,649.0,648.0
48,2003-03-15,648.0,648.0,648.0,648.0,45040800,1470,1,648.0,648.0
49,2003-03-16,679.0,679.0,679.0,679.0,160500000,5000,1,648.0,679.0
50,2003-03-18,741.0,741.0,741.0,741.0,175000000,5000,1,679.0,741.0
51,2003-04-08,720.0,720.0,720.0,720.0,17003000,500,1,741.0,720.0
52,2003-06-15,756.0,756.0,756.0,756.0,17353116,486,1,720.0,756.0
53,2003-08-04,757.0,757.0,757.0,757.0,214530000,6000,1,756.0,757.0
54,2003-08-16,757.0,757.0,757.0,757.0,8223650,230,1,757.0,757.0
55,2003-08-19,757.0,757.0,757.0,757.0,7151000,200,1,757.0,757.0
56,2003-08-27,794.0,794.0,757.0,757.0,4728505,126,2,757.0,757.0
57,2003-08-30,794.0,794.0,757.0,757.0,2513527,67,2,757.0,757.0
58,2003-08-31,794.0,794.0,757.0,757.0,9458797,252,2,757.0,757.0
59,2003-09-08,794.0,794.0,757.0,757.0,20721397,552,2,757.0,757.0
60,2003-09-14,794.0,794.0,757.0,757.0,6063934,162,3,757.0,757.0
61,2003-09-16,757.0,757.0,757.0,757.0,85993170,2405,49,757.0,757.0
62,2003-09-22,757.0,757.0,757.0,757.0,96684146,2704,55,757.0,757.0
63,2003-09-28,757.0,757.0,757.0,757.0,81134872,2269,47,757.0,757.0
64,2003-09-30,757.0,757.0,757.0,757.0,16806690,470,2,757.0,757.0
65,2003-10-05,757.0,757.0,757.0,757.0,79746970,2230,3,757.0,757.0
66,2003-12-08,804.0,804.0,804.0,804.0,93824469,2469,50,757.0,804.0
67,2003-12-10,844.0,844.0,806.0,806.0,36291840,910,2,804.0,806.0
68,2004-01-05,846.0,846.0,807.0,807.0,19980470,500,2,806.0,807.0
69,2004-01-06,848.0,848.0,808.0,808.0,20808500,520,2,807.0,808.0
70,2004-01-07,849.0,849.0,810.0,810.0,39727967,991,3,808.0,810.0
71,2004-01-11,851.0,851.0,810.0,810.0,2554610,64,2,810.0,810.0
72,2004-01-18,851.0,851.0,813.0,813.0,40196880,1000,6,810.0,813.0
73,2004-01-24,853.0,853.0,816.0,816.0,56031210,1390,6,813.0,816.0
74,2004-01-31,856.0,856.0,821.0,821.0,89268684,2206,9,816.0,821.0
75,2004-02-15,862.0,1529.0,823.0,823.0,108416104840,1501010,4,821.0,823.0
76,2004-02-21,864.0,864.0,833.0,833.0,194326890,4760,50,823.0,833.0
77,2004-03-09,875.0,875.0,856.0,856.0,413984660,10010,10,833.0,856.0
78,2004-03-10,899.0,899.0,880.0,880.0,425263241,10009,5,856.0,880.0
79,2004-03-17,1270.0,1270.0,1058.0,1253.0,75492090,1275,8,880.0,1253.0
80,2004-03-29,1259.0,1259.0,1253.0,1253.0,44689280,753,8,1253.0,1253.0
81,2004-04-03,1253.0,1253.0,1253.0,1253.0,183600770,3100,8,1253.0,1253.0
82,2004-04-05,1253.0,1253.0,1253.0,1253.0,147978285,2499,1,1253.0,1253.0
83,2004-04-07,1253.0,1253.0,1253.0,1253.0,135661650,2291,14,1253.0,1253.0
84,2004-04-10,1301.0,1316.0,1276.0,1276.0,548895250,8830,3,1253.0,1276.0
85,2004-04-12,1316.0,1316.0,1276.0,1276.0,13036970,210,2,1276.0,1276.0
86,2004-04-14,1340.0,1340.0,1309.0,1309.0,1145460830,18360,9,1276.0,1309.0
87,2004-04-17,1316.0,1354.0,1253.0,1311.0,73853475,1160,4,1309.0,1311.0
88,2004-04-18,1333.0,1333.0,1311.0,1311.0,16117680,256,2,1311.0,1311.0
89,2004-04-25,1375.0,1375.0,1324.0,1324.0,325625900,5010,2,1311.0,1324.0
90,2004-05-04,1375.0,1375.0,1337.0,1337.0,390631830,6010,10,1324.0,1337.0
91,2004-05-10,1337.0,1337.0,1337.0,1337.0,125165523,1981,1,1337.0,1337.0
92,2004-05-17,1338.0,1338.0,1337.0,1337.0,3919374,62,2,1337.0,1337.0
93,2004-06-08,434.0,434.0,434.0,434.0,20500000,1000,1,1337.0,434.0
94,2004-06-09,434.0,434.0,434.0,434.0,4306000,210,2,434.0,434.0
95,2004-06-21,455.0,455.0,435.0,435.0,95123657620,4419218,3,434.0,435.0
96,2004-07-19,456.0,456.0,435.0,435.0,4519300,210,2,435.0,435.0
97,2004-08-07,457.0,457.0,439.0,439.0,97303890,4510,5,435.0,439.0
98,2004-08-16,461.0,461.0,443.0,443.0,109084510,5010,3,439.0,443.0
99,2004-08-18,465.0,465.0,465.0,465.0,536751200,24400,3,443.0,465.0
100,2004-08-23,489.0,489.0,480.0,480.0,346681740,15010,3,465.0,480.0
101,2004-08-29,504.0,504.0,482.0,482.0,43461092,1826,2,480.0,482.0
102,2004-09-01,506.0,506.0,486.0,486.0,107757180,4510,4,482.0,486.0
103,2004-09-04,506.0,506.0,503.0,503.0,499908940,20908,66,486.0,503.0
