,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2007-11-27,17.0,17.0,17.0,17.0,12463556550,2468031,415,0.0,17.0
1,2007-11-28,17.0,17.0,16.0,16.0,426597249,86109,25,17.0,16.0
2,2007-12-01,17.0,17.0,17.0,17.0,151999134,30101,9,16.0,17.0
3,2007-12-02,17.0,17.0,17.0,17.0,2442150,486,1,17.0,17.0
4,2007-12-08,17.0,17.0,17.0,17.0,158988600,31410,28,17.0,17.0
5,2007-12-09,17.0,17.0,17.0,17.0,220615290,43010,7,17.0,17.0
6,2007-12-12,17.0,17.0,17.0,17.0,25701290,5010,4,17.0,17.0
7,2007-12-22,17.0,17.0,17.0,17.0,5129000,1000,1,17.0,17.0
8,2007-12-23,17.0,17.0,17.0,17.0,25645000,5000,1,17.0,17.0
9,2007-12-25,17.0,17.0,17.0,17.0,18837540,3602,3,17.0,17.0
10,2007-12-26,17.0,17.0,17.0,17.0,52451640,10010,2,17.0,17.0
11,2007-12-30,17.0,17.0,17.0,17.0,210680000,40000,5,17.0,17.0
12,2007-12-31,18.0,18.0,18.0,18.0,355357800,66150,17,17.0,18.0
13,2008-01-01,18.0,18.0,18.0,18.0,860203000,157000,48,18.0,18.0
14,2008-01-02,18.0,18.0,18.0,18.0,1257300000,225000,55,18.0,18.0
15,2008-01-05,19.0,19.0,19.0,19.0,2147541779,376865,113,18.0,19.0
16,2008-01-06,19.0,19.0,19.0,19.0,54101460,9490,4,19.0,19.0
17,2008-01-08,19.0,19.0,18.0,19.0,11857690,2121,4,19.0,19.0
18,2008-01-09,18.0,19.0,18.0,19.0,582027775,103415,32,19.0,19.0
19,2008-01-12,19.0,19.0,19.0,19.0,80116870,14230,4,19.0,19.0
20,2008-01-13,18.0,19.0,18.0,19.0,60772990,11010,8,19.0,19.0
21,2008-01-16,18.0,18.0,18.0,18.0,225008000,41000,14,19.0,18.0
22,2008-01-20,18.0,18.0,18.0,18.0,230065209,42771,17,18.0,18.0
23,2008-01-26,17.0,18.0,17.0,18.0,13410020,2542,6,18.0,18.0
24,2008-01-27,17.0,18.0,17.0,18.0,26378590,5010,3,18.0,18.0
25,2008-01-28,17.0,18.0,17.0,18.0,10000828,1904,2,18.0,18.0
