,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2004-08-07,143.0,143.0,138.0,141.0,8558429474,399565,318,143.0,141.0
1,2004-08-08,148.0,148.0,147.0,147.0,2258906815,100445,58,141.0,147.0
2,2004-08-11,155.0,155.0,155.0,155.0,3807812840,161828,109,147.0,155.0
3,2004-08-14,163.0,163.0,163.0,163.0,9354531604,378634,96,155.0,163.0
4,2004-08-15,171.0,171.0,171.0,171.0,3692234412,142332,122,163.0,171.0
5,2004-08-16,171.0,179.0,89.0,171.0,10415279250,475466,624,171.0,171.0
6,2004-08-17,164.0,167.0,162.0,167.0,1513914144,60807,57,171.0,167.0
7,2004-08-18,164.0,166.0,159.0,166.0,214489764,8857,9,167.0,166.0
8,2004-08-21,158.0,163.0,158.0,163.0,1125841310,46905,48,166.0,163.0
9,2004-08-22,157.0,161.0,154.0,161.0,693641302,29188,25,163.0,161.0
10,2004-08-23,154.0,161.0,154.0,161.0,151131414,6434,10,161.0,161.0
11,2004-08-24,158.0,160.0,158.0,160.0,29819094,1243,5,161.0,160.0
12,2004-08-25,158.0,160.0,158.0,160.0,171758022,7157,13,160.0,160.0
13,2004-08-28,160.0,164.0,159.0,161.0,750235010,30203,14,160.0,161.0
14,2004-08-29,161.0,161.0,161.0,161.0,250346224,10218,6,161.0,161.0
15,2004-08-31,161.0,161.0,161.0,161.0,186934990,7630,5,161.0,161.0
16,2004-09-01,161.0,162.0,161.0,161.0,439675920,17879,14,161.0,161.0
17,2004-09-04,162.0,163.0,161.0,161.0,101263465,4096,7,161.0,161.0
18,2004-09-05,163.0,163.0,161.0,161.0,59456162,2402,6,161.0,161.0
19,2004-09-06,161.0,161.0,161.0,161.0,24921763070,1015970,23,161.0,161.0
20,2004-09-07,161.0,161.0,161.0,161.0,49340127470,2011010,9,161.0,161.0
21,2004-09-08,161.0,161.0,161.0,161.0,25974540040,1058460,11,161.0,161.0
22,2004-09-11,161.0,162.0,161.0,161.0,462789892,18849,11,161.0,161.0
23,2004-09-12,161.0,161.0,161.0,161.0,388139606,15820,8,161.0,161.0
24,2004-09-14,161.0,161.0,161.0,161.0,18927890,771,3,161.0,161.0
25,2004-09-15,161.0,161.0,158.0,161.0,61657210,2567,3,161.0,161.0
26,2004-09-18,158.0,161.0,158.0,161.0,132537940,5522,6,161.0,161.0
27,2004-09-19,161.0,161.0,161.0,161.0,303074140,12360,8,161.0,161.0
