,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-17,1204.0,1204.0,1204.0,1204.0,550000,500,1,1204.0,1204.0
1,2001-04-18,1204.0,1204.0,1204.0,1204.0,5108400,4644,5,1204.0,1204.0
2,2001-04-21,1215.0,1215.0,1215.0,1215.0,8880000,8000,5,1204.0,1215.0
3,2001-04-23,1226.0,1226.0,1226.0,1226.0,1120000,1000,1,1215.0,1226.0
4,2001-04-25,1229.0,1229.0,1229.0,1229.0,2244000,2000,2,1226.0,1229.0
5,2001-04-28,1235.0,1237.0,1234.0,1237.0,10151000,9000,5,1229.0,1237.0
6,2001-04-30,1256.0,1290.0,1254.0,1290.0,8052000,7000,5,1237.0,1290.0
7,2001-05-01,1293.0,1293.0,1292.0,1292.0,8265000,7000,3,1290.0,1292.0
8,2001-05-06,1298.0,1298.0,1298.0,1298.0,2429250,2050,1,1292.0,1298.0
9,2001-05-07,1296.0,1296.0,1296.0,1296.0,2249600,1900,1,1298.0,1296.0
10,2001-05-09,1296.0,1296.0,1296.0,1296.0,118400,100,1,1296.0,1296.0
11,2001-05-21,1295.0,1296.0,1295.0,1296.0,9598240,8110,6,1296.0,1296.0
12,2001-05-23,1300.0,1300.0,1296.0,1296.0,19319200,16300,10,1296.0,1296.0
13,2001-05-26,1361.0,1361.0,1361.0,1361.0,870100,700,3,1296.0,1361.0
14,2001-05-29,1429.0,1429.0,1429.0,1429.0,3915000,3000,2,1361.0,1429.0
15,2001-06-02,1478.0,1478.0,1478.0,1478.0,2700000,2000,3,1429.0,1478.0
16,2001-06-03,1481.0,1481.0,1480.0,1480.0,6763000,5000,3,1478.0,1480.0
17,2001-06-06,1423.0,1478.0,1423.0,1478.0,7330000,5600,3,1480.0,1478.0
18,2001-06-16,1405.0,1478.0,1405.0,1478.0,53586822,40000,12,1478.0,1478.0
19,2001-06-17,1477.0,1478.0,1476.0,1478.0,103862398,77000,16,1478.0,1478.0
20,2001-06-20,1477.0,1477.0,1477.0,1477.0,1349000,1000,1,1478.0,1477.0
