,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-07-14,1716.0,1716.0,1716.0,1716.0,2743597500000,130647500,2835642,82.0,1716.0
1,2021-07-26,2402.0,2522.0,2402.0,2414.0,1100291841060,43441127,66298,1716.0,2522.0
2,2021-07-27,2534.0,2534.0,2534.0,2534.0,67556202580,2540662,36236,2414.0,2534.0
3,2021-07-28,2660.0,2660.0,2660.0,2660.0,85250899630,3054493,45714,2534.0,2660.0
4,2021-07-31,2793.0,2793.0,2793.0,2793.0,82287467800,2808446,37527,2660.0,2793.0
5,2021-08-01,2932.0,2932.0,2932.0,2932.0,102981034880,3347888,53940,2793.0,2932.0
6,2021-08-02,3078.0,3078.0,3078.0,3078.0,157961259240,4891956,81364,2932.0,3078.0
7,2021-08-03,3231.0,3231.0,3231.0,3231.0,111292445700,3282963,49260,3078.0,3231.0
8,2021-08-04,3392.0,3392.0,3392.0,3392.0,180206512770,5063403,56912,3231.0,3392.0
9,2021-08-07,3561.0,3561.0,3561.0,3561.0,1491191672640,39914124,123697,3392.0,3561.0
10,2021-08-08,3738.0,3738.0,3738.0,3738.0,392847561420,10016511,44318,3561.0,3738.0
11,2021-08-10,3925.0,3925.0,3925.0,3925.0,256437001960,6227222,78722,3738.0,3925.0
12,2021-08-11,4120.0,4120.0,4120.0,4120.0,212521317030,4916061,88738,3925.0,4120.0
13,2021-08-14,4326.0,4326.0,4326.0,4326.0,235680448770,5192343,47100,4120.0,4326.0
14,2021-08-15,4542.0,4542.0,4542.0,4542.0,282488260000,5928400,39323,4326.0,4542.0
15,2021-08-22,4769.0,4769.0,4315.0,4769.0,4669579928940,93337129,261312,4542.0,4769.0
16,2021-08-23,4860.0,5007.0,4813.0,4982.0,1096577214580,20978626,83715,4769.0,5007.0
17,2021-08-24,5230.0,5231.0,5075.0,5217.0,2279906063290,41658412,159282,4982.0,5203.0
18,2021-08-25,5240.0,5404.0,4999.0,5239.0,1209739878950,22005328,153235,5217.0,5219.0
19,2021-08-28,5271.0,5501.0,5253.0,5482.0,1066004672400,18535925,37698,5239.0,5499.0
20,2021-08-29,5528.0,5648.0,5242.0,5462.0,1021786921880,17828141,73163,5482.0,5338.0
21,2021-08-30,5252.0,5490.0,5190.0,5238.0,772100820110,14051214,39537,5462.0,5190.0
22,2021-08-31,5053.0,5392.0,4981.0,5188.0,832378441460,15292381,49462,5238.0,5233.0
23,2021-09-01,5290.0,5447.0,5163.0,5397.0,314703368040,5558081,18885,5188.0,5447.0
24,2021-09-04,5666.0,5666.0,5666.0,5666.0,113744258200,1913276,8819,5397.0,5666.0
25,2021-09-07,5950.0,5950.0,5950.0,5950.0,219799046640,3521292,28605,5666.0,5950.0
26,2021-09-08,6052.0,6195.0,5956.0,6045.0,1283684704470,20242244,137014,5950.0,5979.0
27,2021-09-11,6165.0,6344.0,5845.0,6064.0,531499584510,8354563,32783,6045.0,5957.0
28,2021-09-12,5825.0,6069.0,5761.0,5819.0,519426033800,8507940,28641,6064.0,5843.0
29,2021-09-13,5703.0,6110.0,5701.0,6038.0,977551313420,15430277,36195,5819.0,6110.0
30,2021-09-14,6187.0,6243.0,5958.0,6091.0,537451008370,8411227,47563,6038.0,6048.0
31,2021-09-15,6071.0,6071.0,5814.0,5899.0,426197962590,6886582,61309,6091.0,5834.0
32,2021-09-18,5790.0,5890.0,5605.0,5628.0,766293497350,12977643,14821,5899.0,5605.0
33,2021-09-19,5485.0,5743.0,5347.0,5449.0,638185486300,11162129,17517,5628.0,5500.0
34,2021-09-20,5608.0,5721.0,5467.0,5690.0,540248197460,9049639,15798,5449.0,5717.0
35,2021-09-21,5719.0,5804.0,5410.0,5515.0,330226069170,5706968,13249,5690.0,5540.0
36,2021-09-22,5617.0,5727.0,5347.0,5558.0,351498881990,6028562,15067,5515.0,5583.0
37,2021-09-25,5538.0,5721.0,5489.0,5581.0,166556796140,2844907,14792,5558.0,5582.0
38,2021-09-26,5624.0,5624.0,5388.0,5466.0,300589016310,5241011,12639,5581.0,5585.0
39,2021-09-28,5567.0,5700.0,5481.0,5571.0,141765046410,2425236,10079,5466.0,5619.0
40,2021-09-29,5528.0,5681.0,5502.0,5573.0,168359979770,2879610,9553,5571.0,5628.0
41,2021-10-02,5624.0,5702.0,5451.0,5527.0,241520073200,4165002,10935,5573.0,5481.0
42,2021-10-03,5545.0,5545.0,5340.0,5440.0,195696352770,3429099,8488,5527.0,5407.0
43,2021-10-04,5385.0,5711.0,5329.0,5580.0,378996136240,6474426,10888,5440.0,5709.0
44,2021-10-06,5719.0,5858.0,5690.0,5826.0,379954275060,6216149,9029,5580.0,5795.0
45,2021-10-09,5812.0,5812.0,5535.0,5578.0,213425763260,3646793,5888,5826.0,5535.0
46,2021-10-10,5434.0,5620.0,5329.0,5444.0,127693101420,2235699,6844,5578.0,5480.0
47,2021-10-11,5480.0,5625.0,5414.0,5472.0,91570089290,1595025,5705,5444.0,5444.0
48,2021-10-12,5422.0,5444.0,5199.0,5252.0,193691544880,3515222,5198,5472.0,5223.0
49,2021-10-13,5321.0,5321.0,5005.0,5099.0,240863509400,4502392,5038,5252.0,5157.0
50,2021-10-16,5196.0,5354.0,5196.0,5339.0,368539391700,6580459,6043,5099.0,5333.0
51,2021-10-17,5354.0,5354.0,5072.0,5121.0,299012337100,5565135,5394,5339.0,5072.0
52,2021-10-18,5123.0,5133.0,4910.0,5035.0,117884008290,2231949,4782,5121.0,5051.0
53,2021-10-19,5052.0,5286.0,5052.0,5268.0,182375385560,3299963,5632,5035.0,5286.0
54,2021-10-20,5430.0,5493.0,5316.0,5427.0,218294857690,3833658,4931,5268.0,5427.0
55,2021-10-23,5462.0,5462.0,5157.0,5178.0,278055294440,5118035,2421,5427.0,5157.0
56,2021-10-25,5128.0,5194.0,5042.0,5088.0,113496000680,2126241,5220,5178.0,5053.0
57,2021-10-26,5014.0,5252.0,4994.0,5124.0,101642560260,1890541,4285,5088.0,5185.0
58,2021-10-27,5185.0,5301.0,5053.0,5195.0,111162983340,2039833,4157,5124.0,5222.0
59,2021-11-01,5290.0,5290.0,5028.0,5085.0,142030892910,2662122,4495,5195.0,5045.0
60,2021-11-02,5044.0,5339.0,4957.0,5290.0,245633679540,4425748,5410,5085.0,5309.0
61,2021-11-03,5296.0,5523.0,5166.0,5425.0,254178162860,4465543,4592,5290.0,5455.0
62,2021-11-06,5505.0,5690.0,5353.0,5585.0,278317734440,4749113,5731,5425.0,5465.0
63,2021-11-07,5465.0,5525.0,5306.0,5343.0,206083420270,3675807,3973,5585.0,5306.0
64,2021-11-08,5242.0,5458.0,5134.0,5238.0,169988228760,3093578,4749,5343.0,5214.0
65,2021-11-09,5239.0,5404.0,5239.0,5307.0,116248043560,2087708,4393,5238.0,5338.0
66,2021-11-10,5313.0,5572.0,5302.0,5479.0,219841258300,3824571,4676,5307.0,5572.0
67,2021-11-13,5609.0,5889.0,5605.0,5765.0,785554384140,12989111,6599,5479.0,5700.0
68,2021-11-14,5769.0,5804.0,5477.0,5579.0,547441797140,9353115,7362,5765.0,5477.0
69,2021-11-15,5518.0,5575.0,5301.0,5402.0,152693557950,2693731,3929,5579.0,5449.0
70,2021-11-16,5402.0,5653.0,5314.0,5564.0,259472812120,4445034,4517,5402.0,5569.0
71,2021-11-17,5651.0,5841.0,5588.0,5808.0,655943057990,10764592,13210,5564.0,5841.0
72,2021-11-20,5808.0,5957.0,5626.0,5763.0,322047628950,5326486,4586,5808.0,5741.0
73,2021-11-21,5643.0,5986.0,5643.0,5846.0,302221215480,4927662,4423,5763.0,5986.0
74,2021-11-22,5988.0,6136.0,5910.0,6045.0,352038064840,5550589,4932,5846.0,5999.0
75,2021-11-23,5944.0,6051.0,5922.0,5965.0,148568601170,2373905,5113,6045.0,6042.0
76,2021-11-24,6041.0,6143.0,5917.0,6028.0,320490174960,5067914,4237,5965.0,5971.0
77,2021-11-27,5834.0,5971.0,5727.0,5762.0,247481885530,4094286,3320,6028.0,5811.0
78,2021-11-28,5727.0,5871.0,5727.0,5817.0,92787944270,1520372,3026,5762.0,5814.0
79,2021-11-29,5890.0,5890.0,5720.0,5799.0,76419181350,1256054,2484,5817.0,5731.0
80,2021-11-30,5719.0,5720.0,5509.0,5546.0,288140726820,4951369,3190,5799.0,5509.0
81,2021-12-01,5438.0,5761.0,5290.0,5455.0,125072175000,2185308,2805,5546.0,5539.0
82,2021-12-04,5519.0,5528.0,5242.0,5303.0,106056468020,1906015,3031,5455.0,5257.0
83,2021-12-05,5261.0,5562.0,5261.0,5437.0,68270373350,1196936,2536,5303.0,5404.0
84,2021-12-06,5462.0,5585.0,5299.0,5497.0,45196164430,783719,2286,5437.0,5462.0
85,2021-12-07,5700.0,5700.0,5502.0,5582.0,134091966260,2289719,2618,5497.0,5595.0
86,2021-12-08,5509.0,5804.0,5509.0,5640.0,153593882730,2595731,3087,5582.0,5719.0
87,2021-12-11,5776.0,5814.0,5722.0,5747.0,126573164120,2099321,2691,5640.0,5812.0
88,2021-12-12,5811.0,5880.0,5747.0,5787.0,124359082710,2048275,2553,5747.0,5753.0
89,2021-12-13,5787.0,5812.0,5498.0,5590.0,239600068890,4085198,2404,5787.0,5498.0
90,2021-12-14,5584.0,5709.0,5397.0,5574.0,85482561850,1461725,2168,5590.0,5491.0
91,2021-12-15,5442.0,5719.0,5442.0,5568.0,71893435450,1230651,2053,5574.0,5624.0
92,2021-12-18,5462.0,5714.0,5380.0,5461.0,130759815370,2282396,2610,5568.0,5433.0
93,2021-12-19,5462.0,5462.0,5290.0,5346.0,42203902100,752494,1663,5461.0,5354.0
94,2021-12-20,5433.0,5519.0,5320.0,5373.0,51270393620,909608,2024,5346.0,5447.0
95,2021-12-21,5404.0,5641.0,5339.0,5612.0,100243337890,1702531,1917,5373.0,5641.0
96,2021-12-22,5892.0,5892.0,5892.0,5892.0,210407028260,3403543,1502,5612.0,5892.0
97,2021-12-25,5938.0,6094.0,5682.0,5829.0,206037222350,3368739,3683,5892.0,5737.0
98,2021-12-26,5652.0,5852.0,5652.0,5778.0,220097758010,3630770,2727,5829.0,5845.0
99,2021-12-27,5747.0,5948.0,5701.0,5823.0,108326272660,1773189,2620,5778.0,5814.0
100,2021-12-28,5719.0,5824.0,5691.0,5736.0,59817957760,994023,2029,5823.0,5719.0
101,2021-12-29,5791.0,5791.0,5659.0,5702.0,130975326610,2189404,2173,5736.0,5719.0
102,2022-01-01,5719.0,5805.0,5614.0,5714.0,104276056240,1739409,1938,5702.0,5719.0
103,2022-01-02,5671.0,5852.0,5671.0,5765.0,71272472900,1178499,2020,5714.0,5776.0
104,2022-01-03,5728.0,5809.0,5610.0,5678.0,36516329230,613009,1845,5765.0,5690.0
105,2022-01-04,5662.0,5770.0,5495.0,5604.0,47268386320,803998,1752,5678.0,5690.0
106,2022-01-05,5581.0,5690.0,5576.0,5604.0,36051706530,613206,1524,5604.0,5622.0
107,2022-01-08,5624.0,5747.0,5567.0,5621.0,70408620180,1193943,2006,5604.0,5567.0
108,2022-01-09,5595.0,5605.0,5385.0,5476.0,132673915820,2309380,2023,5621.0,5528.0
109,2022-01-10,5519.0,5623.0,5433.0,5512.0,54119582630,935876,1776,5476.0,5519.0
110,2022-01-11,5481.0,5605.0,5433.0,5512.0,50643678570,875771,1605,5512.0,5499.0
111,2022-01-12,5766.0,5788.0,5577.0,5762.0,831486575190,13754420,4711,5512.0,5714.0
112,2022-01-15,5700.0,5719.0,5514.0,5581.0,113076158870,1931433,2280,5762.0,5601.0
113,2022-01-16,5528.0,5671.0,5462.0,5529.0,35153996300,606025,1718,5581.0,5536.0
114,2022-01-17,5605.0,5709.0,5366.0,5487.0,72678778420,1262508,1955,5529.0,5389.0
115,2022-01-18,5395.0,5519.0,5214.0,5272.0,130897106060,2366757,2174,5487.0,5288.0
116,2022-01-19,5289.0,5535.0,5242.0,5491.0,132320791200,2296676,2304,5272.0,5535.0
117,2022-01-22,5614.0,5614.0,5338.0,5448.0,75352149110,1318326,2090,5491.0,5433.0
118,2022-01-23,5271.0,5527.0,5177.0,5219.0,158245954620,2889843,1929,5448.0,5214.0
119,2022-01-24,5147.0,5442.0,5147.0,5265.0,6932101300,123070,189,5219.0,5431.0
120,2022-01-26,5336.0,5338.0,5104.0,5265.0,234201263600,4239599,2279,5265.0,5284.0
121,2022-02-12,5612.0,5661.0,5447.0,5570.0,238648367400,12185344,1161,5265.0,5550.0
122,2022-02-13,5658.0,5845.0,5342.0,5729.0,524943459720,26059251,6987,5570.0,5743.0
123,2022-02-14,5746.0,5865.0,5575.0,5709.0,174097518660,8674863,3711,5729.0,5746.0
124,2022-02-16,5817.0,5993.0,5700.0,5877.0,328639837670,15909069,5246,5709.0,5806.0
125,2022-02-19,5700.0,5939.0,5700.0,5831.0,152442890350,7436709,3401,5877.0,5860.0
126,2022-02-20,5760.0,5931.0,5700.0,5769.0,96883049140,4777830,2123,5831.0,5712.0
127,2022-02-21,5646.0,5845.0,5638.0,5737.0,128915244030,6391943,2896,5769.0,5689.0
128,2022-02-22,5689.0,5737.0,5453.0,5481.0,390520506780,20261262,4012,5737.0,5453.0
129,2022-02-23,5376.0,5530.0,5305.0,5390.0,135202550750,7134608,2986,5481.0,5405.0
130,2022-02-26,5225.0,5390.0,5123.0,5166.0,161438950790,8890943,3070,5390.0,5171.0
131,2022-02-27,5123.0,5422.0,5123.0,5376.0,101999273090,5396253,2899,5166.0,5416.0
132,2022-02-28,5510.0,5510.0,5242.0,5376.0,57111247270,3021069,1792,5376.0,5345.0
133,2022-03-02,5251.0,5405.0,5211.0,5268.0,39910053740,2154550,1647,5376.0,5262.0
134,2022-03-05,5183.0,5399.0,5120.0,5197.0,59878712420,3276602,2501,5268.0,5140.0
135,2022-03-06,5311.0,5456.0,5188.0,5424.0,139065480950,7291260,3283,5197.0,5456.0
136,2022-03-07,5695.0,5695.0,5424.0,5635.0,209323369430,10565557,3278,5424.0,5461.0
137,2022-03-08,5433.0,5581.0,5376.0,5484.0,73732783600,3823527,1900,5635.0,5405.0
138,2022-03-09,5356.0,5581.0,5356.0,5493.0,55644482630,2881495,2098,5484.0,5479.0
139,2022-03-12,5433.0,5456.0,5262.0,5387.0,32266122020,1703965,1381,5493.0,5385.0
140,2022-03-13,5376.0,5561.0,5234.0,5461.0,52799824350,2750050,1650,5387.0,5393.0
141,2022-03-14,5393.0,5521.0,5353.0,5427.0,27967514060,1465807,1363,5461.0,5362.0
142,2022-03-15,5291.0,5433.0,5291.0,5390.0,80818481230,4264387,1459,5427.0,5407.0
143,2022-03-16,5376.0,5376.0,5123.0,5163.0,398236519760,21947436,5162,5390.0,5237.0
144,2022-03-19,5242.0,5242.0,5112.0,5168.0,153621557190,8454270,2766,5163.0,5186.0
145,2022-03-26,5333.0,5333.0,5123.0,5166.0,93275709370,5136668,2511,5168.0,5180.0
146,2022-03-27,5203.0,5362.0,5168.0,5302.0,83902369720,4501819,2836,5166.0,5316.0
147,2022-03-28,5291.0,5405.0,5228.0,5294.0,149999382950,8059014,3349,5302.0,5333.0
148,2022-03-29,5405.0,5405.0,5205.0,5265.0,170105076480,9191322,3224,5294.0,5262.0
149,2022-03-30,5220.0,5336.0,5171.0,5271.0,85813453090,4631164,2588,5265.0,5291.0
150,2022-04-03,5288.0,5510.0,5288.0,5433.0,146932218160,7691831,3460,5271.0,5447.0
151,2022-04-04,5518.0,5547.0,5163.0,5299.0,240815494700,12924621,3885,5433.0,5291.0
152,2022-04-05,5299.0,5376.0,5228.0,5305.0,107841156760,5781338,2841,5299.0,5331.0
153,2022-04-06,5308.0,5393.0,5168.0,5231.0,150401328920,8178209,3475,5305.0,5211.0
154,2022-04-09,5194.0,5490.0,5180.0,5427.0,241843953380,12674823,3782,5231.0,5490.0
155,2022-04-10,5518.0,5675.0,5450.0,5535.0,184109602160,9459060,3756,5427.0,5493.0
156,2022-04-11,5490.0,5493.0,5376.0,5422.0,102410518990,5372135,3397,5535.0,5376.0
157,2022-04-12,5365.0,5402.0,5177.0,5279.0,107057166120,5768997,2297,5422.0,5316.0
158,2022-04-13,5237.0,5513.0,5237.0,5416.0,75448817290,3961849,2253,5279.0,5396.0
159,2022-04-16,5413.0,5686.0,5405.0,5626.0,396752594000,20062951,4954,5416.0,5683.0
160,2022-04-17,5692.0,5791.0,5524.0,5663.0,194761603100,9782035,3382,5626.0,5618.0
161,2022-04-18,5663.0,5743.0,5521.0,5629.0,233356718890,11794075,3965,5663.0,5567.0
162,2022-04-19,5626.0,5908.0,5476.0,5857.0,528916078490,25682256,4869,5629.0,5908.0
163,2022-04-20,6099.0,6147.0,5945.0,6101.0,760877723500,35466613,9139,5857.0,6045.0
164,2022-04-24,6101.0,6406.0,5991.0,6360.0,729905591810,32644607,8119,6101.0,6406.0
165,2022-04-25,6514.0,6636.0,6320.0,6454.0,521964070210,23004626,8492,6360.0,6355.0
166,2022-04-26,6431.0,6542.0,6258.0,6403.0,412975144730,18344443,8456,6454.0,6511.0
167,2022-04-27,6542.0,6676.0,6409.0,6579.0,364225104980,15746902,8321,6403.0,6662.0
168,2022-04-30,6707.0,6884.0,6619.0,6756.0,354013608780,14908092,6861,6579.0,6650.0
169,2022-05-01,6685.0,6687.0,6420.0,6483.0,408632501520,17933227,8011,6756.0,6420.0
170,2022-05-02,6454.0,6793.0,6261.0,6574.0,315745600130,13663331,5974,6483.0,6594.0
171,2022-05-07,6798.0,6798.0,6579.0,6670.0,219262606640,9351438,4785,6574.0,6599.0
172,2022-05-08,6599.0,6662.0,6485.0,6545.0,223584023910,9715303,4626,6670.0,6540.0
173,2022-05-09,6545.0,6770.0,6429.0,6582.0,358309459110,15484243,5858,6545.0,6457.0
174,2022-05-10,6565.0,6909.0,6471.0,6830.0,366978533130,15287573,4017,6582.0,6909.0
175,2022-05-11,7171.0,7171.0,7171.0,7171.0,179166033030,7106943,1425,6830.0,7171.0
176,2022-05-14,7529.0,7529.0,7529.0,7529.0,303488423310,11465373,1534,7171.0,7529.0
177,2022-05-16,7157.0,7236.0,6926.0,7071.0,786308396560,31627592,11439,7529.0,7023.0
178,2022-05-17,6719.0,6884.0,6719.0,6736.0,1493078731950,63059901,12989,7071.0,6719.0
179,2022-05-18,6599.0,6969.0,6585.0,6833.0,374603612780,15593415,8845,6736.0,6807.0
180,2022-05-21,6807.0,7003.0,6599.0,6841.0,280514414400,11663255,5600,6833.0,6770.0
181,2022-05-22,6773.0,6969.0,6594.0,6750.0,311289593620,13115672,6030,6841.0,6639.0
182,2022-05-23,6639.0,6682.0,6414.0,6437.0,537734352290,23760652,4698,6750.0,6414.0
183,2022-05-24,6286.0,6503.0,6190.0,6261.0,294444406280,13378374,5394,6437.0,6363.0
184,2022-05-25,6514.0,6574.0,6363.0,6537.0,542562448080,23607635,6693,6261.0,6542.0
185,2022-05-30,6484.0,6484.0,6159.0,6277.0,108589838630,5098160,1936,6537.0,6168.0
186,2022-05-31,6145.0,6572.0,6042.0,6351.0,149855861820,6955023,3928,6277.0,6454.0
187,2022-06-01,6484.0,6510.0,6189.0,6327.0,166190663090,7740824,3525,6351.0,6266.0
188,2022-06-06,6204.0,6221.0,6012.0,6024.0,354234760830,17332760,3819,6327.0,6012.0
189,2022-06-07,5950.0,6180.0,5865.0,6047.0,136317907370,6643393,2706,6024.0,6045.0
190,2022-06-08,6130.0,6192.0,6000.0,6092.0,111147536830,5376346,2448,6047.0,6027.0
191,2022-06-11,5986.0,6124.0,5897.0,5950.0,105078885290,5204523,2467,6092.0,5924.0
192,2022-06-12,5950.0,6118.0,5894.0,6027.0,150070716390,7338368,2884,5950.0,6062.0
193,2022-06-13,6065.0,6304.0,6056.0,6148.0,111845124410,5361771,2633,6027.0,6098.0
194,2022-06-14,6159.0,6183.0,5980.0,6059.0,104943497520,5104544,2319,6148.0,5989.0
195,2022-06-15,5980.0,6101.0,5935.0,6009.0,92441075520,4533489,2337,6059.0,6039.0
196,2022-06-18,6015.0,6177.0,5986.0,6059.0,105570273870,5135387,2190,6009.0,6071.0
