,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2008-07-27,449.0,449.0,446.0,447.0,162397182007,20280000,5282,449.0,447.0
1,2008-07-28,460.0,460.0,459.0,459.0,997969310,121010,85,447.0,459.0
2,2008-07-29,473.0,473.0,461.0,461.0,109435850,12910,10,459.0,461.0
3,2008-08-02,474.0,474.0,470.0,470.0,778867500,91610,61,461.0,470.0
4,2008-08-03,484.0,484.0,447.0,482.0,64387864779,7474389,3173,470.0,482.0
5,2008-08-04,467.0,482.0,467.0,473.0,25639588079,3025612,1192,482.0,473.0
6,2008-08-05,480.0,487.0,473.0,482.0,13030416459,1506940,672,473.0,482.0
7,2008-08-06,475.0,475.0,468.0,468.0,5984253450,712676,344,482.0,468.0
8,2008-08-09,468.0,468.0,455.0,460.0,3859284005,467675,258,468.0,460.0
9,2008-08-10,473.0,474.0,465.0,473.0,6641056208,782922,341,460.0,473.0
10,2008-08-11,473.0,473.0,461.0,463.0,2055120477,247682,136,473.0,463.0
11,2008-08-12,459.0,463.0,458.0,460.0,3206751892,388701,205,463.0,460.0
12,2008-08-13,458.0,461.0,451.0,454.0,1533547579,188280,120,460.0,454.0
13,2008-08-16,452.0,455.0,450.0,454.0,2741819921,337283,133,454.0,454.0
14,2008-08-18,455.0,455.0,449.0,452.0,3023176419,373415,142,454.0,452.0
15,2008-08-19,450.0,450.0,447.0,448.0,1949544711,242671,110,452.0,448.0
16,2008-08-20,448.0,453.0,448.0,451.0,2054137830,254202,135,448.0,451.0
17,2008-08-23,452.0,457.0,450.0,454.0,2835537465,348629,156,451.0,454.0
18,2008-08-24,458.0,467.0,458.0,467.0,4321436666,516210,164,454.0,467.0
19,2008-08-25,481.0,481.0,462.0,473.0,7917323666,934573,295,467.0,473.0
20,2008-08-26,459.0,461.0,459.0,459.0,4138751555,503616,157,473.0,459.0
21,2008-08-27,459.0,459.0,445.0,450.0,18594430692,2327653,144,459.0,450.0
22,2008-08-30,459.0,463.0,455.0,460.0,2653982370,321680,129,450.0,460.0
23,2008-08-31,451.0,451.0,447.0,449.0,5248772433,651990,183,460.0,449.0
24,2008-09-01,449.0,453.0,448.0,449.0,815084243,101170,68,449.0,449.0
25,2008-09-02,453.0,460.0,450.0,451.0,733562598,90764,50,449.0,451.0
26,2008-09-03,452.0,460.0,449.0,451.0,2487426277,308018,132,451.0,451.0
27,2008-09-06,449.0,450.0,437.0,444.0,4522391883,567763,191,451.0,444.0
28,2008-09-07,431.0,446.0,431.0,432.0,6705926872,866216,232,444.0,432.0
29,2008-09-08,430.0,430.0,419.0,419.0,7351998279,978885,289,432.0,419.0
30,2008-09-09,419.0,421.0,418.0,419.0,4335635752,577223,158,419.0,419.0
31,2008-09-10,419.0,419.0,407.0,408.0,846736411,116067,78,419.0,408.0
32,2008-09-13,406.0,406.0,396.0,397.0,3285812097,462359,135,408.0,397.0
33,2008-09-14,396.0,397.0,385.0,394.0,1043678919,147929,92,397.0,394.0
34,2008-09-15,386.0,396.0,385.0,388.0,1056002305,151996,68,394.0,388.0
35,2008-09-16,399.0,399.0,391.0,391.0,467594314,66232,49,388.0,391.0
36,2008-09-17,396.0,397.0,392.0,395.0,702145626,98880,58,391.0,395.0
37,2008-09-20,395.0,395.0,391.0,395.0,709560739,100312,46,395.0,395.0
38,2008-09-21,395.0,396.0,395.0,395.0,1528416672,215960,86,395.0,395.0
39,2008-09-23,391.0,391.0,383.0,385.0,1465478299,212588,100,395.0,385.0
40,2008-09-24,385.0,385.0,373.0,377.0,1234318480,182690,83,385.0,377.0
41,2008-09-27,374.0,374.0,366.0,368.0,713484610,108777,53,377.0,368.0
42,2008-09-28,366.0,374.0,365.0,369.0,893637591,135132,65,368.0,369.0
43,2008-09-29,380.0,380.0,369.0,369.0,17400165,2555,4,369.0,369.0
44,2008-09-30,380.0,380.0,370.0,370.0,22862395,3355,5,369.0,370.0
45,2008-10-04,381.0,381.0,374.0,379.0,1168215460,171872,99,370.0,379.0
46,2008-10-05,374.0,379.0,369.0,377.0,255893962,38269,25,379.0,377.0
47,2008-10-06,372.0,375.0,370.0,375.0,384771058,57816,33,377.0,375.0
48,2008-10-07,368.0,374.0,368.0,373.0,1303788704,194905,73,375.0,373.0
49,2008-10-08,368.0,368.0,362.0,362.0,918923141,141554,63,373.0,362.0
50,2008-10-11,351.0,362.0,351.0,362.0,48249444,7662,5,362.0,362.0
51,2008-10-12,351.0,361.0,351.0,361.0,7199390,1145,3,362.0,361.0
52,2008-10-13,351.0,352.0,351.0,351.0,2926867758,465714,113,361.0,351.0
53,2008-10-14,349.0,357.0,347.0,350.0,256378816,40899,30,351.0,350.0
54,2008-10-15,350.0,350.0,341.0,348.0,210993054,34394,25,350.0,348.0
55,2008-10-18,340.0,346.0,338.0,338.0,1399714704,231055,60,348.0,338.0
56,2008-10-19,335.0,338.0,328.0,328.0,1551168458,263810,57,338.0,328.0
57,2008-10-20,318.0,323.0,318.0,318.0,1175912778,206190,77,328.0,318.0
58,2008-10-21,312.0,312.0,309.0,309.0,1029764036,186070,76,318.0,309.0
59,2008-10-22,301.0,309.0,300.0,306.0,250965690,46484,25,309.0,306.0
60,2008-10-26,297.0,297.0,297.0,297.0,917989330,172510,39,306.0,297.0
61,2008-10-27,288.0,288.0,288.0,288.0,1494493754,289517,84,297.0,288.0
62,2008-10-28,279.0,287.0,279.0,287.0,116023243,23158,18,288.0,287.0
63,2008-10-29,279.0,285.0,279.0,285.0,120158133,23992,14,287.0,285.0
64,2008-11-01,279.0,285.0,277.0,285.0,50326770,10081,11,285.0,285.0
65,2008-11-02,280.0,284.0,279.0,284.0,140144535,27993,15,285.0,284.0
66,2008-11-03,279.0,282.0,279.0,282.0,217064230,43355,30,284.0,282.0
67,2008-11-04,282.0,284.0,282.0,282.0,79784610,15745,11,282.0,282.0
68,2008-11-05,291.0,291.0,282.0,282.0,258890,50,2,282.0,282.0
69,2008-11-08,291.0,291.0,285.0,285.0,202694300,38920,18,282.0,285.0
70,2008-11-09,293.0,293.0,285.0,287.0,600750622,116700,37,285.0,287.0
71,2008-11-10,287.0,288.0,287.0,287.0,77365320,15020,16,287.0,287.0
72,2008-11-11,285.0,286.0,279.0,286.0,124752650,24924,12,287.0,286.0
73,2008-11-12,280.0,285.0,279.0,285.0,142123464,28023,19,286.0,285.0
74,2008-11-15,284.0,284.0,279.0,284.0,65750674,13129,12,285.0,284.0
75,2008-11-16,279.0,284.0,279.0,284.0,46348660,9254,9,284.0,284.0
76,2008-11-17,280.0,292.0,280.0,284.0,119338080,23513,12,284.0,284.0
77,2008-11-18,292.0,292.0,285.0,286.0,200283079,38567,15,284.0,286.0
78,2008-11-19,290.0,294.0,288.0,288.0,227731340,43330,16,286.0,288.0
79,2008-11-22,297.0,297.0,296.0,296.0,659449268,124007,39,288.0,296.0
80,2008-11-23,305.0,305.0,301.0,301.0,377761686,69140,31,296.0,301.0
81,2008-11-24,310.0,310.0,310.0,310.0,702913349,126583,46,301.0,310.0
82,2008-11-25,319.0,319.0,300.0,315.0,521366686,91759,50,310.0,315.0
83,2008-11-26,305.0,314.0,305.0,314.0,44590111,8147,3,315.0,314.0
84,2008-12-01,305.0,314.0,305.0,314.0,2787800,510,2,314.0,314.0
85,2008-12-03,305.0,314.0,305.0,314.0,640734,117,2,314.0,314.0
86,2008-12-06,305.0,305.0,305.0,313.0,54620000,10000,1,314.0,305.0
87,2008-12-24,304.0,304.0,304.0,313.0,5470796,1004,1,313.0,304.0
88,2009-01-03,304.0,304.0,304.0,304.0,5448000,1000,1,313.0,304.0
89,2009-01-04,295.0,295.0,295.0,295.0,5285000,1000,1,304.0,295.0
90,2009-01-10,286.0,286.0,286.0,286.0,512700,100,1,295.0,286.0
91,2009-01-11,278.0,278.0,278.0,278.0,2213000400,444900,121,286.0,278.0
92,2009-01-12,286.0,286.0,286.0,280.0,156963597,30639,17,278.0,286.0
93,2009-01-13,288.0,288.0,288.0,280.0,27461357,5323,2,280.0,288.0
94,2009-01-14,288.0,288.0,287.0,288.0,1910321763,369914,115,280.0,288.0
95,2009-01-17,280.0,282.0,280.0,285.0,272158472,53942,14,288.0,282.0
96,2009-01-18,288.0,288.0,277.0,284.0,128216756,25801,13,285.0,277.0
97,2009-01-19,275.0,292.0,275.0,280.0,469065790,94005,25,284.0,292.0
98,2009-01-20,288.0,288.0,280.0,281.0,152237076,30000,9,280.0,288.0
99,2009-01-21,288.0,289.0,288.0,282.0,117673558,22752,10,281.0,289.0
100,2009-01-24,290.0,290.0,290.0,285.0,253126132,48622,17,282.0,290.0
101,2009-01-25,277.0,285.0,277.0,284.0,154407570,30818,14,285.0,285.0
102,2009-01-26,292.0,292.0,290.0,287.0,294739706,56351,25,284.0,292.0
103,2009-01-27,296.0,296.0,296.0,296.0,1698999104,320326,84,287.0,296.0
104,2009-01-28,296.0,296.0,291.0,296.0,315741472,59558,19,296.0,291.0
105,2009-01-31,287.0,287.0,287.0,296.0,2572000,500,2,296.0,287.0
106,2009-02-01,287.0,287.0,287.0,295.0,66169838,12866,7,296.0,287.0
107,2009-02-02,287.0,287.0,287.0,294.0,74756160,14544,9,295.0,287.0
108,2009-02-03,285.0,289.0,285.0,293.0,86331368,16858,10,294.0,285.0
109,2009-03-08,276.0,276.0,213.0,236.0,463502848,109376,40,293.0,223.0
110,2009-04-05,229.0,244.0,229.0,231.0,566845870,137093,63,236.0,230.0
111,2009-04-06,234.0,234.0,230.0,231.0,133963549,32197,18,231.0,230.0
112,2009-04-07,224.0,224.0,224.0,229.0,170747906,42484,15,231.0,224.0
113,2009-04-08,222.0,222.0,222.0,224.0,375540132,94403,29,229.0,222.0
114,2009-04-11,218.0,218.0,218.0,224.0,4838480,1240,2,224.0,218.0
115,2009-04-12,223.0,223.0,223.0,224.0,105475472,26372,9,224.0,223.0
116,2009-04-13,219.0,219.0,218.0,223.0,71417286,18261,6,224.0,218.0
117,2009-04-14,218.0,218.0,216.0,222.0,61117550,15680,7,223.0,216.0
118,2009-04-15,216.0,216.0,216.0,222.0,25201262,6514,6,222.0,216.0
119,2009-04-18,215.0,215.0,215.0,222.0,11547858,2994,3,222.0,215.0
120,2009-04-19,215.0,223.0,215.0,217.0,1197019186,307369,64,222.0,215.0
121,2009-04-20,211.0,218.0,211.0,215.0,341295361,89159,30,217.0,217.0
122,2009-04-22,217.0,221.0,217.0,217.0,195739496,49639,22,215.0,221.0
123,2009-04-25,223.0,223.0,212.0,220.0,338187539,85113,38,217.0,213.0
124,2009-04-26,223.0,227.0,223.0,224.0,353754748,87268,24,220.0,224.0
125,2009-04-27,224.0,224.0,218.0,222.0,306589208,77865,24,224.0,218.0
126,2009-04-28,215.0,217.0,215.0,218.0,304506269,78948,25,222.0,215.0
127,2009-04-29,224.0,224.0,212.0,218.0,64484394,16520,9,218.0,212.0
128,2009-05-02,213.0,218.0,211.0,215.0,256354955,67235,25,218.0,212.0
129,2009-05-03,212.0,221.0,212.0,215.0,327193792,85124,33,215.0,220.0
130,2009-05-04,221.0,221.0,221.0,216.0,67125294,16938,6,215.0,221.0
131,2009-05-05,221.0,222.0,209.0,218.0,431671214,110263,23,216.0,222.0
132,2009-05-06,224.0,224.0,218.0,220.0,337999536,85387,28,218.0,220.0
133,2009-05-09,223.0,226.0,223.0,226.0,537288355,132542,40,220.0,226.0
134,2009-05-10,233.0,233.0,233.0,229.0,237979175,57001,12,226.0,233.0
135,2009-05-11,236.0,236.0,223.0,232.0,549082648,132013,37,229.0,223.0
136,2009-05-12,229.0,229.0,225.0,231.0,84798000,21000,3,232.0,225.0
137,2009-05-13,224.0,224.0,224.0,230.0,91028080,22672,10,231.0,224.0
138,2009-05-16,225.0,230.0,223.0,229.0,103553426,25426,8,230.0,230.0
139,2009-05-18,229.0,229.0,222.0,225.0,553411275,137000,45,229.0,222.0
