,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-07-01,4887.0,4887.0,4887.0,4887.0,20789966956500,1319997902,4481814,310.0,4887.0
1,2020-07-04,5130.0,5130.0,5130.0,4912.0,7276555590,440203,1744,4887.0,5130.0
2,2020-07-05,5157.0,5157.0,5157.0,4965.0,15605398860,938953,3517,4912.0,5157.0
3,2020-07-06,5213.0,5213.0,5213.0,5117.0,45137836800,2686776,4492,4965.0,5213.0
4,2020-07-07,5372.0,5372.0,5372.0,5179.0,18713685210,1081091,4153,5117.0,5372.0
5,2020-07-08,5437.0,5437.0,5437.0,5316.0,40618788480,2318424,3811,5179.0,5437.0
6,2020-07-11,5580.0,5580.0,5580.0,5400.0,25486703940,1417503,5292,5316.0,5580.0
7,2020-07-12,5669.0,5669.0,5580.0,5477.0,23306860650,1275695,4720,5400.0,5669.0
8,2020-07-13,5750.0,5750.0,5750.0,5573.0,29074125900,1569030,5839,5477.0,5750.0
9,2020-07-14,5849.0,5849.0,5849.0,5635.0,18831564700,999022,3895,5573.0,5849.0
10,2020-07-15,5915.0,5915.0,5915.0,5915.0,83978664960,4406016,5818,5635.0,5915.0
11,2020-07-18,6209.0,6209.0,6209.0,6036.0,35739140640,1786064,6770,5915.0,6209.0
12,2020-07-19,6337.0,6337.0,6337.0,6060.0,7606286640,372492,1364,6036.0,6337.0
13,2020-07-22,6362.0,6362.0,6362.0,6209.0,44707732500,2180865,8193,6060.0,6362.0
14,2020-07-25,6520.0,6520.0,6520.0,6420.0,62746470050,2986505,8386,6209.0,6520.0
15,2020-07-26,6740.0,6740.0,6740.0,6604.0,54529471800,2510565,6384,6420.0,6740.0
16,2020-07-27,6932.0,6932.0,6932.0,6774.0,51043325600,2284840,8973,6604.0,6932.0
17,2020-08-03,7112.0,7112.0,7112.0,6909.0,38716533570,1751087,6420,6774.0,7112.0
18,2020-08-04,7254.0,7254.0,7254.0,7064.0,44610642450,1978299,7910,6909.0,7254.0
19,2020-08-05,7414.0,7414.0,7414.0,7241.0,51588020600,2238092,8285,7064.0,7414.0
20,2020-08-09,7601.0,7601.0,7601.0,7572.0,95200709410,4028807,10023,7241.0,7601.0
21,2020-08-10,7948.0,7948.0,7948.0,7948.0,359017298010,14529231,8526,7572.0,7948.0
22,2020-08-11,8344.0,8344.0,8344.0,8344.0,455982917800,17578370,3981,7948.0,8344.0
23,2020-08-12,8759.0,8759.0,8759.0,8759.0,1204691579280,44241336,25014,8344.0,8759.0
24,2020-08-15,9196.0,9196.0,8897.0,9193.0,5767442481080,201765288,80137,8759.0,9196.0
25,2020-08-16,9650.0,9650.0,9650.0,9650.0,2074437600000,69147920,31794,9193.0,9650.0
26,2020-08-17,10132.0,10132.0,10132.0,10132.0,2017650474000,64052396,27672,9650.0,10132.0
27,2020-08-18,10637.0,10637.0,9660.0,10470.0,3036015813350,93284695,35566,10132.0,9972.0
28,2020-08-22,9949.0,9949.0,9949.0,9949.0,234202362090,7572013,7172,10470.0,9949.0
29,2020-08-23,9454.0,9949.0,9454.0,9454.0,177867675720,6051948,7454,9949.0,9454.0
30,2020-08-24,8984.0,8984.0,8984.0,8984.0,126844011210,4541497,5363,9454.0,8984.0
31,2020-08-25,8537.0,9431.0,8537.0,8923.0,10515581128270,379132545,371445,8984.0,9431.0
32,2020-08-26,9367.0,9367.0,9367.0,9367.0,781124460480,26824329,41852,8923.0,9367.0
33,2020-08-31,9489.0,9550.0,8900.0,9081.0,3274058839590,115996346,112296,9367.0,8900.0
34,2020-09-01,8627.0,8627.0,8627.0,8627.0,102402058860,3818123,3562,9081.0,8627.0
35,2020-09-02,8196.0,8196.0,8196.0,8196.0,317794968400,12472330,3124,8627.0,8196.0
36,2020-09-05,8074.0,8376.0,7787.0,7897.0,1406824826090,57296823,61178,8196.0,7787.0
37,2020-09-06,7929.0,8206.0,7504.0,7681.0,2043529068180,85558416,96629,7897.0,7504.0
38,2020-09-07,7299.0,7299.0,7299.0,7537.0,33625014390,1481931,1603,7681.0,7299.0
39,2020-09-08,7160.0,7160.0,7160.0,7440.0,22276739520,1000752,1113,7537.0,7160.0
40,2020-09-09,7070.0,7411.0,7070.0,7151.0,2853469488170,128345617,141985,7440.0,7221.0
41,2020-09-12,7234.0,7466.0,6851.0,7138.0,2136720203920,96299969,108941,7151.0,6951.0
42,2020-09-13,6919.0,7041.0,6784.0,6832.0,285437493310,13437269,13054,7138.0,6784.0
43,2020-09-14,6491.0,7073.0,6491.0,6729.0,2258281620290,107934151,102630,6832.0,6810.0
44,2020-09-15,6900.0,7064.0,6761.0,7022.0,712015564800,32612503,46407,6729.0,7064.0
45,2020-09-16,7373.0,7373.0,6758.0,7096.0,1745149775170,79109077,102438,7022.0,6839.0
46,2020-09-19,6755.0,6948.0,6742.0,6768.0,1128025749810,53620327,95422,7096.0,6742.0
47,2020-09-20,6430.0,6536.0,6430.0,6433.0,371288913740,18564450,30990,6768.0,6430.0
48,2020-09-21,6112.0,6112.0,6112.0,6112.0,132831907000,6991153,4561,6433.0,6112.0
49,2020-09-22,6047.0,6417.0,5809.0,6128.0,1546451492750,81164939,92798,6112.0,6395.0
50,2020-09-23,6433.0,6433.0,6166.0,6424.0,1080750795090,54110326,45984,6128.0,6433.0
51,2020-09-26,6732.0,6742.0,6433.0,6729.0,896724395200,42872771,40402,6424.0,6742.0
52,2020-09-27,6790.0,6790.0,6395.0,6514.0,608701137820,30062810,20245,6729.0,6395.0
53,2020-09-28,6189.0,6189.0,6189.0,6408.0,27618750640,1435486,1168,6514.0,6189.0
54,2020-09-29,6089.0,6597.0,6089.0,6166.0,1056431298720,55109690,66263,6408.0,6279.0
55,2020-09-30,6173.0,6353.0,5886.0,6157.0,750062645500,39193570,51079,6166.0,6285.0
56,2020-10-03,6176.0,6462.0,6176.0,6420.0,960493297630,48122301,38221,6157.0,6462.0
57,2020-10-04,6498.0,6498.0,6102.0,6198.0,913790245070,47424538,37430,6420.0,6102.0
58,2020-10-05,5925.0,6507.0,5890.0,6250.0,1290885896870,66452667,53830,6198.0,6507.0
59,2020-10-06,6562.0,6562.0,6562.0,6562.0,92426484000,4530710,12147,6250.0,6562.0
60,2020-10-07,6890.0,6890.0,6620.0,6887.0,1811745509490,84620994,28696,6562.0,6890.0
61,2020-10-10,6932.0,7231.0,6893.0,7109.0,1457876079930,65981353,46492,6887.0,7231.0
62,2020-10-11,7421.0,7463.0,6890.0,7344.0,1561339688840,68403584,51111,7109.0,7038.0
63,2020-10-12,6977.0,7234.0,6977.0,7012.0,592126745420,27159747,25843,7344.0,6977.0
64,2020-10-13,6662.0,6916.0,6662.0,6681.0,512357976110,24664118,18139,7012.0,6662.0
65,2020-10-14,6353.0,6552.0,6350.0,6359.0,303425896310,15348912,10134,6681.0,6350.0
66,2020-10-18,6192.0,6465.0,6044.0,6105.0,981337682360,51716025,52380,6359.0,6044.0
67,2020-10-19,5870.0,6047.0,5803.0,5829.0,253711433000,13999728,10827,6105.0,5803.0
68,2020-10-20,5539.0,6092.0,5539.0,5755.0,1075279068870,60093009,50152,5829.0,5989.0
69,2020-10-21,5903.0,6041.0,5629.0,5841.0,797877612320,43945518,40621,5755.0,5774.0
70,2020-10-24,5616.0,5771.0,5552.0,5578.0,226523008610,13061470,10258,5841.0,5552.0
71,2020-10-26,5301.0,5500.0,5301.0,5327.0,868992214540,52490363,50639,5578.0,5330.0
72,2020-10-27,5340.0,5468.0,5063.0,5246.0,882704452060,54133701,48320,5327.0,5394.0
73,2020-10-28,5372.0,5507.0,5153.0,5455.0,605853761180,35726940,30326,5246.0,5507.0
74,2020-10-31,5726.0,5726.0,5507.0,5703.0,1007990664040,56847722,35258,5455.0,5726.0
75,2020-11-01,5703.0,5703.0,5420.0,5446.0,792433116520,46807724,25350,5703.0,5420.0
76,2020-11-02,5311.0,5629.0,5301.0,5491.0,426219483660,24968452,25158,5446.0,5574.0
77,2020-11-04,5597.0,5764.0,5500.0,5726.0,514750591370,28917014,25423,5491.0,5764.0
78,2020-11-07,5533.0,5726.0,5439.0,5455.0,528433508660,31161464,14927,5726.0,5439.0
79,2020-11-08,5214.0,5394.0,5185.0,5214.0,613931130720,37883016,19331,5455.0,5330.0
80,2020-11-09,5459.0,5475.0,5243.0,5433.0,741742071510,43923507,32691,5214.0,5475.0
81,2020-11-10,5584.0,5684.0,5311.0,5504.0,652401586360,38123597,31335,5433.0,5494.0
82,2020-11-11,5552.0,5671.0,5340.0,5542.0,712923886340,41367443,27809,5504.0,5603.0
83,2020-11-14,5652.0,5819.0,5542.0,5784.0,566089761430,31487537,20870,5542.0,5819.0
84,2020-11-15,5944.0,5944.0,5497.0,5613.0,1131760864220,64854369,33914,5784.0,5497.0
85,2020-11-16,5340.0,5681.0,5340.0,5549.0,646686667140,37487350,28426,5613.0,5484.0
86,2020-11-17,5468.0,5790.0,5468.0,5648.0,1141122986930,64977291,36609,5549.0,5790.0
87,2020-11-18,5886.0,5928.0,5729.0,5883.0,982542342290,53711218,34312,5648.0,5928.0
