,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2011-09-19,15.0,15.0,15.0,15.0,102559264500,9767549,826,1.0,15.0
1,2011-09-20,16.0,16.0,16.0,16.0,4939530750,448030,177,15.0,16.0
2,2011-09-21,17.0,17.0,17.0,17.0,55094150819,4779902,3817,16.0,17.0
3,2011-09-25,17.0,18.0,17.0,17.0,30066422253,2596660,2362,17.0,17.0
4,2011-09-26,17.0,17.0,16.0,17.0,8464894505,752679,837,17.0,17.0
5,2011-09-27,17.0,17.0,17.0,17.0,6016099643,530198,422,17.0,17.0
6,2011-09-28,17.0,17.0,16.0,16.0,5896913340,532289,439,17.0,16.0
7,2011-10-01,16.0,16.0,16.0,16.0,2512192733,231975,190,16.0,16.0
8,2011-10-02,16.0,16.0,16.0,16.0,6248802286,575524,324,16.0,16.0
9,2011-10-03,16.0,16.0,16.0,16.0,3979067577,363482,246,16.0,16.0
10,2011-10-04,16.0,16.0,16.0,16.0,2626814834,243374,115,16.0,16.0
11,2011-10-05,16.0,16.0,16.0,16.0,2026847485,189185,147,16.0,16.0
12,2011-10-08,16.0,16.0,16.0,16.0,2816509290,260632,208,16.0,16.0
13,2011-10-09,16.0,16.0,16.0,16.0,2835456381,262164,157,16.0,16.0
14,2011-10-10,16.0,16.0,16.0,16.0,4037243209,371088,279,16.0,16.0
15,2011-10-11,16.0,16.0,16.0,16.0,1826378353,167876,104,16.0,16.0
16,2011-10-12,16.0,16.0,16.0,16.0,1507396427,140434,85,16.0,16.0
17,2011-10-15,16.0,16.0,16.0,16.0,5788766381,544960,269,16.0,16.0
18,2011-10-16,16.0,16.0,16.0,16.0,12974456813,1229590,404,16.0,16.0
19,2011-10-17,16.0,16.0,16.0,16.0,2715697997,257343,98,16.0,16.0
20,2011-10-18,16.0,16.0,16.0,16.0,2542250006,240820,103,16.0,16.0
21,2011-10-19,16.0,16.0,16.0,16.0,4553043434,431279,152,16.0,16.0
22,2011-10-22,16.0,16.0,16.0,16.0,2160949499,204663,81,16.0,16.0
23,2011-10-23,16.0,16.0,16.0,16.0,1016978132,96342,46,16.0,16.0
24,2011-10-24,16.0,16.0,16.0,16.0,4459069290,422446,119,16.0,16.0
25,2011-10-25,16.0,16.0,16.0,16.0,1057795825,100217,50,16.0,16.0
26,2011-10-26,16.0,16.0,16.0,16.0,993660223,94115,60,16.0,16.0
27,2011-10-29,16.0,16.0,16.0,16.0,2465805485,233560,53,16.0,16.0
28,2011-10-30,16.0,16.0,16.0,16.0,4190598049,397008,112,16.0,16.0
29,2011-10-31,16.0,16.0,16.0,16.0,952481336,90163,50,16.0,16.0
30,2011-11-01,16.0,16.0,16.0,16.0,838915295,79480,41,16.0,16.0
31,2011-11-02,16.0,16.0,16.0,16.0,707486075,66965,52,16.0,16.0
32,2011-11-05,16.0,16.0,16.0,16.0,2654927620,251496,93,16.0,16.0
33,2011-11-06,16.0,16.0,16.0,16.0,3064760355,290361,139,16.0,16.0
34,2011-11-21,15.0,16.0,15.0,16.0,2068632392,196041,103,16.0,16.0
35,2011-11-22,16.0,16.0,15.0,15.0,5320467295,507194,136,16.0,15.0
36,2011-11-23,15.0,15.0,15.0,15.0,40079453445,3827690,149,15.0,15.0
37,2011-11-26,15.0,15.0,15.0,15.0,674841098,67770,47,15.0,15.0
38,2011-11-27,14.0,14.0,14.0,14.0,955561,101,2,15.0,14.0
39,2011-11-28,13.0,13.0,13.0,13.0,28321188,3151,2,14.0,13.0
40,2011-11-29,13.0,13.0,13.0,13.0,1457727475,168615,145,13.0,13.0
41,2011-11-30,13.0,13.0,12.0,12.0,653304422,78518,100,13.0,12.0
42,2011-12-03,12.0,13.0,12.0,12.0,482555563,58570,60,12.0,12.0
43,2011-12-04,13.0,13.0,12.0,13.0,709319932,83398,72,12.0,13.0
44,2011-12-07,13.0,13.0,13.0,13.0,1527737524,172061,114,13.0,13.0
45,2011-12-24,15.0,15.0,13.0,13.0,590057442,81713,53,13.0,13.0
46,2011-12-25,13.0,13.0,13.0,13.0,983022230,142981,57,13.0,13.0
47,2011-12-26,12.0,13.0,12.0,12.0,121337649,18131,18,13.0,12.0
48,2011-12-27,12.0,13.0,12.0,12.0,1556853346,233191,48,12.0,13.0
49,2011-12-28,13.0,13.0,12.0,12.0,403907406,59598,31,12.0,12.0
50,2011-12-31,13.0,13.0,12.0,12.0,211809757,31347,18,12.0,12.0
51,2012-01-01,13.0,13.0,12.0,13.0,148817582,21864,12,12.0,12.0
52,2012-01-02,13.0,13.0,12.0,12.0,176334270,26977,21,13.0,12.0
53,2012-01-03,12.0,13.0,12.0,13.0,1208569835,176411,41,12.0,13.0
54,2012-01-04,13.0,13.0,13.0,13.0,723778230,105473,26,13.0,13.0
