,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-27,92.0,97.0,92.0,92.0,16633000,2000,5,0.0,92.0
1,2001-03-28,90.0,90.0,90.0,90.0,105034347,13277,18,92.0,90.0
2,2001-03-31,88.0,91.0,88.0,91.0,585865699,75113,99,90.0,91.0
3,2001-04-03,91.0,93.0,91.0,93.0,195848340,24200,31,91.0,93.0
4,2001-04-07,94.0,94.0,93.0,94.0,168327720,20373,34,93.0,94.0
5,2001-04-08,94.0,94.0,94.0,94.0,468990964,56406,99,94.0,94.0
6,2001-04-09,94.0,94.0,92.0,92.0,144458695,17753,21,94.0,92.0
7,2001-04-10,92.0,92.0,89.0,89.0,69906278,8784,14,92.0,89.0
8,2001-04-11,90.0,91.0,88.0,88.0,788151231,100125,107,89.0,88.0
9,2001-04-14,88.0,88.0,87.0,87.0,309205449,39975,51,88.0,87.0
10,2001-04-15,87.0,87.0,86.0,86.0,409050326,53587,85,87.0,86.0
11,2001-04-16,86.0,88.0,86.0,88.0,570730858,73915,126,86.0,88.0
12,2001-04-17,89.0,91.0,89.0,91.0,619781832,77721,93,88.0,91.0
13,2001-04-18,91.0,91.0,90.0,90.0,459120812,57719,84,91.0,90.0
14,2001-04-21,90.0,90.0,89.0,89.0,583985159,74080,71,90.0,89.0
15,2001-04-22,89.0,89.0,88.0,88.0,136404065,17561,27,89.0,88.0
16,2001-04-23,88.0,88.0,87.0,88.0,458350431,59449,72,88.0,88.0
17,2001-04-24,88.0,90.0,88.0,90.0,478976617,61085,60,88.0,90.0
18,2001-04-25,89.0,90.0,89.0,90.0,609853197,77301,74,90.0,90.0
19,2001-04-28,91.0,91.0,90.0,90.0,809745854,102006,100,90.0,90.0
20,2001-04-29,90.0,90.0,90.0,90.0,3034588137,383957,114,90.0,90.0
21,2001-04-30,90.0,90.0,90.0,90.0,756705987,95610,96,90.0,90.0
22,2001-05-01,90.0,90.0,90.0,90.0,876301300,110275,82,90.0,90.0
23,2001-05-02,91.0,91.0,90.0,91.0,304179240,37940,62,90.0,91.0
24,2001-05-05,92.0,94.0,91.0,94.0,141190885,17311,28,91.0,94.0
25,2001-05-06,94.0,96.0,94.0,96.0,493069640,58415,72,94.0,96.0
26,2001-05-07,96.0,97.0,96.0,97.0,343620905,40335,43,96.0,97.0
27,2001-05-08,98.0,98.0,96.0,96.0,815508074,95619,117,97.0,96.0
28,2001-05-09,96.0,96.0,95.0,95.0,787627549,93146,114,96.0,95.0
29,2001-05-12,95.0,96.0,95.0,95.0,112728881,13398,19,95.0,95.0
30,2001-05-13,95.0,96.0,94.0,96.0,954798157,114189,110,95.0,96.0
31,2001-05-15,95.0,96.0,95.0,96.0,462355610,54866,55,96.0,96.0
32,2001-05-16,96.0,96.0,96.0,96.0,823479875,97270,54,96.0,96.0
33,2001-05-19,96.0,96.0,95.0,96.0,634574232,75110,78,96.0,96.0
34,2001-05-20,96.0,96.0,95.0,96.0,307865086,36472,39,96.0,96.0
35,2001-05-21,96.0,96.0,95.0,96.0,415276760,49397,54,96.0,96.0
36,2001-05-23,96.0,96.0,95.0,95.0,127141450,15109,24,96.0,95.0
37,2001-05-26,96.0,96.0,96.0,96.0,312919630,36919,49,95.0,96.0
38,2001-05-27,96.0,97.0,96.0,97.0,419696540,49179,65,96.0,97.0
39,2001-05-28,98.0,98.0,98.0,98.0,494801237,57143,81,97.0,98.0
40,2001-05-29,99.0,99.0,97.0,97.0,284783814,32924,49,98.0,97.0
41,2001-05-30,96.0,96.0,96.0,96.0,70951192,8359,14,97.0,96.0
42,2001-06-02,95.0,95.0,95.0,95.0,206528300,24575,20,96.0,95.0
43,2001-06-03,94.0,94.0,94.0,94.0,119541760,14368,10,95.0,94.0
44,2001-06-06,93.0,93.0,93.0,93.0,115013231,13963,15,94.0,93.0
45,2001-06-09,93.0,93.0,93.0,93.0,223871060,27452,31,93.0,93.0
46,2001-06-11,92.0,93.0,92.0,93.0,526450670,64514,114,93.0,93.0
47,2001-06-12,92.0,93.0,92.0,92.0,274789199,33814,48,93.0,92.0
48,2001-06-13,91.0,92.0,90.0,90.0,360880046,45201,60,92.0,90.0
49,2001-06-16,90.0,90.0,89.0,89.0,498227275,63381,67,90.0,89.0
50,2001-06-17,89.0,89.0,88.0,89.0,459140136,58838,86,89.0,89.0
51,2001-06-18,89.0,91.0,88.0,91.0,430451593,54326,69,89.0,91.0
52,2001-06-19,93.0,93.0,92.0,92.0,495416396,60626,103,91.0,92.0
53,2001-06-20,92.0,94.0,92.0,94.0,390615906,47629,51,92.0,94.0
54,2001-06-23,94.0,95.0,94.0,95.0,341492585,41019,54,94.0,95.0
