,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-08-05,1753.0,1753.0,1753.0,1753.0,529200000000,84000000,5415548,278.0,1753.0
1,2020-08-09,1841.0,1841.0,1841.0,1755.0,891146340,134716,8740,1753.0,1841.0
2,2020-08-10,1842.0,1842.0,1842.0,1794.0,23529260780,3554269,13133,1755.0,1842.0
3,2020-08-11,1884.0,1884.0,1884.0,1796.0,972236736,143652,9425,1794.0,1884.0
4,2020-08-12,1885.0,1885.0,1885.0,1797.0,691916682,102143,6694,1796.0,1885.0
5,2020-08-15,1886.0,1886.0,1886.0,1798.0,842776520,124340,8111,1797.0,1886.0
6,2020-08-16,1888.0,1888.0,1888.0,1800.0,759658752,111978,7301,1798.0,1888.0
7,2020-08-17,1889.0,1889.0,1889.0,1801.0,1209867690,178210,11632,1800.0,1889.0
8,2020-08-18,1891.0,1891.0,1891.0,1804.0,1243627224,182994,11921,1801.0,1891.0
9,2020-08-19,1894.0,1894.0,1894.0,1805.0,845534860,124252,8072,1804.0,1894.0
10,2020-08-22,1895.0,1895.0,1895.0,1806.0,844487670,124007,7632,1805.0,1895.0
11,2020-09-01,3613.0,3793.0,3613.0,3613.0,95824338416,7349617,72293,1806.0,3793.0
12,2020-09-02,3794.0,3794.0,3794.0,3635.0,12582485544,961082,56784,3613.0,3794.0
13,2020-09-05,3817.0,3817.0,3817.0,3670.0,10253004463,778453,49588,3635.0,3817.0
14,2020-09-06,3854.0,3854.0,3854.0,3707.0,10572359226,794974,39972,3670.0,3854.0
15,2020-09-07,3892.0,3892.0,3892.0,3787.0,23009559408,1713168,56426,3707.0,3892.0
16,2020-09-08,3976.0,3976.0,3976.0,3848.0,17797186120,1297171,57512,3787.0,3976.0
17,2020-09-09,4041.0,4041.0,4041.0,3889.0,11838107400,848975,47277,3848.0,4041.0
18,2020-09-20,4084.0,4084.0,4084.0,3940.0,13886876848,985444,63237,3889.0,4084.0
19,2020-09-21,4137.0,4137.0,4137.0,3995.0,14818997751,1037963,53921,3940.0,4137.0
20,2020-09-22,4195.0,4195.0,4195.0,4031.0,9755796204,673929,40210,3995.0,4195.0
21,2020-09-23,4233.0,4233.0,4233.0,4072.0,10930564170,748310,44511,4031.0,4233.0
22,2020-09-26,4275.0,4275.0,4275.0,4111.0,10114412898,685537,42972,4072.0,4275.0
23,2020-09-27,4317.0,4317.0,4317.0,4169.0,14939943200,1002950,37434,4111.0,4317.0
