,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2013-02-04,562.0,562.0,236.0,239.0,213768804780,56748303,3193,63.0,236.0
1,2013-02-05,251.0,251.0,251.0,251.0,1763621510,445922,109,239.0,251.0
2,2013-02-06,264.0,264.0,264.0,264.0,76172592,18346,25,251.0,264.0
3,2013-02-09,277.0,277.0,277.0,277.0,265951308,61012,55,264.0,277.0
4,2013-02-11,290.0,290.0,290.0,290.0,307671936,67236,57,277.0,290.0
5,2013-02-12,305.0,305.0,305.0,305.0,293284200,61050,56,290.0,305.0
6,2013-02-13,320.0,320.0,320.0,320.0,637334620,126355,110,305.0,320.0
7,2013-02-16,336.0,336.0,336.0,336.0,826922736,156141,119,320.0,336.0
8,2013-02-17,353.0,353.0,353.0,353.0,1159660320,208572,156,336.0,353.0
9,2013-02-18,371.0,371.0,371.0,371.0,1808589048,309796,195,353.0,371.0
10,2013-02-19,389.0,389.0,389.0,389.0,13468569435,2197515,1255,371.0,389.0
11,2013-02-20,409.0,409.0,409.0,409.0,6511692330,1011918,581,389.0,409.0
12,2013-02-23,429.0,429.0,429.0,429.0,709731312,105052,81,409.0,429.0
13,2013-02-24,450.0,450.0,450.0,450.0,16175565221,2280497,1020,429.0,450.0
14,2013-02-25,467.0,473.0,451.0,469.0,271310437603,36730841,17115,450.0,473.0
15,2013-02-26,462.0,492.0,448.0,477.0,73967175211,9838660,5920,469.0,492.0
16,2013-02-27,501.0,501.0,501.0,501.0,2781161694,352358,115,477.0,501.0
17,2013-03-02,526.0,526.0,526.0,526.0,193509737,23351,27,501.0,526.0
18,2013-03-03,552.0,552.0,534.0,552.0,80691421985,9278800,3077,526.0,552.0
19,2013-03-04,542.0,568.0,524.0,531.0,123215241158,14737511,6262,552.0,533.0
20,2013-03-05,521.0,557.0,504.0,534.0,66056252878,7846155,4026,531.0,552.0
21,2013-03-06,561.0,561.0,546.0,561.0,49694521932,5625616,1888,534.0,561.0
22,2013-03-09,571.0,571.0,533.0,550.0,34031791476,3929157,1934,561.0,533.0
23,2013-03-10,533.0,568.0,523.0,547.0,47138939922,5468425,2661,550.0,536.0
24,2013-03-11,545.0,559.0,526.0,541.0,27763075321,3258547,1347,547.0,528.0
25,2013-03-12,527.0,549.0,516.0,538.0,21894586919,2584573,1269,541.0,537.0
26,2013-03-13,549.0,565.0,536.0,552.0,53528017319,6150741,2536,538.0,536.0
27,2013-03-16,546.0,551.0,525.0,528.0,16121376864,1939474,953,552.0,525.0
28,2013-03-17,502.0,512.0,502.0,509.0,22919770976,2860711,1068,528.0,508.0
29,2013-03-18,512.0,534.0,505.0,514.0,33777188198,4173167,1773,509.0,534.0
30,2013-09-07,984.0,984.0,936.0,965.0,142322679471,9360604,2079,514.0,952.0
31,2013-09-08,971.0,1013.0,965.0,1008.0,65513966349,4124628,920,965.0,1013.0
32,2013-09-09,1059.0,1059.0,1059.0,1059.0,9182806732,550594,59,1008.0,1059.0
33,2013-09-10,1112.0,1112.0,1112.0,1112.0,184951182,10562,12,1059.0,1112.0
34,2013-09-11,1167.0,1167.0,1167.0,1167.0,1064549400,57900,22,1112.0,1167.0
35,2013-09-14,1226.0,1226.0,1181.0,1220.0,167500662548,8714639,2143,1167.0,1226.0
36,2013-09-15,1242.0,1281.0,1242.0,1274.0,118473962611,5903538,1741,1220.0,1281.0
37,2013-09-16,1277.0,1338.0,1268.0,1318.0,37258079394,1794690,732,1274.0,1338.0
38,2013-09-17,1384.0,1384.0,1384.0,1384.0,10502058420,481790,141,1318.0,1384.0
39,2013-09-18,1453.0,1453.0,1453.0,1453.0,3332347200,145600,24,1384.0,1453.0
40,2013-09-21,1526.0,1526.0,1447.0,1504.0,141419521440,5970797,2391,1453.0,1453.0
41,2013-09-22,1432.0,1485.0,1428.0,1434.0,85950304425,3805223,1232,1504.0,1430.0
42,2013-09-23,1438.0,1506.0,1435.0,1502.0,59717607248,2524272,785,1434.0,1496.0
43,2013-09-24,1520.0,1524.0,1430.0,1466.0,48697234141,2108975,790,1502.0,1441.0
44,2013-09-25,1460.0,1498.0,1393.0,1446.0,54411842555,2389141,648,1466.0,1457.0
45,2013-09-28,1491.0,1508.0,1463.0,1476.0,38912947766,1673682,590,1446.0,1473.0
46,2013-09-29,1476.0,1550.0,1460.0,1525.0,73990069401,3079595,1065,1476.0,1536.0
47,2013-09-30,1565.0,1601.0,1550.0,1592.0,16841291610,671421,256,1525.0,1601.0
48,2013-10-01,1671.0,1672.0,1606.0,1671.0,56919893503,2162752,499,1592.0,1672.0
49,2013-10-02,1754.0,1754.0,1754.0,1754.0,3960914220,143340,79,1671.0,1754.0
50,2013-10-05,1842.0,1842.0,1842.0,1842.0,4985156466,171819,56,1754.0,1842.0
51,2013-10-06,1934.0,1934.0,1873.0,1929.0,258484341089,8507748,2851,1842.0,1934.0
52,2013-10-07,1904.0,2025.0,1904.0,1980.0,110606501767,3545540,1851,1929.0,2025.0
53,2013-10-08,2079.0,2079.0,1968.0,2063.0,136562374479,4201790,935,1980.0,2079.0
54,2013-10-09,2166.0,2166.0,2166.0,2166.0,42547955540,1246790,140,2063.0,2166.0
55,2013-10-12,2275.0,2275.0,2273.0,2275.0,111250109759,3104781,817,2166.0,2275.0
56,2013-10-13,2388.0,2388.0,2388.0,2388.0,49031121306,1303222,294,2275.0,2388.0
57,2013-10-14,2508.0,2508.0,2508.0,2508.0,17401591008,440502,69,2388.0,2508.0
58,2013-10-15,2633.0,2633.0,2633.0,2633.0,47052367314,1134366,75,2508.0,2633.0
59,2013-10-19,2765.0,2765.0,2765.0,2765.0,18049647328,414439,125,2633.0,2765.0
60,2013-10-20,2627.0,2761.0,2627.0,2652.0,329420491757,7886452,4327,2765.0,2627.0
61,2013-10-21,2704.0,2784.0,2539.0,2697.0,240308086166,5657237,3536,2652.0,2760.0
62,2013-10-22,2562.0,2685.0,2562.0,2568.0,152702399323,3774188,1843,2697.0,2562.0
63,2013-10-23,2501.0,2697.0,2469.0,2605.0,153817789829,3748898,2402,2568.0,2697.0
64,2013-10-26,2714.0,2735.0,2666.0,2726.0,246113040163,5731138,2626,2605.0,2685.0
65,2013-10-27,2603.0,2658.0,2590.0,2598.0,144447049711,3530012,1706,2726.0,2590.0
66,2013-10-28,2634.0,2720.0,2492.0,2629.0,118170978115,2853554,1589,2598.0,2609.0
