,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2010-11-13,29.0,29.0,29.0,29.0,125018714988,89171694,850,21.0,29.0
1,2010-11-14,31.0,31.0,31.0,31.0,24526025478,16821691,530,29.0,31.0
2,2010-11-15,32.0,32.0,32.0,31.0,228138292,150487,22,31.0,32.0
3,2010-11-16,32.0,32.0,32.0,31.0,143374400,94016,11,31.0,32.0
4,2010-11-20,32.0,32.0,32.0,31.0,18840486,12306,3,31.0,32.0
5,2010-11-21,32.0,32.0,32.0,31.0,98397296,64228,8,31.0,32.0
6,2010-11-22,32.0,32.0,32.0,31.0,54540445,35485,1,31.0,32.0
7,2010-11-23,32.0,32.0,32.0,31.0,17390700,11300,4,31.0,32.0
8,2010-11-24,32.0,32.0,32.0,31.0,152794180,99217,7,31.0,32.0
9,2010-11-27,33.0,33.0,33.0,31.0,175316400,113400,5,31.0,33.0
10,2010-11-28,33.0,33.0,33.0,31.0,62671315,40355,5,31.0,33.0
11,2010-11-29,33.0,33.0,33.0,31.0,4665000,3000,1,31.0,33.0
12,2010-11-30,33.0,33.0,33.0,32.0,88858920,57144,7,31.0,33.0
13,2010-12-01,33.0,33.0,33.0,32.0,75541188,48486,9,32.0,33.0
14,2010-12-04,33.0,33.0,33.0,33.0,21161976,13548,2,32.0,33.0
15,2010-12-05,34.0,34.0,34.0,33.0,137830504,84871,20,33.0,34.0
16,2010-12-06,34.0,34.0,34.0,33.0,117442755,72095,12,33.0,34.0
17,2010-12-07,34.0,34.0,34.0,33.0,210277826,128689,12,33.0,34.0
18,2010-12-08,35.0,35.0,35.0,33.0,203779647,124029,6,33.0,35.0
19,2010-12-11,35.0,35.0,35.0,33.0,31441644,19044,6,33.0,35.0
20,2010-12-12,35.0,35.0,35.0,34.0,104229636,63093,15,33.0,35.0
21,2010-12-13,35.0,35.0,35.0,34.0,276252264,166819,23,34.0,35.0
22,2010-12-14,35.0,35.0,35.0,34.0,738001596,442447,29,34.0,35.0
23,2010-12-18,36.0,36.0,36.0,36.0,17493079566,10302167,457,34.0,36.0
24,2010-12-19,36.0,36.0,34.0,35.0,40288518193,23979290,1757,36.0,36.0
25,2010-12-20,35.0,37.0,35.0,37.0,12439152874,7153455,385,35.0,37.0
26,2010-12-21,38.0,38.0,38.0,38.0,3569836336,1974467,66,37.0,38.0
27,2010-12-22,40.0,40.0,40.0,39.0,1187539600,631670,12,38.0,40.0
28,2010-12-25,41.0,41.0,41.0,40.0,1065527517,552373,7,39.0,41.0
29,2010-12-26,41.0,41.0,41.0,40.0,14166848,7184,4,40.0,41.0
30,2010-12-27,42.0,42.0,42.0,40.0,1973,1,1,40.0,42.0
31,2010-12-28,42.0,42.0,42.0,40.0,2823363,1431,2,40.0,42.0
32,2010-12-29,43.0,45.0,43.0,45.0,4456745670,2092559,61,40.0,45.0
33,2011-01-01,47.0,47.0,47.0,45.0,768587280,346992,18,45.0,47.0
34,2011-01-02,47.0,47.0,47.0,46.0,263188526,117181,12,45.0,47.0
35,2011-01-03,47.0,47.0,47.0,46.0,38029392,16857,4,46.0,47.0
36,2011-01-04,47.0,47.0,47.0,46.0,59020550,26150,4,46.0,47.0
37,2011-01-05,48.0,48.0,48.0,46.0,31804461,14079,3,46.0,48.0
38,2011-01-08,49.0,51.0,49.0,51.0,58638294903,24039544,773,46.0,51.0
39,2011-01-09,53.0,53.0,53.0,52.0,343501200,135450,9,51.0,53.0
40,2011-01-10,54.0,54.0,52.0,53.0,87116083686,34264237,2523,52.0,53.0
41,2011-01-11,53.0,56.0,52.0,55.0,63367310898,24261285,2195,53.0,56.0
42,2011-01-12,56.0,56.0,53.0,54.0,20022959832,7828260,791,55.0,53.0
43,2011-01-15,53.0,53.0,52.0,52.0,27655297368,11257378,865,54.0,52.0
44,2011-01-16,51.0,53.0,51.0,52.0,19616443971,7998704,964,52.0,51.0
45,2011-01-17,51.0,51.0,50.0,50.0,4050941351,1711258,152,52.0,50.0
46,2011-01-18,48.0,50.0,48.0,48.0,31427293506,13707023,1172,50.0,48.0
47,2011-01-19,49.0,50.0,49.0,50.0,18981547878,7964954,396,48.0,50.0
48,2011-01-22,48.0,48.0,48.0,48.0,2759311984,1205993,91,50.0,48.0
49,2011-01-23,46.0,48.0,46.0,46.0,28031923969,12689666,896,48.0,47.0
50,2011-01-24,48.0,48.0,48.0,48.0,20162213511,8780144,534,46.0,48.0
51,2011-01-26,49.0,50.0,47.0,48.0,11927674992,5181832,616,48.0,48.0
52,2011-01-29,49.0,50.0,46.0,47.0,8629762732,3864189,405,48.0,47.0
53,2011-03-09,51.0,52.0,49.0,50.0,18304655748,7685249,607,47.0,49.0
