,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2012-06-24,32.0,32.0,28.0,28.0,788084992681,690000000,3292,24.0,28.0
1,2012-06-25,28.0,29.0,28.0,28.0,81667019797,70242200,4041,28.0,28.0
2,2012-06-26,28.0,28.0,27.0,28.0,52724280106,46616885,2363,28.0,27.0
3,2012-06-27,27.0,28.0,27.0,27.0,76405243282,69730343,2728,28.0,27.0
4,2012-06-30,28.0,28.0,28.0,27.0,2119502455,1860845,63,27.0,28.0
5,2012-07-01,28.0,28.0,28.0,28.0,46327090157,39983891,1570,27.0,28.0
6,2012-07-02,29.0,29.0,29.0,29.0,32521537122,27152077,1259,28.0,29.0
7,2012-07-03,30.0,30.0,30.0,30.0,104113103969,83796323,3664,29.0,30.0
8,2012-07-04,31.0,32.0,31.0,31.0,52264673513,40897212,2699,30.0,31.0
9,2012-07-07,32.0,33.0,32.0,32.0,46846053899,35427063,2026,31.0,33.0
10,2012-07-08,33.0,34.0,33.0,34.0,72942879677,53147693,2712,32.0,34.0
11,2012-07-09,34.0,35.0,34.0,34.0,59916104891,42859419,2526,34.0,34.0
12,2012-07-10,33.0,34.0,33.0,33.0,35095825321,25835476,1876,34.0,33.0
13,2012-08-25,37.0,38.0,37.0,38.0,17049930710,10959739,360,33.0,38.0
14,2012-08-26,40.0,40.0,40.0,40.0,7898396440,4881580,206,38.0,40.0
15,2012-08-27,41.0,41.0,40.0,41.0,187263675870,111406235,3926,40.0,41.0
16,2012-09-02,41.0,43.0,41.0,42.0,47501207679,27549716,1514,41.0,43.0
17,2012-09-03,43.0,44.0,43.0,44.0,25551769754,14281795,560,42.0,44.0
18,2012-09-04,45.0,45.0,45.0,45.0,7700400000,4140000,91,44.0,45.0
19,2012-09-05,47.0,47.0,46.0,47.0,141916346872,73942088,3687,45.0,47.0
20,2012-09-08,47.0,49.0,45.0,47.0,73482171970,38117638,5367,47.0,46.0
21,2012-09-09,46.0,46.0,45.0,45.0,72537865239,39152196,1721,47.0,45.0
22,2012-09-10,46.0,47.0,45.0,46.0,172050246530,90860279,3298,45.0,47.0
23,2012-09-11,46.0,47.0,44.0,45.0,54201388477,29403622,2465,46.0,45.0
24,2012-09-15,45.0,47.0,45.0,47.0,70742563612,37069829,4210,45.0,47.0
25,2012-09-16,48.0,48.0,46.0,47.0,34702788400,18214588,1270,47.0,46.0
26,2012-09-17,47.0,48.0,47.0,48.0,62264903570,31763800,1379,47.0,48.0
27,2012-09-18,50.0,50.0,49.0,50.0,64684659360,31739792,916,48.0,50.0
28,2012-09-19,51.0,52.0,50.0,52.0,202683728449,96194620,4560,50.0,51.0
29,2012-09-22,52.0,54.0,52.0,53.0,163570255384,74806038,4088,52.0,54.0
30,2012-09-23,55.0,55.0,51.0,53.0,65870385586,30593784,2191,53.0,51.0
31,2012-09-24,51.0,53.0,51.0,51.0,90802598314,43705551,2438,53.0,51.0
32,2012-09-25,53.0,53.0,52.0,53.0,51891873716,24067292,1477,51.0,53.0
33,2012-09-26,55.0,55.0,55.0,55.0,129768443582,57880771,1746,53.0,55.0
34,2012-09-29,56.0,57.0,55.0,56.0,87020268946,38101591,2828,55.0,55.0
35,2012-09-30,56.0,56.0,54.0,54.0,79478717769,36129713,2100,56.0,54.0
36,2012-10-01,52.0,54.0,52.0,52.0,18570918913,8756782,725,54.0,52.0
37,2012-10-02,51.0,53.0,50.0,50.0,47560959356,23039413,1921,52.0,50.0
38,2012-10-03,52.0,52.0,51.0,52.0,64004653688,29994947,1864,50.0,51.0
39,2012-10-06,51.0,51.0,50.0,50.0,51747278166,25221441,1495,52.0,51.0
40,2012-10-07,51.0,52.0,50.0,51.0,19140697587,9184269,878,50.0,51.0
41,2012-10-08,52.0,53.0,50.0,52.0,36318338606,17072521,1185,51.0,52.0
42,2012-10-09,53.0,54.0,52.0,53.0,25037951720,11647348,953,52.0,53.0
43,2012-10-10,53.0,54.0,53.0,53.0,48237123984,22161005,1433,53.0,53.0
44,2012-10-13,53.0,53.0,51.0,52.0,13558961912,6415418,652,53.0,51.0
45,2012-10-14,50.0,53.0,50.0,52.0,37646621525,17865732,1451,52.0,53.0
46,2012-10-15,53.0,54.0,53.0,54.0,70175477201,32066751,1935,52.0,54.0
47,2012-10-16,54.0,55.0,54.0,54.0,60910337604,27493149,1503,54.0,54.0
48,2012-10-17,53.0,55.0,53.0,54.0,21419049273,9707247,850,54.0,55.0
49,2012-10-20,55.0,56.0,55.0,56.0,26834153061,11714192,729,54.0,56.0
50,2012-10-21,57.0,58.0,56.0,58.0,100373823509,42230153,2211,56.0,58.0
51,2012-10-22,58.0,60.0,58.0,60.0,102646138721,41678589,1713,58.0,60.0
52,2012-10-23,61.0,63.0,59.0,62.0,46142229823,18271861,1369,60.0,63.0
53,2012-10-24,64.0,64.0,64.0,64.0,94445174538,35965413,685,62.0,64.0
54,2012-10-27,67.0,67.0,67.0,67.0,134245145240,49156040,895,64.0,67.0
55,2012-10-28,69.0,69.0,69.0,69.0,239081580880,84183657,1956,67.0,69.0
56,2012-10-29,71.0,72.0,70.0,72.0,137988980347,47000074,3968,69.0,72.0
57,2012-10-30,75.0,75.0,72.0,74.0,407026783792,134575425,5885,72.0,72.0
58,2012-10-31,73.0,74.0,71.0,72.0,96573882880,32683409,2732,74.0,72.0
59,2012-11-04,73.0,74.0,71.0,73.0,52896420452,17815276,1380,72.0,72.0
60,2012-11-05,72.0,73.0,70.0,70.0,103939711049,36118035,1780,73.0,70.0
61,2012-11-06,70.0,72.0,69.0,71.0,55137734458,19027538,1513,70.0,71.0
62,2012-11-07,73.0,73.0,71.0,71.0,81162758173,27798067,1774,71.0,71.0
63,2012-11-10,71.0,72.0,69.0,70.0,27020558527,9399543,973,71.0,70.0
64,2012-11-11,71.0,71.0,70.0,70.0,14858650912,5192639,630,70.0,70.0
65,2012-11-12,70.0,73.0,70.0,72.0,47602609556,16111981,1075,70.0,73.0
66,2012-11-13,75.0,75.0,75.0,75.0,107564911749,35041505,1051,72.0,75.0
67,2012-11-14,78.0,78.0,78.0,78.0,46674924240,14622470,347,75.0,78.0
68,2012-11-17,81.0,81.0,80.0,81.0,268494917222,80929317,4097,78.0,81.0
69,2012-11-18,83.0,84.0,79.0,82.0,125180753814,37389909,3214,81.0,80.0
70,2012-11-19,79.0,81.0,79.0,79.0,110829086034,34194387,2267,82.0,79.0
71,2012-11-20,76.0,76.0,76.0,79.0,1302147936,418428,47,79.0,76.0
72,2012-11-21,76.0,76.0,76.0,76.0,12397332570,4000430,239,79.0,76.0
73,2012-11-26,73.0,76.0,73.0,73.0,157435433612,52416598,3467,76.0,76.0
74,2012-11-27,76.0,76.0,76.0,76.0,81880647954,26226711,1263,73.0,76.0
75,2012-11-28,78.0,79.0,78.0,79.0,180459211558,55795772,3146,76.0,79.0
76,2012-12-01,79.0,82.0,77.0,82.0,134283059484,40251623,2476,79.0,82.0
77,2012-12-02,83.0,85.0,81.0,83.0,114322829855,33497923,2961,82.0,81.0
78,2012-12-03,81.0,85.0,81.0,84.0,109457475838,32049901,2817,83.0,85.0
79,2012-12-04,87.0,87.0,86.0,87.0,272420222864,76740930,3900,84.0,87.0
80,2012-12-05,88.0,90.0,87.0,90.0,298028964839,80987502,5202,87.0,90.0
81,2012-12-08,92.0,94.0,86.0,90.0,200348603938,54712583,5917,90.0,86.0
82,2012-12-09,88.0,89.0,86.0,87.0,87990926501,24657137,2315,90.0,86.0
83,2012-12-10,87.0,89.0,84.0,86.0,88034442040,25113565,2141,87.0,84.0
84,2012-12-11,85.0,89.0,84.0,88.0,237868295545,66248341,3233,86.0,88.0
85,2012-12-12,89.0,90.0,87.0,88.0,39567507167,11012395,1258,88.0,87.0
86,2012-12-15,88.0,89.0,86.0,88.0,74921763643,20911292,1205,88.0,87.0
87,2012-12-16,88.0,91.0,86.0,90.0,198568736680,54183181,3320,88.0,90.0
88,2012-12-17,91.0,93.0,91.0,93.0,95648850109,25135258,1703,90.0,93.0
89,2012-12-18,95.0,95.0,91.0,93.0,98465558384,25999276,2705,93.0,91.0
90,2012-12-19,92.0,94.0,91.0,92.0,105650624126,28112074,2528,93.0,91.0
91,2012-12-22,92.0,96.0,91.0,94.0,105130830025,27228254,2393,92.0,96.0
92,2012-12-23,98.0,98.0,98.0,98.0,16622100000,4140000,144,94.0,98.0
93,2012-12-24,102.0,102.0,102.0,102.0,18139381350,4344762,115,98.0,102.0
94,2012-12-25,106.0,106.0,102.0,105.0,308928365529,71633611,3422,102.0,106.0
95,2012-12-26,109.0,110.0,108.0,109.0,69340677023,15536720,1049,105.0,110.0
96,2013-03-10,137.0,137.0,131.0,133.0,414753032439,76491073,5747,109.0,133.0
97,2013-03-11,136.0,138.0,135.0,137.0,268414457288,47896268,5566,133.0,137.0
98,2013-03-12,135.0,141.0,132.0,137.0,125045728028,22366125,2514,137.0,137.0
99,2013-03-13,140.0,142.0,139.0,142.0,568907019980,98054593,6044,137.0,139.0
100,2013-03-16,142.0,142.0,136.0,139.0,132105303594,23302581,2254,142.0,136.0
101,2013-03-17,134.0,136.0,133.0,134.0,59519491400,10853561,1566,139.0,133.0
102,2013-03-18,136.0,139.0,133.0,137.0,157079514887,28089116,1959,134.0,139.0
103,2013-03-25,142.0,142.0,142.0,137.0,1190254905,204687,48,137.0,142.0
104,2013-03-26,143.0,143.0,143.0,141.0,15547980155,2668265,97,137.0,143.0
105,2013-03-27,146.0,146.0,146.0,146.0,24643356696,4123721,145,141.0,146.0
106,2013-03-30,151.0,152.0,144.0,149.0,273316040873,44833159,5688,146.0,152.0
107,2013-03-31,152.0,155.0,150.0,155.0,188489092393,29788286,3088,149.0,155.0
108,2013-04-03,156.0,160.0,152.0,158.0,131439826567,20351406,3399,155.0,159.0
109,2013-04-06,160.0,163.0,158.0,159.0,94765424067,14539585,2990,158.0,158.0
110,2013-04-07,160.0,162.0,157.0,160.0,95465745584,14636856,2596,159.0,161.0
111,2013-04-08,164.0,166.0,163.0,166.0,93725630340,13844090,808,160.0,166.0
