,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2013-11-23,335.0,335.0,335.0,335.0,80000000,32000,4,134.0,335.0
1,2013-12-09,268.0,268.0,268.0,268.0,100000,50,1,335.0,268.0
2,2013-12-11,468.0,468.0,468.0,468.0,17500000,5000,1,268.0,468.0
3,2014-01-21,484.0,484.0,484.0,484.0,1956957520,540596,1,468.0,484.0
4,2014-01-22,536.0,536.0,536.0,536.0,20050000,5000,1,484.0,536.0
5,2014-01-27,484.0,484.0,484.0,484.0,30097708080,8314284,1,536.0,484.0
6,2014-02-03,535.0,535.0,535.0,535.0,4001000000,1000000,1,484.0,535.0
7,2014-02-25,495.0,495.0,495.0,495.0,8817840000,2383200,1,535.0,495.0
8,2014-03-03,495.0,495.0,495.0,495.0,17635680000,4766400,1,495.0,495.0
9,2014-03-26,495.0,495.0,495.0,495.0,14800000,4000,1,495.0,495.0
10,2014-04-09,495.0,495.0,495.0,495.0,62900000,17000,2,495.0,495.0
11,2014-04-12,495.0,495.0,484.0,494.0,32110000,8700,3,495.0,495.0
12,2014-04-13,495.0,495.0,495.0,495.0,30710000,8300,1,494.0,495.0
13,2014-04-26,495.0,495.0,495.0,495.0,3700000,1000,1,495.0,495.0
14,2015-11-18,467.0,467.0,467.0,467.0,30300000,30000,1,495.0,467.0
15,2015-11-22,485.0,485.0,485.0,485.0,28493850,27137,1,467.0,485.0
16,2015-11-28,489.0,489.0,489.0,489.0,5799260,5471,2,485.0,489.0
17,2015-11-30,495.0,495.0,495.0,495.0,6420000,6000,1,489.0,495.0
18,2015-12-01,485.0,485.0,485.0,485.0,2100000,2000,1,495.0,485.0
19,2015-12-15,499.0,499.0,499.0,499.0,21600000,20000,1,485.0,499.0
20,2015-12-21,489.0,500.0,489.0,489.0,29327200,27665,2,499.0,500.0
21,2016-03-09,489.0,489.0,489.0,489.0,31694000,29900,1,489.0,489.0
22,2016-06-19,489.0,489.0,489.0,489.0,6360000,6000,1,489.0,489.0
23,2016-07-04,489.0,489.0,489.0,489.0,6360000,6000,1,489.0,489.0
24,2016-11-05,491.0,491.0,491.0,491.0,637198938,599999,3,489.0,491.0
25,2017-05-24,540.0,540.0,540.0,540.0,22774832,19499,1,491.0,540.0
26,2017-05-27,593.0,593.0,593.0,593.0,44940000,35000,3,540.0,593.0
27,2017-05-28,652.0,652.0,601.0,652.0,72361910,51336,12,593.0,652.0
28,2017-05-29,716.0,716.0,716.0,716.0,814275000,525000,24,652.0,716.0
29,2017-05-30,788.0,788.0,788.0,788.0,2966048188,1738598,89,716.0,788.0
30,2017-05-31,867.0,867.0,867.0,867.0,20148240,10740,2,788.0,867.0
31,2017-06-06,953.0,953.0,953.0,953.0,31751633,15391,6,867.0,953.0
32,2017-06-07,1048.0,1048.0,1047.0,1048.0,1923053452,847546,82,953.0,1048.0
33,2017-06-10,1153.0,1153.0,1153.0,1153.0,600209675,240565,17,1048.0,1153.0
34,2017-06-11,1268.0,1268.0,1156.0,1263.0,8219179273,3007010,260,1153.0,1268.0
35,2017-06-12,1268.0,1332.0,1137.0,1151.0,2313786268,928622,137,1263.0,1137.0
36,2017-06-13,1039.0,1039.0,1036.0,1036.0,740629229,330153,51,1151.0,1036.0
37,2017-06-14,1036.0,1140.0,1026.0,1107.0,895951139,373776,57,1036.0,1140.0
38,2017-06-17,1218.0,1218.0,1218.0,1218.0,1195298744,453454,42,1107.0,1218.0
39,2017-06-18,1270.0,1339.0,1270.0,1331.0,986419299,342406,42,1218.0,1339.0
40,2017-06-19,1464.0,1464.0,1248.0,1423.0,11127316353,3611094,339,1331.0,1464.0
41,2017-06-20,1547.0,1547.0,1308.0,1417.0,821157760,267702,78,1423.0,1455.0
42,2017-06-21,1445.0,1445.0,1276.0,1321.0,3426331078,1198623,172,1417.0,1409.0
43,2017-06-24,1418.0,1452.0,1302.0,1378.0,2589038244,867630,180,1321.0,1322.0
44,2017-06-25,1322.0,1322.0,1241.0,1262.0,1665063713,609514,139,1378.0,1241.0
45,2017-06-28,1271.0,1275.0,1136.0,1157.0,469512430,187435,65,1262.0,1155.0
46,2017-07-01,1154.0,1154.0,1042.0,1047.0,5692236908,2513360,230,1157.0,1042.0
47,2017-07-02,1028.0,1028.0,942.0,966.0,2118396169,1013080,207,1047.0,963.0
