,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-07,65.0,65.0,63.0,65.0,4712203051,513125,612,65.0,65.0
1,2001-04-08,65.0,65.0,64.0,65.0,9433173281,1023126,527,65.0,65.0
2,2001-04-09,65.0,65.0,63.0,63.0,1805532641,199649,178,65.0,63.0
3,2001-04-10,62.0,62.0,62.0,62.0,381800960,43520,40,63.0,62.0
4,2001-04-11,62.0,63.0,60.0,61.0,4861572340,552861,436,62.0,61.0
5,2001-04-14,61.0,61.0,60.0,61.0,2089770688,243781,262,61.0,61.0
6,2001-04-15,61.0,61.0,61.0,61.0,1599795430,185058,232,61.0,61.0
7,2001-04-16,62.0,63.0,61.0,63.0,2174808491,244189,231,61.0,63.0
8,2001-04-17,64.0,64.0,64.0,64.0,2777821528,304362,307,63.0,64.0
9,2001-04-18,64.0,65.0,64.0,65.0,18508825019,2005518,304,64.0,65.0
10,2001-04-21,65.0,65.0,64.0,64.0,921422951,100535,147,65.0,64.0
11,2001-04-22,64.0,64.0,64.0,64.0,665228505,73527,96,64.0,64.0
12,2001-04-23,63.0,63.0,63.0,63.0,321368203,35879,34,64.0,63.0
13,2001-04-24,64.0,64.0,62.0,63.0,3026727567,336005,345,63.0,63.0
14,2001-04-25,63.0,65.0,63.0,64.0,727985133,79579,120,63.0,64.0
15,2001-04-28,64.0,65.0,64.0,64.0,76221185289,8329273,268,64.0,64.0
16,2001-04-29,64.0,65.0,64.0,64.0,6713053205,734866,359,64.0,64.0
17,2001-04-30,64.0,64.0,63.0,64.0,2025063631,223044,221,64.0,64.0
18,2001-05-01,64.0,64.0,63.0,63.0,1474629487,163739,187,64.0,63.0
19,2001-05-02,63.0,64.0,63.0,64.0,1215386946,134013,201,63.0,64.0
20,2001-05-05,65.0,67.0,64.0,66.0,1094719720,117647,172,64.0,66.0
21,2001-05-06,67.0,69.0,66.0,67.0,3520984862,366156,344,66.0,67.0
22,2001-05-07,69.0,69.0,67.0,69.0,1046386737,106899,163,67.0,69.0
23,2001-05-08,69.0,70.0,68.0,68.0,1537894418,156484,218,69.0,68.0
24,2001-05-09,68.0,69.0,68.0,69.0,1444083150,147726,234,68.0,69.0
25,2001-05-12,69.0,69.0,67.0,67.0,721997243,74580,101,69.0,67.0
26,2001-05-13,67.0,68.0,67.0,68.0,1538074748,159836,175,67.0,68.0
27,2001-05-15,68.0,68.0,67.0,68.0,1245786728,128638,164,68.0,68.0
28,2001-05-16,68.0,68.0,67.0,68.0,1795227158,186513,173,68.0,68.0
29,2001-05-19,67.0,67.0,67.0,67.0,1994302569,208489,180,68.0,67.0
30,2001-05-20,67.0,67.0,67.0,67.0,902013586,94256,122,67.0,67.0
