,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2012-07-04,7.0,7.0,4.0,4.0,138540627445,51251030,1939,2.0,4.0
1,2012-07-07,5.0,5.0,5.0,5.0,388806000,137000,22,4.0,5.0
2,2012-07-08,5.0,5.0,5.0,5.0,26813979,9001,8,5.0,5.0
3,2012-07-09,5.0,5.0,5.0,5.0,40497777,12951,14,5.0,5.0
4,2012-07-10,5.0,5.0,5.0,5.0,192134292,58524,30,5.0,5.0
5,2012-07-11,6.0,6.0,6.0,6.0,1250816337,362871,157,5.0,6.0
6,2012-07-14,6.0,6.0,6.0,6.0,28819913738,7963502,2229,6.0,6.0
7,2012-07-15,6.0,6.0,6.0,6.0,116528689172,31817392,9328,6.0,6.0
8,2012-07-16,6.0,6.0,6.0,6.0,24080204566,6710684,1658,6.0,6.0
9,2012-07-17,6.0,6.0,6.0,6.0,23807348160,6918207,1236,6.0,6.0
10,2012-08-21,6.0,6.0,6.0,6.0,12102071493,3692946,618,6.0,6.0
11,2012-08-22,6.0,6.0,6.0,6.0,13295135538,3878717,490,6.0,6.0
12,2012-08-25,6.0,7.0,6.0,7.0,15493774869,4357005,484,6.0,7.0
13,2012-08-26,7.0,7.0,7.0,7.0,48831373,13081,11,7.0,7.0
14,2012-08-27,7.0,7.0,7.0,7.0,85995473036,22080234,2090,7.0,7.0
15,2012-09-02,7.0,7.0,7.0,7.0,27425364295,6939316,932,7.0,7.0
16,2012-09-03,7.0,8.0,7.0,8.0,28164588998,6869825,902,7.0,8.0
17,2012-09-04,8.0,8.0,8.0,8.0,42820445540,9974052,776,8.0,8.0
18,2012-09-05,8.0,8.0,8.0,8.0,49513000186,11593188,1615,8.0,8.0
19,2012-09-08,8.0,8.0,7.0,8.0,20463546643,4911968,903,8.0,7.0
20,2012-09-09,7.0,7.0,7.0,7.0,7125603358,1790491,189,8.0,7.0
21,2012-09-10,7.0,8.0,7.0,7.0,31653704334,7885087,1261,7.0,7.0
22,2012-09-11,7.0,7.0,7.0,7.0,10171331178,2604355,609,7.0,7.0
23,2012-09-15,7.0,8.0,7.0,7.0,13966271160,3434231,421,7.0,8.0
24,2012-09-16,8.0,8.0,7.0,8.0,40525237027,9697967,953,7.0,8.0
25,2012-09-17,8.0,8.0,8.0,8.0,21144671076,4853815,595,8.0,8.0
26,2012-09-18,8.0,8.0,8.0,8.0,40799845201,8924931,538,8.0,8.0
27,2012-09-19,8.0,9.0,8.0,8.0,59431097023,13239707,1552,8.0,8.0
28,2012-09-22,8.0,8.0,8.0,8.0,30053056286,6771508,983,8.0,8.0
29,2012-09-23,8.0,8.0,8.0,8.0,8648457743,2027434,322,8.0,8.0
30,2012-09-24,8.0,8.0,7.0,7.0,32067800761,7870006,996,8.0,8.0
31,2012-09-25,8.0,8.0,8.0,8.0,26922318602,6351090,764,7.0,8.0
32,2012-09-26,8.0,8.0,8.0,8.0,48458636540,10915111,1100,8.0,8.0
33,2012-09-29,8.0,8.0,8.0,8.0,26089415473,5963097,857,8.0,8.0
34,2012-09-30,8.0,8.0,8.0,8.0,13463816073,3192221,561,8.0,8.0
35,2012-10-01,8.0,8.0,7.0,7.0,14034490732,3481113,590,8.0,7.0
36,2012-10-02,7.0,8.0,7.0,8.0,5648215209,1365674,241,7.0,8.0
37,2012-10-03,8.0,8.0,8.0,8.0,13735436023,3205419,526,8.0,8.0
38,2012-10-06,8.0,8.0,7.0,7.0,6034540171,1479514,263,8.0,7.0
39,2012-10-07,8.0,8.0,7.0,8.0,2536911914,619153,154,7.0,8.0
40,2012-10-08,8.0,8.0,7.0,8.0,10979792151,2620073,354,8.0,8.0
41,2012-10-09,8.0,8.0,8.0,8.0,9188064562,2138511,293,8.0,8.0
42,2012-10-10,8.0,8.0,8.0,8.0,7918924870,1837355,352,8.0,8.0
43,2012-10-13,8.0,8.0,8.0,8.0,5977669643,1451855,376,8.0,8.0
44,2012-10-14,8.0,8.0,7.0,8.0,3976494217,956756,241,8.0,8.0
45,2012-10-15,8.0,8.0,8.0,8.0,22085727141,5080239,507,8.0,8.0
46,2012-10-16,8.0,8.0,8.0,8.0,35622061950,8085126,523,8.0,8.0
47,2012-10-17,8.0,8.0,8.0,8.0,8308484681,1922973,307,8.0,8.0
