,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-04-15,226.0,226.0,226.0,226.0,57619891863600,6699987426,2061657,26.0,226.0
1,2020-04-18,238.0,238.0,238.0,234.0,84687412530,9378451,2122,226.0,238.0
2,2020-04-19,246.0,246.0,246.0,238.0,40548235797,4344609,2796,234.0,246.0
3,2020-04-20,250.0,250.0,250.0,244.0,71072242612,7498654,3759,238.0,250.0
4,2020-04-21,256.0,256.0,256.0,250.0,62696434404,6442297,3290,244.0,256.0
5,2020-04-22,262.0,262.0,262.0,256.0,70005944439,7030827,4259,250.0,262.0
6,2020-04-25,269.0,269.0,269.0,264.0,75670624284,7402722,4047,256.0,269.0
7,2020-04-26,277.0,277.0,277.0,276.0,117392074464,11150463,5678,264.0,277.0
8,2020-04-27,289.0,289.0,289.0,287.0,115669437324,10511581,5664,276.0,289.0
9,2020-04-28,302.0,302.0,302.0,302.0,179581494912,15653896,7313,287.0,302.0
10,2020-04-29,317.0,317.0,317.0,316.0,145144875810,12050218,6238,302.0,317.0
11,2020-05-02,332.0,332.0,332.0,332.0,128380787028,10159923,5500,316.0,332.0
12,2020-05-03,349.0,349.0,349.0,349.0,138556408696,10443688,5132,332.0,349.0
13,2020-05-05,366.0,385.0,366.0,380.0,2307919814364,159556314,48485,349.0,385.0
14,2020-05-10,399.0,399.0,399.0,399.0,652551463156,42964937,19285,380.0,399.0
15,2020-05-11,419.0,419.0,419.0,419.0,565640265417,35470011,12824,399.0,419.0
16,2020-05-12,440.0,440.0,398.0,429.0,11868199052347,727044963,226166,419.0,410.0
17,2020-05-13,409.0,451.0,408.0,409.0,7357795218762,473223138,180257,429.0,410.0
18,2020-05-16,410.0,410.0,388.0,388.0,852769917483,57729745,16498,409.0,388.0
19,2020-05-17,369.0,408.0,369.0,379.0,4392906957521,305079856,116632,388.0,388.0
20,2020-05-18,397.0,397.0,397.0,397.0,842439695276,55724282,22446,379.0,397.0
21,2020-05-19,406.0,417.0,391.0,402.0,5219103638097,341719786,113983,397.0,399.0
22,2020-05-20,391.0,421.0,390.0,396.0,4587465183472,304185319,153165,402.0,394.0
23,2020-05-23,380.0,389.0,377.0,379.0,3374834077845,233868755,82348,396.0,377.0
24,2020-05-26,360.0,377.0,360.0,360.0,382858000000,27927529,6773,379.0,360.0
25,2020-05-27,378.0,378.0,378.0,378.0,1171583710236,81393894,24725,360.0,378.0
