,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2018-07-04,13.0,13.0,13.0,13.0,221000000000,130000000,146914,7.0,13.0
1,2018-07-07,13.0,13.0,13.0,13.0,371556675,208155,275,13.0,13.0
2,2018-07-08,14.0,14.0,14.0,14.0,1455166622,776503,1043,13.0,14.0
3,2018-07-10,15.0,15.0,15.0,15.0,75010006806,38134218,27404,14.0,15.0
4,2018-07-11,15.0,15.0,15.0,15.0,163841647846,81139139,78685,15.0,15.0
5,2018-07-14,16.0,16.0,16.0,16.0,4389519095,2071505,1296,15.0,16.0
6,2018-07-15,16.0,17.0,16.0,17.0,104632509228,47293752,28498,16.0,16.0
7,2018-07-16,16.0,16.0,16.0,16.0,47159842500,22168778,14712,17.0,16.0
8,2018-07-17,15.0,16.0,15.0,15.0,61987227659,30391906,19584,16.0,15.0
9,2018-07-18,15.0,16.0,15.0,16.0,25140940851,12031814,5512,15.0,16.0
10,2018-07-28,16.0,17.0,16.0,17.0,57351375979,25022973,7877,16.0,17.0
11,2018-07-29,17.0,17.0,16.0,17.0,67905407871,30593455,12070,17.0,16.0
12,2018-07-30,17.0,17.0,16.0,17.0,59381497385,25691789,7986,17.0,17.0
13,2018-07-31,18.0,18.0,18.0,18.0,25588169351,10547715,2668,17.0,18.0
14,2018-08-01,19.0,19.0,18.0,19.0,101149344132,39977207,11200,18.0,19.0
15,2018-08-04,19.0,20.0,18.0,19.0,50372223849,19759179,6691,19.0,19.0
16,2018-08-05,19.0,20.0,19.0,20.0,25533537238,9577117,2615,19.0,20.0
17,2018-08-06,21.0,22.0,21.0,22.0,68050288047,23167468,5953,20.0,22.0
18,2018-08-07,22.0,23.0,21.0,23.0,131010346778,43046645,11409,22.0,23.0
19,2018-08-08,23.0,24.0,23.0,24.0,38443854257,12051191,3432,23.0,24.0
20,2018-08-11,25.0,25.0,23.0,24.0,80561519291,25168803,8052,24.0,23.0
21,2018-08-12,23.0,25.0,23.0,24.0,40522481193,12657552,4295,24.0,24.0
22,2018-08-13,24.0,24.0,23.0,23.0,47133297727,15454788,5179,24.0,23.0
23,2018-08-14,24.0,24.0,23.0,24.0,56713509470,17738946,4708,23.0,24.0
24,2018-08-15,24.0,25.0,23.0,24.0,32147319072,9853347,3495,24.0,25.0
25,2018-08-18,25.0,26.0,25.0,26.0,105667895602,30866502,7968,24.0,26.0
26,2018-08-21,27.0,28.0,27.0,28.0,113528041907,30095574,6739,26.0,28.0
27,2018-08-25,30.0,30.0,30.0,30.0,75028745880,18946653,4147,28.0,30.0
28,2018-08-26,31.0,31.0,31.0,31.0,75335014062,18118089,3870,30.0,31.0
29,2018-08-27,33.0,33.0,30.0,31.0,192349035258,46014099,12156,31.0,30.0
30,2018-08-28,30.0,31.0,30.0,30.0,43727487896,10956257,3270,31.0,30.0
31,2018-08-29,29.0,30.0,28.0,29.0,77131019968,19519469,6201,30.0,29.0
32,2018-09-01,29.0,31.0,28.0,29.0,43117135383,11076257,3704,29.0,29.0
33,2018-09-02,29.0,29.0,28.0,28.0,15098513713,4039429,1400,29.0,28.0
34,2018-09-03,27.0,29.0,27.0,28.0,48850694276,13254823,4356,28.0,28.0
35,2018-09-04,28.0,29.0,27.0,28.0,56478186798,15124912,4902,28.0,28.0
36,2018-09-05,28.0,28.0,27.0,28.0,31786851515,8617890,2994,28.0,27.0
37,2018-09-08,28.0,28.0,26.0,27.0,62714102623,17468052,5700,28.0,27.0
38,2018-09-09,27.0,28.0,26.0,28.0,102598325402,27608862,6970,27.0,28.0
39,2018-09-10,29.0,29.0,29.0,29.0,41991319745,10764245,2248,28.0,29.0
40,2018-09-11,31.0,31.0,31.0,31.0,57255464960,13978385,3000,29.0,31.0
41,2018-09-12,32.0,32.0,32.0,32.0,48472519700,11272679,2370,31.0,32.0
42,2018-09-15,34.0,34.0,34.0,34.0,482784435,106929,32,32.0,34.0
43,2018-09-22,35.0,37.0,35.0,37.0,14261398923,2875794,667,34.0,37.0
44,2018-09-23,39.0,39.0,39.0,39.0,3705271586,711731,226,37.0,39.0
45,2018-09-24,41.0,41.0,40.0,41.0,193184185289,35345752,7187,39.0,41.0
46,2018-09-25,43.0,43.0,43.0,43.0,6047144127,1053693,252,41.0,43.0
47,2018-09-26,45.0,45.0,45.0,45.0,1284626400,213216,36,43.0,45.0
48,2018-09-29,47.0,50.0,47.0,49.0,182460826685,27530840,6289,45.0,50.0
