,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2018-03-07,1011.0,1011.0,1011.0,1011.0,489463450000,117943000,144173,244.0,1011.0
1,2018-03-10,1061.0,1061.0,1014.0,1038.0,247531106757,58072428,74537,1011.0,1020.0
2,2018-03-11,999.0,1012.0,986.0,993.0,114759772395,28158982,27245,1038.0,999.0
3,2018-03-12,999.0,1011.0,986.0,994.0,42105189561,10313851,11731,993.0,993.0
4,2018-03-13,994.0,999.0,986.0,991.0,20582626811,5060357,5334,994.0,988.0
5,2018-03-14,998.0,1000.0,987.0,992.0,19765770957,4853702,4264,991.0,1000.0
6,2018-03-17,989.0,989.0,956.0,965.0,16776089340,4234836,3149,992.0,962.0
7,2018-03-18,957.0,977.0,957.0,968.0,13958231253,3513366,2852,965.0,960.0
8,2018-03-19,960.0,977.0,958.0,966.0,18157819104,4576240,4886,968.0,972.0
9,2018-03-25,958.0,966.0,938.0,941.0,6721851001,1739769,1536,966.0,940.0
10,2018-03-26,938.0,951.0,927.0,937.0,7292927328,1895264,1520,941.0,950.0
11,2018-03-27,931.0,974.0,931.0,962.0,11427981980,2893961,1488,937.0,974.0
12,2018-03-28,960.0,1010.0,950.0,1006.0,26926962853,6520357,2685,962.0,1010.0
13,2018-04-03,1007.0,1047.0,982.0,1030.0,26835611412,6348086,3773,1006.0,1038.0
14,2018-04-04,1028.0,1054.0,1019.0,1045.0,30809852082,7180534,3751,1030.0,1053.0
15,2018-04-07,1047.0,1052.0,1026.0,1037.0,10220312083,2401135,2148,1045.0,1028.0
16,2018-04-08,1034.0,1047.0,1006.0,1031.0,9548046675,2254875,1411,1037.0,1023.0
17,2018-04-09,1023.0,1023.0,996.0,1008.0,6410811637,1548496,1176,1031.0,1011.0
18,2018-04-10,1008.0,1039.0,1006.0,1030.0,9112379353,2155146,1794,1008.0,1019.0
19,2018-04-11,1023.0,1043.0,1004.0,1027.0,6268885526,1486325,1141,1030.0,1005.0
20,2018-04-15,999.0,1017.0,987.0,999.0,3423164587,834422,517,1027.0,1013.0
21,2018-04-16,986.0,1023.0,980.0,1003.0,2456570382,596521,478,999.0,1015.0
22,2018-04-17,990.0,1015.0,990.0,1001.0,1827277926,444917,437,1003.0,1007.0
23,2018-04-18,989.0,1011.0,989.0,1004.0,3508466304,851243,803,1001.0,1010.0
24,2018-04-21,987.0,1020.0,987.0,1002.0,1623378933,394742,582,1004.0,1004.0
25,2018-04-22,992.0,1023.0,991.0,1011.0,5296164035,1276274,1025,1002.0,1023.0
26,2018-04-23,1021.0,1021.0,1000.0,1011.0,1431767538,345101,523,1011.0,1011.0
27,2018-04-24,999.0,1021.0,999.0,1012.0,1918127664,461647,456,1011.0,1014.0
28,2018-04-25,1016.0,1018.0,1004.0,1013.0,1691274612,406691,538,1012.0,1012.0
29,2018-04-28,994.0,1013.0,994.0,1007.0,1991902509,481978,448,1013.0,1011.0
30,2018-04-29,994.0,1011.0,994.0,1006.0,2387822623,578149,411,1007.0,1006.0
