,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2008-02-03,16.0,16.0,16.0,16.0,317110038750,46979265,5960,16.0,16.0
1,2008-02-04,16.0,16.0,16.0,16.0,197472712725,28681585,5103,16.0,16.0
2,2008-02-05,16.0,16.0,16.0,16.0,274491838082,39090291,6801,16.0,16.0
3,2008-02-06,17.0,17.0,16.0,17.0,249422135983,34833741,4899,16.0,17.0
4,2008-02-09,17.0,17.0,17.0,17.0,154661524521,21177807,2778,17.0,17.0
5,2008-02-10,17.0,17.0,17.0,17.0,99720884306,13508223,3462,17.0,17.0
6,2008-02-12,17.0,17.0,17.0,17.0,88497261020,12231701,2258,17.0,17.0
7,2008-02-13,16.0,17.0,16.0,16.0,30791865516,4333281,1195,17.0,16.0
8,2008-02-16,17.0,17.0,16.0,16.0,10191674230,1427266,425,16.0,16.0
9,2008-02-17,17.0,17.0,16.0,16.0,6093694685,855804,274,16.0,16.0
10,2008-02-18,16.0,17.0,16.0,17.0,8417360055,1168188,375,16.0,17.0
11,2008-02-19,17.0,17.0,17.0,17.0,25608028338,3485501,858,17.0,17.0
12,2008-02-20,17.0,17.0,17.0,17.0,11024464224,1494767,456,17.0,17.0
13,2008-02-23,17.0,17.0,17.0,17.0,11241389840,1502669,488,17.0,17.0
14,2008-02-24,17.0,17.0,17.0,17.0,9993276506,1346002,337,17.0,17.0
15,2008-02-25,17.0,17.0,17.0,17.0,9870450814,1336975,364,17.0,17.0
16,2008-02-26,17.0,17.0,17.0,17.0,16044632286,2171839,383,17.0,17.0
17,2008-02-27,17.0,17.0,17.0,17.0,6235679576,850473,224,17.0,17.0
18,2008-03-01,17.0,17.0,17.0,17.0,11883835385,1653665,249,17.0,17.0
19,2008-03-02,16.0,17.0,16.0,16.0,2839354211,399713,154,17.0,16.0
20,2008-03-03,16.0,17.0,16.0,17.0,4100193541,563603,162,16.0,17.0
21,2008-03-04,17.0,17.0,17.0,17.0,2395212229,330161,126,17.0,17.0
22,2008-03-05,17.0,17.0,17.0,17.0,3966077408,548306,173,17.0,17.0
23,2008-03-09,17.0,17.0,16.0,16.0,10479273394,1475767,406,17.0,16.0
24,2008-03-10,16.0,16.0,16.0,16.0,7994512911,1139368,329,16.0,16.0
25,2008-03-11,16.0,16.0,16.0,16.0,228557285197,32574117,141,16.0,16.0
26,2008-03-12,16.0,17.0,16.0,16.0,5649135598,791709,230,16.0,16.0
27,2008-03-15,16.0,17.0,16.0,17.0,832281849500,116454382,2225,16.0,17.0
28,2008-03-16,17.0,17.0,17.0,17.0,5244951587,725235,232,17.0,17.0
29,2008-03-17,17.0,17.0,17.0,17.0,61917589581,8475713,777,17.0,17.0
30,2008-04-21,16.0,16.0,15.0,16.0,40169841165,5804580,1275,17.0,16.0
31,2008-04-22,16.0,16.0,9.0,16.0,51448302932,8731104,283,16.0,16.0
32,2008-04-23,16.0,16.0,16.0,16.0,3917584943,564605,172,16.0,16.0
33,2008-04-26,16.0,16.0,16.0,16.0,1548771932,219964,70,16.0,16.0
