,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-05-07,343.0,343.0,343.0,343.0,1500000,1000,1,0.0,343.0
1,2001-06-02,360.0,360.0,360.0,360.0,1575000,1000,1,343.0,360.0
2,2001-06-11,378.0,378.0,378.0,378.0,1653000,1000,2,360.0,378.0
3,2001-06-13,397.0,397.0,397.0,397.0,1735000,1000,2,378.0,397.0
4,2001-06-16,416.0,416.0,416.0,416.0,1821000,1000,1,397.0,416.0
5,2001-06-17,437.0,437.0,437.0,437.0,1912000,1000,1,416.0,437.0
6,2001-06-18,459.0,459.0,459.0,459.0,2007000,1000,1,437.0,459.0
7,2001-06-23,482.0,482.0,482.0,482.0,2107000,1000,1,459.0,482.0
8,2001-06-25,506.0,506.0,506.0,506.0,4424000,2000,2,482.0,506.0
9,2001-06-26,531.0,531.0,531.0,531.0,11610000,5000,3,506.0,531.0
10,2001-07-01,557.0,557.0,557.0,557.0,12190000,5000,1,531.0,557.0
11,2001-07-02,585.0,585.0,585.0,585.0,12795000,5000,1,557.0,585.0
12,2001-07-03,614.0,614.0,614.0,614.0,13430000,5000,3,585.0,614.0
13,2001-07-04,645.0,645.0,645.0,645.0,23970000,8500,5,614.0,645.0
14,2001-07-07,677.0,677.0,677.0,677.0,135302895,45695,20,645.0,677.0
15,2001-07-09,694.0,694.0,694.0,694.0,6373500,2100,3,677.0,694.0
16,2001-07-10,711.0,711.0,695.0,711.0,36056600,11595,10,694.0,711.0
17,2001-07-11,729.0,729.0,729.0,729.0,31870000,10000,4,711.0,729.0
18,2001-07-14,730.0,731.0,729.0,729.0,92940225,29100,26,729.0,729.0
19,2001-07-15,729.0,731.0,729.0,731.0,19367301,6054,8,729.0,731.0
20,2001-07-16,731.0,731.0,731.0,731.0,10083200,3151,6,731.0,731.0
21,2001-07-18,731.0,731.0,731.0,731.0,6400000,2000,1,731.0,731.0
22,2001-07-22,731.0,731.0,731.0,731.0,3470856,1086,1,731.0,731.0
23,2001-07-25,718.0,718.0,718.0,718.0,11241200,3580,3,731.0,718.0
24,2001-07-29,700.0,708.0,700.0,708.0,38297908,12479,5,718.0,708.0
25,2001-07-30,700.0,700.0,700.0,700.0,263332,86,1,708.0,700.0
26,2001-08-08,665.0,665.0,665.0,665.0,5820000,2000,1,700.0,665.0
27,2001-08-13,662.0,663.0,662.0,663.0,14492000,5000,2,665.0,663.0
28,2001-08-20,658.0,658.0,658.0,658.0,2141976,744,1,663.0,658.0
29,2001-08-22,658.0,658.0,658.0,658.0,3885120,1349,1,658.0,658.0
30,2001-08-25,661.0,662.0,661.0,662.0,24541760,8480,7,658.0,662.0
31,2001-11-25,690.0,690.0,690.0,690.0,2975748,986,2,662.0,690.0
32,2001-12-17,640.0,640.0,640.0,640.0,2800000,1000,1,690.0,640.0
33,2001-12-26,624.0,624.0,624.0,624.0,1365000,500,1,640.0,624.0
34,2002-01-02,608.0,608.0,608.0,608.0,11180400,4200,5,624.0,608.0
35,2002-01-05,608.0,608.0,608.0,608.0,36110030,13565,4,608.0,608.0
36,2002-01-12,593.0,593.0,593.0,593.0,3138564,1209,3,608.0,593.0
37,2002-01-13,593.0,593.0,593.0,593.0,649000,250,1,593.0,593.0
38,2002-03-10,457.0,457.0,457.0,457.0,2000000,1000,1,593.0,457.0
39,2002-03-11,458.0,458.0,458.0,458.0,904255,451,1,457.0,458.0
40,2002-03-16,458.0,458.0,458.0,458.0,5012500,2500,3,458.0,458.0
41,2002-03-17,459.0,459.0,459.0,459.0,2508500,1250,2,458.0,459.0
42,2002-03-31,469.0,469.0,469.0,469.0,2451800,1196,3,459.0,469.0
43,2002-04-07,469.0,469.0,469.0,469.0,8200000,4000,1,469.0,469.0
44,2002-04-13,469.0,469.0,469.0,469.0,26391700,12874,2,469.0,469.0
45,2002-04-22,480.0,480.0,480.0,480.0,5386500,2565,1,469.0,480.0
46,2002-04-27,482.0,482.0,482.0,482.0,350260,166,1,480.0,482.0
47,2002-04-28,491.0,492.0,491.0,492.0,5375500,2500,2,482.0,492.0
48,2002-04-30,516.0,516.0,516.0,516.0,7903000,3500,1,492.0,516.0
49,2002-05-01,542.0,542.0,542.0,542.0,9776250,4125,2,516.0,542.0
50,2002-05-06,569.0,569.0,569.0,569.0,7464000,3000,1,542.0,569.0
51,2002-05-08,597.0,597.0,597.0,597.0,13060000,5000,1,569.0,597.0
52,2002-05-15,624.0,624.0,598.0,624.0,6348280,2336,3,597.0,624.0
53,2002-05-18,640.0,640.0,640.0,640.0,5600000,2000,1,624.0,640.0
54,2002-05-19,640.0,640.0,640.0,640.0,392000,140,1,640.0,640.0
55,2002-05-22,640.0,640.0,640.0,640.0,4961600,1772,1,640.0,640.0
56,2002-06-02,275.0,275.0,275.0,275.0,1201000,1000,1,640.0,275.0
57,2002-06-29,288.0,288.0,288.0,288.0,18915000,15000,3,275.0,288.0
58,2002-08-31,343.0,343.0,343.0,343.0,7500000,5000,1,288.0,343.0
59,2002-09-04,360.0,360.0,360.0,360.0,3150000,2000,1,343.0,360.0
60,2002-09-07,378.0,378.0,378.0,378.0,198360,120,1,360.0,378.0
61,2002-09-15,378.0,378.0,378.0,378.0,711650,430,3,378.0,378.0
62,2002-09-18,378.0,378.0,378.0,378.0,496500,300,1,378.0,378.0
63,2002-10-14,360.0,360.0,360.0,360.0,25168000,16000,2,378.0,360.0
64,2002-10-30,362.0,362.0,362.0,362.0,5083056,3209,2,360.0,362.0
65,2002-12-10,380.0,380.0,380.0,380.0,2946836,1772,6,362.0,380.0
66,2002-12-14,399.0,399.0,399.0,399.0,520308,298,1,380.0,399.0
67,2002-12-22,419.0,419.0,419.0,419.0,845013,461,1,399.0,419.0
68,2002-12-31,440.0,440.0,440.0,440.0,579124,301,1,419.0,440.0
69,2003-01-07,462.0,462.0,462.0,462.0,11596820,5741,1,440.0,462.0
70,2003-01-08,485.0,485.0,485.0,485.0,634179,299,1,462.0,485.0
71,2003-02-25,343.0,457.0,343.0,457.0,1900000,1000,2,485.0,457.0
72,2003-03-02,434.0,434.0,434.0,434.0,5700000,3000,1,457.0,434.0
73,2003-03-03,413.0,413.0,413.0,413.0,3610000,2000,1,434.0,413.0
74,2003-03-04,392.0,392.0,392.0,392.0,1715000,1000,1,413.0,392.0
75,2003-03-05,373.0,373.0,373.0,373.0,2837830,1741,1,392.0,373.0
76,2004-01-17,457.0,457.0,457.0,457.0,100000000,50000,5,373.0,457.0
77,2004-01-20,480.0,480.0,458.0,458.0,1049902,500,2,457.0,458.0
78,2004-01-21,480.0,480.0,461.0,461.0,5253915,2500,3,458.0,461.0
79,2004-01-25,483.0,483.0,462.0,462.0,2748208,1300,4,461.0,462.0
80,2004-02-01,485.0,485.0,465.0,465.0,4266330,2010,2,462.0,465.0
81,2004-02-17,465.0,480.0,465.0,465.0,2571933,1234,3,465.0,465.0
82,2004-03-03,465.0,465.0,465.0,465.0,2053350,1010,2,465.0,465.0
83,2004-03-07,464.0,465.0,464.0,465.0,2255540,1110,2,465.0,465.0
84,2004-04-13,465.0,465.0,465.0,465.0,4068000,2000,1,465.0,465.0
85,2004-05-15,465.0,465.0,465.0,465.0,12610800,6200,1,465.0,465.0
86,2004-05-18,465.0,465.0,465.0,465.0,16328952,8028,1,465.0,465.0
87,2004-05-19,465.0,465.0,465.0,465.0,6505600,3200,1,465.0,465.0
88,2005-03-13,465.0,465.0,465.0,465.0,1016500,500,1,465.0,465.0
89,2005-03-30,465.0,465.0,465.0,465.0,406600,200,2,465.0,465.0
90,2005-04-04,465.0,465.0,465.0,465.0,1199470,590,1,465.0,465.0
91,2005-04-06,457.0,464.0,457.0,464.0,40320,20,2,465.0,464.0
92,2005-04-12,457.0,463.0,457.0,463.0,11800240,5900,3,464.0,463.0
93,2005-05-07,486.0,486.0,470.0,470.0,15958050,7510,2,463.0,470.0
94,2005-12-05,846.0,846.0,846.0,846.0,270100000,73000,8,470.0,846.0
95,2005-12-13,846.0,846.0,846.0,846.0,17884665,4835,5,846.0,846.0
96,2005-12-21,843.0,845.0,843.0,845.0,11475970,3110,2,846.0,845.0
97,2005-12-25,843.0,845.0,843.0,845.0,73850,20,2,845.0,845.0
98,2005-12-28,823.0,843.0,823.0,843.0,8514860,2365,3,845.0,843.0
99,2006-01-04,801.0,842.0,801.0,842.0,211950,60,2,843.0,842.0
