,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-06-11,1745.0,1745.0,1745.0,1745.0,7286389721760,3959994414,2186624,948.0,1745.0
1,2023-06-12,1832.0,1832.0,1832.0,1832.0,30593621856,15835208,1903,1745.0,1832.0
2,2023-06-13,1923.0,1923.0,1923.0,1923.0,31586838192,15575364,1670,1832.0,1923.0
3,2023-06-14,2019.0,2019.0,2019.0,2019.0,35241181583,16552927,2198,1923.0,2019.0
4,2023-06-17,2120.0,2120.0,2120.0,2120.0,46123560900,20636940,4559,2019.0,2120.0
5,2023-06-18,2225.0,2225.0,2225.0,2225.0,55751029032,23764292,6336,2120.0,2225.0
6,2023-06-19,2336.0,2336.0,2336.0,2336.0,530480856258,215379966,33142,2225.0,2336.0
7,2023-06-20,2453.0,2453.0,2453.0,2453.0,536788055244,207574654,24444,2336.0,2453.0
8,2023-06-21,2575.0,2575.0,2575.0,2575.0,1079231792790,397507106,111063,2453.0,2575.0
9,2023-06-24,2576.0,2644.0,2447.0,2559.0,5455504250292,2022371821,621222,2575.0,2556.0
10,2023-06-25,2583.0,2583.0,2432.0,2459.0,2016439999129,777793581,242400,2559.0,2433.0
11,2023-06-26,2432.0,2579.0,2376.0,2496.0,1603031019034,609138320,152277,2459.0,2493.0
12,2023-06-27,2512.0,2530.0,2372.0,2407.0,982608601747,387161452,80668,2496.0,2382.0
13,2023-06-28,2353.0,2401.0,2310.0,2351.0,580987293236,234396802,57183,2407.0,2377.0
14,2023-07-01,2377.0,2408.0,2345.0,2371.0,392691641046,157061905,36024,2351.0,2350.0
15,2023-07-02,2353.0,2409.0,2337.0,2367.0,498135400467,199592289,40743,2371.0,2347.0
16,2023-07-03,2353.0,2380.0,2290.0,2310.0,652860241906,268018600,59392,2367.0,2298.0
17,2023-07-04,2296.0,2322.0,2261.0,2290.0,566083208757,234523046,52775,2310.0,2299.0
18,2023-07-05,2316.0,2403.0,2286.0,2377.0,628300047875,250701430,28168,2290.0,2403.0
19,2023-07-08,2494.0,2494.0,2403.0,2457.0,865997095218,334190618,28375,2377.0,2415.0
20,2023-07-09,2410.0,2437.0,2335.0,2356.0,499874983019,201243980,24890,2457.0,2347.0
21,2023-07-10,2314.0,2399.0,2238.0,2276.0,395843636108,164939863,19201,2356.0,2254.0
22,2023-07-11,2266.0,2324.0,2163.0,2237.0,362424098880,153638661,16264,2276.0,2234.0
23,2023-07-12,2257.0,2292.0,2136.0,2186.0,310227630458,134615522,16074,2237.0,2188.0
24,2023-07-15,2219.0,2239.0,2119.0,2168.0,219167497034,95873804,13858,2186.0,2131.0
25,2023-07-16,2135.0,2152.0,2060.0,2066.0,336650630939,154556678,13579,2168.0,2060.0
26,2023-07-17,2034.0,2049.0,1963.0,1974.0,325120909468,156209049,14276,2066.0,1992.0
27,2023-07-18,2031.0,2072.0,2020.0,2064.0,254928773159,117176985,9876,1974.0,2072.0
28,2023-07-19,2088.0,2158.0,1993.0,2083.0,242288503187,110310177,17099,2064.0,2011.0
29,2023-07-22,2006.0,2020.0,1979.0,1982.0,259860317738,124340664,9513,2083.0,1979.0
30,2023-07-23,1973.0,2046.0,1935.0,1999.0,102530594145,48645933,7479,1982.0,1982.0
31,2023-07-24,2021.0,2069.0,2004.0,2027.0,89701461802,41970434,6348,1999.0,2016.0
32,2023-07-25,2016.0,2106.0,2013.0,2047.0,150882288820,69903170,7098,2027.0,2022.0
33,2023-07-26,1982.0,2030.0,1978.0,2002.0,149278243994,70713516,7109,2047.0,2013.0
34,2023-07-29,2019.0,2033.0,1966.0,1987.0,108949760237,52010463,6620,2002.0,1978.0
35,2023-07-30,1972.0,1986.0,1896.0,1917.0,195400249506,96680703,8801,1987.0,1909.0
36,2023-07-31,1930.0,1959.0,1917.0,1932.0,92596288436,45457896,6204,1917.0,1947.0
37,2023-08-01,1954.0,1996.0,1940.0,1962.0,124773820265,60300467,7236,1932.0,1981.0
38,2023-08-05,1993.0,2049.0,1974.0,2011.0,118796918313,56046827,7276,1962.0,2007.0
39,2023-08-06,1993.0,2011.0,1961.0,1975.0,137075869073,65825361,7233,2011.0,1969.0
40,2023-08-07,1966.0,1996.0,1944.0,1967.0,150260844520,72434526,13080,1975.0,1952.0
41,2023-08-08,1963.0,1963.0,1925.0,1938.0,101226043801,49544170,5745,1967.0,1935.0
42,2023-08-09,1935.0,2034.0,1931.0,2013.0,348664430807,164345592,9298,1938.0,2034.0
43,2023-08-12,2034.0,2104.0,1945.0,2051.0,508556311370,235250508,12905,2013.0,2039.0
44,2023-08-13,2050.0,2106.0,2016.0,2058.0,216202014609,99613934,7915,2051.0,2029.0
