,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2013-02-25,1788.0,1788.0,1788.0,1788.0,773211788300,29853737,6152,69.0,1788.0
1,2013-02-26,1829.0,1877.0,1810.0,1860.0,325703105232,12086464,14094,1788.0,1877.0
2,2013-02-27,1950.0,1953.0,1933.0,1952.0,58955994725,2085093,2097,1860.0,1953.0
3,2013-03-02,2049.0,2049.0,2049.0,2049.0,11841147864,398853,295,1952.0,2049.0
4,2013-03-03,2152.0,2152.0,2071.0,2142.0,295067697025,9508368,9980,2049.0,2133.0
5,2013-03-04,2105.0,2140.0,2035.0,2046.0,104757931630,3534011,3015,2142.0,2035.0
6,2013-03-05,1944.0,2013.0,1944.0,1950.0,131993403047,4672478,4138,2046.0,1944.0
7,2013-03-06,1964.0,2022.0,1898.0,1958.0,51920418575,1830066,2143,1950.0,1912.0
8,2013-03-09,1888.0,1922.0,1860.0,1863.0,43961819052,1628850,1385,1958.0,1860.0
9,2013-03-10,1819.0,1956.0,1795.0,1879.0,37657472044,1383066,1448,1863.0,1863.0
10,2013-03-11,1864.0,1926.0,1802.0,1866.0,29345282395,1085580,1025,1879.0,1812.0
11,2013-03-12,1808.0,1959.0,1808.0,1916.0,39412908763,1419671,1504,1866.0,1959.0
12,2013-03-13,1967.0,2012.0,1967.0,2006.0,50136918781,1724852,1011,1916.0,1988.0
13,2013-03-16,1984.0,1984.0,1906.0,1926.0,22348383316,801070,736,2006.0,1906.0
14,2013-03-17,1833.0,1911.0,1833.0,1882.0,11175806909,409869,585,1926.0,1888.0
15,2013-03-18,1906.0,1976.0,1850.0,1935.0,25534795429,910839,1128,1882.0,1976.0
16,2013-03-25,2032.0,2032.0,2002.0,2032.0,13634311866,463213,198,1935.0,2032.0
17,2013-03-26,2133.0,2133.0,2043.0,2100.0,61798227171,2031669,1725,2032.0,2057.0
18,2013-03-27,2057.0,2057.0,1995.0,2011.0,26205610440,899407,1212,2100.0,1995.0
19,2013-03-30,1988.0,1988.0,1933.0,1953.0,19391443982,685234,724,2011.0,1979.0
20,2013-03-31,2002.0,2047.0,1988.0,2018.0,29646733056,1013925,1227,1953.0,1988.0
21,2013-04-03,1989.0,2033.0,1967.0,2007.0,16345596459,562149,606,2018.0,2016.0
22,2013-04-06,2022.0,2022.0,1927.0,1949.0,13969653935,494685,723,2007.0,1933.0
23,2013-04-07,1950.0,1992.0,1919.0,1931.0,7322932734,261779,453,1949.0,1935.0
24,2013-04-08,1939.0,1995.0,1936.0,1970.0,25195957246,882850,891,1931.0,1950.0
25,2013-04-09,1984.0,1994.0,1929.0,1945.0,26382723283,936109,1090,1970.0,1930.0
26,2013-04-10,1912.0,1939.0,1861.0,1888.0,27866208833,1018708,1294,1945.0,1864.0
27,2013-04-13,1888.0,1888.0,1842.0,1853.0,16952425618,631562,1064,1888.0,1857.0
28,2013-04-15,1856.0,1919.0,1855.0,1887.0,12720681202,465212,621,1853.0,1884.0
29,2013-04-16,1897.0,1925.0,1864.0,1882.0,36412492117,1335815,1419,1887.0,1864.0
30,2013-04-17,1829.0,1877.0,1829.0,1842.0,15704085861,588636,896,1882.0,1833.0
31,2013-04-20,1843.0,1884.0,1802.0,1833.0,12435239369,468338,800,1842.0,1802.0
32,2013-04-21,1822.0,1822.0,1794.0,1801.0,11441076554,438455,622,1833.0,1798.0
33,2013-04-22,1829.0,1850.0,1805.0,1826.0,20772236792,785027,654,1801.0,1836.0
34,2013-04-23,1864.0,1918.0,1829.0,1903.0,36814955247,1335098,792,1826.0,1918.0
35,2013-04-24,1988.0,1988.0,1926.0,1957.0,36924258268,1302370,975,1903.0,1951.0
36,2013-04-27,1992.0,2047.0,1967.0,1999.0,40534450918,1399324,1424,1957.0,1974.0
37,2013-04-28,1994.0,1994.0,1899.0,1911.0,33139630544,1196888,920,1999.0,1899.0
38,2013-04-29,1933.0,1967.0,1884.0,1937.0,29830941290,1062897,1024,1911.0,1953.0
39,2013-04-30,1995.0,1995.0,1899.0,1950.0,28506633768,1008840,1053,1937.0,1899.0
40,2013-05-01,1950.0,1993.0,1909.0,1947.0,27212433196,964835,1145,1950.0,1946.0
41,2013-05-04,1950.0,2002.0,1941.0,1973.0,41852060176,1464260,1588,1947.0,1967.0
42,2013-05-05,1981.0,1981.0,1933.0,1942.0,27797543886,988187,771,1973.0,1940.0
43,2013-05-06,1933.0,1953.0,1897.0,1923.0,15884180103,570171,612,1942.0,1905.0
44,2013-05-07,1924.0,1924.0,1847.0,1874.0,9224269264,339687,585,1923.0,1905.0
45,2013-05-08,1864.0,1898.0,1829.0,1855.0,8842577524,329000,619,1874.0,1884.0
46,2013-05-11,1870.0,1943.0,1870.0,1926.0,13959320945,500168,596,1855.0,1931.0
47,2013-05-12,1967.0,2002.0,1831.0,1908.0,13049564432,472000,586,1926.0,1865.0
48,2013-05-13,1871.0,1898.0,1829.0,1842.0,6114972174,229140,427,1908.0,1833.0
49,2013-05-14,1814.0,1912.0,1760.0,1802.0,9696261221,371466,637,1842.0,1808.0
50,2013-05-15,1864.0,1877.0,1784.0,1806.0,7727726830,295419,457,1802.0,1803.0
51,2013-05-18,1795.0,1795.0,1715.0,1722.0,7671135107,307489,535,1806.0,1715.0
52,2013-05-19,1677.0,1788.0,1672.0,1734.0,8022698864,319404,406,1722.0,1760.0
53,2013-05-20,1733.0,1820.0,1726.0,1808.0,14986086107,572248,575,1734.0,1802.0
54,2013-05-21,1781.0,1795.0,1744.0,1756.0,7835598518,307969,327,1808.0,1760.0
55,2013-05-22,1677.0,1844.0,1668.0,1789.0,34237372581,1320851,944,1756.0,1844.0
56,2013-05-25,1849.0,1879.0,1836.0,1876.0,10646846710,391744,440,1789.0,1879.0
57,2013-05-26,1926.0,1933.0,1867.0,1891.0,11109028024,405525,561,1876.0,1877.0
58,2013-05-27,1864.0,1899.0,1798.0,1867.0,22663793754,838139,924,1891.0,1891.0
59,2013-05-28,1891.0,1919.0,1850.0,1880.0,21467062516,788182,520,1867.0,1864.0
60,2013-05-29,1883.0,1912.0,1851.0,1887.0,20076152188,734219,842,1880.0,1880.0
