,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,146.0,146.0,146.0,146.0,5486253,691,12,0.0,146.0
1,2001-03-26,146.0,146.0,146.0,146.0,174658,22,1,146.0,146.0
2,2001-03-27,146.0,146.0,146.0,146.0,7716708,972,3,146.0,146.0
3,2001-03-28,146.0,146.0,146.0,146.0,8192442,1032,5,146.0,146.0
4,2001-04-07,146.0,146.0,146.0,146.0,5555200,700,3,146.0,146.0
5,2001-04-08,146.0,146.0,146.0,146.0,238080,30,3,146.0,146.0
6,2001-04-10,146.0,146.0,146.0,146.0,172477019,21787,17,146.0,146.0
7,2001-04-11,146.0,146.0,146.0,146.0,5233140,660,2,146.0,146.0
8,2001-04-14,146.0,146.0,146.0,146.0,145872139,18460,25,146.0,146.0
9,2001-04-15,146.0,146.0,145.0,145.0,3124666,396,7,146.0,145.0
10,2001-04-17,145.0,145.0,145.0,145.0,1573989,200,6,145.0,145.0
11,2001-04-18,145.0,145.0,144.0,144.0,6578248,842,10,145.0,144.0
12,2001-04-21,144.0,144.0,144.0,144.0,69662783,8931,24,144.0,144.0
13,2001-04-22,144.0,144.0,144.0,144.0,124526000,15965,22,144.0,144.0
14,2001-04-23,144.0,144.0,144.0,144.0,23800435,3052,10,144.0,144.0
15,2001-04-30,141.0,141.0,140.0,140.0,25430800,3333,11,144.0,140.0
16,2001-05-01,140.0,140.0,136.0,136.0,32517750,4356,28,140.0,136.0
17,2001-05-02,135.0,136.0,135.0,136.0,91979287,12531,26,136.0,136.0
18,2001-05-05,136.0,136.0,135.0,135.0,19842615,2713,18,136.0,135.0
19,2001-05-06,134.0,135.0,134.0,135.0,32946867,4517,16,135.0,135.0
20,2001-05-07,135.0,140.0,135.0,140.0,795071399,104773,31,135.0,140.0
21,2001-05-08,140.0,144.0,140.0,144.0,509211334,65428,28,140.0,144.0
22,2001-05-15,144.0,144.0,81.0,143.0,49102812,10910,34,144.0,143.0
23,2001-05-16,143.0,144.0,143.0,144.0,886227946,113621,17,143.0,144.0
24,2001-05-19,144.0,144.0,81.0,144.0,163344404,21329,42,144.0,144.0
25,2001-05-20,143.0,144.0,140.0,144.0,70488999,9073,21,144.0,144.0
26,2001-05-21,144.0,144.0,143.0,143.0,956142,123,4,144.0,143.0
27,2001-05-23,143.0,143.0,143.0,143.0,9591342,1238,5,143.0,143.0
28,2001-05-26,143.0,143.0,143.0,143.0,6445986,834,4,143.0,143.0
29,2001-05-27,141.0,142.0,141.0,141.0,13701276,1790,11,143.0,141.0
30,2001-05-28,140.0,141.0,140.0,141.0,71750684,9440,35,141.0,141.0
31,2001-05-29,141.0,141.0,141.0,141.0,32304723,4228,23,141.0,141.0
32,2001-05-30,141.0,141.0,141.0,141.0,4675949,613,3,141.0,141.0
33,2001-06-02,138.0,138.0,134.0,134.0,3060998,421,3,141.0,134.0
34,2001-06-03,134.0,140.0,133.0,140.0,329796909,43899,109,134.0,140.0
35,2001-06-06,140.0,143.0,140.0,143.0,92849675,12154,17,140.0,143.0
36,2001-06-09,142.0,143.0,140.0,140.0,34350860,4512,7,143.0,140.0
37,2001-06-11,140.0,142.0,140.0,142.0,29123560,3792,10,140.0,142.0
38,2001-06-12,142.0,142.0,142.0,142.0,13036100,1693,13,142.0,142.0
39,2001-06-13,138.0,142.0,138.0,142.0,51444172,6764,21,142.0,142.0
40,2001-06-16,138.0,143.0,136.0,136.0,88429606,11742,59,142.0,136.0
41,2001-06-17,137.0,137.0,131.0,136.0,69978895,9474,45,136.0,136.0
42,2001-07-16,113.0,120.0,113.0,120.0,66489100,10234,3,136.0,120.0
43,2001-07-17,126.0,126.0,126.0,126.0,38377770,5619,36,120.0,126.0
44,2001-07-18,129.0,132.0,127.0,128.0,200830775,28657,51,126.0,128.0
45,2001-07-21,128.0,128.0,127.0,128.0,941668067,135822,25,128.0,128.0
46,2001-07-22,128.0,128.0,127.0,127.0,32753682,4742,27,128.0,127.0
47,2001-07-23,128.0,128.0,127.0,127.0,25943050,3759,17,127.0,127.0
48,2001-07-24,128.0,128.0,127.0,127.0,17603775,2540,16,127.0,127.0
49,2001-07-25,127.0,127.0,127.0,127.0,7523533,1092,7,127.0,127.0
50,2001-07-28,125.0,127.0,124.0,124.0,58857665,8718,33,127.0,124.0
51,2001-07-29,124.0,124.0,123.0,123.0,7717700,1158,11,124.0,123.0
52,2001-07-30,123.0,124.0,122.0,124.0,226318742,34009,54,123.0,124.0
53,2001-07-31,124.0,124.0,124.0,124.0,40200000,6000,8,124.0,124.0
54,2001-08-01,124.0,125.0,124.0,125.0,64283608,9481,34,124.0,125.0
55,2001-08-04,126.0,126.0,125.0,126.0,19720401,2889,20,125.0,126.0
56,2001-08-05,126.0,126.0,126.0,126.0,17678420,2585,9,126.0,126.0
57,2001-08-06,126.0,126.0,126.0,126.0,5810808,852,6,126.0,126.0
58,2001-08-07,125.0,125.0,125.0,125.0,8563338,1267,6,126.0,125.0
59,2001-08-08,125.0,125.0,124.0,124.0,687322929,101781,45,125.0,124.0
60,2001-08-11,123.0,124.0,122.0,122.0,75429417,11405,33,124.0,122.0
61,2001-08-12,122.0,124.0,122.0,123.0,383535550,57355,29,122.0,123.0
62,2001-08-13,122.0,122.0,122.0,122.0,34505744,5212,15,123.0,122.0
63,2001-08-14,122.0,122.0,122.0,122.0,20134710,3037,15,122.0,122.0
64,2001-08-15,122.0,123.0,122.0,123.0,27515469,4144,22,122.0,123.0
65,2001-08-18,123.0,123.0,123.0,123.0,69705305,10482,35,123.0,123.0
66,2001-08-19,123.0,123.0,123.0,123.0,52951915,7952,15,123.0,123.0
67,2001-08-20,123.0,123.0,122.0,123.0,50052619,7528,17,123.0,123.0
68,2001-08-21,123.0,123.0,123.0,123.0,21357468,3212,21,123.0,123.0
69,2001-08-22,123.0,123.0,123.0,123.0,4654450,700,6,123.0,123.0
70,2001-08-25,122.0,122.0,122.0,122.0,7940436,1198,9,123.0,122.0
71,2001-08-26,122.0,122.0,122.0,122.0,14548860,2194,21,122.0,122.0
72,2001-08-27,122.0,122.0,122.0,122.0,12909314,1945,18,122.0,122.0
73,2001-08-28,122.0,122.0,122.0,122.0,32795711,4941,21,122.0,122.0
74,2001-08-29,122.0,122.0,122.0,122.0,8934031,1346,8,122.0,122.0
75,2001-09-01,122.0,122.0,122.0,122.0,15476016,2345,13,122.0,122.0
76,2001-09-02,121.0,122.0,121.0,122.0,68970380,10506,27,122.0,122.0
77,2001-09-03,121.0,121.0,121.0,121.0,11635320,1776,13,122.0,121.0
78,2001-09-08,121.0,121.0,121.0,121.0,92904908,14203,35,121.0,121.0
79,2001-09-09,121.0,121.0,120.0,120.0,16416075,2511,13,121.0,120.0
80,2001-09-10,120.0,120.0,120.0,120.0,19417157,2979,27,120.0,120.0
81,2001-09-11,120.0,120.0,120.0,120.0,16510000,2540,12,120.0,120.0
82,2001-09-12,120.0,120.0,120.0,120.0,12168000,1872,8,120.0,120.0
83,2001-09-15,119.0,120.0,119.0,120.0,37510398,5780,20,120.0,120.0
84,2001-09-16,120.0,120.0,120.0,120.0,7469993,1150,13,120.0,120.0
85,2001-09-19,119.0,119.0,119.0,119.0,16931250,2625,14,120.0,119.0
86,2001-09-22,119.0,119.0,119.0,119.0,71107938,11026,10,119.0,119.0
87,2001-09-23,119.0,119.0,119.0,119.0,8610699,1335,5,119.0,119.0
88,2001-09-24,118.0,118.0,118.0,118.0,13107547,2051,12,119.0,118.0
89,2001-09-25,117.0,118.0,117.0,118.0,98867769,15500,27,118.0,118.0
90,2001-09-26,118.0,118.0,118.0,118.0,5063660,794,7,118.0,118.0
91,2001-09-29,117.0,117.0,115.0,115.0,7700108,1228,3,118.0,115.0
92,2001-09-30,113.0,113.0,113.0,113.0,21408006,3481,9,115.0,113.0
93,2001-10-02,114.0,114.0,113.0,113.0,100811533,16404,45,113.0,113.0
94,2001-10-03,113.0,113.0,113.0,113.0,43464898,7071,15,113.0,113.0
95,2001-10-06,113.0,113.0,111.0,111.0,14461600,2400,2,113.0,111.0
96,2001-10-07,111.0,111.0,111.0,111.0,98026385,16338,35,111.0,111.0
97,2001-10-08,111.0,111.0,105.0,105.0,21863964,3828,17,111.0,105.0
98,2001-10-16,105.0,105.0,105.0,105.0,62069392,10915,46,105.0,105.0
99,2001-10-17,105.0,105.0,105.0,105.0,30016349,5266,19,105.0,105.0
100,2001-10-20,105.0,106.0,105.0,106.0,27588870,4837,12,105.0,106.0
101,2001-10-21,107.0,107.0,107.0,107.0,9386040,1618,9,106.0,107.0
102,2001-10-22,108.0,110.0,108.0,110.0,4202375,713,6,107.0,110.0
103,2001-10-23,115.0,115.0,115.0,115.0,9598658,1538,7,110.0,115.0
104,2001-10-24,121.0,121.0,116.0,116.0,13483690,2119,10,115.0,116.0
105,2001-10-27,116.0,116.0,116.0,116.0,16667856,2650,9,116.0,116.0
106,2001-10-28,116.0,116.0,116.0,116.0,2169360,345,5,116.0,116.0
107,2001-10-29,116.0,117.0,116.0,116.0,7090561,1125,12,116.0,116.0
108,2001-10-30,116.0,116.0,116.0,116.0,5389054,854,5,116.0,116.0
109,2001-10-31,117.0,117.0,117.0,117.0,1271010,201,2,116.0,117.0
110,2001-11-04,118.0,118.0,118.0,118.0,4601625,718,6,117.0,118.0
111,2001-11-05,119.0,119.0,118.0,119.0,2025174,315,4,118.0,119.0
112,2001-11-06,119.0,119.0,119.0,119.0,1471512,228,1,119.0,119.0
113,2001-11-07,119.0,119.0,119.0,119.0,4768586,738,4,119.0,119.0
114,2001-11-10,119.0,119.0,119.0,119.0,3718496,575,5,119.0,119.0
115,2001-11-11,119.0,120.0,119.0,120.0,9975168,1540,13,119.0,120.0
116,2001-11-12,120.0,120.0,120.0,120.0,6894172,1063,9,120.0,120.0
117,2001-11-13,120.0,120.0,120.0,120.0,4003815,617,8,120.0,120.0
118,2001-11-14,120.0,120.0,120.0,120.0,3993528,616,5,120.0,120.0
119,2001-11-17,120.0,120.0,120.0,120.0,6180546,953,6,120.0,120.0
120,2001-11-18,120.0,120.0,120.0,120.0,6356118,978,10,120.0,120.0
121,2001-11-19,120.0,120.0,120.0,120.0,4006712,616,9,120.0,120.0
122,2001-11-20,120.0,120.0,120.0,120.0,4063692,624,6,120.0,120.0
123,2001-11-21,120.0,120.0,120.0,120.0,4723072,725,6,120.0,120.0
124,2001-11-24,120.0,120.0,120.0,120.0,4179870,641,5,120.0,120.0
125,2001-11-25,120.0,120.0,120.0,120.0,11405178,1747,13,120.0,120.0
126,2001-11-26,120.0,120.0,120.0,120.0,10342125,1585,10,120.0,120.0
127,2001-11-27,120.0,122.0,120.0,122.0,24956612,3812,12,120.0,122.0
128,2001-11-28,122.0,122.0,122.0,122.0,6741114,1022,8,122.0,122.0
129,2001-12-01,122.0,123.0,122.0,123.0,8696944,1312,9,122.0,123.0
130,2001-12-02,123.0,123.0,123.0,123.0,17345636,2606,15,123.0,123.0
131,2001-12-03,124.0,124.0,124.0,124.0,31801468,4724,9,123.0,124.0
