,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-09-21,1322.0,1322.0,1322.0,1322.0,1827000000000,90000000,167,65.0,1322.0
1,2021-09-22,1389.0,1389.0,1389.0,1389.0,17052000000,800000,105,1322.0,1389.0
2,2021-09-25,1458.0,1458.0,1458.0,1441.0,12420900000,555000,123,1389.0,1458.0
3,2021-09-26,1513.0,1513.0,1513.0,1498.0,13665805920,588536,136,1441.0,1513.0
4,2021-09-28,1573.0,1573.0,1573.0,1554.0,13417689984,555736,119,1498.0,1573.0
5,2021-09-29,1632.0,1632.0,1632.0,1613.0,13903305000,555000,124,1554.0,1632.0
6,2021-10-02,1693.0,1693.0,1693.0,1693.0,22445255798,863578,201,1613.0,1693.0
7,2021-10-03,1778.0,1778.0,1778.0,1771.0,15173240000,556000,125,1693.0,1778.0
8,2021-10-04,1859.0,1859.0,1859.0,1859.0,18479831862,647461,179,1771.0,1859.0
9,2021-10-06,1952.0,1952.0,1952.0,1945.0,16774728184,559736,154,1859.0,1952.0
10,2021-10-09,2042.0,2042.0,2042.0,2031.0,13919070291,443947,95,1945.0,2042.0
11,2021-10-12,2133.0,2133.0,2133.0,2133.0,213587154895,6524335,1169,2031.0,2133.0
12,2021-10-13,2239.0,2239.0,2138.0,2224.0,958465679788,28080293,8868,2133.0,2239.0
13,2021-10-16,2444.0,2444.0,2444.0,2444.0,52458410180,1398518,259,2224.0,2444.0
14,2021-10-17,2410.0,2417.0,2321.0,2336.0,197140685345,5497660,2380,2444.0,2321.0
15,2021-10-18,2219.0,2408.0,2219.0,2244.0,259005842504,7519346,3034,2336.0,2378.0
16,2021-10-19,2356.0,2356.0,2244.0,2337.0,262633564703,7320973,2807,2244.0,2282.0
17,2021-10-20,2302.0,2302.0,2220.0,2225.0,59130905308,1731348,851,2337.0,2220.0
18,2021-10-23,2150.0,2193.0,2114.0,2121.0,69459831897,2133294,623,2225.0,2114.0
19,2021-10-25,2015.0,2015.0,2015.0,2015.0,25098874372,811421,219,2121.0,2015.0
20,2021-10-26,1914.0,1993.0,1914.0,1923.0,148501622002,5031799,1845,2015.0,1914.0
21,2021-10-27,1863.0,1972.0,1827.0,1901.0,68714619397,2355175,1083,1923.0,1913.0
22,2021-10-30,1915.0,1915.0,1806.0,1844.0,54646444647,1930237,781,1901.0,1806.0
23,2021-10-31,1772.0,1827.0,1752.0,1755.0,51349431238,1905909,546,1844.0,1752.0
24,2021-11-01,1668.0,1811.0,1667.0,1699.0,52978981487,2031039,767,1755.0,1667.0
25,2021-11-02,1777.0,1784.0,1752.0,1782.0,54811779422,2003268,555,1699.0,1784.0
26,2021-11-03,1872.0,1872.0,1872.0,1866.0,13889092508,483452,132,1782.0,1872.0
27,2021-11-06,1959.0,1959.0,1959.0,1959.0,29531772753,981807,256,1866.0,1959.0
28,2021-11-07,2056.0,2057.0,1959.0,2039.0,191818911034,6127935,1961,1959.0,1991.0
29,2021-11-08,1951.0,2046.0,1937.0,1978.0,77113374382,2540006,1081,2039.0,1937.0
30,2021-11-09,1902.0,2062.0,1902.0,1995.0,34702019649,1133347,576,1978.0,1961.0
31,2021-11-10,1994.0,2049.0,1962.0,1995.0,26933437868,879445,397,1995.0,1995.0
32,2021-11-13,1902.0,1943.0,1895.0,1899.0,30332776280,1040651,352,1995.0,1895.0
33,2021-11-14,1840.0,1986.0,1840.0,1926.0,21912571494,741313,432,1899.0,1927.0
34,2021-11-15,1876.0,2022.0,1876.0,2018.0,111020900008,3584393,505,1926.0,2022.0
35,2021-11-16,2019.0,2119.0,2019.0,2110.0,99341827442,3066466,579,2018.0,2119.0
36,2021-11-17,2202.0,2207.0,2071.0,2127.0,54565818580,1671484,735,2110.0,2128.0
37,2021-11-22,2233.0,2233.0,2233.0,2233.0,41513800179,1211127,88,2127.0,2233.0
38,2021-11-23,2305.0,2345.0,2234.0,2300.0,132817019078,3762298,696,2233.0,2345.0
39,2021-11-24,2415.0,2415.0,2332.0,2401.0,273694340687,7424788,1473,2300.0,2332.0
40,2021-11-27,2294.0,2371.0,2281.0,2294.0,49361804881,1401478,326,2401.0,2281.0
41,2021-11-28,2184.0,2274.0,2180.0,2190.0,61367022097,1825177,524,2294.0,2180.0
42,2021-11-29,2115.0,2187.0,2081.0,2090.0,92794721171,2892674,554,2190.0,2081.0
43,2021-11-30,2091.0,2194.0,2019.0,2158.0,47577784132,1436266,538,2090.0,2111.0
44,2021-12-01,2158.0,2158.0,2050.0,2065.0,34215018413,1079501,282,2158.0,2050.0
45,2021-12-04,1968.0,2044.0,1962.0,1972.0,45467176110,1502320,324,2065.0,1987.0
46,2021-12-05,2010.0,2049.0,1972.0,1994.0,18273279950,597047,209,1972.0,1991.0
47,2021-12-06,1991.0,2078.0,1962.0,1999.0,26931542878,877655,272,1994.0,2030.0
48,2021-12-07,2085.0,2085.0,1971.0,2029.0,14511019346,465813,177,1999.0,2019.0
49,2021-12-08,2072.0,2084.0,2013.0,2038.0,13589422921,434266,157,2029.0,2039.0
50,2021-12-11,2039.0,2081.0,1987.0,2035.0,12011209115,384642,175,2038.0,2007.0
51,2021-12-12,1974.0,2076.0,1933.0,1976.0,17100582453,563871,242,2035.0,2016.0
52,2021-12-13,2039.0,2039.0,1932.0,1984.0,28609523648,939407,362,1976.0,1948.0
53,2021-12-14,1975.0,2012.0,1922.0,1976.0,16484847937,543568,217,1984.0,1980.0
54,2021-12-15,1945.0,2029.0,1945.0,2013.0,20039146727,648603,207,1976.0,2013.0
55,2021-12-18,2074.0,2081.0,1945.0,2002.0,23724799135,772099,228,2013.0,1969.0
56,2021-12-19,2010.0,2045.0,1922.0,1970.0,19702234753,651659,126,2002.0,1986.0
57,2021-12-20,1954.0,2013.0,1915.0,1940.0,15034008426,504896,139,1970.0,1915.0
58,2021-12-21,2006.0,2012.0,1889.0,1932.0,19814284245,667962,208,1940.0,1935.0
59,2021-12-22,1892.0,1980.0,1836.0,1910.0,151120936550,5154262,1396,1932.0,1947.0
60,2021-12-25,1980.0,1980.0,1815.0,1885.0,93502173829,3230653,911,1910.0,1847.0
61,2021-12-26,1824.0,1875.0,1818.0,1847.0,45028560249,1588382,382,1885.0,1866.0
62,2021-12-27,1905.0,1939.0,1853.0,1936.0,78085866570,2627733,364,1847.0,1939.0
63,2021-12-28,2033.0,2033.0,2033.0,2033.0,37681291695,1207695,134,1936.0,2033.0
64,2021-12-29,2033.0,2077.0,1931.0,2028.0,157647480492,5063445,1021,2033.0,1968.0
65,2022-01-01,2052.0,2052.0,1927.0,1932.0,32513761694,1096100,278,2028.0,1934.0
66,2022-01-02,1897.0,2003.0,1897.0,1943.0,21353618522,715801,230,1932.0,1920.0
67,2022-01-03,1980.0,1980.0,1902.0,1929.0,8942209073,303258,120,1943.0,1941.0
68,2022-01-04,1917.0,1977.0,1903.0,1930.0,16818075665,567770,168,1929.0,1926.0
69,2022-01-05,1901.0,1954.0,1901.0,1917.0,22185361747,753982,181,1930.0,1935.0
70,2022-01-08,1951.0,1951.0,1847.0,1883.0,46868302550,1622142,294,1917.0,1853.0
71,2022-01-09,1840.0,1954.0,1791.0,1798.0,60222041800,2180885,358,1883.0,1814.0
72,2022-01-10,1824.0,1886.0,1775.0,1811.0,16245148550,584019,233,1798.0,1805.0
73,2022-01-11,1850.0,1870.0,1791.0,1824.0,58367800200,2085285,335,1811.0,1795.0
74,2022-01-12,1824.0,1902.0,1798.0,1844.0,34119166800,1205041,296,1824.0,1886.0
75,2022-01-15,1932.0,1932.0,1850.0,1883.0,29961663900,1036217,293,1844.0,1866.0
76,2022-01-16,1951.0,1951.0,1818.0,1840.0,57158506850,2024446,283,1883.0,1892.0
77,2022-01-17,1919.0,1932.0,1860.0,1919.0,49702857450,1689125,400,1840.0,1905.0
78,2022-01-18,1902.0,1902.0,1824.0,1831.0,59768462850,2127779,227,1919.0,1837.0
79,2022-01-19,1795.0,1922.0,1795.0,1919.0,52678628250,1789831,190,1831.0,1922.0
80,2022-01-22,1961.0,1974.0,1824.0,1941.0,83549661800,2803317,547,1919.0,1850.0
81,2022-01-23,1922.0,1948.0,1847.0,1853.0,41685435700,1465318,263,1941.0,1866.0
82,2022-01-24,1778.0,1945.0,1778.0,1896.0,37531422450,1290379,238,1853.0,1876.0
83,2022-01-25,1912.0,1915.0,1801.0,1811.0,52804892950,1899314,184,1896.0,1801.0
84,2022-01-26,1778.0,1899.0,1778.0,1876.0,36456716750,1265076,220,1811.0,1899.0
85,2022-01-29,1954.0,1954.0,1876.0,1905.0,38571177900,1318023,328,1876.0,1905.0
86,2022-01-30,1866.0,1951.0,1818.0,1873.0,34127340350,1187658,311,1905.0,1824.0
87,2022-01-31,1808.0,1883.0,1808.0,1837.0,20865433450,739712,220,1873.0,1831.0
88,2022-02-01,1896.0,1896.0,1831.0,1850.0,15992129150,563109,124,1837.0,1857.0
89,2022-02-02,1824.0,1879.0,1798.0,1808.0,27408958350,987611,163,1850.0,1824.0
90,2022-02-05,1821.0,1853.0,1798.0,1811.0,12198165300,438660,136,1808.0,1814.0
91,2022-02-06,1791.0,1791.0,1746.0,1762.0,16389930500,605747,118,1811.0,1765.0
92,2022-02-07,1762.0,1798.0,1726.0,1739.0,7966201500,298109,109,1762.0,1743.0
93,2022-02-08,1743.0,1788.0,1743.0,1762.0,5616731750,207775,136,1739.0,1765.0
94,2022-02-09,1756.0,1782.0,1746.0,1759.0,37002695850,1369633,307,1762.0,1759.0
95,2022-02-16,1840.0,1847.0,1782.0,1821.0,22550624650,807010,239,1759.0,1824.0
96,2022-02-19,1857.0,1860.0,1821.0,1850.0,14922489900,525009,171,1821.0,1850.0
97,2022-02-20,1902.0,1909.0,1821.0,1876.0,43592850300,1512775,468,1850.0,1873.0
98,2022-02-21,1879.0,1928.0,1876.0,1896.0,26198702700,900278,257,1876.0,1899.0
99,2022-02-22,1863.0,1896.0,1801.0,1847.0,32502985000,1145720,240,1896.0,1818.0
100,2022-02-23,1857.0,1860.0,1795.0,1840.0,24021710350,849577,172,1847.0,1860.0
101,2022-02-26,1863.0,1932.0,1818.0,1922.0,115929356250,3930498,541,1840.0,1928.0
102,2022-02-27,1958.0,2016.0,1922.0,2010.0,141885792650,4596333,848,1922.0,2016.0
103,2022-02-28,2065.0,2107.0,2019.0,2075.0,80003733500,2511551,655,2010.0,2019.0
104,2022-03-02,2094.0,2094.0,1977.0,2023.0,45061854050,1451472,448,2075.0,1984.0
105,2022-03-05,1977.0,2016.0,1922.0,1945.0,41491087000,1389425,428,2023.0,1922.0
106,2022-03-06,1958.0,1997.0,1886.0,1935.0,39113731950,1317318,374,1945.0,1886.0
107,2022-03-07,1935.0,1987.0,1840.0,1850.0,547822225300,19304303,1188,1935.0,1889.0
