,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2011-06-07,758.0,887.0,600.0,721.0,22455132964,5020502,1019,161.0,629.0
1,2011-06-08,746.0,746.0,746.0,746.0,53497488,13288,5,721.0,746.0
2,2011-06-11,708.0,708.0,708.0,708.0,11704500,3060,2,746.0,708.0
3,2011-06-12,673.0,673.0,673.0,673.0,181700,50,1,708.0,673.0
4,2011-06-14,640.0,640.0,640.0,640.0,172650,50,1,673.0,640.0
5,2011-06-15,608.0,608.0,608.0,608.0,3258197050,993050,213,640.0,608.0
6,2011-06-18,577.0,577.0,577.0,577.0,3117000,1000,1,608.0,577.0
7,2011-06-20,549.0,549.0,549.0,549.0,2962000,1000,1,577.0,549.0
8,2011-06-21,521.0,521.0,521.0,521.0,17362380,6170,6,549.0,521.0
9,2011-06-22,495.0,521.0,495.0,495.0,9491265460,3548836,758,521.0,495.0
10,2011-06-25,495.0,509.0,471.0,484.0,228095044,87317,26,495.0,471.0
11,2011-06-26,460.0,460.0,460.0,460.0,480959478,193779,43,484.0,460.0
12,2011-06-27,437.0,437.0,437.0,437.0,587523996,249162,55,460.0,437.0
13,2011-06-28,415.0,415.0,415.0,415.0,103182363,46043,10,437.0,415.0
14,2011-06-29,396.0,435.0,396.0,430.0,208307620,89634,30,415.0,435.0
15,2011-07-02,452.0,452.0,452.0,452.0,488000,200,2,430.0,452.0
16,2011-07-03,474.0,474.0,429.0,447.0,136457000,56500,10,452.0,429.0
17,2011-07-04,425.0,425.0,425.0,425.0,1820740055,793329,151,447.0,425.0
18,2011-07-05,404.0,407.0,404.0,407.0,114832100,52225,18,425.0,407.0
19,2011-07-06,408.0,427.0,408.0,422.0,192266502,84387,23,407.0,412.0
20,2011-07-09,428.0,428.0,401.0,409.0,1193672800,540000,86,422.0,401.0
21,2011-07-10,389.0,389.0,389.0,389.0,1325350204,630804,131,409.0,389.0
22,2011-07-11,409.0,409.0,370.0,385.0,7813780,3760,5,389.0,370.0
23,2011-07-12,366.0,367.0,366.0,366.0,502365997,254356,57,385.0,366.0
24,2011-07-13,384.0,384.0,370.0,370.0,204789600,102393,25,366.0,370.0
25,2011-07-16,353.0,353.0,352.0,353.0,18349482,9634,4,370.0,352.0
26,2011-07-18,335.0,370.0,335.0,354.0,83727813505,43845645,55,353.0,336.0
27,2011-07-23,361.0,361.0,361.0,361.0,2340000,1200,1,354.0,361.0
28,2011-07-25,334.0,370.0,334.0,334.0,11018000,6100,2,361.0,370.0
29,2011-07-26,278.0,282.0,278.0,280.0,5033820,3324,3,334.0,282.0
30,2011-07-27,333.0,333.0,333.0,333.0,29876385,16598,8,280.0,333.0
31,2011-07-30,315.0,316.0,315.0,315.0,233690520,137395,32,333.0,316.0
32,2011-07-31,314.0,315.0,306.0,314.0,1679203130,989804,104,315.0,306.0
33,2011-08-01,315.0,315.0,315.0,315.0,35985600,21168,8,314.0,315.0
34,2011-08-03,279.0,293.0,279.0,288.0,23062720,14834,2,315.0,293.0
35,2011-08-06,315.0,315.0,315.0,315.0,169900,100,1,288.0,315.0
36,2011-08-07,315.0,315.0,315.0,315.0,24362700,14331,4,315.0,315.0
37,2011-08-08,300.0,300.0,300.0,300.0,14358439,8859,4,315.0,300.0
38,2011-08-09,299.0,299.0,299.0,299.0,128934176,79786,8,300.0,299.0
39,2011-08-10,296.0,309.0,296.0,302.0,33537963,20553,5,299.0,309.0
40,2011-08-13,297.0,317.0,297.0,313.0,18332153,10851,4,302.0,315.0
41,2011-08-14,328.0,328.0,328.0,328.0,17437455,9835,1,313.0,328.0
42,2011-08-15,345.0,345.0,345.0,345.0,196054489,105349,22,328.0,345.0
43,2011-08-16,362.0,362.0,352.0,361.0,255869247,131344,32,345.0,352.0
44,2011-08-17,343.0,344.0,343.0,343.0,133914800,72330,19,361.0,343.0
45,2011-08-20,342.0,352.0,342.0,347.0,66477500,35500,15,343.0,352.0
46,2011-08-21,333.0,333.0,330.0,330.0,313576120,176054,37,347.0,330.0
47,2011-08-23,330.0,346.0,330.0,344.0,113482000,61000,14,330.0,346.0
48,2011-08-24,347.0,347.0,347.0,347.0,37430000,20000,5,344.0,347.0
49,2011-08-27,334.0,346.0,334.0,336.0,39332718,21703,10,347.0,334.0
50,2011-08-28,319.0,345.0,319.0,323.0,114487560,65578,12,336.0,345.0
51,2011-08-29,339.0,339.0,313.0,313.0,39868651,23560,5,323.0,313.0
52,2011-08-30,306.0,306.0,306.0,306.0,4950000,3000,1,313.0,306.0
53,2011-09-03,321.0,321.0,321.0,321.0,12643600,7300,5,306.0,321.0
54,2011-09-04,310.0,337.0,310.0,332.0,68186826,38000,10,321.0,335.0
55,2011-09-05,333.0,349.0,333.0,347.0,346861462,185344,80,332.0,349.0
56,2011-09-06,364.0,364.0,363.0,364.0,229188538,116777,36,347.0,364.0
57,2011-09-07,364.0,364.0,364.0,364.0,38608284,19668,2,364.0,364.0
58,2011-09-10,346.0,346.0,346.0,346.0,32316427,17308,3,364.0,346.0
59,2011-09-11,346.0,363.0,343.0,357.0,73528000,38200,10,346.0,363.0
60,2011-09-12,360.0,370.0,360.0,364.0,61411724,31279,7,357.0,367.0
61,2011-09-13,363.0,363.0,345.0,350.0,87923265,46561,10,364.0,345.0
62,2011-09-17,362.0,367.0,362.0,363.0,110107960,56176,16,350.0,367.0
63,2011-09-18,346.0,349.0,346.0,348.0,39799130,21199,7,363.0,346.0
64,2011-09-19,348.0,348.0,348.0,348.0,13315438,7094,2,348.0,348.0
65,2011-09-20,337.0,365.0,333.0,347.0,121987179,65014,19,348.0,365.0
66,2011-09-21,340.0,365.0,339.0,352.0,4978029350,2620025,265,347.0,365.0
67,2011-09-25,365.0,366.0,365.0,365.0,136554000,69200,15,352.0,365.0
68,2011-09-26,370.0,370.0,352.0,354.0,21031000,11010,3,365.0,352.0
69,2011-09-27,354.0,354.0,354.0,354.0,5924100,3100,1,354.0,354.0
70,2011-09-28,352.0,352.0,352.0,352.0,5700000,3000,1,354.0,352.0
71,2011-10-01,335.0,344.0,335.0,337.0,25513000,14000,3,352.0,344.0
72,2011-10-02,340.0,354.0,340.0,348.0,50465926,26834,8,337.0,354.0
73,2011-10-03,341.0,366.0,341.0,351.0,17797613,9391,6,348.0,366.0
74,2011-10-04,361.0,368.0,361.0,364.0,18283590,9310,5,351.0,361.0
75,2011-10-05,346.0,382.0,346.0,376.0,26438041,13029,5,364.0,382.0
76,2011-10-08,365.0,394.0,365.0,389.0,10492000,5000,2,376.0,394.0
77,2011-10-09,376.0,376.0,376.0,376.0,18261000,9000,2,389.0,376.0
78,2011-10-10,394.0,394.0,394.0,394.0,17040000,8000,3,376.0,394.0
79,2011-10-11,380.0,383.0,379.0,380.0,79765188,38859,9,394.0,383.0
80,2011-10-16,365.0,366.0,365.0,366.0,54132879,27391,4,380.0,366.0
81,2011-10-17,367.0,367.0,367.0,367.0,3964000,2000,1,366.0,367.0
82,2011-10-18,370.0,370.0,370.0,370.0,6000000,3000,1,367.0,370.0
83,2011-10-22,371.0,374.0,371.0,374.0,342944094,169820,42,370.0,371.0
