,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-07-07,4.0,4.0,4.0,4.0,3207413990,798110,405,4.0,4.0
1,2001-07-08,4.0,4.0,4.0,4.0,1485327690,351890,376,4.0,4.0
2,2001-07-09,4.0,4.0,4.0,4.0,115054720,25960,21,4.0,4.0
3,2001-07-31,5.0,5.0,4.0,5.0,299972200,65540,77,4.0,5.0
4,2001-08-01,5.0,5.0,5.0,5.0,191010820,40900,45,5.0,5.0
5,2001-08-04,5.0,5.0,4.0,4.0,53376025,11830,22,5.0,4.0
6,2001-08-06,4.0,4.0,4.0,4.0,142539960,33240,27,4.0,4.0
7,2001-08-07,5.0,5.0,5.0,5.0,65339516,14400,20,4.0,5.0
8,2001-08-08,5.0,5.0,5.0,5.0,28796250,6370,7,5.0,5.0
9,2001-08-11,5.0,5.0,5.0,5.0,39981000,8700,14,5.0,5.0
10,2001-08-12,5.0,5.0,5.0,5.0,120844500,25680,24,5.0,5.0
11,2001-08-13,5.0,5.0,5.0,5.0,186892787,39764,24,5.0,5.0
12,2001-08-14,5.0,5.0,5.0,5.0,46034000,10000,5,5.0,5.0
13,2001-08-15,5.0,5.0,5.0,5.0,44245610,9700,11,5.0,5.0
14,2001-08-19,5.0,5.0,5.0,5.0,145915315,31840,21,5.0,5.0
15,2001-08-20,5.0,5.0,5.0,5.0,6524260,1420,2,5.0,5.0
16,2001-08-21,5.0,5.0,5.0,5.0,16481600,3660,9,5.0,5.0
17,2001-08-22,5.0,5.0,5.0,5.0,53885538,12073,15,5.0,5.0
18,2001-08-25,5.0,5.0,5.0,5.0,2187850,490,1,5.0,5.0
19,2001-08-26,5.0,5.0,5.0,5.0,79008740,17255,22,5.0,5.0
20,2001-08-27,5.0,5.0,5.0,5.0,26473120,5863,8,5.0,5.0
21,2001-08-28,5.0,5.0,5.0,5.0,21209537,4754,3,5.0,5.0
22,2001-08-29,5.0,5.0,5.0,5.0,29414103,6595,10,5.0,5.0
23,2001-09-01,5.0,5.0,4.0,4.0,11259560,2536,4,5.0,4.0
24,2001-09-02,4.0,4.0,4.0,4.0,9541108,2164,3,4.0,4.0
25,2001-09-03,4.0,4.0,4.0,4.0,25736720,6000,7,4.0,4.0
26,2001-09-05,4.0,4.0,4.0,4.0,38742640,9014,11,4.0,4.0
27,2001-09-08,4.0,4.0,4.0,4.0,28227540,6550,8,4.0,4.0
28,2001-09-09,4.0,4.0,4.0,4.0,863000,200,1,4.0,4.0
29,2001-09-10,4.0,4.0,4.0,4.0,18604800,4300,6,4.0,4.0
30,2001-09-11,4.0,4.0,4.0,4.0,23002700,5350,6,4.0,4.0
31,2001-09-12,4.0,4.0,4.0,4.0,111239000,26650,18,4.0,4.0
32,2001-09-15,4.0,4.0,4.0,4.0,8200000,2000,2,4.0,4.0
33,2001-09-16,4.0,4.0,4.0,4.0,19850000,5000,4,4.0,4.0
34,2001-09-17,4.0,4.0,4.0,4.0,35022000,9000,6,4.0,4.0
35,2001-09-18,4.0,4.0,4.0,4.0,7512000,2000,2,4.0,4.0
36,2001-09-19,4.0,4.0,4.0,4.0,19104000,4920,4,4.0,4.0
37,2001-09-22,4.0,4.0,4.0,4.0,4050000,1000,2,4.0,4.0
38,2001-09-23,4.0,4.0,4.0,4.0,248734270,60227,33,4.0,4.0
39,2001-09-25,4.0,4.0,4.0,4.0,143852968,34526,15,4.0,4.0
40,2001-09-30,4.0,4.0,4.0,4.0,34861500,8500,4,4.0,4.0
41,2001-10-02,4.0,4.0,4.0,4.0,12345000,3000,2,4.0,4.0
42,2001-10-03,4.0,4.0,4.0,4.0,47933716,11563,8,4.0,4.0
43,2001-10-06,4.0,4.0,4.0,4.0,30156500,7200,7,4.0,4.0
44,2001-10-07,4.0,4.0,4.0,4.0,11937550,2810,4,4.0,4.0
45,2001-10-08,4.0,4.0,4.0,4.0,107914339,25236,15,4.0,4.0
46,2001-10-09,4.0,4.0,4.0,4.0,6157000,1500,2,4.0,4.0
47,2001-10-10,4.0,4.0,4.0,4.0,54435916,13607,16,4.0,4.0
48,2001-10-13,4.0,4.0,4.0,4.0,6470100,1580,2,4.0,4.0
49,2001-10-14,4.0,4.0,4.0,4.0,6441435,1573,2,4.0,4.0
50,2001-10-17,4.0,4.0,4.0,4.0,54824400,13082,18,4.0,4.0
51,2001-10-20,4.0,4.0,4.0,4.0,190603745,45715,21,4.0,4.0
52,2001-10-22,4.0,4.0,4.0,4.0,7200790,1663,2,4.0,4.0
53,2001-10-24,4.0,5.0,4.0,5.0,40223000,9000,7,4.0,5.0
54,2001-10-27,5.0,5.0,4.0,4.0,21256375,4795,7,5.0,4.0
55,2001-10-28,4.0,4.0,4.0,4.0,26394000,6000,2,4.0,4.0
56,2001-10-29,4.0,4.0,4.0,4.0,20629030,4690,5,4.0,4.0
57,2001-10-30,4.0,4.0,4.0,4.0,72424000,16460,4,4.0,4.0
58,2001-10-31,4.0,5.0,4.0,5.0,69379140,15601,12,4.0,5.0
59,2001-11-03,5.0,5.0,5.0,5.0,51187500,11375,8,5.0,5.0
60,2001-11-04,5.0,5.0,5.0,5.0,48622500,10805,4,5.0,5.0
61,2001-11-05,5.0,5.0,5.0,5.0,14850000,3300,2,5.0,5.0
62,2001-11-06,5.0,5.0,5.0,5.0,4500000,1000,1,5.0,5.0
