,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2022-01-24,9998.0,9998.0,9998.0,9998.0,550808400000,55080840,1064,9998.0,9998.0
1,2022-02-20,10098.0,10198.0,10098.0,10111.0,51489968047,5091366,129,9998.0,10147.0
2,2022-02-21,10147.0,10147.0,10099.0,10121.0,7754741914,766024,102,10111.0,10131.0
3,2022-02-22,10142.0,10142.0,10118.0,10130.0,17136531568,1691311,69,10121.0,10123.0
4,2022-02-23,10155.0,10155.0,10139.0,10147.0,1084748871,106882,44,10130.0,10155.0
5,2022-02-26,10140.0,10148.0,10134.0,10139.0,10582701148,1043534,50,10147.0,10134.0
6,2022-02-27,10127.0,10150.0,10127.0,10129.0,331906058,32763,18,10139.0,10127.0
7,2022-02-28,10124.0,10166.0,10124.0,10157.0,4025843075,396266,43,10129.0,10165.0
8,2022-03-02,10158.0,10190.0,10158.0,10179.0,683894926,67173,22,10157.0,10183.0
9,2022-03-05,10168.0,10201.0,10168.0,10175.0,3250723901,319431,51,10179.0,10180.0
10,2022-03-06,10197.0,10213.0,10183.0,10194.0,2846467195,279172,66,10175.0,10183.0
11,2022-03-07,10233.0,10248.0,10184.0,10241.0,991080104,96760,37,10194.0,10247.0
12,2022-03-08,10198.0,10252.0,10197.0,10231.0,627130350,61284,39,10241.0,10248.0
13,2022-03-09,10248.0,10258.0,10238.0,10238.0,72489431965,7079009,171,10231.0,10238.0
14,2022-03-12,10240.0,10243.0,10178.0,10203.0,2378178537,233041,33,10238.0,10243.0
15,2022-03-13,10204.0,10268.0,10204.0,10261.0,103119616687,10047910,112,10203.0,10264.0
16,2022-03-14,10238.0,10268.0,10238.0,10240.0,102127960,9971,6,10261.0,10268.0
17,2022-03-15,10228.0,10268.0,10228.0,10244.0,533627071,52080,25,10240.0,10263.0
18,2022-03-16,10278.0,10313.0,10278.0,10289.0,1285807926,124949,25,10244.0,10293.0
19,2022-03-19,10258.0,10423.0,10258.0,10406.0,3999888290,384291,42,10289.0,10423.0
20,2022-03-26,10448.0,10485.0,10413.0,10464.0,1190831696,113780,23,10406.0,10485.0
21,2022-03-27,10488.0,10538.0,10488.0,10523.0,3554451815,337712,30,10464.0,10527.0
22,2022-03-29,10588.0,10598.0,10484.0,10551.0,941105745,89177,45,10523.0,10568.0
23,2022-03-30,10558.0,10578.0,10552.0,10554.0,25514615943,2417113,168,10551.0,10578.0
24,2022-04-03,10555.0,10798.0,10458.0,10712.0,2907428280,271367,59,10554.0,10798.0
25,2022-04-04,10798.0,10908.0,10700.0,10821.0,1828207606,168913,50,10712.0,10898.0
26,2022-04-05,10898.0,10908.0,10748.0,10867.0,2975704004,273768,67,10821.0,10868.0
27,2022-04-06,10890.0,10898.0,10813.0,10838.0,117301428746,10821082,275,10867.0,10837.0
28,2022-04-09,10838.0,10848.0,10803.0,10840.0,343564300,31689,15,10838.0,10843.0
29,2022-04-10,10841.0,10868.0,10783.0,10850.0,1174894177,108269,35,10840.0,10858.0
30,2022-04-11,10928.0,10928.0,10854.0,10888.0,799893209,73453,27,10850.0,10908.0
31,2022-04-12,10908.0,10908.0,10878.0,10899.0,1841037829,168890,54,10888.0,10878.0
32,2022-04-13,10799.0,10906.0,10799.0,10902.0,1032957238,94735,27,10899.0,10904.0
33,2022-04-16,10848.0,10908.0,10848.0,10899.0,2092685919,191972,39,10902.0,10908.0
34,2022-04-17,10903.0,10933.0,10898.0,10905.0,1315230294,120587,36,10899.0,10933.0
35,2022-04-18,10928.0,11013.0,10908.0,10994.0,2551883377,232084,45,10905.0,10981.0
36,2022-04-19,10958.0,11038.0,10958.0,10991.0,2650233575,241075,27,10994.0,11008.0
37,2022-04-20,11073.0,11108.0,11003.0,11078.0,1430128260,129076,33,10991.0,11108.0
38,2022-04-24,11079.0,11168.0,11058.0,11110.0,2855339464,256960,66,11078.0,11082.0
