,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-28,272.0,272.0,272.0,272.0,3806000,1000,2,0.0,272.0
1,2001-04-07,283.0,286.0,283.0,286.0,8620750,2170,5,272.0,286.0
2,2001-04-08,286.0,286.0,286.0,286.0,1600000,400,1,286.0,286.0
3,2001-04-10,288.0,300.0,288.0,300.0,10473400,2540,5,286.0,300.0
4,2001-04-15,302.0,302.0,302.0,302.0,11410280,2705,4,300.0,302.0
5,2001-04-16,308.0,313.0,308.0,312.0,18500170,4270,4,302.0,312.0
6,2001-04-17,313.0,313.0,313.0,313.0,19835130,4530,4,312.0,313.0
7,2001-04-22,314.0,314.0,314.0,314.0,1052640,240,1,313.0,314.0
8,2001-04-24,301.0,301.0,301.0,301.0,12600000,3000,3,314.0,301.0
9,2001-04-25,186.0,301.0,186.0,301.0,244331200,93912,260,301.0,301.0
10,2001-04-29,308.0,308.0,308.0,308.0,20210000,4700,5,301.0,308.0
11,2001-04-30,308.0,308.0,308.0,308.0,36899300,8581,9,308.0,308.0
12,2001-05-01,301.0,301.0,301.0,301.0,15594600,3713,3,308.0,301.0
13,2001-05-02,301.0,301.0,301.0,301.0,4203000,1000,1,301.0,301.0
14,2001-05-05,301.0,301.0,301.0,301.0,19301300,4595,4,301.0,301.0
15,2001-05-06,304.0,305.0,304.0,305.0,42589000,10000,8,301.0,305.0
16,2001-05-07,305.0,305.0,305.0,305.0,10223000,2400,3,305.0,305.0
17,2001-05-08,305.0,305.0,305.0,305.0,53977252,12671,11,305.0,305.0
18,2001-05-09,305.0,305.0,305.0,305.0,8903400,2090,4,305.0,305.0
19,2001-05-12,318.0,320.0,318.0,320.0,14769845,3315,5,305.0,320.0
20,2001-05-13,333.0,336.0,333.0,336.0,42869680,9218,9,320.0,336.0
21,2001-05-15,353.0,353.0,353.0,353.0,200902430,40751,26,336.0,353.0
22,2001-05-16,358.0,358.0,353.0,358.0,69934716,14126,19,353.0,358.0
23,2001-05-19,358.0,365.0,358.0,358.0,72952400,14400,22,358.0,358.0
24,2001-05-20,358.0,358.0,351.0,351.0,60155000,12100,25,358.0,351.0
25,2001-05-21,351.0,354.0,351.0,354.0,34784450,7050,12,351.0,354.0
26,2001-05-23,358.0,358.0,358.0,358.0,35300000,7060,12,354.0,358.0
27,2001-05-27,358.0,358.0,358.0,358.0,10000000,2000,2,358.0,358.0
28,2001-05-28,358.0,358.0,358.0,358.0,32203499,6441,6,358.0,358.0
29,2001-05-29,358.0,358.0,351.0,358.0,50616500,10224,10,358.0,358.0
30,2001-05-30,358.0,358.0,358.0,358.0,25000000,5000,5,358.0,358.0
31,2001-06-02,358.0,358.0,358.0,358.0,35410000,7082,8,358.0,358.0
32,2001-06-06,357.0,357.0,357.0,357.0,32185500,6450,7,358.0,357.0
33,2001-06-09,351.0,357.0,351.0,351.0,28412050,5780,8,357.0,351.0
34,2001-06-11,351.0,351.0,351.0,351.0,4900000,1000,1,351.0,351.0
35,2001-06-12,349.0,349.0,349.0,349.0,4880000,1000,1,351.0,349.0
36,2001-06-13,343.0,343.0,343.0,343.0,9600000,2000,2,349.0,343.0
37,2001-06-16,343.0,343.0,343.0,343.0,33600000,7000,10,343.0,343.0
38,2001-06-19,349.0,349.0,349.0,349.0,29445320,6040,14,343.0,349.0
39,2001-06-20,344.0,357.0,344.0,344.0,78089481,16151,10,349.0,344.0
40,2001-06-23,344.0,344.0,344.0,344.0,4811000,1000,2,344.0,344.0
41,2001-06-24,344.0,344.0,344.0,344.0,4046051,841,2,344.0,344.0
42,2001-06-26,344.0,344.0,344.0,344.0,24564966,5106,8,344.0,344.0
43,2001-06-27,358.0,358.0,358.0,358.0,34446110,6890,12,344.0,358.0
44,2001-06-30,357.0,358.0,357.0,358.0,65586910,13118,13,358.0,358.0
45,2001-07-01,358.0,360.0,358.0,358.0,243076086,48500,31,358.0,358.0
46,2001-07-02,358.0,358.0,358.0,358.0,1115615,223,2,358.0,358.0
47,2001-07-03,358.0,359.0,358.0,359.0,19975100,3980,3,358.0,359.0
48,2001-07-04,365.0,376.0,365.0,376.0,28696000,5510,7,359.0,376.0
49,2001-07-07,376.0,376.0,376.0,376.0,15025500,2862,6,376.0,376.0
50,2001-07-08,376.0,376.0,376.0,376.0,225733325,42956,2,376.0,376.0
51,2001-07-09,376.0,376.0,376.0,376.0,9301350,1770,2,376.0,376.0
52,2001-07-11,377.0,379.0,377.0,379.0,25364000,4800,10,376.0,379.0
53,2001-08-07,379.0,379.0,372.0,379.0,113553100,21548,18,379.0,379.0
54,2001-08-08,398.0,398.0,398.0,398.0,57485250,10330,14,379.0,398.0
55,2001-08-11,398.0,398.0,398.0,398.0,333900,60,1,398.0,398.0
56,2001-08-12,401.0,401.0,398.0,398.0,19549100,3500,5,398.0,398.0
57,2001-08-13,398.0,398.0,398.0,398.0,48091600,8650,6,398.0,398.0
58,2001-08-14,398.0,398.0,398.0,398.0,60492800,10880,8,398.0,398.0
59,2001-08-15,398.0,398.0,397.0,398.0,53124890,9555,10,398.0,398.0
60,2001-08-18,398.0,398.0,398.0,398.0,6065960,1091,2,398.0,398.0
61,2001-08-19,398.0,398.0,398.0,398.0,53464754,9616,10,398.0,398.0
62,2001-08-20,398.0,398.0,398.0,398.0,23556280,4238,5,398.0,398.0
63,2001-08-22,379.0,398.0,379.0,398.0,204939531,38331,17,398.0,398.0
64,2001-09-01,397.0,397.0,397.0,397.0,4296765,775,3,398.0,397.0
65,2001-09-02,386.0,386.0,386.0,386.0,50761340,9402,9,397.0,386.0
66,2001-09-10,379.0,379.0,379.0,379.0,2650000,500,2,386.0,379.0
67,2001-09-11,379.0,379.0,379.0,379.0,10592830,2000,3,379.0,379.0
68,2001-09-16,378.0,378.0,378.0,378.0,8625859,1632,3,379.0,378.0
69,2001-09-25,372.0,372.0,372.0,372.0,23654800,4549,6,378.0,372.0
70,2001-09-26,372.0,372.0,372.0,372.0,2600000,500,2,372.0,372.0
71,2001-10-07,371.0,371.0,371.0,371.0,31857000,6150,8,372.0,371.0
72,2001-10-08,371.0,371.0,371.0,371.0,53348318,10300,7,371.0,371.0
73,2001-10-09,365.0,371.0,365.0,371.0,15332701,3000,6,371.0,371.0
74,2001-10-16,370.0,370.0,370.0,370.0,12924909,2500,6,371.0,370.0
75,2001-10-21,369.0,372.0,369.0,372.0,64756460,12484,9,370.0,372.0
76,2001-10-22,372.0,372.0,372.0,372.0,2600000,500,1,372.0,372.0
77,2001-10-27,372.0,372.0,372.0,372.0,1201200,231,1,372.0,372.0
78,2001-10-31,372.0,376.0,372.0,376.0,18351500,3500,2,372.0,376.0
79,2001-11-05,385.0,385.0,385.0,385.0,5383000,1000,2,376.0,385.0
80,2001-11-06,398.0,398.0,398.0,398.0,15837450,2850,1,385.0,398.0
81,2001-11-10,398.0,398.0,398.0,398.0,2778500,500,1,398.0,398.0
82,2001-11-11,398.0,398.0,398.0,398.0,7874088,1417,3,398.0,398.0
83,2001-11-12,398.0,398.0,398.0,398.0,1467048,264,1,398.0,398.0
84,2001-11-14,398.0,398.0,398.0,398.0,20643255,3715,2,398.0,398.0
85,2001-11-20,417.0,417.0,417.0,417.0,49589000,8500,11,398.0,417.0
86,2001-12-02,415.0,415.0,415.0,415.0,742400,128,1,417.0,415.0
87,2001-12-04,415.0,415.0,408.0,408.0,18026600,3144,6,415.0,408.0
88,2001-12-05,408.0,408.0,404.0,404.0,17226850,3037,6,408.0,404.0
89,2001-12-08,404.0,404.0,404.0,404.0,7701594,1363,3,404.0,404.0
90,2001-12-09,404.0,404.0,404.0,404.0,6781200,1200,2,404.0,404.0
91,2001-12-10,404.0,404.0,404.0,404.0,2548601,451,3,404.0,404.0
92,2001-12-12,405.0,405.0,405.0,405.0,39587500,7000,6,404.0,405.0
93,2001-12-15,406.0,408.0,405.0,408.0,53237184,9381,9,405.0,408.0
94,2001-12-17,414.0,414.0,414.0,414.0,26178384,4526,3,408.0,414.0
95,2001-12-19,417.0,417.0,417.0,417.0,44495918,7627,11,414.0,417.0
96,2001-12-23,419.0,419.0,419.0,419.0,11700000,2000,2,417.0,419.0
97,2001-12-24,420.0,420.0,420.0,420.0,14687500,2500,1,419.0,420.0
98,2001-12-25,422.0,422.0,422.0,422.0,11800000,2000,2,420.0,422.0
99,2001-12-26,424.0,429.0,424.0,429.0,33126500,5550,6,422.0,429.0
100,2001-12-29,433.0,433.0,433.0,433.0,65645500,10850,15,429.0,433.0
101,2001-12-30,433.0,433.0,433.0,433.0,15427500,2550,7,433.0,433.0
102,2002-01-01,433.0,436.0,433.0,436.0,56498637,9270,13,433.0,436.0
103,2002-01-02,436.0,440.0,436.0,440.0,27561500,4490,9,436.0,440.0
104,2002-01-05,440.0,440.0,440.0,440.0,6655251,1082,3,440.0,440.0
105,2002-01-07,441.0,444.0,441.0,444.0,81299700,13136,16,440.0,444.0
106,2002-01-08,444.0,444.0,444.0,444.0,33123166,5342,7,444.0,444.0
107,2002-01-27,436.0,436.0,436.0,436.0,3965000,650,3,444.0,436.0
108,2002-01-29,436.0,436.0,436.0,436.0,6099638,1000,5,436.0,436.0
109,2002-02-02,429.0,429.0,429.0,429.0,6000000,1000,1,436.0,429.0
110,2002-02-03,429.0,429.0,429.0,429.0,6000000,1000,1,429.0,429.0
111,2002-02-06,422.0,422.0,422.0,422.0,25960000,4400,4,429.0,422.0
112,2002-02-09,419.0,422.0,419.0,422.0,3193150,545,4,422.0,422.0
113,2002-02-13,422.0,422.0,422.0,422.0,5900000,1000,2,422.0,422.0
114,2002-02-16,422.0,422.0,422.0,422.0,1067900,181,2,422.0,422.0
115,2002-02-24,422.0,422.0,422.0,422.0,536900,91,1,422.0,422.0
116,2002-02-25,422.0,422.0,422.0,422.0,2360010,400,2,422.0,422.0
117,2002-02-26,422.0,422.0,422.0,422.0,536900,91,1,422.0,422.0
118,2002-02-27,422.0,422.0,422.0,422.0,17535470,2972,4,422.0,422.0
119,2002-03-09,422.0,422.0,422.0,422.0,94270200,15978,8,422.0,422.0
120,2002-03-11,422.0,422.0,422.0,422.0,12894088,2185,4,422.0,422.0
121,2002-04-07,422.0,422.0,422.0,422.0,1068081,181,1,422.0,422.0
122,2002-04-09,422.0,422.0,422.0,422.0,1558656,264,1,422.0,422.0
123,2002-04-10,423.0,424.0,423.0,424.0,8874000,1500,2,422.0,424.0
124,2002-04-13,443.0,447.0,443.0,447.0,16545988,2653,3,424.0,447.0
125,2002-04-14,447.0,451.0,447.0,451.0,723124597,114800,31,447.0,451.0
126,2002-04-15,454.0,454.0,451.0,453.0,50658000,8000,8,451.0,453.0
127,2002-05-26,451.0,451.0,429.0,429.0,3540357,563,4,453.0,429.0
128,2002-05-27,408.0,408.0,408.0,408.0,28500000,5000,3,429.0,408.0
129,2002-05-28,387.0,387.0,387.0,387.0,16245000,3000,2,408.0,387.0
130,2002-06-01,369.0,369.0,369.0,369.0,15450000,3000,2,387.0,369.0
131,2002-06-02,350.0,350.0,350.0,350.0,9179268,1876,5,369.0,350.0
132,2002-06-10,349.0,349.0,349.0,349.0,10543706,2160,4,350.0,349.0
133,2002-06-11,347.0,348.0,347.0,348.0,1981044,408,2,349.0,348.0
134,2002-06-15,336.0,336.0,336.0,336.0,2975100,633,1,348.0,336.0
135,2002-06-16,329.0,329.0,329.0,329.0,46000000,10000,6,336.0,329.0
136,2002-06-17,329.0,329.0,322.0,322.0,47851200,10600,13,329.0,322.0
137,2002-06-18,315.0,315.0,314.0,315.0,90001346,20467,12,322.0,315.0
138,2002-06-19,314.0,314.0,314.0,314.0,4395000,1000,1,315.0,314.0
139,2002-06-22,314.0,314.0,314.0,314.0,13883805,3159,3,314.0,314.0
140,2002-06-24,314.0,314.0,299.0,314.0,45935073,10976,9,314.0,314.0
141,2002-06-25,312.0,313.0,312.0,312.0,34685280,7943,6,314.0,312.0
142,2002-06-30,312.0,313.0,312.0,313.0,25994225,5943,5,312.0,313.0
143,2002-07-23,236.0,236.0,236.0,236.0,6534000,1980,1,313.0,236.0
144,2002-08-04,236.0,236.0,236.0,236.0,597300,181,1,236.0,236.0
145,2002-08-13,236.0,236.0,236.0,236.0,1013714,307,1,236.0,236.0
146,2002-08-19,237.0,237.0,237.0,237.0,6622000,2000,2,236.0,237.0
147,2002-08-20,237.0,237.0,237.0,237.0,19257528,5819,3,237.0,237.0
148,2002-08-25,236.0,237.0,236.0,237.0,37972929,11501,5,237.0,237.0
149,2002-09-02,237.0,237.0,237.0,237.0,512895,155,1,237.0,237.0
150,2002-09-07,237.0,237.0,237.0,237.0,38506833,11637,4,237.0,237.0
151,2002-09-10,237.0,237.0,237.0,237.0,6422769,1941,2,237.0,237.0
152,2002-09-14,237.0,237.0,237.0,237.0,3475490,1050,3,237.0,237.0
153,2002-09-15,237.0,237.0,237.0,237.0,1194549,361,1,237.0,237.0
154,2002-09-28,237.0,237.0,237.0,237.0,3309000,1000,1,237.0,237.0
155,2002-10-01,237.0,237.0,237.0,237.0,6620000,2000,1,237.0,237.0
156,2002-10-02,241.0,241.0,241.0,241.0,2022000,600,1,237.0,241.0
157,2002-10-14,241.0,241.0,241.0,241.0,4901557,1456,4,241.0,241.0
158,2002-10-15,241.0,241.0,241.0,241.0,6738000,2000,2,241.0,241.0
159,2002-10-23,242.0,242.0,242.0,242.0,2265270,670,1,241.0,242.0
160,2002-10-26,247.0,247.0,247.0,247.0,3450000,1000,3,242.0,247.0
161,2002-10-29,250.0,250.0,250.0,250.0,3500000,1000,2,247.0,250.0
162,2002-11-04,254.0,254.0,254.0,254.0,1775000,500,1,250.0,254.0
163,2002-11-11,258.0,261.0,258.0,261.0,4741900,1306,2,254.0,261.0
164,2002-11-12,261.0,261.0,260.0,260.0,12770000,3500,3,261.0,260.0
165,2002-11-19,265.0,265.0,265.0,265.0,6626700,1791,2,260.0,265.0
166,2002-11-20,265.0,265.0,265.0,265.0,4706400,1272,3,265.0,265.0
167,2002-11-25,278.0,278.0,278.0,278.0,58275000,15000,3,265.0,278.0
168,2002-11-30,279.0,279.0,279.0,279.0,650692,167,6,278.0,279.0
169,2002-12-01,292.0,292.0,292.0,292.0,26877860,6587,5,279.0,292.0
170,2002-12-02,292.0,299.0,292.0,299.0,39820380,9711,6,292.0,299.0
171,2002-12-03,299.0,308.0,299.0,308.0,10355600,2420,2,299.0,308.0
172,2002-12-04,308.0,315.0,308.0,315.0,12929618,2959,4,308.0,315.0
173,2002-12-09,331.0,331.0,331.0,331.0,4622000,1000,2,315.0,331.0
174,2002-12-10,331.0,331.0,331.0,331.0,39829000,8620,7,331.0,331.0
175,2002-12-11,330.0,345.0,330.0,345.0,85918113,18493,20,331.0,345.0
176,2002-12-14,345.0,361.0,345.0,361.0,28822000,5800,3,345.0,361.0
177,2002-12-15,361.0,379.0,361.0,379.0,86050800,16406,8,361.0,379.0
178,2002-12-16,360.0,360.0,360.0,360.0,10070000,2000,2,379.0,360.0
179,2002-12-17,358.0,358.0,357.0,357.0,499360,100,2,360.0,357.0
180,2002-12-18,342.0,357.0,342.0,357.0,54608555,11201,9,357.0,357.0
181,2002-12-21,357.0,357.0,357.0,357.0,453908,91,1,357.0,357.0
182,2002-12-22,357.0,357.0,357.0,357.0,4931154,989,2,357.0,357.0
183,2002-12-25,339.0,357.0,339.0,350.0,17226533,3539,7,357.0,350.0
184,2002-12-29,333.0,333.0,333.0,333.0,3278955,705,1,350.0,333.0
