,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2023-01-23,5650.0,5650.0,3503.0,4212.0,1610258200000,108000000,105,283.0,3503.0
1,2023-01-25,4421.0,4421.0,4421.0,4410.0,14867500000,950000,73,4212.0,4421.0
2,2023-01-28,4631.0,4631.0,4631.0,4628.0,15570500000,950000,88,4410.0,4631.0
3,2023-01-29,4857.0,4857.0,4857.0,4857.0,17088939990,994121,84,4628.0,4857.0
4,2023-01-30,5097.0,5097.0,5029.0,5097.0,960867643050,53268389,4576,4857.0,5097.0
5,2023-01-31,5340.0,5351.0,5232.0,5340.0,449985328660,23814987,2081,5097.0,5351.0
6,2023-02-01,5605.0,5605.0,5605.0,5605.0,62836871040,3167181,281,5340.0,5605.0
7,2023-02-05,5885.0,5885.0,5885.0,5885.0,24566318760,1179372,116,5605.0,5885.0
8,2023-02-06,6179.0,6179.0,6179.0,6179.0,248220344700,11349810,950,5885.0,6179.0
9,2023-02-07,6461.0,6461.0,6187.0,6456.0,420254990270,18395498,1141,6179.0,6343.0
10,2023-02-12,6159.0,6300.0,6145.0,6159.0,421038281000,19312637,1635,6456.0,6145.0
11,2023-02-13,6018.0,6456.0,5947.0,6258.0,701123231000,31687870,4587,6159.0,6456.0
12,2023-02-14,6569.0,6569.0,6569.0,6569.0,48341260500,2079194,196,6258.0,6569.0
13,2023-02-15,6894.0,6894.0,6611.0,6865.0,1047293859150,43115336,6636,6569.0,6894.0
14,2023-02-19,6526.0,6526.0,6526.0,6526.0,34175964900,1479479,343,6865.0,6526.0
15,2023-02-20,6201.0,6314.0,6201.0,6201.0,1124679312300,51182364,8838,6526.0,6201.0
16,2023-02-25,6470.0,6498.0,6300.0,6470.0,432463482850,18873138,3823,6201.0,6456.0
17,2023-02-26,6470.0,6639.0,6159.0,6286.0,256328426400,11529077,3012,6470.0,6159.0
18,2023-02-27,6004.0,6117.0,5975.0,5989.0,86206559900,4067656,722,6286.0,5975.0
19,2023-02-28,5792.0,6117.0,5693.0,5848.0,317001882700,15298370,3885,5989.0,6046.0
20,2023-03-01,6074.0,6131.0,5820.0,6060.0,312624961400,14577113,3118,5848.0,5989.0
21,2023-03-04,6088.0,6088.0,5763.0,5792.0,156198657850,7613927,1538,6060.0,5763.0
22,2023-03-05,5665.0,5876.0,5509.0,5566.0,325010101750,16516752,2967,5792.0,5580.0
23,2023-03-06,5523.0,5834.0,5382.0,5778.0,258908429850,12649949,2061,5566.0,5834.0
24,2023-03-07,5763.0,6046.0,5749.0,5891.0,112306659200,5384580,1393,5778.0,5905.0
25,2023-03-11,6018.0,6173.0,6018.0,6159.0,278700880850,12788970,1802,5891.0,6173.0
26,2023-03-12,6103.0,6103.0,5862.0,5876.0,227761144350,10937107,1923,6159.0,5862.0
27,2023-03-13,5721.0,5820.0,5594.0,5650.0,119358816300,5973520,1788,5876.0,5636.0
28,2023-03-14,5665.0,5763.0,5509.0,5622.0,71334091800,3588733,1282,5650.0,5622.0
29,2023-03-15,5679.0,5806.0,5580.0,5679.0,151019290450,7522148,2103,5622.0,5806.0
30,2023-03-28,5783.0,5862.0,5574.0,5718.0,199502693400,9135762,2844,5679.0,5679.0
31,2023-03-29,5653.0,5993.0,5653.0,5953.0,230713083850,10135063,2209,5718.0,5993.0
32,2023-04-03,6124.0,6241.0,5823.0,6137.0,197774774050,8438575,2274,5953.0,6071.0
33,2023-04-04,6163.0,6281.0,5875.0,6019.0,222364075450,9663651,2816,6137.0,5940.0
34,2023-04-05,5967.0,6215.0,5862.0,6097.0,112630775900,4835818,1545,6019.0,6150.0
35,2023-04-08,6241.0,6398.0,6163.0,6385.0,262447579150,10755602,1696,6097.0,6398.0
36,2023-04-09,6621.0,6699.0,6438.0,6673.0,186007838600,7300464,1969,6385.0,6699.0
37,2023-04-10,6974.0,7000.0,6686.0,6961.0,470343215750,17680477,2858,6673.0,7000.0
38,2023-04-11,7066.0,7301.0,7026.0,7275.0,138777945600,4990770,702,6961.0,7301.0
39,2023-04-15,7524.0,7615.0,7118.0,7406.0,624520241000,22085079,5294,7275.0,7301.0
40,2023-04-16,7210.0,7380.0,7040.0,7105.0,600814963800,22128726,5336,7406.0,7144.0
41,2023-04-17,7197.0,7458.0,7105.0,7406.0,253483013350,8958928,1987,7105.0,7458.0
42,2023-04-18,7772.0,7772.0,7746.0,7772.0,98781152100,3327547,678,7406.0,7772.0
43,2023-04-19,8152.0,8152.0,7746.0,7955.0,397301999700,13059149,3631,7772.0,7929.0
44,2023-04-24,8060.0,8060.0,7563.0,7733.0,236610758900,8005065,2747,7955.0,7838.0
45,2023-04-25,7955.0,8112.0,7720.0,7995.0,247682502650,8102308,2183,7733.0,7785.0
46,2023-04-26,8073.0,8387.0,7995.0,8335.0,381343126900,11967553,1961,7995.0,8387.0
47,2023-04-29,8492.0,8741.0,8361.0,8675.0,359205921400,10834490,2563,8335.0,8741.0
48,2023-04-30,8845.0,9107.0,8374.0,8806.0,237070747350,7046586,2056,8675.0,9107.0
49,2023-05-01,9238.0,9238.0,9238.0,9238.0,100697344800,2852616,407,8806.0,9238.0
50,2023-05-02,9696.0,9696.0,9696.0,9696.0,115835565300,3126466,494,9238.0,9696.0
51,2023-05-03,10180.0,10180.0,9840.0,10154.0,648403803350,16710721,3257,9696.0,10180.0
52,2023-05-06,10206.0,10468.0,9722.0,10036.0,468043234550,12207673,4831,10154.0,10036.0
53,2023-05-07,10154.0,10154.0,9539.0,9630.0,72717712650,1976581,791,10036.0,9539.0
54,2023-05-08,9159.0,9159.0,9159.0,9159.0,39613945000,1131827,137,9630.0,9159.0
55,2023-05-09,8701.0,8898.0,8701.0,8714.0,372476302400,11187718,2299,9159.0,8819.0
56,2023-05-10,8531.0,9146.0,8283.0,8505.0,334831164800,10305481,2253,8714.0,8309.0
57,2023-05-13,8387.0,8623.0,8086.0,8112.0,243211040450,7849212,1799,8505.0,8139.0
58,2023-05-14,8139.0,8518.0,8139.0,8479.0,277673909850,8573507,1603,8112.0,8518.0
59,2023-05-15,8557.0,8767.0,8126.0,8453.0,183336280500,5676913,1471,8479.0,8440.0
60,2023-05-17,8400.0,8871.0,8400.0,8780.0,130117284500,3880677,1387,8453.0,8767.0
61,2023-05-20,8767.0,9198.0,8610.0,8845.0,104740562550,3098671,1479,8780.0,8767.0
62,2023-05-21,8976.0,9002.0,8453.0,8793.0,84247970000,2505557,1116,8845.0,8688.0
63,2023-05-22,8714.0,9068.0,8610.0,8858.0,186630526450,5510479,1657,8793.0,8924.0
64,2023-05-23,8924.0,9081.0,8741.0,8911.0,106297113400,3122098,1173,8858.0,8871.0
65,2023-05-24,9068.0,9355.0,9055.0,9212.0,187626491100,5332830,2019,8911.0,9159.0
66,2023-05-27,9159.0,9670.0,9068.0,9539.0,221056669100,6061894,2259,9212.0,9447.0
67,2023-05-28,9656.0,9656.0,9068.0,9107.0,239241670400,6871669,1619,9539.0,9185.0
68,2023-05-29,9159.0,9382.0,9002.0,9133.0,88541610200,2538399,1042,9107.0,9041.0
69,2023-05-30,9159.0,9290.0,8819.0,9015.0,114024938800,3310818,1390,9133.0,8924.0
