,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2017-01-08,363.0,363.0,363.0,363.0,64680000000,28000000,49283,157.0,363.0
1,2017-01-09,381.0,381.0,381.0,381.0,116533375,48055,96,363.0,381.0
2,2017-01-11,400.0,400.0,400.0,400.0,159532360,62660,144,381.0,400.0
3,2017-01-14,420.0,420.0,420.0,420.0,194933871,72927,162,400.0,420.0
4,2017-01-15,441.0,441.0,441.0,441.0,389430710,138785,305,420.0,441.0
5,2017-01-16,463.0,463.0,463.0,463.0,1339566822,454707,886,441.0,463.0
6,2017-01-17,486.0,486.0,486.0,486.0,19521627243,6311551,10055,463.0,486.0
7,2017-01-18,510.0,510.0,510.0,510.0,4141278999,1275417,1540,486.0,510.0
8,2017-01-21,535.0,535.0,496.0,524.0,84547911028,25347793,31229,510.0,535.0
9,2017-01-22,534.0,550.0,534.0,548.0,14813754595,4244311,2655,524.0,550.0
10,2017-01-23,561.0,575.0,550.0,564.0,37041169288,10303997,6181,548.0,553.0
11,2017-01-24,550.0,571.0,547.0,557.0,14329437661,4037921,3894,564.0,562.0
12,2017-01-25,570.0,585.0,568.0,584.0,29552178730,7945968,2832,557.0,585.0
13,2017-01-28,612.0,613.0,598.0,612.0,7807552730,2004039,546,584.0,613.0
14,2017-01-29,642.0,642.0,642.0,642.0,8898081300,2175570,443,612.0,642.0
15,2017-01-30,674.0,674.0,645.0,672.0,39092491158,9127409,2903,642.0,663.0
16,2017-01-31,658.0,673.0,639.0,652.0,31885819345,7682743,3370,672.0,652.0
17,2017-02-01,651.0,675.0,650.0,663.0,8200129617,1942638,1063,652.0,667.0
18,2017-02-04,664.0,667.0,630.0,644.0,13372427327,3258189,1951,663.0,636.0
19,2017-02-05,636.0,642.0,621.0,631.0,8705827029,2164682,1402,644.0,629.0
20,2017-02-06,628.0,663.0,628.0,654.0,8193155247,1966788,994,631.0,654.0
21,2017-02-07,654.0,687.0,654.0,676.0,13152510456,3056777,1316,654.0,687.0
22,2017-02-08,692.0,709.0,675.0,704.0,22566742644,5036065,1637,676.0,706.0
23,2017-02-11,705.0,733.0,678.0,702.0,10774344013,2410195,1101,704.0,703.0
24,2017-02-12,692.0,722.0,681.0,702.0,7395581720,1653332,813,702.0,686.0
25,2017-02-13,692.0,705.0,667.0,672.0,18213362425,4252473,1711,702.0,667.0
26,2017-02-14,650.0,689.0,650.0,679.0,6820880174,1577875,681,672.0,683.0
27,2017-02-15,684.0,704.0,678.0,693.0,6075079242,1375540,645,679.0,697.0
28,2017-02-18,689.0,716.0,689.0,708.0,4794539585,1062969,475,693.0,704.0
29,2017-02-27,809.0,846.0,801.0,814.0,34971599351,6744557,1824,708.0,813.0
30,2017-02-28,820.0,829.0,797.0,817.0,17601460318,3384456,1297,814.0,810.0
31,2017-03-01,801.0,815.0,776.0,799.0,8513439501,1672783,759,817.0,801.0
32,2017-03-04,771.0,809.0,764.0,786.0,3568463698,712474,333,799.0,788.0
33,2017-03-05,774.0,801.0,774.0,788.0,5072314807,1010546,388,786.0,800.0
34,2017-03-06,796.0,827.0,794.0,820.0,43222032035,8273998,1818,788.0,827.0
35,2017-03-07,852.0,861.0,840.0,856.0,7325525709,1343869,406,820.0,861.0
36,2017-03-08,887.0,898.0,851.0,875.0,15943840501,2859345,1073,856.0,863.0
37,2017-03-11,848.0,864.0,834.0,845.0,7556962986,1403771,564,875.0,845.0
38,2017-03-12,846.0,884.0,842.0,865.0,7896093562,1432596,562,845.0,870.0
39,2017-03-13,864.0,909.0,864.0,903.0,8485132407,1475889,585,865.0,909.0
40,2017-03-14,942.0,948.0,926.0,945.0,6549466764,1087658,442,903.0,939.0
41,2017-03-15,940.0,992.0,940.0,986.0,7999389588,1273087,534,945.0,990.0
42,2017-03-18,1005.0,1033.0,942.0,991.0,6126328909,970564,444,986.0,944.0
43,2017-03-25,951.0,1013.0,951.0,995.0,3663377992,578118,304,991.0,1005.0
44,2017-03-26,997.0,1028.0,989.0,1010.0,6003540891,933557,439,995.0,1019.0
45,2017-03-27,1011.0,1036.0,973.0,1013.0,13982914856,2166066,685,1010.0,1013.0
46,2017-03-28,1017.0,1027.0,963.0,983.0,5647828238,902550,467,1013.0,981.0
47,2017-03-29,987.0,989.0,942.0,974.0,4465806528,720062,294,983.0,973.0
