,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-07-29,1930.0,1930.0,1930.0,1930.0,6749542288500,169799806,5049512,49.0,1930.0
1,2020-08-01,2026.0,2026.0,2026.0,2026.0,216848567910,5196467,2866,1930.0,2026.0
2,2020-08-02,2127.0,2127.0,2127.0,2127.0,56060327440,1279624,2989,2026.0,2127.0
3,2020-08-03,2233.0,2233.0,2233.0,2233.0,110853606000,2409861,3188,2127.0,2233.0
4,2020-08-04,2345.0,2345.0,2345.0,2345.0,166596987900,3449213,3546,2233.0,2345.0
5,2020-08-05,2462.0,2462.0,2462.0,2462.0,194559209130,3836703,3858,2345.0,2462.0
6,2020-08-09,2585.0,2585.0,2585.0,2585.0,85193636440,1600181,6570,2462.0,2585.0
7,2020-08-10,2714.0,2714.0,2714.0,2714.0,89487626800,1600852,3520,2585.0,2714.0
8,2020-08-11,2850.0,2850.0,2850.0,2850.0,81697477730,1392017,3475,2714.0,2850.0
9,2020-08-12,2992.0,2992.0,2992.0,2992.0,96215809560,1561438,2174,2850.0,2992.0
10,2020-08-15,3141.0,3141.0,3141.0,3141.0,141045935300,2179999,5834,2992.0,3141.0
11,2020-08-16,3298.0,3298.0,3298.0,3298.0,134627002570,1981849,5808,3141.0,3298.0
12,2020-08-17,3463.0,3463.0,3463.0,3463.0,111341503280,1561154,15562,3298.0,3463.0
13,2020-08-18,3636.0,3636.0,3463.0,3634.0,2236513171900,29880270,71741,3463.0,3636.0
14,2020-08-19,3811.0,3816.0,3453.0,3783.0,1891125213410,24272223,141373,3634.0,3816.0
15,2020-08-22,3972.0,3972.0,3972.0,3972.0,861606353000,10533085,60999,3783.0,3972.0
16,2020-09-01,3975.0,4170.0,3777.0,3941.0,1182440486430,14633226,80992,3972.0,3777.0
17,2020-09-02,3744.0,3877.0,3744.0,3748.0,1758070161210,22874101,153494,3941.0,3755.0
18,2020-09-05,3745.0,3880.0,3561.0,3633.0,1224639573610,16438539,188076,3748.0,3755.0
19,2020-09-06,3797.0,3797.0,3452.0,3590.0,780425108270,10601255,110192,3633.0,3452.0
20,2020-09-07,3411.0,3412.0,3411.0,3411.0,343910082450,4917209,47310,3590.0,3411.0
21,2020-09-08,3448.0,3448.0,3241.0,3326.0,306478742820,4494039,40210,3411.0,3241.0
22,2020-09-09,3160.0,3492.0,3160.0,3388.0,1430692777990,20592304,121287,3326.0,3492.0
23,2020-09-12,3558.0,3558.0,3463.0,3554.0,489994263240,6723096,44385,3388.0,3558.0
24,2020-09-13,3597.0,3706.0,3377.0,3490.0,631627519660,8825971,58742,3554.0,3499.0
25,2020-09-14,3498.0,3584.0,3341.0,3495.0,460815131070,6429334,61720,3490.0,3529.0
26,2020-09-15,3516.0,3670.0,3321.0,3631.0,534937957530,7185414,56609,3495.0,3670.0
27,2020-09-16,3745.0,3812.0,3449.0,3563.0,563870386550,7718469,71339,3631.0,3521.0
28,2020-09-19,3385.0,3385.0,3385.0,3385.0,49930315800,719457,13839,3563.0,3385.0
29,2020-09-20,3215.0,3215.0,3215.0,3322.0,16606052820,251874,745,3385.0,3215.0
30,2020-09-21,3156.0,3156.0,3156.0,3289.0,8861721280,136924,384,3322.0,3156.0
31,2020-09-22,3125.0,3125.0,3125.0,3234.0,14559330870,227241,467,3289.0,3125.0
