,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,134.0,134.0,134.0,134.0,4779826,2236,4,0.0,134.0
1,2001-03-26,134.0,134.0,134.0,134.0,5471450,2545,5,134.0,134.0
2,2001-03-27,134.0,136.0,134.0,136.0,12494520,5757,6,134.0,136.0
3,2001-03-28,136.0,138.0,136.0,138.0,48581740,22197,16,136.0,138.0
4,2001-04-07,138.0,141.0,138.0,141.0,2283030,1026,2,138.0,141.0
5,2001-04-08,147.0,147.0,147.0,147.0,4960850,2111,3,141.0,147.0
6,2001-04-09,150.0,150.0,148.0,150.0,13932956,5889,7,147.0,150.0
7,2001-04-10,150.0,150.0,150.0,150.0,30353975,12645,17,150.0,150.0
8,2001-04-11,150.0,150.0,146.0,146.0,12857870,5461,11,150.0,146.0
9,2001-04-14,146.0,148.0,146.0,148.0,28016990,11880,8,146.0,148.0
10,2001-04-15,148.0,148.0,148.0,148.0,10112298,4269,9,148.0,148.0
11,2001-04-16,150.0,150.0,148.0,150.0,11216085,4728,7,148.0,150.0
12,2001-04-17,150.0,150.0,150.0,150.0,24128904,10060,8,150.0,150.0
13,2001-04-18,149.0,149.0,147.0,147.0,20706188,8763,6,150.0,147.0
14,2001-04-21,147.0,148.0,147.0,147.0,20105865,8545,7,147.0,147.0
15,2001-04-22,147.0,149.0,147.0,149.0,44625436,18851,25,147.0,149.0
16,2001-04-23,149.0,149.0,147.0,147.0,18147355,7633,9,149.0,147.0
17,2001-04-24,147.0,149.0,147.0,149.0,19310184,8134,7,147.0,149.0
18,2001-04-25,149.0,149.0,149.0,149.0,22719312,9562,8,149.0,149.0
19,2001-04-28,150.0,150.0,147.0,149.0,234251670,97992,47,149.0,149.0
20,2001-04-29,149.0,153.0,149.0,153.0,51830720,21471,14,149.0,153.0
21,2001-04-30,153.0,153.0,151.0,151.0,20038600,8200,8,153.0,151.0
22,2001-05-01,150.0,150.0,150.0,150.0,1298595,540,3,151.0,150.0
23,2001-05-02,150.0,150.0,150.0,150.0,23399051,9746,11,150.0,150.0
