,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2015-10-04,184.0,184.0,184.0,184.0,49000000000,20000000,22388,75.0,184.0
1,2015-10-05,193.0,193.0,193.0,193.0,202686460,78805,151,184.0,193.0
2,2015-10-06,198.0,201.0,195.0,198.0,43102046814,16313531,21319,193.0,198.0
3,2015-10-07,199.0,199.0,192.0,195.0,8924856808,3429419,3787,198.0,193.0
4,2015-10-10,192.0,196.0,190.0,193.0,4395338606,1707480,1566,195.0,191.0
5,2015-10-11,190.0,193.0,189.0,190.0,3149090795,1243289,1153,193.0,189.0
6,2015-10-12,189.0,197.0,188.0,193.0,3704506513,1439262,1274,190.0,192.0
7,2015-10-13,192.0,196.0,191.0,194.0,1867626018,722435,615,193.0,192.0
8,2015-10-14,195.0,197.0,189.0,192.0,3401333780,1326976,694,194.0,190.0
9,2015-10-17,189.0,193.0,188.0,190.0,2186651722,860893,509,192.0,192.0
10,2015-10-18,193.0,193.0,186.0,188.0,3289857292,1309900,486,190.0,187.0
11,2015-10-19,187.0,193.0,187.0,190.0,1354708369,533598,240,188.0,189.0
12,2015-10-20,190.0,191.0,187.0,189.0,1445604372,573790,194,190.0,188.0
13,2015-10-21,189.0,190.0,187.0,188.0,1281390217,509639,193,189.0,189.0
14,2015-10-25,188.0,189.0,185.0,186.0,1080979590,435710,147,188.0,185.0
15,2015-10-26,184.0,187.0,184.0,185.0,924329043,374306,113,186.0,186.0
16,2015-10-27,186.0,189.0,186.0,187.0,908721286,363947,188,185.0,187.0
17,2015-10-28,184.0,188.0,184.0,186.0,797351687,320909,104,187.0,186.0
18,2015-10-31,188.0,191.0,187.0,190.0,1093181509,432037,247,186.0,191.0
19,2015-11-01,191.0,195.0,190.0,193.0,931519029,362370,229,190.0,190.0
20,2015-11-02,193.0,193.0,189.0,190.0,466786091,183634,85,193.0,190.0
21,2015-11-03,190.0,190.0,187.0,188.0,474549678,189195,112,190.0,190.0
22,2015-11-04,190.0,191.0,187.0,189.0,600055445,237587,131,188.0,189.0
23,2015-11-07,191.0,192.0,189.0,190.0,601628732,236752,122,189.0,190.0
24,2015-11-08,189.0,191.0,186.0,187.0,1654255981,661448,237,190.0,187.0
25,2015-11-09,185.0,190.0,185.0,188.0,605288735,241855,107,187.0,188.0
26,2015-11-10,187.0,189.0,186.0,187.0,600139984,240125,93,188.0,187.0
27,2015-11-11,185.0,189.0,185.0,186.0,1185163851,477704,147,187.0,186.0
28,2015-11-14,188.0,188.0,180.0,182.0,2602899529,1070372,273,186.0,184.0
29,2015-11-15,186.0,186.0,180.0,183.0,906878334,370366,121,182.0,184.0
30,2015-11-16,184.0,186.0,182.0,185.0,1563495231,634725,148,183.0,183.0
31,2015-11-17,186.0,190.0,185.0,187.0,1367492572,547914,194,185.0,188.0
32,2015-11-18,190.0,196.0,187.0,195.0,8852221135,3397587,692,187.0,195.0
33,2015-11-21,195.0,199.0,195.0,198.0,3865299405,1465926,431,195.0,197.0
34,2015-11-22,198.0,202.0,197.0,200.0,4366112805,1635848,357,198.0,201.0
35,2015-11-23,201.0,207.0,199.0,205.0,4343974812,1591185,490,200.0,207.0
36,2015-11-24,207.0,207.0,196.0,201.0,870123690,324078,144,205.0,198.0
37,2015-11-25,198.0,198.0,195.0,196.0,987277495,376786,78,201.0,196.0
38,2015-11-28,195.0,198.0,191.0,195.0,1063219766,407973,99,196.0,196.0
39,2015-11-29,197.0,202.0,196.0,200.0,2188888848,820969,335,195.0,200.0
40,2015-11-30,201.0,205.0,193.0,203.0,1337667472,493008,162,200.0,202.0
