,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-03,9.0,9.0,9.0,9.0,1137000,300,4,0.0,9.0
1,2001-04-21,8.0,8.0,8.0,8.0,76668195,21155,15,9.0,8.0
2,2001-04-22,8.0,9.0,8.0,9.0,16568840,4390,7,8.0,9.0
3,2001-04-23,9.0,9.0,9.0,9.0,3795240,1000,4,9.0,9.0
4,2001-04-25,8.0,8.0,8.0,8.0,12461200,3323,3,9.0,8.0
5,2001-04-28,8.0,9.0,8.0,9.0,627999097,166276,36,8.0,9.0
6,2001-04-29,9.0,9.0,9.0,9.0,721971700,188613,33,9.0,9.0
7,2001-04-30,9.0,9.0,9.0,9.0,155560000,40000,21,9.0,9.0
8,2001-05-01,9.0,9.0,9.0,9.0,7191756,1716,3,9.0,9.0
9,2001-05-02,10.0,10.0,10.0,10.0,136400000,31000,24,9.0,10.0
10,2001-05-05,10.0,10.0,10.0,10.0,4620000,1000,1,10.0,10.0
11,2001-05-06,11.0,11.0,11.0,11.0,7276500,1500,3,10.0,11.0
12,2001-05-07,11.0,11.0,11.0,11.0,1948063500,382500,106,11.0,11.0
13,2001-05-08,12.0,12.0,12.0,12.0,43791930,8190,6,11.0,12.0
14,2001-06-16,15.0,20.0,15.0,15.0,1061773599,150207,63,12.0,15.0
15,2001-06-17,15.0,15.0,15.0,15.0,358798150,52025,44,15.0,15.0
16,2001-06-18,16.0,16.0,15.0,16.0,1846719690,265107,156,15.0,16.0
17,2001-06-19,16.0,16.0,16.0,16.0,954713900,136738,100,16.0,16.0
18,2001-06-20,16.0,16.0,16.0,16.0,763091237,107860,87,16.0,16.0
19,2001-06-23,16.0,16.0,16.0,16.0,173630000,24400,27,16.0,16.0
20,2001-06-24,16.0,16.0,16.0,16.0,142414500,19725,19,16.0,16.0
21,2001-06-25,16.0,16.0,16.0,16.0,83858000,11500,17,16.0,16.0
22,2001-06-26,17.0,17.0,17.0,17.0,209874000,28500,30,16.0,17.0
23,2001-06-27,17.0,17.0,17.0,17.0,556897434,74882,53,17.0,17.0
24,2001-06-30,17.0,17.0,17.0,17.0,270771550,36050,37,17.0,17.0
25,2001-07-01,17.0,17.0,17.0,17.0,257924000,34000,33,17.0,17.0
26,2001-07-02,17.0,17.0,17.0,17.0,490304000,64000,54,17.0,17.0
27,2001-07-03,17.0,17.0,17.0,17.0,520437042,67266,61,17.0,17.0
28,2001-07-04,18.0,18.0,17.0,17.0,1740826729,225935,139,17.0,17.0
29,2001-07-07,17.0,17.0,17.0,17.0,1688036173,222159,136,17.0,17.0
30,2001-07-08,17.0,17.0,17.0,17.0,517637912,66917,31,17.0,17.0
31,2001-07-09,18.0,18.0,18.0,18.0,125773674,16098,20,17.0,18.0
32,2001-07-10,18.0,18.0,18.0,18.0,454516139,57600,57,18.0,18.0
33,2001-07-11,18.0,18.0,18.0,18.0,154072646,19334,30,18.0,18.0
34,2001-08-19,22.0,23.0,19.0,22.0,832946356,84723,99,18.0,22.0
35,2001-08-20,21.0,22.0,21.0,21.0,433859197,45764,50,22.0,21.0
36,2001-08-21,21.0,21.0,20.0,20.0,5021372,553,3,21.0,20.0
37,2001-08-22,20.0,21.0,20.0,20.0,472937833,52157,51,20.0,20.0
38,2001-08-25,20.0,21.0,20.0,21.0,168041018,18133,29,20.0,21.0
39,2001-08-26,21.0,21.0,21.0,21.0,135089933,14592,36,21.0,21.0
40,2001-08-27,20.0,20.0,20.0,20.0,197975000,22223,32,21.0,20.0
41,2001-08-28,20.0,20.0,20.0,20.0,186381665,21002,42,20.0,20.0
42,2001-08-29,20.0,20.0,20.0,20.0,136156845,15493,14,20.0,20.0
43,2001-09-01,19.0,19.0,19.0,19.0,14628700,1700,6,20.0,19.0
44,2001-09-02,19.0,19.0,18.0,18.0,311422020,37670,19,19.0,18.0
45,2001-09-03,18.0,18.0,18.0,18.0,205737745,25325,37,18.0,18.0
46,2001-09-04,18.0,18.0,18.0,18.0,202909344,25470,27,18.0,18.0
47,2001-09-05,18.0,18.0,17.0,17.0,394276190,50860,45,18.0,17.0
48,2001-09-08,17.0,18.0,17.0,18.0,776051594,98906,105,17.0,18.0
49,2001-09-09,18.0,18.0,18.0,18.0,714788170,87376,68,18.0,18.0
50,2001-09-10,18.0,18.0,17.0,17.0,183286814,23339,23,18.0,17.0
51,2001-09-11,17.0,17.0,17.0,17.0,141310055,18407,29,17.0,17.0
52,2001-09-12,17.0,17.0,16.0,16.0,160533668,22153,44,17.0,16.0
53,2001-09-15,16.0,17.0,16.0,17.0,113838520,15565,15,16.0,17.0
54,2001-09-16,16.0,16.0,16.0,16.0,116117960,16020,24,17.0,16.0
55,2001-09-17,15.0,15.0,15.0,15.0,27360000,4000,2,16.0,15.0
56,2001-09-18,15.0,15.0,15.0,15.0,153173907,22797,30,15.0,15.0
57,2001-09-19,16.0,16.0,15.0,16.0,155346770,22533,27,15.0,16.0
58,2001-09-22,16.0,17.0,16.0,17.0,73388879,9981,14,16.0,17.0
59,2001-09-23,17.0,17.0,17.0,17.0,365696530,47955,47,17.0,17.0
60,2001-09-24,17.0,17.0,16.0,16.0,61399262,8416,13,17.0,16.0
61,2001-09-25,16.0,16.0,16.0,16.0,88919500,12350,22,16.0,16.0
62,2001-09-26,16.0,16.0,16.0,16.0,114280269,16100,23,16.0,16.0
63,2001-09-29,15.0,16.0,15.0,15.0,67228799,9735,20,16.0,15.0
64,2001-09-30,15.0,16.0,15.0,16.0,213856419,30602,28,15.0,16.0
65,2001-10-02,17.0,17.0,16.0,16.0,151372472,20605,28,16.0,16.0
66,2001-10-03,16.0,16.0,16.0,16.0,327716685,45563,32,16.0,16.0
67,2001-10-06,16.0,16.0,16.0,16.0,47415170,6590,10,16.0,16.0
68,2001-10-07,16.0,16.0,16.0,16.0,89646656,12478,11,16.0,16.0
69,2001-10-08,16.0,16.0,16.0,16.0,27269475,3858,7,16.0,16.0
70,2001-10-09,15.0,15.0,15.0,15.0,51750000,7500,8,16.0,15.0
71,2001-10-10,15.0,15.0,15.0,15.0,178111800,26444,21,15.0,15.0
72,2001-10-13,15.0,16.0,15.0,15.0,283244592,40843,44,15.0,15.0
73,2001-10-14,15.0,16.0,15.0,16.0,106675000,15400,12,15.0,16.0
74,2001-10-16,16.0,16.0,16.0,16.0,173713190,24063,29,16.0,16.0
75,2001-10-17,17.0,17.0,16.0,16.0,248903129,33723,31,16.0,16.0
76,2001-10-20,16.0,16.0,16.0,16.0,64353209,8847,15,16.0,16.0
77,2001-10-21,16.0,16.0,16.0,16.0,129764541,17746,25,16.0,16.0
78,2001-10-22,17.0,17.0,16.0,17.0,297131955,40356,39,16.0,17.0
79,2001-10-23,17.0,17.0,16.0,16.0,126282950,17068,16,17.0,16.0
80,2001-10-24,16.0,16.0,16.0,16.0,136703872,18737,30,16.0,16.0
81,2001-10-27,16.0,16.0,16.0,16.0,3127930,428,2,16.0,16.0
82,2001-10-29,16.0,16.0,16.0,16.0,19109250,2650,4,16.0,16.0
83,2001-10-31,16.0,16.0,16.0,16.0,78999640,11118,18,16.0,16.0
84,2001-11-03,16.0,16.0,16.0,16.0,125379190,17358,17,16.0,16.0
85,2001-11-04,16.0,17.0,16.0,16.0,149625298,20215,18,16.0,16.0
86,2001-11-05,17.0,17.0,17.0,17.0,78659500,10493,10,16.0,17.0
87,2001-11-06,17.0,17.0,17.0,17.0,43963939,5900,7,17.0,17.0
88,2001-11-07,17.0,17.0,16.0,16.0,40160980,5463,8,17.0,16.0
89,2001-11-10,16.0,16.0,16.0,16.0,1087048819,150343,44,16.0,16.0
90,2001-11-11,17.0,17.0,17.0,17.0,80233330,10843,15,16.0,17.0
91,2001-11-12,17.0,17.0,17.0,17.0,57204020,7654,11,17.0,17.0
92,2001-11-13,17.0,17.0,16.0,16.0,89577854,12264,15,17.0,16.0
93,2001-11-14,16.0,16.0,16.0,16.0,37424775,5125,10,16.0,16.0
94,2001-11-17,16.0,16.0,16.0,16.0,11483710,1590,5,16.0,16.0
95,2001-11-18,16.0,16.0,16.0,16.0,28873700,4000,4,16.0,16.0
96,2001-11-19,16.0,16.0,16.0,16.0,95133600,13213,11,16.0,16.0
97,2001-11-20,16.0,16.0,16.0,16.0,14400000,2000,4,16.0,16.0
98,2001-11-21,16.0,16.0,16.0,16.0,476103740,67089,46,16.0,16.0
99,2001-11-24,16.0,17.0,16.0,17.0,143469544,19594,28,16.0,17.0
100,2001-11-25,17.0,17.0,17.0,17.0,340664434,46009,39,17.0,17.0
101,2001-11-26,17.0,17.0,17.0,17.0,327949804,43169,41,17.0,17.0
102,2001-11-27,17.0,17.0,17.0,17.0,196507341,25485,39,17.0,17.0
103,2001-11-28,17.0,17.0,17.0,17.0,218594889,28451,26,17.0,17.0
104,2001-12-02,17.0,17.0,17.0,17.0,236988080,30850,29,17.0,17.0
105,2001-12-03,17.0,18.0,17.0,18.0,159841834,20546,19,17.0,18.0
106,2001-12-04,18.0,19.0,18.0,19.0,184177500,22967,32,18.0,19.0
107,2001-12-05,18.0,19.0,18.0,19.0,165347988,19814,23,19.0,19.0
108,2001-12-08,19.0,20.0,19.0,19.0,278323546,32442,33,19.0,19.0
109,2001-12-09,19.0,20.0,19.0,20.0,74683400,8610,25,19.0,20.0
110,2001-12-10,20.0,20.0,20.0,20.0,47850000,5500,11,20.0,20.0
111,2001-12-11,20.0,20.0,20.0,20.0,436478165,49208,39,20.0,20.0
112,2001-12-12,20.0,21.0,20.0,21.0,206119100,22800,28,20.0,21.0
113,2001-12-15,21.0,22.0,21.0,22.0,437114700,45550,58,21.0,22.0
114,2001-12-17,22.0,22.0,21.0,21.0,294012864,30515,28,22.0,21.0
115,2001-12-18,21.0,21.0,20.0,21.0,133134610,14684,22,21.0,21.0
116,2001-12-19,21.0,21.0,20.0,20.0,216311932,23865,32,21.0,20.0
117,2001-12-22,21.0,21.0,21.0,21.0,407653692,43553,43,20.0,21.0
118,2001-12-23,21.0,22.0,21.0,22.0,359953600,37360,49,21.0,22.0
119,2001-12-24,22.0,22.0,22.0,22.0,544738892,55436,39,22.0,22.0
120,2001-12-25,22.0,22.0,22.0,22.0,363304708,37042,39,22.0,22.0
121,2001-12-26,22.0,23.0,22.0,23.0,405302308,40062,63,22.0,23.0
122,2001-12-29,23.0,24.0,23.0,24.0,194543620,18570,21,23.0,24.0
123,2001-12-30,24.0,24.0,23.0,23.0,72759067,6817,14,24.0,23.0
124,2001-12-31,23.0,24.0,23.0,24.0,142000055,13735,20,23.0,24.0
125,2002-01-01,24.0,24.0,24.0,24.0,410254893,38303,19,24.0,24.0
126,2002-01-02,24.0,24.0,23.0,23.0,101509755,9712,18,24.0,23.0
127,2002-01-05,24.0,24.0,24.0,24.0,561835630,53334,47,23.0,24.0
128,2002-01-06,24.0,25.0,24.0,25.0,1097120925,102470,83,24.0,25.0
129,2002-01-07,26.0,26.0,25.0,26.0,452309675,39400,38,25.0,26.0
130,2002-01-08,26.0,26.0,25.0,26.0,1117895500,97849,101,26.0,26.0
131,2002-01-12,27.0,27.0,26.0,27.0,436281838,36153,39,26.0,27.0
132,2002-01-13,27.0,27.0,27.0,27.0,127609689,10504,22,27.0,27.0
133,2002-01-14,27.0,27.0,27.0,27.0,157069720,13183,12,27.0,27.0
134,2002-01-15,27.0,27.0,26.0,26.0,903970376,77217,87,27.0,26.0
135,2002-03-02,30.0,31.0,28.0,30.0,661487008,49000,50,26.0,30.0
136,2002-03-04,30.0,31.0,30.0,31.0,20188305900,1495633,95,30.0,31.0
137,2002-03-05,31.0,32.0,31.0,31.0,1328692238,95055,79,31.0,31.0
138,2002-03-06,31.0,31.0,31.0,31.0,234354177,16997,29,31.0,31.0
139,2002-03-09,31.0,31.0,31.0,31.0,929940189,67811,57,31.0,31.0
140,2002-03-10,31.0,31.0,31.0,31.0,922696000,66380,69,31.0,31.0
141,2002-03-11,31.0,32.0,31.0,32.0,1068359157,75399,76,31.0,32.0
142,2002-03-12,32.0,32.0,32.0,32.0,1618671735,114045,94,32.0,32.0
143,2002-03-13,32.0,32.0,32.0,32.0,894667515,63171,45,32.0,32.0
144,2002-03-16,32.0,32.0,31.0,32.0,615389356,43822,43,32.0,32.0
145,2002-03-17,32.0,32.0,31.0,32.0,186149340,13252,24,32.0,32.0
146,2002-03-18,31.0,32.0,31.0,32.0,75600595,5400,17,32.0,32.0
