,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-05-30,11.0,12.0,11.0,12.0,3624000,2140,3,11.0,12.0
1,2001-06-02,12.0,12.0,12.0,12.0,150672047,83753,17,12.0,12.0
2,2001-06-03,12.0,12.0,12.0,12.0,1859400,1033,1,12.0,12.0
3,2001-06-12,12.0,12.0,12.0,12.0,214972200,120429,22,12.0,12.0
4,2001-06-13,12.0,12.0,12.0,12.0,360000,200,1,12.0,12.0
5,2001-06-16,12.0,12.0,12.0,12.0,41430168,23224,12,12.0,12.0
6,2001-07-08,10.0,10.0,10.0,10.0,3000000,2000,1,12.0,10.0
7,2001-07-09,10.0,10.0,10.0,10.0,997500,665,2,10.0,10.0
8,2001-07-11,10.0,10.0,10.0,10.0,16860000,11240,3,10.0,10.0
9,2001-07-14,10.0,10.0,10.0,10.0,2149500,1433,1,10.0,10.0
10,2001-07-15,10.0,10.0,10.0,10.0,17625000,11750,4,10.0,10.0
11,2001-07-16,10.0,10.0,10.0,10.0,17566500,11711,5,10.0,10.0
12,2001-07-18,10.0,10.0,10.0,10.0,479720,320,2,10.0,10.0
13,2001-07-22,10.0,10.0,10.0,10.0,20011000,13340,5,10.0,10.0
14,2001-08-14,10.0,10.0,10.0,10.0,180000,120,2,10.0,10.0
15,2001-08-15,10.0,10.0,10.0,10.0,1515000,1000,2,10.0,10.0
16,2001-08-18,10.0,10.0,10.0,10.0,6260760,4092,4,10.0,10.0
17,2001-08-22,10.0,10.0,10.0,10.0,32582880,21296,3,10.0,10.0
18,2001-08-26,10.0,10.0,10.0,10.0,370800,240,3,10.0,10.0
19,2001-08-28,10.0,10.0,10.0,10.0,780000,500,1,10.0,10.0
20,2001-08-29,11.0,11.0,11.0,11.0,5080950,3226,5,10.0,11.0
21,2001-09-02,11.0,11.0,11.0,11.0,1580000,1000,1,11.0,11.0
22,2001-09-03,11.0,11.0,11.0,11.0,1590000,1000,1,11.0,11.0
23,2001-09-04,11.0,11.0,11.0,11.0,1750500,1100,2,11.0,11.0
24,2001-09-05,11.0,11.0,11.0,11.0,16714530,10330,7,11.0,11.0
25,2001-09-09,11.0,11.0,11.0,11.0,1637000,1000,1,11.0,11.0
26,2001-09-16,11.0,11.0,11.0,11.0,1648808,1000,4,11.0,11.0
27,2001-09-23,11.0,11.0,11.0,11.0,1669000,1000,1,11.0,11.0
28,2001-09-25,11.0,11.0,11.0,11.0,467320,280,1,11.0,11.0
29,2001-09-29,11.0,11.0,11.0,11.0,1685000,1000,1,11.0,11.0
30,2001-09-30,11.0,11.0,11.0,11.0,850500,500,1,11.0,11.0
31,2001-10-03,11.0,11.0,11.0,11.0,345303,203,1,11.0,11.0
32,2001-10-07,12.0,12.0,12.0,12.0,481040,280,1,11.0,12.0
