,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-26,19.0,19.0,19.0,19.0,15000000,500,1,0.0,19.0
1,2001-03-31,19.0,19.0,18.0,18.0,65499400,2200,14,19.0,18.0
2,2001-04-03,18.0,18.0,18.0,18.0,61991504,2096,5,18.0,18.0
3,2001-04-07,18.0,18.0,18.0,18.0,54245400,1862,6,18.0,18.0
4,2001-04-08,18.0,18.0,18.0,18.0,39092000,1348,6,18.0,18.0
5,2001-04-09,18.0,18.0,18.0,18.0,18502638,638,2,18.0,18.0
6,2001-04-10,18.0,18.0,18.0,18.0,29002000,1000,2,18.0,18.0
7,2001-04-11,18.0,18.0,18.0,18.0,44250000,1500,4,18.0,18.0
8,2001-04-15,19.0,19.0,19.0,19.0,63750000,2125,1,18.0,19.0
9,2001-04-16,19.0,19.0,19.0,19.0,76000000,2500,1,19.0,19.0
10,2001-04-21,19.0,19.0,19.0,19.0,31201500,1000,2,19.0,19.0
11,2001-04-22,19.0,20.0,19.0,20.0,66090900,2100,7,19.0,20.0
12,2001-04-24,20.0,20.0,20.0,20.0,31820000,1000,1,20.0,20.0
13,2001-04-28,20.0,20.0,20.0,20.0,200281842,6200,6,20.0,20.0
14,2001-04-29,20.0,20.0,20.0,20.0,212972926,6532,7,20.0,20.0
15,2001-04-30,20.0,20.0,20.0,20.0,41635000,1300,5,20.0,20.0
16,2001-05-01,20.0,20.0,20.0,20.0,69412300,2207,5,20.0,20.0
17,2001-05-02,20.0,20.0,20.0,20.0,40808931,1300,4,20.0,20.0
18,2001-05-05,20.0,20.0,20.0,20.0,152362600,4819,8,20.0,20.0
19,2001-05-06,20.0,20.0,20.0,20.0,90108880,2823,11,20.0,20.0
20,2001-05-08,20.0,20.0,20.0,20.0,68785450,2150,5,20.0,20.0
21,2001-05-13,20.0,20.0,20.0,20.0,31500000,1000,2,20.0,20.0
22,2001-05-15,20.0,20.0,20.0,20.0,117285714,3690,14,20.0,20.0
23,2001-05-19,20.0,20.0,20.0,20.0,7875000,250,2,20.0,20.0
24,2001-05-20,20.0,20.0,20.0,20.0,16947000,538,3,20.0,20.0
25,2001-05-21,20.0,20.0,19.0,20.0,218247000,6936,7,20.0,20.0
26,2001-05-27,20.0,20.0,20.0,20.0,159950000,5000,1,20.0,20.0
27,2001-05-29,20.0,20.0,20.0,20.0,2495220,78,1,20.0,20.0
28,2001-06-03,20.0,20.0,20.0,20.0,79633900,2513,8,20.0,20.0
29,2001-06-11,20.0,20.0,20.0,20.0,4463060,140,1,20.0,20.0
30,2001-06-23,20.0,20.0,20.0,20.0,35119480,1115,3,20.0,20.0
31,2001-08-01,20.0,20.0,20.0,20.0,39438000,1252,6,20.0,20.0
32,2001-08-05,20.0,20.0,20.0,20.0,72009000,2286,3,20.0,20.0
33,2001-08-06,20.0,20.0,20.0,20.0,2457000,78,1,20.0,20.0
34,2001-08-07,20.0,20.0,20.0,20.0,18206216,578,4,20.0,20.0
35,2001-08-08,20.0,20.0,20.0,20.0,3150000,100,1,20.0,20.0
36,2001-08-20,20.0,20.0,20.0,20.0,58086300,1850,2,20.0,20.0
37,2001-08-21,20.0,20.0,20.0,20.0,33909840,1080,3,20.0,20.0
38,2001-08-22,20.0,20.0,20.0,20.0,5337660,170,2,20.0,20.0
39,2001-08-25,20.0,20.0,20.0,20.0,56926387,1813,5,20.0,20.0
40,2001-08-26,20.0,20.0,20.0,20.0,31399509,1000,5,20.0,20.0
41,2001-08-28,20.0,20.0,20.0,20.0,45842540,1460,3,20.0,20.0
42,2001-08-29,20.0,20.0,20.0,20.0,18212000,580,1,20.0,20.0
43,2001-09-02,20.0,20.0,20.0,20.0,82265940,2620,5,20.0,20.0
44,2001-09-05,20.0,20.0,20.0,20.0,118245140,3766,6,20.0,20.0
45,2001-09-19,20.0,20.0,20.0,20.0,4458586,142,2,20.0,20.0
46,2001-09-26,20.0,20.0,20.0,20.0,121536700,3824,11,20.0,20.0
47,2001-09-29,20.0,20.0,20.0,20.0,15744000,492,4,20.0,20.0
48,2001-09-30,20.0,20.0,20.0,20.0,9600000,300,2,20.0,20.0
49,2001-10-07,20.0,20.0,20.0,20.0,13120072,410,4,20.0,20.0
50,2001-10-08,20.0,20.0,20.0,20.0,32000000,1000,2,20.0,20.0
51,2001-10-13,20.0,20.0,20.0,20.0,699348288,21856,3,20.0,20.0
52,2001-10-16,20.0,20.0,20.0,20.0,18044980,564,3,20.0,20.0
53,2001-10-17,20.0,20.0,20.0,20.0,6494985,203,1,20.0,20.0
54,2001-10-24,20.0,20.0,20.0,20.0,98640585,3083,4,20.0,20.0
55,2001-10-29,20.0,20.0,20.0,20.0,11038275,345,2,20.0,20.0
56,2001-10-30,20.0,20.0,20.0,20.0,73588500,2300,1,20.0,20.0
57,2001-10-31,20.0,20.0,20.0,20.0,98396000,3000,5,20.0,20.0
58,2001-11-03,20.0,20.0,20.0,20.0,82002500,2500,5,20.0,20.0
59,2001-11-04,20.0,20.0,20.0,20.0,65602500,2000,2,20.0,20.0
60,2001-11-05,20.0,20.0,20.0,20.0,16072490,490,2,20.0,20.0
61,2001-11-11,20.0,20.0,20.0,20.0,6560200,200,1,20.0,20.0
62,2001-11-14,21.0,21.0,21.0,21.0,92680800,2810,6,20.0,21.0
63,2001-11-17,21.0,21.0,21.0,21.0,16500000,500,1,21.0,21.0
64,2001-11-24,21.0,21.0,21.0,21.0,60225000,1825,3,21.0,21.0
65,2001-11-26,21.0,21.0,21.0,21.0,74250000,2250,9,21.0,21.0
66,2001-12-04,21.0,21.0,21.0,21.0,17655000,535,2,21.0,21.0
67,2001-12-30,21.0,21.0,21.0,21.0,4258095,129,5,21.0,21.0
68,2002-06-12,8.0,8.0,8.0,8.0,20062500,1565,3,21.0,8.0
69,2002-06-15,8.0,8.0,8.0,8.0,15329600,1225,3,8.0,8.0
70,2002-06-23,8.0,8.0,8.0,8.0,82398500,6500,5,8.0,8.0
71,2002-06-24,8.0,8.0,8.0,8.0,25410000,2000,2,8.0,8.0
72,2002-06-25,8.0,8.0,8.0,8.0,7216050,565,2,8.0,8.0
73,2002-06-26,8.0,8.0,8.0,8.0,12771500,1000,2,8.0,8.0
74,2002-06-29,8.0,8.0,8.0,8.0,297481350,22914,28,8.0,8.0
75,2002-06-30,8.0,8.0,8.0,8.0,51146000,4000,2,8.0,8.0
76,2002-07-01,8.0,8.0,8.0,8.0,51146100,4000,2,8.0,8.0
77,2002-07-02,8.0,8.0,8.0,8.0,19317280,1510,3,8.0,8.0
78,2002-07-03,8.0,8.0,8.0,8.0,76767224,6000,13,8.0,8.0
79,2002-07-06,8.0,8.0,8.0,8.0,4669445,365,4,8.0,8.0
80,2002-07-07,8.0,8.0,8.0,8.0,49191404,3845,6,8.0,8.0
81,2002-07-09,8.0,8.0,8.0,8.0,946756,74,1,8.0,8.0
82,2002-07-16,8.0,8.0,8.0,8.0,47206450,3515,2,8.0,8.0
83,2002-07-17,8.0,8.0,8.0,8.0,122680522,9582,8,8.0,8.0
84,2002-07-21,8.0,8.0,8.0,8.0,74472576,5750,3,8.0,8.0
85,2002-07-22,8.0,8.0,8.0,8.0,90372000,6920,6,8.0,8.0
86,2002-07-23,8.0,8.0,8.0,8.0,26502000,2000,1,8.0,8.0
87,2002-07-24,8.0,8.0,8.0,8.0,99958000,7544,2,8.0,8.0
88,2002-08-03,8.0,8.0,8.0,8.0,27679250,2089,2,8.0,8.0
89,2002-08-06,8.0,8.0,8.0,8.0,6973514,536,3,8.0,8.0
90,2002-08-28,9.0,9.0,9.0,9.0,13659000,1000,4,8.0,9.0
91,2002-09-04,9.0,9.0,9.0,9.0,34151200,2500,2,9.0,9.0
92,2002-09-07,9.0,9.0,9.0,9.0,1366000,100,1,9.0,9.0
93,2002-09-18,8.0,8.0,8.0,8.0,5952629,445,3,9.0,8.0
94,2002-11-19,8.0,8.0,8.0,8.0,4101240,312,1,8.0,8.0
95,2002-12-17,8.0,8.0,8.0,8.0,12790950,1000,2,8.0,8.0
96,2003-01-07,8.0,8.0,8.0,8.0,12018328,989,4,8.0,8.0
97,2003-01-11,8.0,8.0,8.0,8.0,4956466,408,3,8.0,8.0
98,2003-01-13,7.0,7.0,7.0,7.0,12198837,1057,2,8.0,7.0
99,2003-02-03,7.0,7.0,7.0,7.0,11000000,1000,1,7.0,7.0
100,2003-04-07,7.0,7.0,7.0,7.0,7524000,720,5,7.0,7.0
101,2003-04-08,6.0,7.0,6.0,6.0,103988137,10000,32,7.0,6.0
102,2003-04-14,6.0,6.0,6.0,6.0,10285000,1000,3,6.0,6.0
103,2003-05-03,6.0,6.0,6.0,6.0,5927390,578,2,6.0,6.0
104,2003-05-04,6.0,6.0,6.0,6.0,4320858,422,3,6.0,6.0
105,2003-05-07,6.0,6.0,6.0,6.0,153529677,15000,12,6.0,6.0
106,2003-05-12,6.0,6.0,6.0,6.0,1495040,146,1,6.0,6.0
107,2003-05-17,6.0,6.0,6.0,6.0,5241055,512,2,6.0,6.0
108,2003-05-20,6.0,6.0,6.0,6.0,2281067,223,1,6.0,6.0
109,2003-05-24,6.0,6.0,6.0,6.0,28077914,2808,5,6.0,6.0
110,2003-05-25,6.0,6.0,6.0,6.0,16230000,1623,3,6.0,6.0
111,2003-05-26,6.0,6.0,6.0,6.0,45357434,4535,9,6.0,6.0
112,2003-05-27,6.0,6.0,6.0,6.0,55995838,5472,7,6.0,6.0
113,2003-05-28,6.0,6.0,6.0,6.0,2274600,223,1,6.0,6.0
114,2003-06-09,6.0,6.0,6.0,6.0,93432524,9248,9,6.0,6.0
115,2003-06-11,6.0,6.0,6.0,6.0,5000000,500,1,6.0,6.0
116,2003-06-15,7.0,7.0,7.0,7.0,2908500,277,1,6.0,7.0
117,2003-06-16,7.0,7.0,7.0,7.0,2656470,253,2,7.0,7.0
118,2003-06-23,6.0,6.0,6.0,6.0,19100000,1910,1,7.0,6.0
119,2003-06-24,6.0,6.0,6.0,6.0,340000,34,1,6.0,6.0
120,2003-06-29,6.0,6.0,6.0,6.0,1250000,125,1,6.0,6.0
121,2003-07-01,6.0,6.0,6.0,6.0,3640000,364,2,6.0,6.0
122,2003-07-02,6.0,6.0,6.0,6.0,6710000,671,2,6.0,6.0
123,2003-07-08,6.0,6.0,6.0,6.0,10000000,1000,1,6.0,6.0
124,2003-07-12,6.0,6.0,6.0,6.0,1555200,162,1,6.0,6.0
125,2003-07-19,6.0,6.0,6.0,6.0,28000000,2800,2,6.0,6.0
126,2003-07-20,6.0,6.0,6.0,6.0,2000000,200,2,6.0,6.0
127,2003-07-26,6.0,6.0,6.0,6.0,1980000,198,1,6.0,6.0
128,2003-07-29,6.0,6.0,6.0,6.0,100000000,10000,4,6.0,6.0
129,2003-07-30,6.0,6.0,6.0,6.0,38460000,3846,1,6.0,6.0
130,2003-08-04,6.0,6.0,6.0,6.0,22587000,2266,3,6.0,6.0
131,2003-08-10,6.0,6.0,6.0,6.0,1000000,100,1,6.0,6.0
132,2003-08-12,6.0,6.0,6.0,6.0,50000000,5000,5,6.0,6.0
133,2003-08-13,6.0,6.0,6.0,6.0,78519500,7852,5,6.0,6.0
134,2003-08-16,6.0,6.0,6.0,6.0,21480000,2148,1,6.0,6.0
135,2003-08-18,6.0,6.0,6.0,6.0,25000000,2500,3,6.0,6.0
