,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2016-09-28,365.0,365.0,365.0,365.0,69539349320,14609107,34780,77.0,365.0
1,2016-10-01,383.0,383.0,383.0,383.0,78823458,15771,71,365.0,383.0
2,2016-10-02,402.0,402.0,402.0,402.0,87635394,16702,75,383.0,402.0
3,2016-10-03,422.0,422.0,422.0,422.0,292235923,53047,246,402.0,422.0
4,2016-10-04,443.0,443.0,443.0,443.0,1528468272,264258,318,422.0,443.0
5,2016-10-05,465.0,465.0,458.0,465.0,67867706605,11187385,27289,443.0,465.0
6,2016-10-08,469.0,481.0,465.0,472.0,25539447491,4148574,8302,465.0,473.0
7,2016-10-09,477.0,495.0,474.0,493.0,33458336711,5195417,3656,472.0,495.0
8,2016-10-10,498.0,510.0,486.0,497.0,11756876789,1811031,1743,493.0,489.0
9,2016-10-15,490.0,495.0,474.0,481.0,10397876450,1657518,2135,497.0,485.0
10,2016-10-16,481.0,505.0,477.0,501.0,15137704330,2314891,1950,481.0,499.0
11,2016-10-17,506.0,518.0,498.0,506.0,6637497494,1004364,1028,501.0,498.0
12,2016-10-18,498.0,506.0,486.0,494.0,4740770063,735178,805,506.0,491.0
13,2016-10-19,485.0,519.0,475.0,514.0,29316632555,4369306,1904,494.0,519.0
14,2016-10-22,540.0,540.0,540.0,540.0,5367881390,761942,207,514.0,540.0
15,2016-10-23,566.0,567.0,546.0,564.0,43434296988,5901836,1997,540.0,567.0
16,2016-10-24,575.0,592.0,575.0,591.0,22519974868,2920385,918,564.0,592.0
17,2016-10-25,608.0,620.0,598.0,618.0,48282041081,5981345,2200,591.0,617.0
18,2016-10-26,613.0,649.0,613.0,638.0,21362647960,2566878,1124,618.0,649.0
19,2016-10-29,666.0,669.0,642.0,665.0,16802819200,1934630,1054,638.0,644.0
20,2016-10-30,651.0,674.0,640.0,659.0,10259976599,1192316,745,665.0,665.0
21,2016-10-31,674.0,681.0,659.0,671.0,11601514547,1324315,665,659.0,660.0
22,2016-11-01,673.0,674.0,638.0,657.0,10599986184,1235365,734,671.0,638.0
23,2016-11-02,651.0,667.0,624.0,651.0,18468252503,2175066,955,657.0,644.0
24,2016-11-05,640.0,667.0,624.0,647.0,6237537161,738263,418,651.0,628.0
25,2016-11-06,628.0,638.0,624.0,630.0,2685292902,326662,286,647.0,626.0
26,2016-11-07,634.0,644.0,621.0,635.0,3039436272,366593,306,630.0,630.0
27,2016-11-08,621.0,636.0,610.0,617.0,6279895914,780236,453,635.0,611.0
28,2016-11-09,586.0,609.0,586.0,594.0,10838876957,1397711,656,617.0,594.0
29,2016-11-12,594.0,603.0,565.0,573.0,4807062782,642658,311,594.0,565.0
30,2016-11-13,565.0,602.0,565.0,598.0,9750265362,1248542,431,573.0,602.0
31,2016-11-14,613.0,628.0,611.0,625.0,15575623984,1907989,667,598.0,626.0
32,2016-11-15,645.0,647.0,627.0,637.0,14335227319,1725184,609,625.0,630.0
33,2016-11-16,656.0,656.0,639.0,648.0,6421283615,759557,367,637.0,642.0
34,2016-11-19,655.0,655.0,619.0,630.0,4062654346,493981,214,648.0,620.0
35,2016-11-21,633.0,633.0,605.0,625.0,1963629146,240856,111,630.0,607.0
36,2016-11-22,632.0,632.0,598.0,616.0,3016129381,375408,230,625.0,604.0
37,2016-11-23,602.0,605.0,586.0,592.0,2549154523,329884,216,616.0,597.0
38,2016-11-26,597.0,622.0,582.0,620.0,4259037332,526089,341,592.0,616.0
39,2016-11-27,624.0,624.0,598.0,606.0,973757885,123149,115,620.0,604.0
40,2016-11-29,613.0,614.0,599.0,606.0,240644463,30403,72,606.0,600.0
41,2016-12-03,594.0,594.0,576.0,576.0,3403316295,452361,237,606.0,576.0
42,2016-12-04,593.0,593.0,576.0,579.0,871965806,115376,101,576.0,578.0
43,2016-12-05,589.0,590.0,565.0,571.0,1469508679,197139,207,579.0,575.0
44,2016-12-06,567.0,586.0,553.0,565.0,1990536699,270057,188,571.0,565.0
45,2016-12-07,565.0,575.0,552.0,563.0,1049627273,142784,145,565.0,563.0
46,2016-12-10,548.0,552.0,537.0,544.0,2174606962,306123,238,563.0,550.0
47,2016-12-11,544.0,557.0,533.0,538.0,1990259272,283447,204,544.0,533.0
48,2016-12-12,539.0,565.0,539.0,556.0,2368703149,326257,237,538.0,552.0
49,2016-12-13,551.0,578.0,551.0,576.0,3428201757,455982,179,556.0,574.0
50,2016-12-14,574.0,578.0,547.0,557.0,1323329070,182005,157,576.0,555.0
51,2016-12-18,557.0,566.0,542.0,552.0,212845109,29518,40,557.0,555.0
52,2016-12-19,563.0,571.0,544.0,558.0,1212126925,166461,102,552.0,571.0
53,2016-12-20,530.0,567.0,530.0,552.0,1155812266,160522,80,558.0,557.0
54,2016-12-21,548.0,558.0,544.0,549.0,106986068,14923,25,552.0,557.0
55,2016-12-24,557.0,564.0,544.0,557.0,565400614,77729,76,549.0,555.0
56,2016-12-25,559.0,575.0,552.0,569.0,844783930,113733,118,557.0,563.0
57,2016-12-26,574.0,597.0,567.0,586.0,2534845907,331317,235,569.0,597.0
58,2016-12-27,605.0,612.0,582.0,603.0,1528754384,194299,162,586.0,604.0
59,2016-12-28,582.0,601.0,577.0,589.0,767927188,99815,121,603.0,577.0
60,2016-12-31,578.0,596.0,575.0,585.0,481368136,62988,67,589.0,583.0
61,2017-01-01,571.0,582.0,563.0,571.0,487704233,65478,75,585.0,563.0
62,2017-01-02,556.0,597.0,553.0,581.0,895016977,118053,106,571.0,594.0
63,2017-01-03,597.0,605.0,582.0,599.0,672169778,86024,102,581.0,603.0
64,2017-01-04,604.0,606.0,590.0,604.0,589615774,74836,57,599.0,604.0
65,2017-01-07,605.0,611.0,574.0,578.0,1463614503,194096,92,604.0,574.0
66,2017-01-08,551.0,567.0,549.0,552.0,924918123,128476,159,578.0,549.0
67,2017-01-09,553.0,555.0,529.0,533.0,925741724,133155,106,552.0,531.0
68,2017-01-11,536.0,559.0,536.0,554.0,427823465,59205,88,533.0,559.0
69,2017-01-14,531.0,581.0,531.0,574.0,1109001147,148058,132,554.0,581.0
70,2017-01-15,598.0,598.0,545.0,550.0,2283400386,318188,167,574.0,545.0
71,2017-01-16,545.0,567.0,543.0,550.0,1585572103,220890,160,550.0,565.0
72,2017-01-17,548.0,571.0,548.0,556.0,1241880297,171228,63,550.0,554.0
73,2017-01-18,546.0,574.0,546.0,555.0,1508233675,208115,124,556.0,550.0
74,2017-01-21,574.0,575.0,549.0,560.0,1346776961,184165,122,555.0,567.0
75,2017-02-27,590.0,598.0,582.0,596.0,8492049398,1092474,341,560.0,589.0
76,2017-02-28,598.0,611.0,582.0,605.0,11873533431,1503197,476,596.0,587.0
77,2017-03-01,580.0,590.0,575.0,576.0,1991001334,264695,165,605.0,575.0
78,2017-03-04,571.0,571.0,549.0,554.0,907705850,125577,72,576.0,552.0
79,2017-03-05,548.0,554.0,543.0,549.0,731754017,102075,63,554.0,553.0
80,2017-03-06,550.0,563.0,544.0,557.0,391301572,53839,64,549.0,554.0
81,2017-03-07,543.0,575.0,543.0,561.0,837812175,114423,72,557.0,558.0
82,2017-03-08,546.0,568.0,546.0,555.0,952234692,131521,106,561.0,553.0
83,2017-03-11,547.0,559.0,547.0,553.0,617627182,85565,57,555.0,559.0
84,2017-03-12,563.0,581.0,550.0,577.0,1520074233,201933,127,553.0,573.0
85,2017-03-13,582.0,582.0,563.0,570.0,1577523842,211940,76,577.0,575.0
86,2017-03-14,557.0,598.0,557.0,595.0,805268111,103710,70,570.0,596.0
87,2017-03-15,598.0,621.0,590.0,607.0,2254535311,284365,154,595.0,613.0
88,2017-03-18,621.0,638.0,613.0,636.0,6745034634,812377,359,607.0,638.0
89,2017-03-25,644.0,651.0,628.0,633.0,816567140,98870,75,636.0,638.0
90,2017-03-26,624.0,633.0,617.0,618.0,824431057,102256,62,633.0,622.0
91,2017-03-27,613.0,630.0,613.0,622.0,1176169229,144943,82,618.0,617.0
92,2017-03-28,633.0,653.0,621.0,647.0,8275910195,980680,303,622.0,643.0
93,2017-03-29,623.0,649.0,623.0,625.0,92359229,11319,19,647.0,632.0
94,2017-04-03,621.0,627.0,621.0,624.0,174730843,21437,20,625.0,623.0
95,2017-04-04,622.0,627.0,615.0,624.0,1533565267,188372,102,624.0,618.0
96,2017-04-05,616.0,644.0,616.0,638.0,3644763345,437666,206,624.0,644.0
97,2017-04-08,621.0,670.0,621.0,668.0,14645729412,1680630,484,638.0,670.0
98,2017-04-09,701.0,701.0,701.0,701.0,796704069,87081,32,668.0,701.0
99,2017-04-10,736.0,736.0,716.0,736.0,31404958624,3270390,796,701.0,736.0
100,2017-04-12,742.0,771.0,706.0,747.0,10183231136,1043935,520,736.0,728.0
101,2017-04-15,747.0,765.0,710.0,744.0,7536015256,775987,395,747.0,710.0
102,2017-04-16,740.0,781.0,717.0,761.0,9805879056,987430,471,744.0,781.0
103,2017-04-17,799.0,799.0,799.0,799.0,823847697,79011,43,761.0,799.0
104,2017-04-18,839.0,839.0,809.0,839.0,20609453496,1882577,534,799.0,839.0
105,2017-04-19,866.0,881.0,821.0,873.0,13176754653,1155922,464,839.0,880.0
106,2017-04-22,899.0,899.0,830.0,858.0,3573720283,318979,193,873.0,830.0
107,2017-04-23,851.0,857.0,815.0,821.0,3144257389,293407,135,858.0,815.0
108,2017-04-24,806.0,862.0,785.0,840.0,4175592188,381039,188,821.0,862.0
109,2017-04-26,881.0,881.0,881.0,881.0,1418957670,123334,46,840.0,881.0
110,2017-04-29,925.0,925.0,889.0,916.0,10360828557,866915,331,881.0,925.0
111,2017-04-30,961.0,961.0,942.0,960.0,2359871457,188414,121,916.0,961.0
112,2017-05-01,958.0,972.0,913.0,940.0,1234600609,100650,70,960.0,929.0
113,2017-05-02,897.0,950.0,897.0,923.0,2109611450,175193,113,940.0,919.0
114,2017-05-03,941.0,969.0,923.0,956.0,2567339541,205837,119,923.0,969.0
115,2017-05-06,955.0,1000.0,939.0,960.0,1350011362,107706,79,956.0,972.0
116,2017-05-07,965.0,973.0,912.0,939.0,694120055,56627,62,960.0,956.0
117,2017-05-08,906.0,965.0,906.0,946.0,1219705154,98822,70,939.0,964.0
118,2017-05-09,933.0,954.0,919.0,924.0,1274955075,105709,61,946.0,954.0
119,2017-05-10,953.0,953.0,925.0,926.0,930455282,76982,35,924.0,938.0
120,2017-05-13,923.0,945.0,896.0,923.0,2807265916,233127,110,926.0,919.0
121,2017-05-14,918.0,944.0,876.0,880.0,3263577750,284027,157,923.0,918.0
122,2017-05-20,963.0,1070.0,963.0,969.0,635670000,54000,10,880.0,963.0
123,2017-05-21,980.0,1013.0,956.0,976.0,938064208,79156,48,969.0,987.0
124,2017-05-22,939.0,986.0,937.0,938.0,350505640,30768,17,976.0,967.0
