,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-04-29,3217.0,3217.0,3217.0,3217.0,425231346276,33999468,2357320,257.0,3217.0
1,2020-05-02,3378.0,3378.0,3378.0,3221.0,1285951100,97925,6983,3217.0,3378.0
2,2020-05-03,3382.0,3382.0,3382.0,3257.0,11873446028,903061,8839,3221.0,3382.0
3,2020-05-04,3420.0,3420.0,3420.0,3263.0,1947132720,146445,10199,3257.0,3420.0
4,2020-05-05,3426.0,3426.0,3426.0,3270.0,2201822640,165302,10561,3263.0,3426.0
5,2020-05-06,3433.0,3433.0,3433.0,3279.0,2846728242,213286,14047,3270.0,3433.0
6,2020-05-09,3442.0,3442.0,3442.0,3289.0,3295911708,246276,15171,3279.0,3442.0
7,2020-05-10,3453.0,3453.0,3453.0,3304.0,4705784700,350524,18701,3289.0,3453.0
8,2020-05-11,3469.0,3469.0,3469.0,3311.0,2508196515,185999,12857,3304.0,3469.0
9,2020-05-12,3477.0,3477.0,3477.0,3322.0,3464137284,256299,17546,3311.0,3477.0
10,2020-05-13,3488.0,3488.0,3488.0,3333.0,3470953200,255970,15950,3322.0,3488.0
11,2020-05-16,3499.0,3499.0,3499.0,3343.0,3100052312,227878,14431,3333.0,3499.0
12,2020-05-17,3510.0,3510.0,3510.0,3353.0,3127382172,229213,15481,3343.0,3510.0
13,2020-05-26,3520.0,3520.0,3520.0,3361.0,2593345480,194360,8269,3353.0,3520.0
14,2020-05-27,3529.0,3529.0,3529.0,3366.0,1549226250,115830,8073,3361.0,3529.0
15,2020-05-30,3534.0,3534.0,3534.0,3387.0,6475611825,483435,28408,3366.0,3534.0
16,2020-05-31,3556.0,3556.0,3556.0,3398.0,3626727630,269085,18822,3387.0,3556.0
17,2020-06-01,3568.0,3568.0,3568.0,3408.0,3080602775,227771,15567,3398.0,3568.0
18,2020-06-02,3578.0,3578.0,3578.0,3420.0,3712966191,273757,15576,3408.0,3578.0
19,2020-06-06,3591.0,3591.0,3591.0,3431.0,3230870292,237372,15354,3420.0,3591.0
20,2020-06-07,3602.0,3602.0,3602.0,3450.0,5875650468,430356,14047,3431.0,3602.0
21,2020-06-08,3622.0,3622.0,3622.0,3467.0,5280983411,384659,15809,3450.0,3622.0
22,2020-06-09,3640.0,3640.0,3640.0,3477.0,3067626552,222324,14721,3467.0,3640.0
23,2020-06-10,3651.0,3651.0,3651.0,3488.0,3462474021,250233,16055,3477.0,3651.0
24,2020-06-13,3663.0,3663.0,3663.0,3500.0,3629349392,261424,17778,3488.0,3663.0
25,2020-06-14,3675.0,3675.0,3675.0,3514.0,3998280586,287006,16093,3500.0,3675.0
26,2020-06-15,3689.0,3689.0,3689.0,3527.0,3910010358,279626,16843,3514.0,3689.0
27,2020-06-16,3703.0,3703.0,3703.0,3545.0,5640231415,401869,16282,3527.0,3703.0
28,2020-06-20,3722.0,3722.0,3722.0,3561.0,4557305763,323007,17276,3545.0,3722.0
29,2020-06-21,3738.0,3738.0,3738.0,3573.0,3599732630,254039,16259,3561.0,3738.0
30,2020-06-22,3751.0,3751.0,3751.0,3585.0,3770196288,265152,16704,3573.0,3751.0
31,2020-06-23,3765.0,3765.0,3765.0,3602.0,4926172484,345236,17971,3585.0,3765.0
32,2020-06-24,3782.0,3782.0,3782.0,3613.0,3100445475,216285,12412,3602.0,3782.0
33,2020-06-27,3793.0,3793.0,3793.0,3623.0,2959074140,205820,8794,3613.0,3793.0
34,2020-06-28,3804.0,3804.0,3804.0,3631.0,2289607236,158802,9274,3623.0,3804.0
35,2020-06-30,3812.0,3812.0,3812.0,3637.0,1760400150,121827,8510,3631.0,3812.0
36,2020-07-01,3819.0,3819.0,3819.0,3656.0,5596068146,386629,21620,3637.0,3819.0
37,2020-07-04,3839.0,3839.0,3839.0,3675.0,5407842150,371673,17004,3656.0,3839.0
38,2020-07-05,3858.0,3858.0,3858.0,3686.0,3269901375,223583,14175,3675.0,3858.0
39,2020-07-06,3870.0,3870.0,3870.0,3696.0,2969824140,202442,14083,3686.0,3870.0
40,2020-07-07,3881.0,3881.0,3881.0,3707.0,3018991420,205220,14001,3696.0,3881.0
41,2020-07-08,3892.0,3892.0,3892.0,3721.0,4125897745,279665,12878,3707.0,3892.0
42,2020-07-11,3907.0,3907.0,3907.0,3733.0,3315662800,223880,9516,3721.0,3907.0
43,2020-07-12,3920.0,3920.0,3920.0,3746.0,3708128916,249588,10088,3733.0,3920.0
44,2020-07-13,3934.0,3934.0,3934.0,3756.0,2620044840,175724,11937,3746.0,3934.0
45,2020-07-14,3943.0,3943.0,3943.0,3770.0,3984738114,266609,13042,3756.0,3943.0
46,2020-07-15,3958.0,3958.0,3958.0,3777.0,2120952756,141378,9710,3770.0,3958.0
47,2020-07-18,3966.0,3966.0,3966.0,3785.0,2159849483,143693,9924,3777.0,3966.0
48,2020-07-19,3974.0,3974.0,3974.0,3792.0,2083270406,138313,9095,3785.0,3974.0
49,2020-07-20,3981.0,3981.0,3981.0,3799.0,2050127441,135851,8166,3792.0,3981.0
50,2020-07-21,3989.0,3989.0,3989.0,3806.0,1816395004,120124,8355,3799.0,3989.0
51,2020-07-22,3996.0,3996.0,3996.0,3814.0,2201358951,145333,8168,3806.0,3996.0
52,2020-07-25,4004.0,4004.0,4004.0,3827.0,3496601394,230373,7827,3814.0,4004.0
53,2020-07-26,4018.0,4018.0,4018.0,3833.0,1637041355,107495,6456,3827.0,4018.0
54,2020-07-27,4024.0,4024.0,4024.0,3840.0,1942622080,127360,8326,3833.0,4024.0
55,2020-07-28,4032.0,4032.0,4032.0,3849.0,2653133063,173623,9946,3840.0,4032.0
56,2020-07-29,4042.0,4042.0,4042.0,3856.0,1874907729,122391,8380,3849.0,4042.0
57,2020-08-01,4049.0,4049.0,4049.0,3862.0,1738532994,113289,5931,3856.0,4049.0
58,2020-08-02,4056.0,4056.0,4056.0,3871.0,2412312588,156929,5390,3862.0,4056.0
59,2020-08-03,4065.0,4065.0,4065.0,3876.0,1286392058,83494,5438,3871.0,4065.0
60,2020-08-09,4070.0,4070.0,4070.0,3884.0,2178876222,141247,3586,3876.0,4070.0
61,2020-08-10,4078.0,4078.0,4078.0,3889.0,1328862428,85966,5803,3884.0,4078.0
62,2020-08-11,4084.0,4084.0,4084.0,3894.0,1457888298,94191,4883,3889.0,4084.0
63,2020-08-12,4089.0,4089.0,4089.0,3900.0,1399497704,90296,4496,3894.0,4089.0
64,2020-08-15,4095.0,4095.0,4095.0,3903.0,783589280,50489,3357,3900.0,4095.0
65,2020-08-16,4098.0,4098.0,4098.0,3907.0,1190326902,76642,2585,3903.0,4098.0
66,2020-08-17,4102.0,4102.0,4102.0,3910.0,827828760,53240,3613,3907.0,4102.0
67,2020-08-18,4106.0,4106.0,4106.0,3916.0,1630492988,104774,6756,3910.0,4106.0
68,2020-08-19,4112.0,4112.0,4112.0,3922.0,1502661846,96411,4225,3916.0,4112.0
69,2020-08-22,4118.0,4118.0,4118.0,3926.0,1073627496,68787,4281,3922.0,4118.0
70,2020-08-23,4122.0,4122.0,4122.0,3933.0,2008246464,128536,4597,3926.0,4122.0
71,2020-08-24,4130.0,4130.0,4130.0,3937.0,1011246412,64604,4057,3933.0,4130.0
72,2020-08-25,4134.0,4134.0,4134.0,3942.0,1242723088,79316,4255,3937.0,4134.0
73,2020-08-26,4139.0,4139.0,4139.0,3946.0,1191459024,75952,5314,3942.0,4139.0
