,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2021-09-01,1286.0,1286.0,1286.0,1286.0,83700000000,18000000,3613,276.0,1286.0
1,2021-09-04,1324.0,1324.0,1324.0,1324.0,24052752500,5022500,2024,1286.0,1324.0
2,2021-09-05,1364.0,1364.0,1364.0,1364.0,25604478000,5191500,2093,1324.0,1364.0
3,2021-09-06,1404.0,1404.0,1404.0,1404.0,16856434071,3318849,1335,1364.0,1404.0
4,2021-09-07,1474.0,1474.0,1474.0,1474.0,18951101040,3554220,1434,1404.0,1474.0
5,2021-09-08,1518.0,1518.0,1518.0,1518.0,11929746600,2172600,862,1474.0,1518.0
6,2021-09-11,1563.0,1563.0,1563.0,1563.0,11360125920,2008864,805,1518.0,1563.0
7,2021-09-12,1610.0,1610.0,1610.0,1610.0,11967242560,2054815,816,1563.0,1610.0
8,2021-09-13,1691.0,1691.0,1691.0,1691.0,15431685585,2523579,1013,1610.0,1691.0
9,2021-09-25,1640.0,1675.0,1640.0,1641.0,212016285813,35730502,13079,1691.0,1640.0
10,2021-09-26,1603.0,1639.0,1591.0,1596.0,15279793689,2647222,937,1641.0,1591.0
11,2021-09-28,1548.0,1548.0,1548.0,1591.0,870476530,155470,72,1596.0,1548.0
12,2021-09-29,1544.0,1568.0,1544.0,1545.0,113427457865,20298648,8118,1591.0,1544.0
13,2021-10-02,1535.0,1576.0,1499.0,1504.0,28314468883,5205985,2214,1545.0,1499.0
14,2021-10-03,1465.0,1501.0,1459.0,1462.0,13909392336,2629492,963,1504.0,1459.0
15,2021-10-04,1419.0,1450.0,1419.0,1422.0,58991780135,11468048,4653,1462.0,1450.0
16,2021-10-06,1465.0,1465.0,1450.0,1464.0,22607815824,4270240,1764,1422.0,1465.0
17,2021-10-09,1487.0,1490.0,1420.0,1444.0,20200337655,3868119,1605,1464.0,1420.0
18,2021-10-10,1401.0,1438.0,1401.0,1404.0,30585142513,6020152,2379,1444.0,1401.0
19,2021-10-11,1401.0,1429.0,1362.0,1379.0,19317934661,3872139,1466,1404.0,1362.0
20,2021-10-12,1338.0,1355.0,1338.0,1339.0,9899132026,2043676,772,1379.0,1338.0
21,2021-10-13,1299.0,1335.0,1299.0,1301.0,37341891827,7933178,3103,1339.0,1299.0
22,2021-10-16,1327.0,1366.0,1303.0,1351.0,69510636726,14220880,5456,1301.0,1355.0
23,2021-10-17,1355.0,1365.0,1311.0,1315.0,41399118973,8701924,3484,1351.0,1311.0
24,2021-10-18,1305.0,1326.0,1276.0,1294.0,8598815833,1841130,157,1315.0,1276.0
25,2021-10-19,1256.0,1320.0,1256.0,1260.0,130010043811,28536096,1257,1294.0,1256.0
26,2021-10-20,1260.0,1271.0,1222.0,1235.0,12534609229,2806552,297,1260.0,1222.0
27,2021-10-23,1205.0,1222.0,1198.0,1221.0,4049144894,931357,99,1235.0,1198.0
28,2021-10-25,1185.0,1185.0,1185.0,1219.0,427557300,99780,22,1221.0,1185.0
29,2021-10-26,1159.0,1159.0,1159.0,1182.0,5824928406,1389866,70,1219.0,1159.0
