,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,20.0,20.0,20.0,20.0,3036275,671,5,20.0,20.0
1,2001-04-03,21.0,21.0,21.0,21.0,20058200,4240,13,20.0,21.0
2,2001-04-07,22.0,22.0,22.0,22.0,23750512,4948,11,21.0,22.0
3,2001-04-08,22.0,22.0,22.0,22.0,44999838,9300,16,22.0,22.0
4,2001-04-09,22.0,22.0,22.0,22.0,62240700,12700,18,22.0,22.0
5,2001-04-10,22.0,22.0,22.0,22.0,4813000,1000,1,22.0,22.0
6,2001-04-11,22.0,22.0,21.0,21.0,76686858,16290,12,22.0,21.0
7,2001-04-14,21.0,21.0,21.0,21.0,13534350,2896,6,21.0,21.0
8,2001-04-15,21.0,21.0,21.0,21.0,6073707,1292,4,21.0,21.0
9,2001-04-16,21.0,21.0,21.0,21.0,16267429,3460,5,21.0,21.0
10,2001-04-17,21.0,21.0,21.0,21.0,12837889,2729,7,21.0,21.0
11,2001-04-18,21.0,21.0,21.0,21.0,38597660,8167,18,21.0,21.0
12,2001-04-21,21.0,21.0,21.0,21.0,14275584,3037,7,21.0,21.0
13,2001-04-22,21.0,22.0,21.0,21.0,105235316,22320,21,21.0,21.0
14,2001-04-23,21.0,21.0,21.0,21.0,41062450,8735,20,21.0,21.0
15,2001-04-24,21.0,21.0,21.0,21.0,25410008,5404,15,21.0,21.0
16,2001-04-25,21.0,22.0,21.0,22.0,59417662,12563,15,21.0,22.0
17,2001-04-28,22.0,22.0,22.0,22.0,173442747,35888,25,22.0,22.0
18,2001-04-29,22.0,22.0,22.0,22.0,78518259,16361,21,22.0,22.0
19,2001-04-30,22.0,22.0,22.0,22.0,25253480,5240,4,22.0,22.0
20,2001-05-01,22.0,22.0,22.0,22.0,78057977,15876,26,22.0,22.0
21,2001-05-02,22.0,23.0,22.0,23.0,38131420,7664,16,22.0,23.0
22,2001-05-05,23.0,23.0,23.0,23.0,2696526,534,2,23.0,23.0
23,2001-05-06,23.0,23.0,23.0,23.0,30014228,5884,10,23.0,23.0
24,2001-05-07,23.0,24.0,23.0,23.0,24275189,4714,8,23.0,23.0
25,2001-05-08,23.0,23.0,23.0,23.0,3115972,602,3,23.0,23.0
26,2001-05-09,24.0,24.0,24.0,24.0,34722650,6555,9,23.0,24.0
27,2001-05-12,24.0,24.0,24.0,24.0,31607417,5955,4,24.0,24.0
28,2001-05-13,24.0,24.0,24.0,24.0,46004200,8519,18,24.0,24.0
29,2001-05-15,24.0,24.0,24.0,24.0,29445770,5450,5,24.0,24.0
30,2001-05-16,24.0,25.0,24.0,25.0,32802600,6024,12,24.0,25.0
31,2001-05-19,24.0,25.0,24.0,25.0,96722771,17838,12,25.0,25.0
32,2001-05-20,25.0,25.0,25.0,25.0,12734400,2274,6,25.0,25.0
33,2001-05-21,25.0,26.0,25.0,26.0,143048280,25103,17,25.0,26.0
34,2001-05-23,26.0,26.0,26.0,26.0,381759914,66977,39,26.0,26.0
35,2001-05-26,26.0,26.0,26.0,26.0,51584110,9050,7,26.0,26.0
36,2001-05-27,26.0,26.0,26.0,26.0,58637583,10287,9,26.0,26.0
37,2001-05-28,26.0,26.0,26.0,26.0,1221188808,214208,41,26.0,26.0
38,2001-05-29,26.0,26.0,26.0,26.0,6665992,1172,3,26.0,26.0
39,2001-05-30,25.0,26.0,25.0,25.0,46884024,8322,7,26.0,25.0
40,2001-06-02,25.0,25.0,25.0,25.0,4730860,860,1,25.0,25.0
41,2001-06-06,24.0,25.0,24.0,25.0,160537658,29510,35,25.0,25.0
42,2001-06-09,24.0,25.0,24.0,25.0,26548305,4904,7,25.0,25.0
43,2001-06-11,25.0,25.0,25.0,25.0,12994501,2363,7,25.0,25.0
44,2001-06-12,25.0,25.0,25.0,25.0,874341,159,2,25.0,25.0
45,2001-06-13,25.0,25.0,24.0,24.0,70966293,12987,13,25.0,24.0
46,2001-06-16,24.0,24.0,24.0,24.0,19807448,3666,6,24.0,24.0
47,2001-06-17,24.0,24.0,24.0,24.0,77600924,14364,17,24.0,24.0
