,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-15,32.0,33.0,32.0,33.0,9240374,1500,4,32.0,33.0
1,2001-04-16,33.0,33.0,33.0,33.0,7975002,1266,3,33.0,33.0
2,2001-04-18,33.0,33.0,33.0,33.0,1675002,266,1,33.0,33.0
3,2001-04-22,32.0,32.0,31.0,32.0,12075876,1981,6,33.0,32.0
4,2001-04-23,32.0,32.0,32.0,32.0,31901210,5151,12,32.0,32.0
5,2001-04-25,32.0,33.0,32.0,33.0,66417083,10694,14,32.0,33.0
6,2001-05-01,31.0,31.0,31.0,31.0,31418386,5231,9,33.0,31.0
7,2001-05-02,31.0,31.0,31.0,31.0,76706688,12769,17,31.0,31.0
8,2001-05-05,31.0,32.0,31.0,32.0,22524498,3745,10,31.0,32.0
9,2001-05-06,32.0,32.0,32.0,32.0,6322036,1049,5,32.0,32.0
10,2001-05-07,32.0,33.0,32.0,33.0,22975363,3680,13,32.0,33.0
11,2001-05-08,33.0,33.0,33.0,33.0,17981609,2829,9,33.0,33.0
12,2001-05-09,33.0,33.0,33.0,33.0,73256807,11446,24,33.0,33.0
13,2001-05-12,34.0,34.0,33.0,33.0,17663459,2759,5,33.0,33.0
14,2001-05-13,34.0,34.0,34.0,34.0,12430146,1926,5,33.0,34.0
15,2001-05-15,34.0,34.0,34.0,34.0,10685520,1649,1,34.0,34.0
16,2001-05-16,34.0,35.0,34.0,35.0,19166496,2876,6,34.0,35.0
17,2001-05-19,35.0,35.0,35.0,35.0,12787524,1897,5,35.0,35.0
18,2001-05-21,36.0,36.0,35.0,36.0,13432306,1985,4,35.0,36.0
19,2001-05-23,36.0,36.0,36.0,36.0,8574800,1261,2,36.0,36.0
20,2001-05-26,36.0,36.0,36.0,36.0,42859768,6303,8,36.0,36.0
21,2001-05-27,36.0,36.0,36.0,36.0,21014598,3081,8,36.0,36.0
22,2001-05-28,36.0,36.0,36.0,36.0,622122400,90163,3,36.0,36.0
23,2001-05-29,36.0,36.0,36.0,36.0,27621270,3997,7,36.0,36.0
24,2001-05-30,36.0,36.0,36.0,36.0,29673216,4293,6,36.0,36.0
25,2001-06-02,36.0,36.0,36.0,36.0,10082484,1460,4,36.0,36.0
26,2001-06-03,36.0,36.0,36.0,36.0,35483347,5150,5,36.0,36.0
27,2001-06-06,36.0,36.0,36.0,36.0,35958884,5223,15,36.0,36.0
28,2001-06-09,36.0,36.0,36.0,36.0,6889000,1000,3,36.0,36.0
29,2001-06-11,36.0,36.0,36.0,36.0,8831198,1282,5,36.0,36.0
30,2001-06-12,36.0,36.0,36.0,36.0,9003057,1307,6,36.0,36.0
31,2001-06-13,36.0,36.0,36.0,36.0,9782380,1420,6,36.0,36.0
32,2001-06-16,36.0,36.0,36.0,36.0,4822300,700,4,36.0,36.0
33,2001-06-18,36.0,36.0,36.0,36.0,3361244,488,3,36.0,36.0
34,2001-07-10,31.0,34.0,31.0,34.0,370432000,58528,22,36.0,34.0
35,2001-07-11,34.0,34.0,34.0,34.0,457206980,70479,13,34.0,34.0
36,2001-07-15,34.0,34.0,34.0,34.0,7404850,1150,1,34.0,34.0
37,2001-07-16,33.0,33.0,32.0,32.0,25230000,4000,6,34.0,32.0
