,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-28,18.0,18.0,18.0,18.0,70025034,34062,11,18.0,18.0
1,2001-03-31,18.0,18.0,18.0,18.0,1611300,786,2,18.0,18.0
2,2001-04-07,18.0,18.0,18.0,18.0,20746325,9917,3,18.0,18.0
3,2001-04-10,18.0,18.0,18.0,18.0,1931337,921,1,18.0,18.0
4,2001-04-11,18.0,18.0,18.0,18.0,8392000,4000,1,18.0,18.0
5,2001-04-15,18.0,18.0,18.0,18.0,483360,228,1,18.0,18.0
6,2001-04-18,18.0,18.0,18.0,18.0,1983415,929,1,18.0,18.0
7,2001-04-21,18.0,18.0,18.0,18.0,4085660,1923,4,18.0,18.0
8,2001-04-22,18.0,18.0,18.0,18.0,719957,343,3,18.0,18.0
9,2001-04-23,18.0,18.0,18.0,18.0,4439385,2115,4,18.0,18.0
10,2001-04-24,18.0,18.0,18.0,18.0,10212593,4837,8,18.0,18.0
11,2001-04-29,18.0,18.0,18.0,18.0,9097232,4262,5,18.0,18.0
12,2001-04-30,18.0,18.0,18.0,18.0,1092096,512,2,18.0,18.0
13,2001-05-01,18.0,18.0,18.0,18.0,16003079,7500,12,18.0,18.0
14,2001-05-02,18.0,18.0,18.0,18.0,2479708,1162,2,18.0,18.0
15,2001-05-05,18.0,18.0,18.0,18.0,17376348,8146,7,18.0,18.0
16,2001-05-07,18.0,18.0,18.0,18.0,3210165,1505,3,18.0,18.0
17,2001-05-09,18.0,18.0,18.0,18.0,1486274,698,3,18.0,18.0
18,2001-05-13,18.0,19.0,18.0,19.0,495333801,226422,79,18.0,19.0
19,2001-05-16,20.0,20.0,20.0,20.0,27533300,11971,3,19.0,20.0
20,2001-05-20,20.0,20.0,20.0,20.0,3485954,1503,2,20.0,20.0
21,2001-05-23,20.0,20.0,20.0,20.0,895872,384,1,20.0,20.0
22,2001-05-26,20.0,21.0,20.0,21.0,15669825,6693,5,20.0,21.0
23,2001-05-27,22.0,22.0,21.0,22.0,13158200,5200,3,21.0,22.0
24,2001-05-28,23.0,23.0,23.0,23.0,72658605,27305,13,22.0,23.0
25,2001-05-29,24.0,24.0,23.0,24.0,124799060,44810,26,23.0,24.0
26,2001-05-30,24.0,25.0,24.0,24.0,36788773,13058,10,24.0,24.0
27,2001-06-02,24.0,24.0,24.0,24.0,30472048,10921,5,24.0,24.0
28,2001-06-03,24.0,24.0,24.0,24.0,13803762,4937,6,24.0,24.0
29,2001-06-06,24.0,24.0,24.0,24.0,3781896,1352,3,24.0,24.0
30,2001-06-11,24.0,24.0,24.0,24.0,1884412,675,3,24.0,24.0
31,2001-06-13,24.0,24.0,24.0,24.0,13477440,4848,3,24.0,24.0
32,2001-06-18,23.0,23.0,23.0,23.0,2920300,1102,1,24.0,23.0
33,2001-06-19,23.0,23.0,23.0,23.0,52980,20,1,23.0,23.0
34,2001-06-20,23.0,23.0,23.0,23.0,1972133,750,2,23.0,23.0
35,2001-06-23,22.0,22.0,22.0,22.0,7650000,3000,3,23.0,22.0
36,2001-06-26,22.0,22.0,21.0,21.0,8976320,3568,3,22.0,21.0
37,2001-06-30,21.0,21.0,21.0,21.0,3797500,1550,2,21.0,21.0
38,2001-07-01,21.0,21.0,21.0,21.0,295724,121,1,21.0,21.0
39,2001-07-03,21.0,21.0,21.0,21.0,8382500,3500,1,21.0,21.0
40,2001-07-04,20.0,20.0,20.0,20.0,59129071,25000,11,21.0,20.0
41,2001-07-07,20.0,20.0,20.0,20.0,13932000,6000,2,20.0,20.0
42,2001-07-08,20.0,20.0,20.0,20.0,2996411,1291,1,20.0,20.0
43,2001-07-09,20.0,20.0,20.0,20.0,65874052,28787,18,20.0,20.0
44,2001-07-10,20.0,20.0,20.0,20.0,299130,130,1,20.0,20.0
45,2001-07-11,20.0,20.0,20.0,20.0,27366850,11649,5,20.0,20.0
46,2001-07-14,20.0,21.0,20.0,21.0,1063216,448,3,20.0,21.0
47,2001-07-15,21.0,21.0,21.0,21.0,102101020,42194,15,21.0,21.0
48,2001-07-16,21.0,21.0,21.0,21.0,890320,359,1,21.0,21.0
49,2001-08-19,17.0,17.0,17.0,17.0,1000000,500,1,21.0,17.0
50,2001-08-21,17.0,17.0,17.0,17.0,10712256,5356,9,17.0,17.0
51,2001-08-22,17.0,17.0,17.0,17.0,7266000,3633,4,17.0,17.0
52,2001-08-28,17.0,17.0,17.0,17.0,2359452,1177,3,17.0,17.0
53,2001-08-29,18.0,18.0,18.0,18.0,5796000,2760,4,17.0,18.0
54,2001-09-02,18.0,18.0,18.0,18.0,21161637,10140,8,18.0,18.0
