,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2022-02-09,5577.0,6817.0,5577.0,6742.0,6428779475028,299999591,1264932,315.0,5601.0
1,2022-02-12,7079.0,7079.0,7079.0,7079.0,127065060000,5647336,29757,6742.0,7079.0
2,2022-02-13,7426.0,7426.0,7426.0,7426.0,193638590000,8205025,34375,7079.0,7426.0
3,2022-02-14,7787.0,7787.0,7787.0,7787.0,217371825000,8782700,38520,7426.0,7787.0
4,2022-02-16,8165.0,8165.0,7819.0,8086.0,3326995414950,129477173,526252,7787.0,7960.0
5,2022-02-19,7850.0,7945.0,7693.0,7709.0,1425839852350,58147930,180989,8086.0,7693.0
6,2022-02-20,7583.0,8086.0,7410.0,7945.0,1168379237600,46233856,81910,7709.0,8086.0
7,2022-02-21,8291.0,8338.0,8118.0,8322.0,235267507850,8895833,18680,7945.0,8338.0
8,2022-02-22,8653.0,8653.0,8086.0,8369.0,987770396550,37125603,49793,8322.0,8432.0
9,2022-02-23,8527.0,8779.0,8369.0,8700.0,752457380300,27198007,36475,8369.0,8779.0
10,2022-02-26,8889.0,9125.0,8889.0,9093.0,960403238650,33215552,37297,8700.0,9125.0
11,2022-02-27,9125.0,9345.0,8794.0,9109.0,798207364400,27571044,31827,9093.0,9219.0
12,2022-02-28,9219.0,9313.0,9030.0,9172.0,429777913900,14731765,18503,9109.0,9172.0
13,2022-03-02,9109.0,9345.0,8810.0,9015.0,530575652200,18517191,22465,9172.0,8810.0
14,2022-03-05,8716.0,8967.0,8574.0,8684.0,519847281450,18836286,16940,9015.0,8574.0
15,2022-03-06,8259.0,8495.0,8259.0,8307.0,813959334050,30860858,32848,8684.0,8401.0
16,2022-03-07,8417.0,8574.0,8338.0,8448.0,390607063950,14554533,13841,8307.0,8338.0
17,2022-03-08,8495.0,8857.0,8228.0,8653.0,760619679900,27677982,17950,8448.0,8857.0
18,2022-03-09,8967.0,9077.0,8889.0,9015.0,439122223950,15315925,12461,8653.0,8920.0
19,2022-03-12,8826.0,8920.0,8574.0,8731.0,391333321050,14113191,9032,9015.0,8605.0
20,2022-03-13,8527.0,8810.0,8511.0,8700.0,291084176650,10535681,6315,8731.0,8684.0
21,2022-03-14,8684.0,8967.0,8684.0,8920.0,357518623750,12621717,7661,8700.0,8826.0
22,2022-03-15,8826.0,8952.0,8621.0,8747.0,152102082250,5471309,5083,8920.0,8731.0
23,2022-03-16,8558.0,8794.0,8432.0,8543.0,164916416800,6076240,5847,8747.0,8495.0
24,2022-03-19,8558.0,8731.0,8495.0,8574.0,114481180500,4202181,4220,8543.0,8558.0
25,2022-03-26,8574.0,8731.0,8448.0,8574.0,116531067550,4276674,4074,8574.0,8495.0
26,2022-03-27,8511.0,8605.0,8322.0,8385.0,170427962850,6391541,6019,8574.0,8369.0
27,2022-03-29,8385.0,8794.0,8228.0,8621.0,419435093450,15298383,8962,8385.0,8794.0
28,2022-03-30,8952.0,9046.0,8810.0,9015.0,363220891200,12668428,7349,8621.0,9046.0
29,2022-04-03,9109.0,9455.0,8904.0,9376.0,560508719950,18796729,9323,9015.0,9455.0
30,2022-04-04,9565.0,9833.0,9046.0,9455.0,307972297700,10255749,7781,9376.0,9140.0
31,2022-04-05,9125.0,9313.0,8983.0,9077.0,293155146500,10163083,7635,9455.0,9156.0
32,2022-04-06,9125.0,9203.0,8700.0,8967.0,196078878100,6880051,5398,9077.0,8857.0
33,2022-04-09,8684.0,9219.0,8684.0,8999.0,157569824600,5505942,4053,8967.0,8952.0
34,2022-04-10,8952.0,9188.0,8873.0,8983.0,121306284900,4252489,3980,8999.0,8952.0
35,2022-04-11,8983.0,9172.0,8873.0,9046.0,138490388250,4816050,4262,8983.0,9062.0
36,2022-04-12,9062.0,9062.0,8605.0,8747.0,126822010050,4559523,3173,9046.0,8684.0
37,2022-04-13,8653.0,9062.0,8653.0,8841.0,75726042000,2692975,2516,8747.0,8857.0
38,2022-04-16,8794.0,9015.0,8731.0,8841.0,107784296450,3835706,3069,8841.0,8857.0
39,2022-04-17,8920.0,8952.0,8716.0,8810.0,101811230900,3634327,3088,8841.0,8857.0
40,2022-04-18,8794.0,9235.0,8794.0,9109.0,258327819750,8928627,4570,8810.0,9030.0
41,2022-04-19,9125.0,9188.0,8889.0,9077.0,106095557250,3677929,2911,9109.0,8999.0
42,2022-04-20,9077.0,9109.0,8920.0,8983.0,121852586400,4266075,2698,9077.0,8999.0
43,2022-04-24,9030.0,9030.0,8873.0,8967.0,96401117550,3379924,4260,8983.0,8999.0
44,2022-04-25,8983.0,9502.0,8967.0,9266.0,1536634081950,52220830,13747,8967.0,9502.0
45,2022-04-26,9817.0,9817.0,9722.0,9817.0,734093487650,23532849,7262,9266.0,9817.0
46,2022-04-27,9911.0,10194.0,9455.0,9754.0,475389539050,15341750,18126,9817.0,9707.0
47,2022-04-30,9707.0,10320.0,9455.0,9927.0,539067193500,17096483,7331,9754.0,10021.0
48,2022-05-01,9927.0,10053.0,9660.0,9770.0,221283742650,7129881,5092,9927.0,9707.0
49,2022-05-02,9754.0,9974.0,9549.0,9801.0,182778944700,5866803,3547,9770.0,9738.0
50,2022-05-07,9817.0,9817.0,9534.0,9644.0,267742792650,8739605,4602,9801.0,9660.0
51,2022-05-08,9754.0,10210.0,9549.0,10084.0,658333646250,20550359,5245,9644.0,10210.0
52,2022-05-09,10383.0,10682.0,10069.0,10462.0,891064380100,26815985,9089,10084.0,10430.0
53,2022-05-10,10430.0,10887.0,10226.0,10745.0,330666995250,9689862,5259,10462.0,10698.0
54,2022-05-11,11170.0,11374.0,10603.0,11138.0,921723476450,26029084,8047,10745.0,11170.0
55,2022-05-14,11768.0,11768.0,11233.0,11484.0,871235858400,23874317,8676,11138.0,11343.0
56,2022-05-15,11484.0,11484.0,10808.0,11012.0,444547177450,12696864,9206,11484.0,11170.0
57,2022-05-16,11060.0,11280.0,10981.0,11060.0,538970361600,15335841,13177,11012.0,11138.0
58,2022-05-17,11170.0,11579.0,11012.0,11327.0,771549448500,21429159,8328,11060.0,11264.0
59,2022-05-18,11453.0,11516.0,10981.0,11343.0,504430747650,13989236,10058,11327.0,11516.0
60,2022-05-24,11594.0,11594.0,11594.0,11594.0,47362560000,1578752,181,11343.0,11594.0
61,2022-05-25,11729.0,11865.0,10976.0,11324.0,634408158400,21655440,9547,11594.0,11111.0
62,2022-05-28,11169.0,11285.0,10647.0,10879.0,293198035800,10422619,5220,11324.0,10821.0
63,2022-05-29,10918.0,11014.0,10338.0,10667.0,169589853750,6143617,4197,10879.0,10995.0
64,2022-05-30,10956.0,11130.0,10744.0,10937.0,158568190800,5601361,3760,10667.0,10918.0
65,2022-05-31,11188.0,11188.0,10744.0,10898.0,254274480400,9014640,3963,10937.0,10918.0
66,2022-06-01,10918.0,11072.0,10725.0,10802.0,107542734950,3849160,2835,10898.0,10782.0
67,2022-06-06,10782.0,10782.0,10183.0,10338.0,155571273400,5816870,3737,10802.0,10222.0
68,2022-06-07,10048.0,10937.0,10010.0,10512.0,185733626350,6824397,3605,10338.0,10667.0
69,2022-06-08,10782.0,11034.0,10686.0,10898.0,155525210800,5518366,2737,10512.0,10860.0
70,2022-06-11,10937.0,11111.0,10686.0,10840.0,125506814700,4470433,2351,10898.0,10840.0
71,2022-06-12,10937.0,11478.0,10860.0,11111.0,1540065986150,53570691,8753,10840.0,11324.0
72,2022-06-13,11362.0,11768.0,11343.0,11729.0,880877063450,29044449,5723,11111.0,11768.0
73,2022-06-14,11787.0,11787.0,11072.0,11266.0,401328847000,13773671,5580,11729.0,11208.0
74,2022-06-15,11072.0,11208.0,10821.0,10976.0,129092387600,4546976,2578,11266.0,10995.0
75,2022-06-18,10860.0,11227.0,10531.0,10705.0,171338264500,6180050,2883,10976.0,10744.0
76,2022-06-19,10821.0,10898.0,10435.0,10628.0,154806155600,5627350,2582,10705.0,10609.0
77,2022-06-20,10628.0,10763.0,10454.0,10589.0,126600943350,4621973,2645,10628.0,10667.0
78,2022-06-21,10667.0,11053.0,10570.0,10782.0,114513383300,4102682,2405,10589.0,10937.0
79,2022-06-22,11014.0,11072.0,10628.0,10821.0,104569662300,3737120,1900,10782.0,10667.0
80,2022-06-25,10628.0,10725.0,10241.0,10396.0,248028213500,9215659,3824,10821.0,10435.0
81,2022-06-26,10396.0,10396.0,9894.0,10087.0,123316792350,4724622,2574,10396.0,9971.0
82,2022-06-27,9932.0,10357.0,9816.0,10125.0,233500399900,8911325,2537,10087.0,10203.0
83,2022-06-28,10183.0,10357.0,9971.0,10145.0,110458251500,4211132,2123,10125.0,10241.0
84,2022-06-29,10319.0,10338.0,10048.0,10145.0,88164413250,3356981,1998,10145.0,10164.0
85,2022-07-02,10164.0,10493.0,10164.0,10280.0,164752061550,6191236,2588,10145.0,10299.0
86,2022-07-03,10338.0,10493.0,10183.0,10319.0,71957231650,2696263,1837,10280.0,10280.0
87,2022-07-04,10338.0,10338.0,10068.0,10164.0,101159938350,3843413,2276,10319.0,10068.0
88,2022-07-05,9952.0,10145.0,9797.0,9932.0,198320519800,7723593,2810,10164.0,9952.0
89,2022-07-06,10048.0,10048.0,9546.0,9662.0,116533926100,4659309,2677,9932.0,9662.0
90,2022-07-09,9662.0,9778.0,9468.0,9584.0,67130863650,2704956,1530,9662.0,9546.0
91,2022-07-11,9507.0,9662.0,9024.0,9198.0,185699354050,7805397,2935,9584.0,9043.0
92,2022-07-12,9198.0,9314.0,8792.0,9063.0,97516024350,4158992,2030,9198.0,9198.0
93,2022-07-13,9043.0,9604.0,9043.0,9353.0,135105777300,5587372,2434,9063.0,9256.0
94,2022-07-16,9237.0,9237.0,8908.0,9024.0,88267115950,3780928,2230,9353.0,8985.0
95,2022-07-17,8927.0,9179.0,8792.0,8889.0,95663579850,4158197,1776,9024.0,8850.0
96,2022-07-19,8869.0,9237.0,8831.0,9005.0,105066810850,4512697,2056,8889.0,9043.0
97,2022-07-20,9526.0,9526.0,8966.0,9159.0,32591577450,1375968,1047,9005.0,9217.0
98,2022-07-23,9159.0,9237.0,8889.0,8985.0,86218076650,3710292,1788,9159.0,9043.0
99,2022-07-24,9159.0,9159.0,8541.0,8773.0,118982805350,5242574,2159,8985.0,8773.0
100,2022-07-25,8715.0,8715.0,8290.0,8406.0,95523040250,4394906,2129,8773.0,8425.0
101,2022-07-26,8464.0,8831.0,8309.0,8599.0,92632973500,4165385,1838,8406.0,8676.0
102,2022-07-27,8850.0,9005.0,8657.0,8831.0,66947161650,2928689,1499,8599.0,8792.0
103,2022-07-30,8831.0,9043.0,8522.0,8715.0,64991360100,2881583,1529,8831.0,8580.0
104,2022-07-31,8696.0,8696.0,8251.0,8367.0,70885679400,3277745,1642,8715.0,8386.0
105,2022-08-01,8328.0,8541.0,8328.0,8425.0,63015434950,2890508,1343,8367.0,8444.0
106,2022-08-06,8927.0,8927.0,8908.0,8927.0,433756207200,18777338,1903,8425.0,8927.0
107,2022-08-09,9005.0,9005.0,8541.0,8715.0,159908426150,7088523,2797,8927.0,8696.0
108,2022-08-10,8676.0,9043.0,8541.0,8869.0,236329561900,10298792,2583,8715.0,8850.0
109,2022-08-13,8947.0,9140.0,8811.0,8966.0,218954322450,9440698,2646,8869.0,9005.0
110,2022-08-14,8927.0,9005.0,8734.0,8850.0,115666685850,5047903,1887,8966.0,8754.0
111,2022-08-15,8773.0,8985.0,8541.0,8657.0,166828627450,7446689,2119,8850.0,8638.0
112,2022-08-16,8580.0,8792.0,8444.0,8638.0,95512821200,4271823,1670,8657.0,8599.0
113,2022-08-21,8425.0,8483.0,8135.0,8193.0,201994464600,9535093,3181,8638.0,8232.0
114,2022-08-22,8232.0,8599.0,8135.0,8425.0,308941847800,14164016,3062,8193.0,8386.0
115,2022-08-23,8406.0,8580.0,8232.0,8464.0,128018532700,5843285,1865,8425.0,8444.0
116,2022-08-24,8541.0,8734.0,8464.0,8541.0,230690098750,10442158,2923,8464.0,8502.0
117,2022-08-27,8580.0,8773.0,8483.0,8580.0,289655075350,13058766,3684,8541.0,8676.0
118,2022-08-28,8657.0,9082.0,8541.0,8850.0,562920891150,24593045,5949,8580.0,9043.0
119,2022-08-29,9082.0,9256.0,8850.0,9043.0,262883472650,11243258,4025,8850.0,8908.0
120,2022-08-30,8869.0,8927.0,8618.0,8754.0,135972729150,5999707,3051,9043.0,8792.0
121,2022-08-31,8734.0,8754.0,8580.0,8657.0,55477336100,2475568,1532,8754.0,8676.0
122,2022-09-03,8560.0,8715.0,8328.0,8560.0,63387633300,2860157,1309,8657.0,8522.0
123,2022-09-04,8676.0,8773.0,8580.0,8676.0,38927551400,1734654,1000,8560.0,8638.0
124,2022-09-05,8580.0,9082.0,8580.0,8908.0,160426044900,6965637,2595,8676.0,8889.0
125,2022-09-06,8850.0,9121.0,8676.0,8811.0,71833452800,3148853,1590,8908.0,8734.0
126,2022-09-07,8676.0,8831.0,8599.0,8676.0,75464139350,3363424,1400,8811.0,8696.0
127,2022-09-10,8696.0,8696.0,8444.0,8522.0,72981552600,3307631,1448,8676.0,8502.0
128,2022-09-11,8483.0,8541.0,8097.0,8270.0,225911572250,10553611,2894,8522.0,8212.0
129,2022-09-12,8270.0,8328.0,7923.0,8058.0,238338780150,11417856,3252,8270.0,8174.0
130,2022-09-13,8232.0,8367.0,8135.0,8251.0,72452252600,3393710,1588,8058.0,8309.0
131,2022-09-14,8174.0,8309.0,7749.0,7923.0,128909431650,6289409,2399,8251.0,7981.0
132,2022-09-18,7845.0,8386.0,7536.0,7729.0,97658538200,4878257,2071,7923.0,7807.0
