,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2022-05-25,5504.0,5504.0,3776.0,4089.0,5571563392622,300000000,467,220.0,3776.0
1,2022-05-28,4333.0,4333.0,4333.0,4333.0,95841600000,4870000,568,4089.0,4333.0
2,2022-05-29,4592.0,4592.0,4592.0,4524.0,74065516000,3550600,317,4333.0,4592.0
3,2022-05-30,4795.0,4795.0,4795.0,4795.0,104544000000,4800000,424,4524.0,4795.0
4,2022-05-31,5081.0,5081.0,5008.0,5081.0,2794500602250,121100606,14742,4795.0,5081.0
5,2022-06-01,5083.0,5118.0,4920.0,5050.0,734930983900,32035565,6309,5081.0,4958.0
6,2022-06-06,4931.0,4997.0,4755.0,4777.0,663858889450,30588352,3975,5050.0,4755.0
7,2022-06-12,5064.0,5064.0,4789.0,4921.0,225254516950,10937159,1657,4777.0,4933.0
8,2022-06-13,4944.0,5124.0,4921.0,4944.0,199808186800,9650087,1629,4921.0,4956.0
9,2022-06-14,4956.0,5231.0,4956.0,5195.0,422422088150,19428434,3097,4944.0,5231.0
10,2022-06-15,5279.0,5351.0,5183.0,5219.0,131209463150,5998797,1323,5195.0,5243.0
11,2022-06-18,5243.0,5255.0,5076.0,5183.0,138204474950,6361978,986,5219.0,5088.0
12,2022-06-19,5183.0,5183.0,5052.0,5076.0,106717727150,5017031,561,5183.0,5052.0
13,2022-06-20,5028.0,5159.0,5016.0,5052.0,117187027500,5540807,670,5076.0,5040.0
14,2022-06-21,5100.0,5100.0,4968.0,4980.0,92002707550,4411938,366,5052.0,4968.0
15,2022-06-22,4980.0,4980.0,4885.0,4933.0,61821145850,3011648,319,4980.0,4885.0
16,2022-06-25,4933.0,4933.0,4646.0,4765.0,117861263700,5910852,493,4933.0,4646.0
17,2022-06-26,4777.0,4861.0,4682.0,4777.0,131332868800,6570193,566,4765.0,4801.0
18,2022-06-27,4777.0,4897.0,4658.0,4777.0,62873675700,3142776,374,4777.0,4897.0
19,2022-06-28,4801.0,4897.0,4765.0,4789.0,55307036200,2759097,253,4777.0,4765.0
20,2022-06-29,4777.0,4777.0,4694.0,4718.0,250256667400,12659905,359,4789.0,4706.0
21,2022-07-02,4823.0,4823.0,4565.0,4605.0,32842936950,1703691,286,4718.0,4567.0
22,2022-07-03,4605.0,4701.0,4491.0,4593.0,127054417460,6607622,345,4605.0,4605.0
23,2022-07-04,4538.0,4632.0,4500.0,4519.0,31656562780,1673574,336,4593.0,4503.0
24,2022-07-05,4443.0,4591.0,4443.0,4519.0,24596133850,1300157,305,4519.0,4536.0
25,2022-07-06,4584.0,4584.0,4433.0,4467.0,33403795380,1786354,242,4519.0,4538.0
26,2022-07-09,4395.0,4440.0,4376.0,4386.0,16874669590,918993,202,4467.0,4378.0
27,2022-07-11,4445.0,4524.0,4230.0,4328.0,27997639820,1545547,248,4386.0,4276.0
28,2022-07-12,4218.0,4503.0,4132.0,4297.0,32076749640,1782700,244,4328.0,4335.0
29,2022-07-13,4491.0,4553.0,4271.0,4526.0,27344940230,1442814,377,4297.0,4526.0
30,2022-07-16,4643.0,4643.0,4354.0,4488.0,21886416760,1165001,174,4526.0,4366.0
31,2022-07-17,4538.0,4538.0,4335.0,4452.0,22823512470,1224303,231,4488.0,4514.0
32,2022-07-19,4507.0,4531.0,4395.0,4448.0,7443650190,399709,126,4452.0,4395.0
33,2022-07-20,4512.0,4538.0,4419.0,4495.0,10485667940,557269,151,4448.0,4519.0
34,2022-07-23,4562.0,4562.0,4402.0,4510.0,8195361140,434141,111,4495.0,4436.0
35,2022-07-24,4536.0,4538.0,4323.0,4433.0,38376006280,2067561,203,4510.0,4388.0
36,2022-07-25,4433.0,4433.0,4204.0,4321.0,18811587300,1040027,223,4433.0,4218.0
37,2022-07-26,4171.0,4366.0,4171.0,4300.0,22331750650,1240622,252,4321.0,4333.0
38,2022-07-27,4467.0,4467.0,4228.0,4297.0,5143821080,285850,83,4300.0,4345.0
39,2022-07-30,4395.0,4395.0,4180.0,4257.0,8793424500,493352,146,4297.0,4288.0
40,2022-07-31,4369.0,4369.0,4111.0,4199.0,12194488460,693553,195,4257.0,4257.0
41,2022-08-01,4328.0,4328.0,4099.0,4149.0,6524269840,375562,112,4199.0,4204.0
42,2022-08-02,4290.0,4290.0,4096.0,4137.0,6544899870,377885,117,4149.0,4108.0
43,2022-08-03,4194.0,4197.0,4073.0,4118.0,14048489610,814676,207,4137.0,4178.0
44,2022-08-06,4120.0,4168.0,4063.0,4101.0,20481219880,1193173,223,4118.0,4125.0
45,2022-08-09,4101.0,4132.0,4044.0,4111.0,13305084280,772969,192,4101.0,4132.0
46,2022-08-10,4111.0,4130.0,4065.0,4104.0,9062523550,527612,96,4111.0,4113.0
47,2022-08-13,4108.0,4295.0,4065.0,4192.0,10452856580,595719,148,4104.0,4245.0
48,2022-08-14,4292.0,4292.0,4125.0,4202.0,11376012910,646715,105,4192.0,4125.0
49,2022-08-15,4202.0,4247.0,4087.0,4156.0,8913538270,512419,109,4202.0,4096.0
50,2022-08-16,4156.0,4168.0,4037.0,4077.0,10777903880,631486,143,4156.0,4037.0
51,2022-08-17,4077.0,4120.0,4015.0,4053.0,11615606580,684429,119,4077.0,4077.0
52,2022-08-20,4056.0,4085.0,4013.0,4032.0,15326456680,908211,94,4053.0,4020.0
53,2022-08-21,4001.0,4037.0,3898.0,3977.0,17174362670,1031280,178,4032.0,3965.0
54,2022-08-22,4030.0,4030.0,3941.0,3977.0,8321911110,499705,73,3977.0,3958.0
55,2022-08-23,3989.0,4123.0,3936.0,4061.0,26823911040,1578264,176,3977.0,4061.0
56,2022-08-24,4061.0,4271.0,4049.0,4173.0,77941523060,4461109,278,4061.0,4144.0
57,2022-08-27,4252.0,4252.0,4046.0,4147.0,54891176010,3161214,227,4173.0,4061.0
58,2022-08-28,4106.0,4182.0,4037.0,4104.0,125088832100,7279254,315,4147.0,4085.0
59,2022-08-29,4063.0,4132.0,3941.0,4013.0,48657604800,2897076,349,4104.0,3970.0
60,2022-08-30,4013.0,4053.0,3925.0,4006.0,91464043550,5453484,411,4013.0,4013.0
61,2022-08-31,3946.0,4001.0,3893.0,3922.0,33124132840,2017189,257,4006.0,4001.0
62,2022-09-03,3922.0,3941.0,3803.0,3855.0,40624756170,2516722,271,3922.0,3853.0
63,2022-09-04,3815.0,3948.0,3774.0,3925.0,265286489700,16148734,683,3855.0,3929.0
64,2022-09-05,3953.0,4034.0,3927.0,3951.0,69251093700,4186948,398,3925.0,3960.0
65,2022-09-06,4044.0,4056.0,3965.0,4030.0,59142402800,3506342,342,3951.0,4037.0
66,2022-09-07,4104.0,4104.0,4034.0,4061.0,29446171720,1731761,238,4030.0,4073.0
67,2022-09-10,4065.0,4108.0,4013.0,4061.0,30785001610,1811372,203,4061.0,4082.0
68,2022-09-11,4065.0,4089.0,3982.0,4063.0,15086907140,887099,156,4061.0,4061.0
69,2022-09-12,4061.0,4085.0,3917.0,4008.0,27349887290,1629541,158,4063.0,4032.0
70,2022-09-13,4008.0,4058.0,3870.0,3967.0,6378120930,383950,58,4008.0,4013.0
71,2022-09-14,4058.0,4061.0,3929.0,3977.0,3582974290,215206,77,3967.0,3941.0
72,2022-09-18,4037.0,4037.0,3939.0,3972.0,18166002640,1092216,106,3977.0,4001.0
73,2022-09-19,3975.0,4037.0,3972.0,4003.0,17761921530,1060013,128,3972.0,4013.0
74,2022-09-20,4032.0,4061.0,3929.0,3996.0,28652639140,1712708,113,4003.0,4008.0
75,2022-09-21,3958.0,4053.0,3958.0,3994.0,26981469330,1614167,111,3996.0,3958.0
76,2022-09-24,4154.0,4154.0,3893.0,3977.0,23828263330,1431462,151,3994.0,3941.0
77,2022-09-26,4034.0,4061.0,3939.0,4027.0,45344701200,2688793,170,3977.0,4027.0
78,2022-09-28,4027.0,4058.0,4013.0,4025.0,40704532940,2415427,170,4027.0,4027.0
79,2022-10-01,3984.0,4027.0,3941.0,3963.0,13254349240,798747,104,4025.0,4010.0
80,2022-10-02,4049.0,4049.0,3917.0,3946.0,4505087180,272707,98,3963.0,3922.0
81,2022-10-03,3858.0,3884.0,3822.0,3862.0,3446437270,213092,71,3946.0,3877.0
82,2022-10-04,3822.0,3965.0,3774.0,3786.0,2287887350,144383,63,3862.0,3779.0
83,2022-10-08,3779.0,3779.0,3583.0,3650.0,11086533230,725675,138,3786.0,3619.0
84,2022-10-09,3700.0,3893.0,3511.0,3674.0,3710787060,241336,123,3650.0,3640.0
85,2022-10-10,3547.0,3772.0,3495.0,3678.0,11526688920,748601,155,3674.0,3726.0
86,2022-10-11,3619.0,3784.0,3619.0,3726.0,1990899930,127606,44,3678.0,3748.0
87,2022-10-12,3748.0,3836.0,3729.0,3807.0,7000152270,439167,79,3726.0,3822.0
88,2022-10-15,3822.0,3860.0,3714.0,3779.0,4009034240,253443,48,3807.0,3817.0
89,2022-10-16,3779.0,3784.0,3678.0,3714.0,2711062240,174310,65,3779.0,3762.0
90,2022-10-17,3729.0,3729.0,3624.0,3643.0,4654327610,305218,99,3714.0,3669.0
91,2022-10-18,3690.0,3690.0,3590.0,3614.0,4519507460,298652,73,3643.0,3647.0
92,2022-10-19,3688.0,3690.0,3554.0,3604.0,8862799300,587326,90,3614.0,3631.0
93,2022-10-22,3631.0,3652.0,3552.0,3600.0,2293122040,152185,60,3604.0,3604.0
94,2022-10-23,3678.0,3678.0,3416.0,3521.0,18917798820,1283156,128,3600.0,3428.0
95,2022-10-24,3435.0,3533.0,3275.0,3339.0,32269810640,2307562,186,3521.0,3284.0
96,2022-10-25,3284.0,3339.0,3108.0,3134.0,24149166150,1840090,164,3339.0,3143.0
97,2022-10-26,3110.0,3196.0,3100.0,3115.0,25453632750,1951390,141,3134.0,3105.0
98,2022-10-29,3108.0,3194.0,2928.0,3108.0,42423002510,3261160,111,3115.0,3105.0
99,2022-10-30,3196.0,3196.0,3067.0,3108.0,24347149580,1871462,75,3108.0,3129.0
100,2022-10-31,3110.0,3177.0,3081.0,3108.0,12157506260,934356,82,3108.0,3139.0
101,2022-11-01,3165.0,3177.0,3105.0,3112.0,13943279040,1070027,91,3108.0,3108.0
102,2022-11-02,3108.0,3163.0,3079.0,3098.0,1806601710,139332,43,3112.0,3105.0
103,2022-11-05,3146.0,3313.0,3146.0,3201.0,7059057580,526958,123,3098.0,3287.0
104,2022-11-06,3246.0,3311.0,3186.0,3241.0,4640585350,342088,67,3201.0,3294.0
105,2022-11-07,3294.0,3466.0,3241.0,3413.0,9667829250,676338,139,3241.0,3435.0
106,2022-11-08,3463.0,3583.0,3449.0,3523.0,7210020350,488931,133,3413.0,3535.0
107,2022-11-09,3456.0,3702.0,3454.0,3547.0,18590155080,1251835,160,3523.0,3628.0
108,2022-11-12,3530.0,3745.0,3530.0,3638.0,5588564640,367060,55,3547.0,3667.0
109,2022-11-13,3566.0,3590.0,3490.0,3554.0,4061456860,273030,55,3638.0,3514.0
110,2022-11-14,3549.0,3549.0,3416.0,3456.0,4547317100,314361,80,3554.0,3416.0
111,2022-11-15,3506.0,3506.0,3311.0,3380.0,8026900520,567288,70,3456.0,3401.0
112,2022-11-16,3394.0,3394.0,3315.0,3366.0,1232958590,87505,26,3380.0,3323.0
113,2022-11-19,3368.0,3368.0,3272.0,3275.0,2191928480,159862,28,3366.0,3299.0
114,2022-11-20,3227.0,3335.0,3227.0,3320.0,2824750340,203260,36,3275.0,3335.0
115,2022-11-21,3313.0,3378.0,3306.0,3332.0,1153226380,82660,47,3320.0,3358.0
116,2022-11-22,3332.0,3368.0,3308.0,3335.0,532913150,38183,27,3332.0,3315.0
117,2022-11-23,3366.0,3392.0,3280.0,3332.0,7145895180,512209,80,3335.0,3320.0
118,2022-11-26,3308.0,3335.0,3246.0,3301.0,3669873590,265471,37,3332.0,3303.0
119,2022-11-27,3239.0,3315.0,3222.0,3232.0,8069322090,596283,86,3301.0,3225.0
120,2022-11-28,3280.0,3284.0,3153.0,3234.0,9790293570,723183,91,3232.0,3268.0
