,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-26,63.0,63.0,63.0,63.0,7010908,1492,1,63.0,63.0
1,2001-03-27,63.0,63.0,63.0,63.0,119185436,25364,19,63.0,63.0
2,2001-03-28,63.0,63.0,63.0,63.0,14021816,2984,2,63.0,63.0
3,2001-03-31,63.0,63.0,63.0,63.0,12461141,2653,7,63.0,63.0
4,2001-04-07,63.0,63.0,63.0,63.0,76033412,16198,26,63.0,63.0
5,2001-04-08,63.0,63.0,63.0,63.0,787920,168,1,63.0,63.0
6,2001-04-09,63.0,63.0,63.0,63.0,8438400,1800,3,63.0,63.0
7,2001-04-10,63.0,63.0,63.0,63.0,5775374,1232,5,63.0,63.0
8,2001-04-14,63.0,63.0,63.0,63.0,383924,82,1,63.0,63.0
9,2001-04-15,63.0,63.0,62.0,62.0,135316246,28929,42,63.0,62.0
10,2001-04-16,62.0,62.0,62.0,62.0,6250365,1342,2,62.0,62.0
11,2001-04-17,62.0,62.0,62.0,62.0,4824652,1036,4,62.0,62.0
12,2001-04-21,62.0,62.0,62.0,62.0,136603394,29437,46,62.0,62.0
13,2001-04-22,62.0,62.0,62.0,62.0,6203395,1342,2,62.0,62.0
14,2001-04-23,62.0,62.0,62.0,62.0,12844906,2781,12,62.0,62.0
15,2001-04-30,61.0,61.0,61.0,61.0,9237657,2013,3,62.0,61.0
16,2001-05-01,61.0,61.0,61.0,61.0,12292720,2684,2,61.0,61.0
17,2001-05-02,60.0,60.0,60.0,60.0,7297898,1622,6,61.0,60.0
18,2001-05-05,60.0,60.0,60.0,60.0,7093346,1577,1,60.0,60.0
19,2001-05-07,60.0,60.0,59.0,59.0,68172800,15427,14,60.0,59.0
20,2001-05-08,59.0,59.0,59.0,59.0,20396602,4637,5,59.0,59.0
21,2001-05-15,58.0,59.0,58.0,58.0,50207813,11474,18,59.0,58.0
22,2001-05-16,58.0,58.0,58.0,58.0,1013840,232,1,58.0,58.0
23,2001-05-19,58.0,59.0,58.0,59.0,70738058,16153,19,58.0,59.0
24,2001-05-20,58.0,58.0,58.0,58.0,6077100,1410,6,59.0,58.0
25,2001-05-21,58.0,58.0,58.0,58.0,1060506,246,4,58.0,58.0
26,2001-05-26,58.0,59.0,58.0,59.0,16447524,3753,5,58.0,59.0
27,2001-05-27,59.0,59.0,59.0,59.0,18816760,4262,2,59.0,59.0
28,2001-05-29,60.0,60.0,60.0,60.0,2773296,620,2,59.0,60.0
29,2001-05-30,60.0,62.0,60.0,62.0,16268076,3542,6,60.0,62.0
30,2001-06-02,62.0,65.0,62.0,65.0,5186244,1084,4,62.0,65.0
31,2001-06-03,65.0,65.0,65.0,65.0,34153928,7038,6,65.0,65.0
32,2001-06-06,65.0,65.0,65.0,65.0,16382923,3367,7,65.0,65.0
33,2001-06-09,65.0,65.0,65.0,65.0,398766,82,1,65.0,65.0
34,2001-06-11,65.0,65.0,65.0,65.0,10569140,2164,4,65.0,65.0
35,2001-06-12,65.0,65.0,65.0,65.0,45046398,9192,8,65.0,65.0
36,2001-06-13,65.0,66.0,65.0,66.0,18406630,3747,12,65.0,66.0
37,2001-06-16,65.0,67.0,65.0,67.0,29897055,6029,12,66.0,67.0
38,2001-06-17,67.0,67.0,67.0,67.0,45561548,9113,12,67.0,67.0
39,2001-06-18,65.0,67.0,65.0,67.0,35566737,7209,12,67.0,67.0
40,2001-06-23,66.0,66.0,65.0,65.0,20166656,4079,5,67.0,65.0
41,2001-06-25,64.0,64.0,63.0,63.0,121609806,25374,26,65.0,63.0
42,2001-06-26,63.0,63.0,63.0,63.0,34989400,7402,12,63.0,63.0
43,2001-06-27,63.0,63.0,63.0,63.0,9402000,2000,3,63.0,63.0
44,2001-06-30,63.0,63.0,63.0,63.0,20143862,4296,8,63.0,63.0
45,2001-07-01,63.0,63.0,63.0,63.0,12953780,2762,10,63.0,63.0
46,2001-07-02,63.0,63.0,63.0,63.0,32786048,7000,13,63.0,63.0
47,2001-07-03,63.0,63.0,63.0,63.0,50768640,10848,12,63.0,63.0
48,2001-07-04,62.0,63.0,62.0,63.0,71592778,15298,18,63.0,63.0
49,2001-07-07,62.0,62.0,62.0,62.0,21155100,4530,5,63.0,62.0
50,2001-07-08,63.0,63.0,63.0,63.0,22806898,4873,6,62.0,63.0
51,2001-07-09,63.0,63.0,63.0,63.0,23858738,5098,4,63.0,63.0
52,2001-07-10,63.0,63.0,63.0,63.0,22412520,4789,7,63.0,63.0
53,2001-07-11,63.0,63.0,63.0,63.0,31903560,6817,8,63.0,63.0
54,2001-07-14,63.0,63.0,63.0,63.0,17916800,3816,11,63.0,63.0
55,2001-07-15,63.0,63.0,63.0,63.0,38519748,8194,10,63.0,63.0
56,2001-07-16,63.0,63.0,63.0,63.0,11750000,2500,14,63.0,63.0
57,2001-08-20,43.0,43.0,43.0,43.0,3929434,1227,3,63.0,43.0
58,2001-08-21,43.0,43.0,43.0,43.0,11041252,3410,6,43.0,43.0
59,2001-08-22,45.0,45.0,45.0,45.0,3297384,984,4,43.0,45.0
