,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2018-03-19,1820.0,1820.0,1820.0,1820.0,48787108000,12196777,261,455.0,1820.0
1,2018-04-22,1820.0,1820.0,1820.0,1820.0,40000000,10000,1,1820.0,1820.0
2,2018-04-30,1820.0,1820.0,1820.0,1820.0,240000000,60000,3,1820.0,1820.0
3,2018-05-05,1874.0,1874.0,1874.0,1874.0,5603200000,1360000,30,1820.0,1874.0
4,2018-05-09,1874.0,1874.0,1874.0,1874.0,82400000,20000,1,1874.0,1874.0
5,2018-05-14,1874.0,1874.0,1874.0,1874.0,135960000,33000,2,1874.0,1874.0
6,2018-05-15,1911.0,1911.0,1911.0,1911.0,42000000,10000,1,1874.0,1911.0
7,2018-05-16,2002.0,2002.0,2002.0,2002.0,4400000000,1000000,20,1911.0,2002.0
8,2018-05-19,2002.0,2002.0,2002.0,2002.0,4400000000,1000000,20,2002.0,2002.0
9,2018-05-20,2047.0,2047.0,2047.0,2047.0,45000000,10000,1,2002.0,2047.0
10,2018-05-26,2047.0,2047.0,2047.0,2047.0,90000000,20000,1,2047.0,2047.0
11,2018-05-27,2047.0,2047.0,2047.0,2047.0,135000000,30000,1,2047.0,2047.0
12,2018-06-02,2092.0,2092.0,2092.0,2092.0,230000000,50000,1,2047.0,2092.0
13,2018-06-17,2274.0,2274.0,2274.0,2274.0,2000000000,400000,10,2092.0,2274.0
14,2018-06-20,2297.0,2297.0,2297.0,2297.0,50500000,10000,1,2274.0,2297.0
15,2018-08-08,2047.0,2047.0,2047.0,2047.0,45000000,10000,1,2297.0,2047.0
16,2018-09-03,2047.0,2047.0,2047.0,2047.0,4500000000,1000000,21,2047.0,2047.0
17,2018-09-04,2047.0,2047.0,2047.0,2047.0,5017500000,1115000,24,2047.0,2047.0
18,2018-09-05,2047.0,2502.0,2047.0,2404.0,12246500000,2317000,47,2047.0,2502.0
19,2018-09-08,2502.0,2502.0,2502.0,2502.0,11291500000,2053000,42,2404.0,2502.0
20,2018-09-09,2502.0,2502.0,2502.0,2502.0,21175000000,3850000,77,2502.0,2502.0
21,2018-09-10,2502.0,2502.0,2502.0,2502.0,19998000000,3636000,73,2502.0,2502.0
22,2018-09-12,2502.0,2502.0,2502.0,2502.0,19833000000,3606000,73,2502.0,2502.0
23,2018-09-15,2502.0,2729.0,2729.0,2729.0,6666000000,1111000,24,2502.0,2729.0
24,2018-09-18,2729.0,2729.0,2729.0,2729.0,38436000,6406,1,2729.0,2729.0
25,2018-09-23,2957.0,2957.0,2957.0,2957.0,650000000,100000,2,2729.0,2957.0
26,2018-09-26,3184.0,3184.0,3184.0,3184.0,630000000,90000,3,2957.0,3184.0
27,2018-09-30,2729.0,2729.0,2729.0,2729.0,50160000000,8360000,169,3184.0,2729.0
28,2018-10-02,2729.0,2729.0,2729.0,2729.0,18000000000,3000000,61,2729.0,2729.0
29,2018-10-15,3045.0,3045.0,3045.0,3045.0,669500000,100000,3,2729.0,3045.0
30,2018-10-17,3005.0,3005.0,3005.0,3005.0,297315000,45000,4,3045.0,3005.0
31,2018-10-20,3189.0,3189.0,3189.0,3189.0,445135000,63500,4,3005.0,3189.0
32,2018-11-03,3139.0,3139.0,3139.0,3139.0,345000000,50000,2,3189.0,3139.0
33,2018-11-06,3189.0,3189.0,3189.0,3189.0,1542200000,220000,7,3139.0,3189.0
34,2018-11-11,3184.0,3184.0,3184.0,3184.0,770000000,110000,4,3189.0,3184.0
35,2018-11-13,3207.0,3207.0,3207.0,3207.0,1128000000,160000,5,3184.0,3207.0
36,2018-11-20,3207.0,3207.0,3207.0,3207.0,704920000,100000,4,3207.0,3207.0
37,2018-11-27,3207.0,3207.0,3207.0,3207.0,1067923500,151500,4,3207.0,3207.0
38,2018-11-28,3205.0,3205.0,3205.0,3205.0,7045000000,1000000,20,3207.0,3205.0
39,2018-12-22,3207.0,3207.0,3207.0,3207.0,3524500000,500000,10,3205.0,3207.0
40,2018-12-25,3252.0,3252.0,3252.0,3252.0,5720000000,800000,16,3207.0,3252.0
41,2018-12-26,3252.0,3252.0,3252.0,3252.0,1430000000,200000,4,3252.0,3252.0
42,2018-12-30,3252.0,3252.0,3252.0,3252.0,5005000000,700000,14,3252.0,3252.0
43,2018-12-31,3252.0,3252.0,3252.0,3252.0,2145000000,300000,6,3252.0,3252.0
44,2019-03-06,3346.0,3346.0,3346.0,3346.0,147100000,20000,1,3252.0,3346.0
