,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2005-05-15,312.0,312.0,312.0,312.0,4168400000,490400,1223,0.0,312.0
1,2005-05-16,328.0,328.0,328.0,328.0,1156680000,129600,109,312.0,328.0
2,2005-06-07,367.0,478.0,344.0,407.0,2535164123,228752,483,328.0,407.0
3,2005-06-08,427.0,427.0,427.0,427.0,174540000,15000,40,407.0,427.0
4,2005-06-11,449.0,449.0,449.0,449.0,183878067,15051,20,427.0,449.0
5,2005-06-12,471.0,471.0,471.0,471.0,291429440,22720,33,449.0,471.0
6,2005-06-13,474.0,495.0,452.0,488.0,4812161516,362263,542,471.0,488.0
7,2005-06-14,512.0,512.0,512.0,512.0,2059537142,147669,126,488.0,512.0
8,2005-06-15,538.0,538.0,526.0,537.0,603754837,41310,98,512.0,537.0
9,2005-06-18,564.0,564.0,551.0,562.0,724767651,47373,101,537.0,562.0
10,2005-06-19,540.0,540.0,534.0,534.0,200377510,13784,23,562.0,534.0
11,2005-06-20,507.0,561.0,507.0,531.0,3364634196,232919,185,534.0,531.0
12,2005-06-21,557.0,557.0,557.0,557.0,1288360815,84945,65,531.0,557.0
13,2005-06-22,585.0,585.0,583.0,585.0,550030751,34554,49,557.0,585.0
14,2005-07-05,556.0,556.0,556.0,556.0,120984000,8000,1,585.0,556.0
15,2005-07-06,528.0,528.0,528.0,528.0,143670000,10000,8,556.0,528.0
16,2005-07-09,501.0,502.0,501.0,501.0,2925897785,214347,173,528.0,501.0
17,2005-07-11,490.0,490.0,476.0,479.0,712961850,54662,60,501.0,479.0
18,2005-07-12,496.0,503.0,459.0,490.0,655349845,49173,68,479.0,490.0
19,2005-07-13,498.0,514.0,478.0,490.0,203483866,15245,44,490.0,490.0
20,2005-07-16,483.0,495.0,470.0,486.0,205072086,15504,28,490.0,486.0
21,2005-07-17,481.0,494.0,470.0,485.0,277988000,21066,26,486.0,485.0
22,2005-07-18,476.0,494.0,475.0,484.0,753623341,57170,39,485.0,484.0
23,2005-07-19,490.0,494.0,470.0,482.0,413103826,31458,29,484.0,482.0
24,2005-07-20,492.0,506.0,485.0,490.0,138815430,10410,18,482.0,490.0
25,2005-07-23,490.0,492.0,482.0,490.0,33545440,2520,11,490.0,490.0
26,2005-07-24,496.0,496.0,466.0,492.0,141010721,10528,24,490.0,492.0
27,2005-07-25,492.0,514.0,478.0,494.0,318401937,23665,42,492.0,494.0
28,2005-07-26,494.0,501.0,482.0,494.0,43578466,3249,9,494.0,494.0
29,2005-07-27,499.0,507.0,499.0,502.0,286806353,20977,21,494.0,502.0
30,2005-07-30,507.0,507.0,501.0,504.0,110218935,8033,15,502.0,504.0
31,2005-07-31,506.0,506.0,496.0,505.0,172977624,12590,17,504.0,505.0
32,2005-08-01,486.0,503.0,486.0,503.0,116411498,8510,13,505.0,503.0
33,2005-08-02,503.0,503.0,503.0,503.0,670836,49,4,503.0,503.0
34,2005-08-03,502.0,507.0,502.0,506.0,2296161367,166620,37,503.0,506.0
35,2005-08-06,506.0,514.0,482.0,505.0,125669927,9146,19,506.0,505.0
36,2005-08-07,492.0,510.0,492.0,508.0,118812906,8598,12,505.0,508.0
37,2005-08-09,502.0,508.0,502.0,508.0,957400,70,2,508.0,508.0
38,2005-08-10,490.0,507.0,490.0,507.0,2770340,207,5,508.0,507.0
39,2005-08-13,501.0,507.0,501.0,507.0,5592750,410,4,507.0,507.0
40,2005-08-15,496.0,502.0,487.0,500.0,47347190,3540,15,507.0,500.0
41,2005-08-16,502.0,502.0,500.0,500.0,409490,30,2,500.0,500.0
42,2005-08-21,502.0,525.0,501.0,505.0,370896655,26962,23,500.0,505.0
43,2005-08-22,505.0,529.0,505.0,509.0,42308280,3010,3,505.0,509.0
44,2005-08-23,525.0,525.0,514.0,519.0,91261960,6430,6,509.0,519.0
45,2005-08-24,523.0,523.0,520.0,520.0,42978180,3020,6,519.0,520.0
46,2005-08-27,522.0,523.0,520.0,521.0,24117600,1700,15,520.0,521.0
47,2005-08-28,522.0,522.0,521.0,521.0,39139730,2760,4,521.0,521.0
48,2005-08-29,516.0,520.0,496.0,516.0,105785690,7532,13,521.0,516.0
49,2005-08-30,520.0,520.0,516.0,516.0,4387040,310,3,516.0,516.0
50,2005-09-03,492.0,514.0,492.0,514.0,14997280,1110,8,516.0,514.0
51,2005-09-04,511.0,513.0,511.0,513.0,55877050,4010,6,514.0,513.0
52,2005-09-05,510.0,513.0,510.0,513.0,278400,20,2,513.0,513.0
53,2005-09-14,487.0,510.0,487.0,510.0,10214960,770,4,513.0,510.0
54,2005-09-17,485.0,504.0,485.0,504.0,26459170,2005,4,510.0,504.0
55,2005-09-18,479.0,503.0,479.0,503.0,4853328,372,4,504.0,503.0
56,2005-09-19,478.0,503.0,478.0,503.0,786730,60,2,503.0,503.0
57,2005-09-25,477.0,502.0,477.0,502.0,2735600,210,2,503.0,502.0
58,2005-10-09,477.0,499.0,477.0,499.0,11075491,853,4,502.0,499.0
59,2005-10-16,474.0,489.0,474.0,489.0,44191397,3423,2,499.0,489.0
60,2005-10-23,464.0,487.0,464.0,487.0,6449560,510,2,489.0,487.0
61,2005-10-24,463.0,470.0,463.0,470.0,70289124,5581,2,487.0,470.0
62,2005-11-07,447.0,447.0,447.0,447.0,6078000,500,2,470.0,447.0
63,2005-11-09,424.0,424.0,424.0,424.0,5774500,500,1,447.0,424.0
64,2005-11-13,416.0,424.0,416.0,424.0,5774840,510,2,424.0,424.0
65,2005-11-14,415.0,423.0,415.0,423.0,11419050,1010,2,424.0,423.0
66,2005-11-16,414.0,422.0,414.0,422.0,5752400,510,2,423.0,422.0
67,2005-11-26,414.0,443.0,414.0,422.0,465315901,40552,54,422.0,422.0
68,2005-11-27,442.0,442.0,425.0,425.0,23872150,2010,3,422.0,425.0
69,2005-11-29,417.0,420.0,417.0,420.0,56834300,5010,3,425.0,420.0
70,2005-12-03,412.0,419.0,412.0,419.0,13500340,1205,3,420.0,419.0
71,2005-12-04,411.0,437.0,398.0,417.0,890525303,78369,38,419.0,417.0
72,2005-12-05,437.0,438.0,431.0,431.0,65037860,5460,6,417.0,431.0
73,2005-12-11,426.0,444.0,426.0,435.0,226655882,19121,17,431.0,435.0
74,2005-12-12,414.0,431.0,414.0,431.0,18285246,1623,7,435.0,431.0
75,2005-12-13,414.0,445.0,414.0,432.0,23872455,2010,7,431.0,432.0
76,2005-12-14,441.0,441.0,411.0,431.0,103323430,8810,11,432.0,431.0
77,2005-12-17,441.0,441.0,434.0,434.0,31552780,2630,4,431.0,434.0
78,2005-12-19,412.0,433.0,412.0,433.0,2924210,260,4,434.0,433.0
79,2005-12-20,415.0,430.0,412.0,430.0,14149060,1260,4,433.0,430.0
