,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2007-02-04,7.0,7.0,6.0,6.0,640374172370,172898994,2489,7.0,6.0
1,2007-02-05,6.0,6.0,6.0,6.0,40902501888,10826496,1709,6.0,6.0
2,2007-02-06,6.0,6.0,6.0,6.0,103453562449,26850133,4118,6.0,6.0
3,2007-02-07,7.0,7.0,7.0,7.0,122171316570,31086849,4247,6.0,7.0
4,2007-02-10,7.0,7.0,7.0,7.0,162907276224,40645528,4984,7.0,7.0
5,2007-02-12,7.0,7.0,7.0,7.0,881016384,215513,93,7.0,7.0
6,2007-02-13,7.0,7.0,7.0,7.0,20912264208,5110524,1123,7.0,7.0
7,2007-02-14,7.0,7.0,7.0,7.0,21297439644,5103628,1152,7.0,7.0
8,2007-02-17,7.0,7.0,7.0,7.0,149512486901,35308907,7352,7.0,7.0
9,2007-02-18,7.0,7.0,7.0,7.0,62631121478,14815582,2667,7.0,7.0
10,2007-02-19,7.0,7.0,7.0,7.0,2337584905,564225,160,7.0,7.0
11,2007-02-20,7.0,7.0,7.0,7.0,5596881362,1354521,335,7.0,7.0
12,2007-03-13,7.0,7.0,7.0,7.0,7936965855,1930522,473,7.0,7.0
13,2007-03-14,7.0,7.0,3.0,7.0,2155002873707,1160513315,606,7.0,7.0
14,2007-03-17,7.0,7.0,7.0,7.0,15089656174,3663321,506,7.0,7.0
15,2007-03-19,7.0,7.0,7.0,7.0,6002665724,1436849,262,7.0,7.0
16,2007-03-25,7.0,7.0,7.0,7.0,6845517612,1629327,415,7.0,7.0
17,2007-03-26,7.0,7.0,7.0,7.0,118039849,27899,14,7.0,7.0
18,2007-03-27,7.0,7.0,7.0,7.0,112264534,26534,21,7.0,7.0
19,2007-03-28,7.0,7.0,7.0,7.0,555148710,131210,52,7.0,7.0
20,2007-03-31,7.0,7.0,7.0,7.0,1245637786,294199,113,7.0,7.0
21,2007-04-03,7.0,7.0,7.0,7.0,498976119,117711,57,7.0,7.0
22,2007-04-04,7.0,7.0,7.0,7.0,1106268311,260851,116,7.0,7.0
23,2007-04-07,7.0,7.0,7.0,7.0,1387256596,326721,172,7.0,7.0
24,2007-04-08,7.0,7.0,7.0,7.0,1860444842,437546,212,7.0,7.0
25,2007-04-09,7.0,7.0,7.0,7.0,1365474070,320534,150,7.0,7.0
26,2007-04-10,7.0,7.0,7.0,7.0,1219469448,285858,173,7.0,7.0
27,2007-04-11,7.0,7.0,7.0,7.0,921616945,215785,159,7.0,7.0
28,2007-04-14,7.0,7.0,7.0,7.0,1107750045,259123,151,7.0,7.0
29,2007-04-15,7.0,7.0,7.0,7.0,642149000,150035,87,7.0,7.0
30,2007-04-16,7.0,7.0,7.0,7.0,439953128,102697,83,7.0,7.0
31,2007-04-17,7.0,7.0,7.0,7.0,516505040,120510,113,7.0,7.0
32,2007-04-18,7.0,7.0,7.0,7.0,1685226110,393010,289,7.0,7.0
33,2007-04-21,7.0,7.0,7.0,7.0,1479540820,344480,264,7.0,7.0
34,2007-04-22,7.0,7.0,7.0,7.0,1470455207,341887,320,7.0,7.0
35,2007-04-23,7.0,7.0,7.0,7.0,1319797537,306431,249,7.0,7.0
36,2007-04-24,7.0,7.0,7.0,7.0,892242449,206873,150,7.0,7.0
37,2007-04-25,7.0,7.0,7.0,7.0,43213170000,10010000,3181,7.0,7.0
38,2007-04-28,7.0,7.0,7.0,7.0,88143863941,20019047,4410,7.0,7.0
39,2007-04-29,7.0,7.0,7.0,7.0,91675582398,20413178,3788,7.0,7.0
40,2007-04-30,8.0,8.0,7.0,8.0,141254128146,30863520,6470,7.0,8.0
41,2007-05-01,8.0,8.0,7.0,8.0,27488246887,5956891,1602,8.0,8.0
42,2007-05-02,8.0,8.0,8.0,8.0,42143571253,8963844,1410,8.0,8.0
43,2007-05-05,8.0,8.0,8.0,8.0,98140059315,20471440,1590,8.0,8.0
44,2007-05-06,8.0,8.0,8.0,8.0,84060638460,17198866,1351,8.0,8.0
45,2007-05-07,8.0,8.0,8.0,8.0,75702130504,15189031,995,8.0,8.0
46,2007-05-08,8.0,8.0,8.0,8.0,17918057645,3525095,443,8.0,8.0
47,2007-05-09,9.0,9.0,9.0,9.0,60429566136,11711229,1579,8.0,9.0
48,2007-05-12,9.0,9.0,8.0,9.0,55343813731,10598792,1928,9.0,9.0
49,2007-05-13,9.0,9.0,9.0,9.0,41441458190,7783711,996,9.0,9.0
50,2007-05-14,9.0,9.0,9.0,9.0,126137123952,23316685,1682,9.0,9.0
51,2007-05-15,9.0,9.0,9.0,9.0,48757077414,9180877,895,9.0,9.0
52,2007-05-16,9.0,9.0,9.0,9.0,70929247814,13605148,1784,9.0,9.0
53,2007-05-19,8.0,9.0,8.0,8.0,24696276783,4833707,462,9.0,8.0
54,2007-05-20,8.0,8.0,8.0,8.0,40635572486,8104843,966,8.0,8.0
55,2007-05-21,8.0,8.0,8.0,8.0,19922887606,3927632,671,8.0,8.0
56,2007-05-22,9.0,9.0,8.0,8.0,13235755253,2563487,315,8.0,8.0
57,2007-05-23,8.0,8.0,8.0,8.0,29753090299,5925264,698,8.0,8.0
58,2007-05-26,8.0,8.0,8.0,8.0,20110412964,4086050,367,8.0,8.0
59,2007-05-27,8.0,8.0,8.0,8.0,17267182013,3502315,834,8.0,8.0
60,2007-05-28,8.0,8.0,8.0,8.0,6295387858,1263561,373,8.0,8.0
61,2007-05-29,8.0,8.0,8.0,8.0,11592663019,2302219,538,8.0,8.0
62,2007-05-30,8.0,8.0,4.0,8.0,803546423644,260336069,977,8.0,8.0
63,2007-06-02,9.0,9.0,9.0,9.0,12023130804,2320172,496,8.0,9.0
64,2007-06-24,8.0,8.0,8.0,8.0,63144425114,12985678,2996,9.0,8.0
65,2007-06-25,8.0,8.0,8.0,8.0,25341672066,5160953,1055,8.0,8.0
66,2007-06-26,8.0,8.0,8.0,8.0,35029182036,7269805,1178,8.0,8.0
67,2007-06-27,8.0,8.0,8.0,8.0,29925812213,6336469,1018,8.0,8.0
68,2007-06-30,8.0,8.0,8.0,8.0,7374764560,1531305,415,8.0,8.0
69,2007-07-01,8.0,8.0,8.0,8.0,6910937244,1416466,454,8.0,8.0
70,2007-07-02,8.0,8.0,8.0,8.0,6458938146,1308007,540,8.0,8.0
71,2007-07-03,8.0,8.0,8.0,8.0,7441017620,1490290,750,8.0,8.0
72,2007-07-04,8.0,8.0,8.0,8.0,7004399730,1385090,835,8.0,8.0
73,2007-07-07,8.0,8.0,8.0,8.0,6757745152,1320646,740,8.0,8.0
74,2007-07-08,9.0,9.0,9.0,9.0,9532106565,1841953,914,8.0,9.0
75,2007-07-09,9.0,9.0,9.0,9.0,11849141288,2253974,671,9.0,9.0
76,2007-07-10,9.0,9.0,9.0,9.0,10786128827,2012713,631,9.0,9.0
77,2007-07-11,9.0,9.0,9.0,9.0,16716401817,3066667,850,9.0,9.0
78,2007-07-14,9.0,9.0,9.0,9.0,33118473600,5956560,1071,9.0,9.0
79,2007-07-15,9.0,9.0,9.0,9.0,104052758169,18748194,2447,9.0,9.0
80,2007-07-16,9.0,9.0,9.0,9.0,93232757927,16515576,2115,9.0,9.0
81,2007-07-17,9.0,10.0,9.0,9.0,38788637651,6804080,1122,9.0,9.0
82,2007-07-18,9.0,10.0,9.0,9.0,15772986129,2769881,679,9.0,9.0
83,2007-07-21,10.0,10.0,10.0,10.0,72490738038,12489496,1679,9.0,10.0
84,2007-07-22,10.0,10.0,10.0,10.0,81084935564,13698633,1392,10.0,10.0
85,2007-07-23,10.0,10.0,10.0,10.0,34522173984,5718432,587,10.0,10.0
86,2007-07-24,10.0,10.0,10.0,10.0,99692413075,16211810,2170,10.0,10.0
87,2007-07-25,10.0,10.0,10.0,10.0,27435186640,4405659,945,10.0,10.0
88,2007-07-29,10.0,11.0,10.0,11.0,32072912370,5060601,814,10.0,11.0
89,2007-07-30,11.0,11.0,11.0,11.0,12520911876,1937322,261,11.0,11.0
90,2007-07-31,11.0,11.0,11.0,11.0,601390290,91536,69,11.0,11.0
91,2007-08-01,11.0,11.0,11.0,11.0,477968385,72695,64,11.0,11.0
92,2007-08-04,11.0,11.0,11.0,11.0,32902474080,5000376,764,11.0,11.0
93,2007-08-05,11.0,11.0,11.0,11.0,1714719729,255509,87,11.0,11.0
94,2007-08-06,11.0,11.0,11.0,11.0,1775035690,263946,94,11.0,11.0
95,2007-08-07,11.0,11.0,11.0,11.0,1085306511,161001,93,11.0,11.0
96,2007-08-08,11.0,11.0,11.0,11.0,624812480,92565,51,11.0,11.0
97,2007-08-12,11.0,11.0,11.0,11.0,4665049355,690607,261,11.0,11.0
98,2007-08-13,11.0,11.0,11.0,11.0,1381694090,203340,90,11.0,11.0
99,2007-08-14,11.0,11.0,11.0,11.0,9817170619,1442217,352,11.0,11.0
100,2007-08-15,11.0,11.0,11.0,11.0,5094220880,739150,237,11.0,11.0
101,2007-08-18,11.0,11.0,11.0,11.0,221663239195,33237694,3144,11.0,11.0
102,2007-08-19,11.0,11.0,11.0,11.0,18098531668,2663545,454,11.0,11.0
103,2007-08-20,11.0,11.0,11.0,11.0,16077433680,2319976,367,11.0,11.0
104,2007-08-21,12.0,12.0,12.0,12.0,120303096152,17026529,2345,11.0,12.0
105,2007-08-22,12.0,12.0,12.0,12.0,38915461124,5475948,1112,12.0,12.0
106,2007-08-25,12.0,12.0,12.0,12.0,71020914231,9822389,920,12.0,12.0
107,2007-08-26,12.0,12.0,12.0,12.0,45099981807,6285017,899,12.0,12.0
108,2007-08-27,12.0,12.0,12.0,12.0,34670129694,4878543,1033,12.0,12.0
109,2007-08-28,12.0,12.0,12.0,12.0,31231787397,4311947,575,12.0,12.0
110,2007-09-01,12.0,12.0,12.0,12.0,1554703645,210465,57,12.0,12.0
111,2007-09-02,12.0,12.0,12.0,12.0,3041084512,410902,98,12.0,12.0
112,2007-09-03,12.0,12.0,12.0,12.0,5731102996,771658,151,12.0,12.0
113,2007-09-04,12.0,12.0,12.0,12.0,1444518856,193221,43,12.0,12.0
114,2007-09-05,12.0,12.0,12.0,12.0,34453890432,4601214,784,12.0,12.0
115,2007-09-08,13.0,13.0,13.0,13.0,31564316686,4133078,419,12.0,13.0
116,2007-09-10,14.0,15.0,14.0,14.0,164881030698,18996600,2628,13.0,14.0
117,2007-09-11,15.0,15.0,14.0,15.0,106447453895,12136549,1618,14.0,15.0
118,2007-09-12,15.0,15.0,14.0,14.0,361523072351,42004798,2711,15.0,14.0
119,2007-09-15,14.0,14.0,14.0,14.0,46328988655,5492458,528,14.0,14.0
120,2007-09-16,14.0,14.0,14.0,14.0,417377669,50487,20,14.0,14.0
121,2007-09-17,14.0,14.0,14.0,14.0,82648196,10002,16,14.0,14.0
122,2007-09-18,14.0,14.0,14.0,14.0,692803368,83854,21,14.0,14.0
123,2007-09-19,14.0,14.0,14.0,14.0,32040173760,3880835,385,14.0,14.0
124,2007-09-22,14.0,14.0,14.0,14.0,157381621642,18698104,2398,14.0,14.0
125,2007-09-23,14.0,14.0,14.0,14.0,33994959928,3992597,890,14.0,14.0
126,2007-09-24,14.0,14.0,14.0,14.0,26329853129,3106901,706,14.0,14.0
127,2007-09-25,14.0,14.0,14.0,14.0,52535641058,6090087,891,14.0,14.0
128,2007-09-26,14.0,14.0,14.0,14.0,9173907117,1080247,257,14.0,14.0
129,2007-09-29,14.0,14.0,14.0,14.0,27121020258,3153123,761,14.0,14.0
130,2007-09-30,14.0,14.0,14.0,14.0,12041811436,1425925,249,14.0,14.0
131,2007-10-01,14.0,14.0,14.0,14.0,61162353329,7164199,520,14.0,14.0
132,2007-10-02,14.0,14.0,14.0,14.0,44795707104,5159046,1054,14.0,14.0
133,2007-10-06,15.0,15.0,15.0,15.0,25308111210,2858322,365,14.0,15.0
134,2007-10-07,15.0,15.0,15.0,15.0,38569011884,4270906,630,15.0,15.0
135,2007-10-08,15.0,15.0,15.0,15.0,72393991991,7900502,1253,15.0,15.0
136,2007-10-09,15.0,15.0,15.0,15.0,23123322189,2548628,803,15.0,15.0
137,2007-10-10,15.0,15.0,15.0,15.0,53469820559,5788900,1019,15.0,15.0
138,2007-10-14,15.0,16.0,15.0,15.0,20800285734,2253789,824,15.0,15.0
139,2007-10-15,15.0,15.0,15.0,15.0,5261116917,581503,170,15.0,15.0
140,2007-10-16,15.0,15.0,15.0,15.0,40418940037,4452505,915,15.0,15.0
141,2007-10-17,15.0,15.0,15.0,15.0,22710321611,2516996,696,15.0,15.0
142,2007-10-20,15.0,15.0,15.0,15.0,21187683436,2388259,682,15.0,15.0
143,2007-10-21,14.0,15.0,14.0,14.0,42456622289,4862053,919,15.0,14.0
144,2007-10-22,15.0,15.0,14.0,15.0,15331769362,1747243,558,14.0,15.0
145,2007-10-23,15.0,15.0,14.0,14.0,16852384654,1956979,418,15.0,14.0
146,2007-10-24,15.0,15.0,14.0,14.0,22021211430,2546917,652,14.0,14.0
147,2007-10-27,14.0,14.0,14.0,14.0,22586172709,2656670,633,14.0,14.0
148,2007-10-28,14.0,15.0,14.0,14.0,10169476355668,1159104552,291,14.0,14.0
149,2007-10-29,14.0,14.0,14.0,14.0,50789716124,6143965,780,14.0,14.0
150,2007-10-30,14.0,14.0,13.0,14.0,22491955322,2691694,663,14.0,14.0
151,2007-10-31,14.0,14.0,14.0,14.0,18966117882,2287460,608,14.0,14.0
152,2007-11-03,13.0,14.0,13.0,14.0,8329151428,1026263,37,14.0,14.0
153,2007-11-04,13.0,13.0,13.0,13.0,16119709668,2003942,68,14.0,13.0
154,2007-11-05,13.0,13.0,13.0,13.0,630456920,79754,13,13.0,13.0
155,2007-11-07,13.0,13.0,13.0,13.0,512504478,64882,15,13.0,13.0
156,2007-11-10,13.0,13.0,13.0,13.0,436745014,55326,8,13.0,13.0
157,2007-11-11,13.0,13.0,13.0,13.0,376985780,47780,4,13.0,13.0
158,2007-11-12,13.0,13.0,13.0,13.0,398148370,50475,7,13.0,13.0
159,2007-11-13,13.0,13.0,13.0,13.0,451961875,57319,18,13.0,13.0
160,2007-11-26,13.0,13.0,13.0,13.0,4446484,564,3,13.0,13.0
161,2007-11-27,13.0,13.0,13.0,13.0,8040220,1020,2,13.0,13.0
162,2007-11-28,13.0,13.0,13.0,13.0,4225816,536,4,13.0,13.0
163,2007-12-01,13.0,13.0,13.0,13.0,553270,70,2,13.0,13.0
164,2007-12-02,13.0,13.0,13.0,13.0,1434342,182,3,13.0,13.0
165,2007-12-03,13.0,13.0,13.0,13.0,610196000,79000,7,13.0,13.0
166,2007-12-05,13.0,13.0,13.0,13.0,8875461640,1172452,65,13.0,13.0
167,2007-12-08,12.0,13.0,12.0,13.0,51185191,6899,4,13.0,13.0
168,2007-12-09,12.0,13.0,12.0,13.0,676762630,91220,14,13.0,13.0
169,2007-12-10,12.0,12.0,12.0,12.0,9856251310,1329590,87,13.0,12.0
170,2007-12-11,12.0,12.0,12.0,12.0,16592082,2264,4,12.0,12.0
171,2007-12-15,12.0,12.0,12.0,12.0,2273170,310,3,12.0,12.0
172,2007-12-16,12.0,12.0,12.0,12.0,86464552,11799,3,12.0,12.0
173,2007-12-18,12.0,12.0,12.0,12.0,4089956,558,3,12.0,12.0
174,2007-12-22,12.0,12.0,12.0,12.0,6156170,840,2,12.0,12.0
175,2007-12-23,12.0,12.0,12.0,12.0,1831824600,250010,15,12.0,12.0
176,2007-12-25,12.0,12.0,12.0,12.0,11112720,1520,1,12.0,12.0
177,2007-12-26,12.0,12.0,12.0,12.0,9701410,1354,3,12.0,12.0
178,2007-12-30,12.0,12.0,12.0,12.0,120107524244,17103153,1365,12.0,12.0
179,2007-12-31,11.0,12.0,11.0,11.0,56635280504,8218313,1103,12.0,11.0
180,2008-01-01,11.0,12.0,11.0,11.0,9212631811,1337029,374,11.0,11.0
181,2008-01-02,11.0,12.0,11.0,12.0,12691321724,1811074,259,11.0,12.0
182,2008-01-05,12.0,12.0,12.0,12.0,13965572524,1969849,407,12.0,12.0
183,2008-01-06,11.0,12.0,11.0,11.0,19648344205,2833862,373,12.0,11.0
184,2008-01-08,11.0,12.0,11.0,12.0,6730307500,965715,212,11.0,12.0
185,2008-01-09,12.0,12.0,12.0,12.0,2123460420,299670,39,12.0,12.0
186,2008-01-12,12.0,12.0,12.0,12.0,180671675,25429,6,12.0,12.0
187,2008-01-28,13.0,14.0,12.0,13.0,114203788293,15129662,1954,12.0,13.0
188,2008-01-29,13.0,13.0,12.0,12.0,25878614239,3496832,555,13.0,12.0
189,2008-01-30,12.0,12.0,5.0,12.0,13898477713,2086161,455,12.0,12.0
190,2008-02-02,13.0,13.0,12.0,12.0,14246702804,1911029,343,12.0,12.0
191,2008-02-03,12.0,12.0,12.0,12.0,18481072755,2533389,184,12.0,12.0
192,2008-02-04,12.0,12.0,12.0,12.0,15387134493,2133854,386,12.0,12.0
193,2008-02-05,12.0,12.0,12.0,12.0,4274894549,592237,146,12.0,12.0
194,2008-02-06,12.0,12.0,12.0,12.0,6600467358,925049,242,12.0,12.0
195,2008-02-09,12.0,12.0,12.0,12.0,10216347775,1399052,326,12.0,12.0
196,2008-02-10,12.0,12.0,12.0,12.0,2393727929,332007,142,12.0,12.0
197,2008-02-12,12.0,12.0,12.0,12.0,2869397567,397370,131,12.0,12.0
198,2008-02-13,12.0,12.0,12.0,12.0,3237916805,443096,166,12.0,12.0
199,2008-02-16,12.0,12.0,12.0,12.0,2510193401,347821,111,12.0,12.0
200,2008-02-17,12.0,12.0,12.0,12.0,3484532626,490122,136,12.0,12.0
201,2008-02-18,12.0,12.0,12.0,12.0,11167472702,1578181,207,12.0,12.0
202,2008-02-19,12.0,12.0,12.0,12.0,11798309836,1624300,295,12.0,12.0
203,2008-02-26,12.0,12.0,12.0,12.0,13545278820,1894360,485,12.0,12.0
204,2008-02-27,12.0,12.0,12.0,12.0,15840360234,2257018,526,12.0,12.0
205,2008-03-01,12.0,12.0,12.0,12.0,7744655431,1106120,274,12.0,12.0
