,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2024-01-30,3641.0,3641.0,3119.0,3232.0,2582970297880,299999408,1061095,375.0,3119.0
1,2024-01-31,3393.0,3393.0,3393.0,3393.0,114899900640,12710166,1691,3232.0,3393.0
2,2024-02-03,3562.0,3562.0,3562.0,3562.0,145607300150,15343235,2885,3393.0,3562.0
3,2024-02-04,3738.0,3738.0,3738.0,3738.0,204816035640,20563859,4127,3562.0,3738.0
4,2024-02-05,3922.0,3922.0,3922.0,3922.0,283865503350,27164163,7324,3738.0,3922.0
5,2024-02-06,4117.0,4117.0,4117.0,4117.0,380738269220,34707226,26806,3922.0,4117.0
6,2024-02-07,4320.0,4320.0,4320.0,4320.0,549226376220,47717322,56953,4117.0,4320.0
7,2024-02-10,4534.0,4534.0,4534.0,4534.0,1166672435520,96578844,57026,4320.0,4534.0
8,2024-02-12,4500.0,4759.0,4324.0,4534.0,3638465698030,301222232,439358,4534.0,4710.0
9,2024-02-13,4725.0,4759.0,4692.0,4752.0,311019545990,24566058,33056,4534.0,4759.0
10,2024-02-14,4789.0,5026.0,4654.0,4977.0,1950642798170,147158076,56220,4752.0,5026.0
11,2024-02-17,5210.0,5210.0,4909.0,5067.0,1453824090970,107684602,69800,4977.0,5048.0
12,2024-02-18,5123.0,5138.0,4816.0,4864.0,503313757590,38824312,11009,5067.0,4816.0
13,2024-02-19,4624.0,4804.0,4624.0,4647.0,866048048120,69966902,38457,4864.0,4624.0
14,2024-02-20,4504.0,4613.0,4418.0,4444.0,328573678710,27741656,4831,4647.0,4418.0
15,2024-02-21,4223.0,4388.0,4223.0,4253.0,1147338578040,101271462,38903,4444.0,4249.0
16,2024-02-24,4223.0,4350.0,4042.0,4106.0,488120814350,44601680,11382,4253.0,4042.0
17,2024-02-26,4042.0,4084.0,3903.0,3915.0,567407733460,54414146,14539,4106.0,3903.0
18,2024-02-27,3847.0,4016.0,3810.0,3934.0,402494150670,38404862,16295,3915.0,3971.0
19,2024-02-28,4024.0,4080.0,3892.0,3967.0,365765964280,34619238,11287,3934.0,3949.0
20,2024-03-02,3971.0,4125.0,3941.0,4035.0,309986685240,28848080,8575,3967.0,4016.0
21,2024-03-03,4129.0,4204.0,3907.0,4020.0,454139090380,42400308,12103,4035.0,3941.0
22,2024-03-04,3926.0,3952.0,3825.0,3877.0,313539463380,30366403,8216,4020.0,3888.0
23,2024-03-05,3832.0,4054.0,3832.0,3926.0,247039700290,23612374,5776,3877.0,3877.0
24,2024-03-06,3975.0,3986.0,3843.0,3896.0,232643629540,22411985,5212,3926.0,3858.0
25,2024-03-10,4054.0,4054.0,3851.0,3934.0,88041066660,8403107,1921,3896.0,3866.0
26,2024-03-11,3971.0,3982.0,3836.0,3900.0,171896402830,16545946,6201,3934.0,3840.0
27,2024-03-12,3919.0,3919.0,3708.0,3750.0,340709061280,34106355,6623,3900.0,3708.0
28,2024-03-13,3708.0,3787.0,3614.0,3701.0,170002786790,17245685,5536,3750.0,3742.0
29,2024-03-16,3641.0,3772.0,3641.0,3697.0,143830747810,14608593,3990,3701.0,3686.0
30,2024-03-17,3705.0,3783.0,3678.0,3723.0,97626645990,9845688,2801,3697.0,3697.0
31,2024-03-18,3723.0,3828.0,3690.0,3791.0,94087791850,9314014,3191,3723.0,3825.0
32,2024-03-24,3825.0,3941.0,3810.0,3877.0,88028407850,8517563,3354,3791.0,3907.0
33,2024-03-25,3952.0,4046.0,3866.0,3922.0,112037120550,10725974,3698,3877.0,3866.0
34,2024-03-26,3866.0,3919.0,3832.0,3873.0,113130172570,10966712,3460,3922.0,3892.0
35,2024-03-27,3922.0,4065.0,3873.0,3997.0,167027907300,15676392,3899,3873.0,4065.0
36,2024-03-30,4196.0,4196.0,4091.0,4196.0,316103020250,28277794,2696,3997.0,4196.0
37,2024-04-02,4121.0,4403.0,4027.0,4316.0,733349563160,63747886,8720,4196.0,4354.0
38,2024-04-03,4391.0,4391.0,4102.0,4200.0,289259464080,25846868,7104,4316.0,4102.0
39,2024-04-06,4129.0,4129.0,3994.0,4020.0,136271822880,12724562,2454,4200.0,3994.0
40,2024-04-07,3870.0,3994.0,3821.0,3885.0,205381007910,19834645,4597,4020.0,3922.0
41,2024-04-08,3922.0,4016.0,3870.0,3930.0,77849112310,7435780,2686,3885.0,3881.0
42,2024-04-09,3881.0,3888.0,3765.0,3821.0,110288148660,10837984,3100,3930.0,3795.0
43,2024-04-13,3667.0,3735.0,3633.0,3637.0,177944497450,18368399,2061,3821.0,3633.0
44,2024-04-14,3603.0,3603.0,3603.0,3603.0,16662048000,1735630,77,3637.0,3603.0
45,2024-04-15,3577.0,3637.0,3577.0,3607.0,64274550930,6688998,1135,3603.0,3637.0
46,2024-04-16,3622.0,3641.0,3573.0,3596.0,80655953720,8415858,1706,3607.0,3641.0
47,2024-04-17,3630.0,3630.0,3618.0,3630.0,50950659080,5269150,885,3596.0,3630.0
48,2024-04-20,3798.0,3810.0,3783.0,3810.0,65986511890,6503521,1294,3630.0,3810.0
49,2024-04-21,3900.0,3960.0,3735.0,3828.0,81976633800,8039906,2161,3810.0,3791.0
50,2024-04-22,3738.0,3907.0,3738.0,3836.0,62128708950,6081959,1991,3828.0,3825.0
51,2024-04-23,3787.0,3858.0,3742.0,3791.0,55694084740,5516898,2033,3836.0,3768.0
52,2024-04-24,3772.0,3873.0,3772.0,3832.0,59198401520,5799235,1829,3791.0,3810.0
53,2024-04-27,3802.0,3903.0,3731.0,3791.0,109086717800,10798201,2393,3832.0,3735.0
54,2024-04-28,3817.0,3817.0,3603.0,3667.0,152178303830,15579860,2294,3791.0,3678.0
55,2024-04-29,3727.0,3843.0,3727.0,3802.0,70165821060,6927847,1932,3667.0,3776.0
56,2024-04-30,3806.0,3866.0,3761.0,3832.0,90596655330,8876929,1807,3802.0,3821.0
57,2024-05-01,3802.0,4024.0,3772.0,3982.0,230904105020,21764254,3215,3832.0,4024.0
58,2024-05-05,4091.0,4140.0,3892.0,4035.0,156335748100,14548159,3046,3982.0,4039.0
59,2024-05-06,4016.0,4155.0,3903.0,4087.0,125147470120,11494904,2505,4035.0,4125.0
60,2024-05-07,4129.0,4290.0,4121.0,4249.0,361090588120,31899997,4000,4087.0,4193.0
61,2024-05-08,4204.0,4204.0,4039.0,4072.0,204906320170,18887951,2800,4249.0,4042.0
62,2024-05-11,4016.0,4091.0,3892.0,3960.0,78236244410,7417181,2072,4072.0,3911.0
63,2024-05-12,3877.0,3994.0,3765.0,3862.0,71731827080,6971028,2172,3960.0,3765.0
64,2024-05-13,3768.0,4054.0,3716.0,3922.0,161534473860,15462165,2964,3862.0,4054.0
65,2024-05-14,4102.0,4117.0,3982.0,4080.0,141419232980,13010869,3277,3922.0,4024.0
66,2024-05-15,4024.0,4196.0,3881.0,4061.0,161352471450,14918791,6138,4080.0,4095.0
67,2024-05-18,4110.0,4219.0,3997.0,4114.0,86012405650,7846980,1821,4061.0,4001.0
68,2024-05-19,3979.0,4031.0,3911.0,3919.0,117615432160,11271043,1429,4114.0,3960.0
69,2024-05-21,3903.0,3994.0,3851.0,3971.0,54625030040,5161152,1034,3919.0,3967.0
70,2024-05-25,3952.0,4046.0,3892.0,3952.0,65967415640,6266273,1470,3971.0,3892.0
71,2024-05-26,3888.0,3888.0,3873.0,3873.0,90624955460,8781119,519,3952.0,3873.0
72,2024-05-27,3798.0,3798.0,3798.0,3798.0,24150540040,2386417,154,3873.0,3798.0
73,2024-05-28,3791.0,3873.0,3757.0,3847.0,73031373460,7128465,1241,3798.0,3873.0
74,2024-05-29,3873.0,3922.0,3873.0,3922.0,18606501870,1781058,490,3847.0,3922.0
75,2024-06-01,3862.0,3975.0,3851.0,3881.0,34373427310,3324988,1054,3922.0,3855.0
76,2024-06-02,3813.0,3877.0,3806.0,3813.0,45785360770,4504744,828,3881.0,3828.0
77,2024-06-05,3810.0,3828.0,3738.0,3746.0,41083643920,4115587,597,3813.0,3738.0
78,2024-06-08,3735.0,3738.0,3675.0,3675.0,24744558160,2526574,292,3746.0,3675.0
79,2024-06-09,3603.0,3742.0,3603.0,3633.0,43921521080,4536317,807,3675.0,3652.0
80,2024-06-10,3705.0,3705.0,3663.0,3705.0,24993230610,2532287,540,3633.0,3705.0
81,2024-06-11,3772.0,3776.0,3712.0,3765.0,34598746350,3448618,932,3705.0,3746.0
82,2024-06-12,3701.0,3840.0,3701.0,3810.0,32367520160,3188359,943,3765.0,3795.0
83,2024-06-15,3750.0,3817.0,3735.0,3742.0,21327789220,2138706,835,3810.0,3735.0
84,2024-06-16,3671.0,3753.0,3671.0,3682.0,32647438950,3328510,848,3742.0,3671.0
85,2024-06-18,3716.0,3753.0,3686.0,3735.0,30264764270,3042255,1125,3682.0,3753.0
86,2024-06-19,3682.0,3806.0,3682.0,3802.0,18639309770,1840159,610,3735.0,3806.0
87,2024-06-22,3840.0,3873.0,3776.0,3832.0,22942279840,2247733,1240,3802.0,3780.0
88,2024-06-23,3896.0,3907.0,3806.0,3881.0,39273637580,3799265,1115,3832.0,3892.0
89,2024-06-24,3813.0,3956.0,3813.0,3919.0,21206874840,2030991,770,3881.0,3930.0
90,2024-06-26,3870.0,3990.0,3870.0,3956.0,28129920400,2667922,931,3919.0,3975.0
91,2024-06-29,3847.0,3956.0,3742.0,3855.0,64296044900,6262117,1496,3956.0,3836.0
92,2024-06-30,3866.0,3994.0,3738.0,3873.0,77977066640,7555381,3056,3855.0,3791.0
93,2024-07-01,3708.0,3975.0,3708.0,3900.0,43389774020,4175428,1097,3873.0,3855.0
94,2024-07-07,4130.0,4130.0,4019.0,4119.0,22356741850,2086642,593,3900.0,4130.0
95,2024-07-08,4192.0,4365.0,4038.0,4334.0,202825208180,17994322,4548,4119.0,4269.0
96,2024-07-09,4254.0,4327.0,4173.0,4250.0,57167630240,5172361,1602,4334.0,4242.0
97,2024-07-10,4119.0,4323.0,4050.0,4154.0,58207083570,5389670,1197,4250.0,4107.0
98,2024-07-13,4242.0,4377.0,4046.0,4277.0,73001270520,6567115,1562,4154.0,4327.0
99,2024-07-14,4365.0,4388.0,4230.0,4296.0,50705310400,4537675,1536,4277.0,4288.0
100,2024-07-17,4357.0,4357.0,4134.0,4188.0,27524635660,2528209,954,4296.0,4173.0
101,2024-07-20,4077.0,4200.0,3973.0,4084.0,39704609530,3738720,1142,4188.0,4011.0
102,2024-07-21,4000.0,4154.0,3861.0,3981.0,35701598210,3450269,1087,4084.0,3988.0
103,2024-07-22,3931.0,4096.0,3923.0,3984.0,34479233430,3326771,844,3981.0,4019.0
104,2024-07-23,4038.0,4115.0,3846.0,3938.0,33982718190,3319813,1243,3984.0,3888.0
105,2024-07-24,3857.0,3961.0,3846.0,3884.0,30898962160,3060747,969,3938.0,3919.0
106,2024-07-27,3888.0,4038.0,3888.0,3981.0,31348287440,3029473,1128,3884.0,3981.0
107,2024-07-29,3981.0,4038.0,3892.0,3938.0,18420607090,1798652,943,3981.0,3919.0
108,2024-07-30,3938.0,3961.0,3854.0,3884.0,16422181560,1626595,737,3938.0,3900.0
109,2024-07-31,3673.0,3884.0,3673.0,3742.0,83703637610,8605179,2174,3884.0,3850.0
110,2024-08-03,3711.0,3723.0,3519.0,3542.0,80253046110,8712800,1691,3742.0,3569.0
111,2024-08-04,3507.0,3577.0,3507.0,3550.0,36891947220,3997115,765,3542.0,3577.0
112,2024-08-05,3550.0,3584.0,3515.0,3550.0,23713571940,2568656,630,3550.0,3515.0
