,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2015-01-27,324.0,324.0,324.0,324.0,1398020000,139802,21,324.0,324.0
1,2015-01-28,324.0,324.0,324.0,324.0,563300000,56330,11,324.0,324.0
2,2015-01-31,324.0,324.0,324.0,324.0,1042400000,104240,6,324.0,324.0
3,2015-02-01,324.0,324.0,324.0,324.0,252000000,25200,4,324.0,324.0
4,2015-02-02,324.0,324.0,324.0,324.0,10022900000,1002290,16,324.0,324.0
5,2015-02-03,324.0,324.0,324.0,324.0,5013500000,501350,7,324.0,324.0
6,2015-02-04,324.0,324.0,324.0,324.0,10120000000,1012000,12,324.0,324.0
7,2015-02-07,324.0,324.0,324.0,324.0,52500000,5250,3,324.0,324.0
8,2015-02-08,324.0,324.0,324.0,324.0,5000000000,500000,5,324.0,324.0
9,2015-02-09,324.0,324.0,324.0,324.0,2854000000,285400,16,324.0,324.0
10,2015-02-10,324.0,324.0,324.0,324.0,44078700000,4407870,60,324.0,324.0
11,2015-03-02,326.0,332.0,324.0,326.0,2012116160,200309,4,324.0,324.0
12,2015-03-04,321.0,321.0,321.0,321.0,9113705,920,4,326.0,321.0
13,2015-03-07,321.0,321.0,318.0,318.0,5939500,605,3,321.0,318.0
14,2015-03-14,319.0,319.0,319.0,319.0,985002600,100000,2,318.0,319.0
15,2015-03-15,324.0,324.0,324.0,324.0,2000000,200,1,319.0,324.0
16,2015-03-17,318.0,318.0,318.0,318.0,5883600,600,4,324.0,318.0
17,2015-03-18,324.0,324.0,321.0,324.0,10985000,1100,7,318.0,324.0
18,2015-03-25,324.0,324.0,324.0,324.0,21997000,2200,2,324.0,324.0
19,2015-03-28,324.0,324.0,324.0,324.0,19903980,1990,1,324.0,324.0
20,2015-03-29,324.0,343.0,324.0,340.0,1096780800,104480,11,324.0,343.0
21,2015-03-30,337.0,337.0,337.0,337.0,7804500,750,2,340.0,337.0
22,2015-03-31,338.0,338.0,338.0,338.0,246762700,23700,2,337.0,338.0
23,2015-04-04,363.0,389.0,363.0,379.0,3173330841,271243,45,338.0,389.0
24,2015-04-05,386.0,418.0,386.0,392.0,3867404100,319908,72,379.0,392.0
25,2015-04-06,375.0,385.0,373.0,374.0,1248164400,108078,13,392.0,373.0
26,2015-04-07,370.0,370.0,363.0,363.0,101778655,9081,11,374.0,365.0
27,2015-04-08,367.0,399.0,367.0,382.0,1344627870,114183,35,363.0,382.0
28,2015-04-11,399.0,399.0,367.0,376.0,1174805722,101187,7,382.0,376.0
29,2015-04-12,376.0,376.0,352.0,357.0,115530941,10481,15,376.0,363.0
30,2015-04-13,354.0,364.0,353.0,361.0,174269683,15646,9,357.0,364.0
31,2015-04-14,354.0,370.0,354.0,365.0,121564080,10790,6,361.0,365.0
32,2015-04-15,368.0,368.0,357.0,362.0,143279760,12847,4,365.0,357.0
33,2015-04-18,349.0,367.0,349.0,360.0,134687120,12133,11,362.0,360.0
34,2015-04-19,346.0,360.0,346.0,359.0,121638000,11000,6,360.0,360.0
35,2015-04-20,351.0,356.0,347.0,348.0,968778400,90231,6,359.0,356.0
36,2015-04-21,361.0,361.0,356.0,357.0,112233206,10204,5,348.0,357.0
37,2015-04-22,364.0,364.0,359.0,359.0,8786762,793,6,357.0,359.0
38,2015-04-25,344.0,356.0,340.0,350.0,213978491,19850,9,359.0,356.0
39,2015-04-26,342.0,353.0,342.0,345.0,10770650280,1011132,14,350.0,353.0
40,2015-04-27,340.0,347.0,337.0,346.0,121820000,11400,4,345.0,347.0
41,2015-04-28,337.0,337.0,337.0,337.0,172017330,16540,7,346.0,337.0
42,2015-04-29,340.0,348.0,340.0,347.0,127479800,11914,4,337.0,348.0
43,2015-05-03,340.0,342.0,340.0,342.0,168560000,16000,3,347.0,342.0
44,2015-05-04,337.0,337.0,337.0,337.0,1040000102,100000,3,342.0,337.0
45,2015-05-05,337.0,342.0,337.0,339.0,50694500,4850,3,337.0,342.0
46,2015-05-06,338.0,338.0,338.0,338.0,408047995,39141,46,339.0,338.0
47,2015-05-09,337.0,337.0,333.0,336.0,67564450,6525,6,338.0,333.0
48,2015-05-10,327.0,331.0,324.0,331.0,4366255860,428353,9,336.0,331.0
49,2015-05-11,327.0,331.0,327.0,330.0,1114811800,109378,5,331.0,331.0
50,2015-05-12,331.0,331.0,329.0,331.0,6161852286,604104,20,330.0,331.0
51,2015-05-13,331.0,332.0,331.0,331.0,1033585400,101327,7,331.0,331.0
52,2015-05-17,331.0,334.0,331.0,331.0,93119000,9120,4,331.0,334.0
53,2015-05-18,327.0,331.0,327.0,331.0,31305000,3071,4,331.0,331.0
54,2015-05-19,336.0,336.0,336.0,336.0,20700000,2000,2,331.0,336.0
55,2015-05-23,336.0,336.0,336.0,336.0,20700000,2000,1,336.0,336.0
56,2015-05-24,324.0,327.0,324.0,326.0,10063998,1000,3,336.0,327.0
57,2015-05-25,325.0,325.0,324.0,324.0,67251721,6721,5,326.0,324.0
58,2015-05-26,334.0,339.0,334.0,334.0,83595940,8114,5,324.0,339.0
59,2015-05-31,324.0,334.0,324.0,329.0,3896640,384,3,334.0,334.0
60,2015-06-01,335.0,335.0,335.0,335.0,103430000,10000,1,329.0,335.0
61,2015-06-02,336.0,336.0,336.0,336.0,103550000,10000,1,335.0,336.0
62,2015-06-06,335.0,335.0,335.0,335.0,103230000,10000,1,336.0,335.0
63,2015-06-07,332.0,332.0,332.0,332.0,102490000,10000,1,335.0,332.0
64,2015-06-08,331.0,331.0,331.0,331.0,101940000,10000,1,332.0,331.0
65,2015-06-09,315.0,327.0,315.0,326.0,100453851,10000,2,331.0,327.0
66,2015-06-10,330.0,331.0,330.0,331.0,102111670,10000,2,326.0,331.0
67,2015-06-13,324.0,333.0,324.0,328.0,101311492,10000,6,331.0,333.0
68,2015-06-14,331.0,332.0,331.0,332.0,102245100,10000,3,328.0,332.0
69,2015-06-15,327.0,330.0,327.0,328.0,101240000,10000,4,332.0,330.0
70,2015-06-16,331.0,331.0,331.0,331.0,6118800,600,1,328.0,331.0
71,2015-06-17,337.0,341.0,337.0,341.0,105089000,10000,2,331.0,341.0
72,2015-06-20,337.0,340.0,337.0,339.0,209216000,20000,3,341.0,340.0
73,2015-06-21,339.0,339.0,339.0,339.0,104433600,10000,3,339.0,339.0
74,2015-06-22,340.0,340.0,340.0,340.0,373117513,35565,4,339.0,340.0
75,2015-06-23,339.0,340.0,339.0,340.0,62596000,5967,4,340.0,340.0
76,2015-06-24,340.0,340.0,340.0,340.0,525000000,50000,1,340.0,340.0
77,2015-06-27,342.0,342.0,342.0,342.0,105400000,10000,1,340.0,342.0
78,2015-06-28,338.0,338.0,338.0,338.0,104270000,10000,1,342.0,338.0
79,2015-06-29,325.0,340.0,325.0,340.0,104850004,10000,2,338.0,340.0
80,2015-06-30,343.0,343.0,339.0,343.0,1649450990,156107,7,340.0,339.0
81,2015-07-01,334.0,334.0,334.0,334.0,3605000000,350000,4,343.0,334.0
82,2015-07-04,347.0,347.0,344.0,344.0,641350000,60500,3,334.0,344.0
83,2015-07-05,339.0,339.0,339.0,339.0,2093200,200,1,344.0,339.0
84,2015-07-06,342.0,351.0,342.0,342.0,538330000,51000,2,339.0,351.0
85,2015-07-07,353.0,353.0,344.0,353.0,362084464,33256,9,342.0,353.0
86,2015-07-11,353.0,353.0,344.0,352.0,119380200,11000,5,353.0,344.0
87,2015-07-12,345.0,355.0,344.0,346.0,227542400,21314,5,352.0,355.0
88,2015-07-13,365.0,368.0,345.0,362.0,2575431134,230402,17,346.0,362.0
89,2015-07-14,350.0,359.0,344.0,355.0,1811839460,165327,27,362.0,359.0
90,2015-07-15,338.0,350.0,334.0,338.0,138435950,13270,4,355.0,334.0
91,2015-07-20,350.0,350.0,350.0,350.0,107890000,10000,1,338.0,350.0
92,2015-07-21,341.0,341.0,341.0,341.0,3084237000,292900,3,350.0,341.0
93,2015-07-22,348.0,348.0,348.0,348.0,107390000,10000,1,341.0,348.0
94,2015-07-25,340.0,345.0,340.0,345.0,106283100,10000,2,348.0,345.0
95,2015-07-26,330.0,330.0,330.0,330.0,1628806096,160000,6,345.0,330.0
96,2015-07-27,336.0,341.0,335.0,339.0,2880858260,275782,12,330.0,339.0
97,2015-07-28,342.0,342.0,339.0,340.0,1475705516,140767,5,339.0,339.0
98,2015-07-29,344.0,345.0,344.0,345.0,595637524,56000,4,340.0,345.0
99,2015-08-01,344.0,344.0,344.0,344.0,1165990000,110000,3,345.0,344.0
100,2015-08-02,341.0,341.0,341.0,341.0,1052500000,100000,1,344.0,341.0
101,2015-08-03,334.0,342.0,334.0,342.0,105393200,10000,2,341.0,342.0
102,2015-08-04,340.0,340.0,340.0,340.0,1443750000,137500,3,342.0,340.0
103,2015-08-05,341.0,341.0,341.0,341.0,105100000,10000,1,340.0,341.0
104,2015-08-08,337.0,338.0,334.0,338.0,104222848,10000,5,341.0,338.0
105,2015-08-09,336.0,336.0,336.0,336.0,103700000,10000,1,338.0,336.0
106,2015-08-10,335.0,335.0,335.0,335.0,103420000,10000,1,336.0,335.0
107,2015-08-12,332.0,332.0,332.0,332.0,102500000,10000,1,335.0,332.0
108,2015-08-15,330.0,330.0,330.0,330.0,101630000,10000,1,332.0,330.0
109,2015-08-16,331.0,340.0,331.0,334.0,257904720,25000,5,330.0,340.0
110,2015-08-17,331.0,331.0,329.0,329.0,102379400,10100,2,334.0,329.0
111,2015-08-18,324.0,328.0,324.0,328.0,101070674,10000,6,329.0,328.0
112,2015-08-19,325.0,328.0,325.0,328.0,101137340,10000,2,328.0,328.0
113,2015-08-22,325.0,325.0,295.0,318.0,168330032,17142,15,328.0,295.0
114,2015-08-23,313.0,329.0,312.0,314.0,2923054686,302298,33,318.0,312.0
115,2015-08-24,311.0,311.0,311.0,311.0,9600000,1000,1,314.0,311.0
116,2015-08-25,308.0,320.0,308.0,309.0,95233000,10000,2,311.0,320.0
117,2015-08-26,320.0,322.0,320.0,322.0,99319000,10000,2,309.0,322.0
118,2015-08-29,325.0,327.0,325.0,325.0,10011352,998,2,322.0,327.0
119,2015-08-30,324.0,324.0,324.0,324.0,99850000,10000,1,325.0,324.0
120,2015-08-31,322.0,322.0,322.0,322.0,99260000,10000,1,324.0,322.0
121,2015-09-01,324.0,324.0,323.0,323.0,99513800,10000,3,322.0,323.0
122,2015-09-02,309.0,323.0,309.0,322.0,178716270,18012,8,323.0,323.0
123,2015-09-05,326.0,326.0,326.0,326.0,100400000,10000,1,322.0,326.0
124,2015-09-06,326.0,326.0,326.0,326.0,100390000,10000,1,326.0,326.0
125,2015-09-07,324.0,324.0,324.0,324.0,99890000,10000,1,326.0,324.0
126,2015-09-08,324.0,324.0,324.0,324.0,100000000,10000,1,324.0,324.0
127,2015-09-09,318.0,318.0,318.0,318.0,98038000,10000,2,324.0,318.0
128,2015-09-12,316.0,316.0,316.0,316.0,97350000,10000,1,318.0,316.0
129,2015-09-13,308.0,310.0,308.0,309.0,95428029,10000,2,316.0,310.0
130,2015-09-14,309.0,312.0,309.0,312.0,96102900,10000,4,309.0,312.0
131,2015-09-15,308.0,308.0,308.0,308.0,94930000,10000,1,312.0,308.0
132,2015-09-16,308.0,308.0,308.0,308.0,95030000,10000,1,308.0,308.0
133,2015-09-19,308.0,308.0,308.0,308.0,95030000,10000,1,308.0,308.0
134,2015-09-20,302.0,302.0,302.0,302.0,93057400,10000,3,308.0,302.0
135,2015-09-21,298.0,304.0,298.0,304.0,98335625,10491,4,302.0,304.0
136,2015-09-22,307.0,307.0,307.0,307.0,94580000,10000,1,304.0,307.0
137,2015-09-23,309.0,309.0,307.0,308.0,95026607,10000,8,307.0,308.0
138,2015-09-26,303.0,303.0,303.0,303.0,93540000,10000,1,308.0,303.0
139,2015-09-27,305.0,305.0,305.0,305.0,93996400,10000,2,303.0,305.0
140,2015-09-28,298.0,307.0,298.0,307.0,94638400,10002,2,305.0,307.0
141,2015-09-29,308.0,308.0,308.0,308.0,94850000,10000,1,307.0,308.0
142,2015-09-30,306.0,306.0,306.0,306.0,94500000,10000,2,308.0,306.0
143,2015-10-03,302.0,302.0,302.0,302.0,93080000,10000,1,306.0,302.0
144,2015-10-04,304.0,304.0,304.0,304.0,93730000,10000,1,302.0,304.0
145,2015-10-05,305.0,305.0,305.0,305.0,93930000,10000,1,304.0,305.0
146,2015-10-06,300.0,304.0,295.0,302.0,132896600,14258,6,305.0,304.0
147,2015-10-07,305.0,305.0,305.0,305.0,94040000,10000,1,302.0,305.0
148,2015-10-10,302.0,302.0,302.0,302.0,93100000,10000,1,305.0,302.0
149,2015-10-11,303.0,303.0,303.0,303.0,93310000,10000,1,302.0,303.0
150,2015-10-12,303.0,304.0,303.0,304.0,93682000,10000,3,303.0,304.0
151,2015-10-13,308.0,308.0,308.0,308.0,95030000,10000,1,304.0,308.0
152,2015-10-14,309.0,309.0,309.0,309.0,95250000,10000,1,308.0,309.0
153,2015-10-17,312.0,318.0,312.0,317.0,62449542,6378,19,309.0,318.0
154,2015-10-18,317.0,317.0,314.0,315.0,97134480,10000,2,317.0,314.0
155,2015-10-19,313.0,313.0,313.0,313.0,96490000,10000,1,315.0,313.0
156,2015-10-20,316.0,316.0,301.0,314.0,96939654,10000,3,313.0,314.0
157,2015-10-21,314.0,314.0,314.0,314.0,96850000,10000,1,314.0,314.0
158,2015-10-25,308.0,308.0,308.0,308.0,94980000,10000,1,314.0,308.0
159,2015-10-26,310.0,310.0,310.0,310.0,95530000,10000,1,308.0,310.0
160,2015-10-27,310.0,310.0,310.0,310.0,95520000,10000,1,310.0,310.0
161,2015-10-28,310.0,310.0,310.0,310.0,95500000,10000,1,310.0,310.0
