,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2015-12-07,0.0,0.0,0.0,0.0,404303356,67339,1,0.0,0.0
1,2016-01-10,0.0,0.0,0.0,0.0,16468972,2743,1,0.0,0.0
2,2016-01-13,0.0,0.0,0.0,0.0,127128696,21174,1,0.0,0.0
3,2016-09-04,0.0,0.0,0.0,0.0,246164,41,1,0.0,0.0
4,2016-10-01,0.0,0.0,0.0,0.0,44123396,7349,1,0.0,0.0
5,2016-10-24,0.0,0.0,0.0,0.0,1699642340,283085,3,0.0,0.0
6,2016-11-06,0.0,0.0,0.0,0.0,74731149,12249,1,0.0,0.0
7,2016-12-21,0.0,0.0,0.0,0.0,24969258,4458,1,0.0,0.0
8,2017-01-09,0.0,0.0,0.0,0.0,1835400,322,1,0.0,0.0
9,2017-02-20,0.0,0.0,0.0,0.0,1829700,321,1,0.0,0.0
10,2018-05-07,0.0,0.0,0.0,0.0,116623230900,2327809,124,0.0,0.0
11,2018-05-09,0.0,0.0,0.0,0.0,8053336333,151001,9,0.0,0.0
12,2018-06-27,0.0,0.0,0.0,0.0,125708238,2357,2,0.0,0.0
13,2018-07-14,0.0,0.0,0.0,0.0,117914000,2204,2,0.0,0.0
14,2018-09-01,0.0,0.0,0.0,0.0,266002000,4972,8,0.0,0.0
15,2018-10-01,0.0,0.0,0.0,0.0,759429825,13519,2,0.0,0.0
16,2018-10-10,0.0,0.0,0.0,0.0,18088350,322,1,0.0,0.0
17,2018-11-28,0.0,0.0,0.0,0.0,2785103160,48999,3,0.0,0.0
18,2020-06-13,0.0,0.0,0.0,0.0,9322141,3401,2,0.0,0.0
19,2020-07-19,0.0,0.0,0.0,0.0,3327574,1214,1,0.0,0.0
20,2022-05-22,87264.0,89882.0,84647.0,87535.0,450430964077,2254781,716,0.0,84647.0
21,2022-05-23,84920.0,84920.0,84920.0,86936.0,2997310800,15466,99,87535.0,84920.0
22,2022-05-24,84328.0,84328.0,84328.0,86892.0,169933350,883,18,86936.0,84328.0
23,2022-05-25,84307.0,84307.0,84307.0,86454.0,2235880400,11621,23,86892.0,84307.0
24,2022-05-28,83868.0,83868.0,83868.0,85950.0,2547151200,13308,27,86454.0,83868.0
25,2022-05-29,83386.0,83386.0,83386.0,85906.0,201337400,1058,3,85950.0,83386.0
26,2022-05-30,83343.0,83343.0,83343.0,85884.0,65428800,344,9,85906.0,83343.0
27,2022-05-31,83321.0,83321.0,83321.0,85884.0,52671550,277,6,85884.0,83321.0
28,2022-06-01,83321.0,83321.0,83321.0,85731.0,831145650,4371,8,85884.0,83321.0
29,2022-06-06,83167.0,83167.0,83167.0,85731.0,5694000,30,1,85731.0,83167.0
30,2022-06-07,81458.0,81458.0,81458.0,85292.0,1289402400,6936,17,85731.0,81458.0
31,2022-06-08,82751.0,82751.0,82751.0,85205.0,451351500,2390,7,85292.0,82751.0
32,2022-06-11,82663.0,82663.0,82663.0,85117.0,407106700,2158,6,85205.0,82663.0
33,2022-06-12,82576.0,82576.0,82576.0,85030.0,480735950,2551,9,85117.0,82576.0
34,2022-06-13,82488.0,82488.0,82488.0,84898.0,679770750,3611,20,85030.0,82488.0
35,2022-06-14,82357.0,82357.0,82357.0,84241.0,3314686200,17636,29,84898.0,82357.0
36,2022-06-15,81721.0,81721.0,81721.0,82685.0,7888577000,42298,26,84241.0,81721.0
