,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2020-02-19,1306.0,1306.0,1306.0,1306.0,1818988559000,106999327,1498702,77.0,1306.0
1,2020-02-22,1371.0,1371.0,1371.0,1360.0,5978875350,334951,2124,1306.0,1371.0
2,2020-02-23,1428.0,1428.0,1428.0,1428.0,7453473033,400789,2007,1360.0,1428.0
3,2020-02-24,1500.0,1500.0,1500.0,1500.0,7874660066,403291,2564,1428.0,1500.0
4,2020-02-25,1575.0,1575.0,1575.0,1575.0,8210845980,400490,2235,1500.0,1575.0
5,2020-02-26,1653.0,1653.0,1653.0,1653.0,8645824429,401627,3499,1575.0,1653.0
6,2020-02-29,1736.0,1736.0,1736.0,1736.0,18058101775,798925,5471,1653.0,1736.0
7,2020-03-01,1823.0,1823.0,1823.0,1823.0,9527351787,401439,3322,1736.0,1823.0
8,2020-03-02,1914.0,1914.0,1914.0,1914.0,57951676238,2325602,4452,1823.0,1914.0
9,2020-03-03,2010.0,2010.0,2010.0,2010.0,61052150324,2333441,556,1914.0,2010.0
10,2020-03-07,2110.0,2216.0,2110.0,2211.0,126907963188,4409367,6511,2010.0,2216.0
11,2020-03-09,2321.0,2321.0,2321.0,2321.0,90700192600,3001330,8813,2211.0,2321.0
12,2020-03-10,2437.0,2437.0,2437.0,2437.0,126992507229,4002159,9934,2321.0,2437.0
13,2020-03-11,2559.0,2559.0,2559.0,2559.0,133364719251,4002903,20061,2437.0,2559.0
14,2020-03-14,2687.0,2687.0,2687.0,2687.0,779253959610,22275855,30005,2559.0,2687.0
15,2020-03-15,2821.0,2821.0,2821.0,2821.0,779028954392,21209032,18056,2687.0,2821.0
16,2020-03-16,2962.0,2962.0,2962.0,2962.0,112193948422,2909066,13532,2821.0,2962.0
17,2020-03-17,3110.0,3110.0,3110.0,3110.0,60845964725,1502555,13715,2962.0,3110.0
18,2020-03-18,3266.0,3266.0,3266.0,3266.0,1518482280051,35713029,24170,3110.0,3266.0
19,2020-03-24,3429.0,3429.0,3429.0,3429.0,139944921784,3134686,2711,3266.0,3429.0
20,2020-03-29,3600.0,3780.0,3600.0,3716.0,68443016527,1414654,10332,3429.0,3780.0
21,2020-03-30,3902.0,3902.0,3902.0,3902.0,93802809600,1846512,28651,3716.0,3902.0
22,2020-04-04,4097.0,4097.0,4097.0,4097.0,72306423840,1355576,21072,3902.0,4097.0
23,2020-04-05,4301.0,4302.0,3892.0,4281.0,3017188906824,54136402,177154,4097.0,4302.0
24,2020-04-06,4262.0,4263.0,4067.0,4142.0,1273209409042,23607569,161727,4281.0,4171.0
25,2020-04-07,4142.0,4350.0,3935.0,4259.0,2131822691127,38441353,176941,4142.0,4213.0
26,2020-04-08,4117.0,4364.0,4117.0,4250.0,1377004443672,24884225,121268,4259.0,4209.0
27,2020-04-11,4186.0,4232.0,4052.0,4127.0,849025761062,15801204,66580,4250.0,4059.0
28,2020-04-12,4071.0,4333.0,4070.0,4286.0,1018583245523,18254404,44286,4127.0,4333.0
29,2020-04-13,4370.0,4371.0,4087.0,4202.0,589022844030,10766640,31470,4286.0,4140.0
30,2020-04-14,3994.0,4185.0,3994.0,4056.0,661175881294,12521981,67556,4202.0,4009.0
31,2020-04-15,4109.0,4258.0,4071.0,4224.0,415082056035,7548343,34935,4056.0,4258.0
32,2020-04-18,4416.0,4435.0,4337.0,4420.0,384734667138,6685057,13864,4224.0,4435.0
33,2020-04-19,4641.0,4641.0,4424.0,4588.0,805478077863,13484480,13799,4420.0,4455.0
34,2020-04-20,4588.0,4817.0,4588.0,4800.0,765590565207,12249490,13743,4588.0,4817.0
35,2020-04-21,5015.0,5015.0,4878.0,4960.0,756703216980,11718986,16331,4800.0,4900.0
36,2020-04-22,4877.0,5207.0,4725.0,5064.0,1080974579301,16396688,23090,4960.0,5138.0
37,2020-04-25,5223.0,5317.0,5162.0,5296.0,465604772062,6752620,9468,5064.0,5317.0
38,2020-04-26,5507.0,5507.0,5031.0,5262.0,1196324679013,17462686,25094,5296.0,5216.0
39,2020-04-27,5215.0,5215.0,4999.0,5014.0,1729736450961,26496209,29371,5262.0,5077.0
40,2020-04-28,5069.0,5146.0,4908.0,4996.0,877816400292,13495153,24995,5014.0,4962.0
41,2020-04-29,5005.0,5246.0,5005.0,5230.0,825583698220,12125428,16117,4996.0,5246.0
42,2020-05-02,5453.0,5491.0,5331.0,5482.0,632482362843,8861057,10729,5230.0,5491.0
43,2020-05-03,5745.0,5756.0,5599.0,5734.0,1042953744384,13970609,23518,5482.0,5672.0
44,2020-05-04,5530.0,5657.0,5447.0,5471.0,954577630431,13400185,18668,5734.0,5449.0
45,2020-05-05,5449.0,5450.0,5198.0,5223.0,579266576948,8518079,10799,5471.0,5198.0
46,2020-05-06,4962.0,5146.0,4962.0,4981.0,711271345936,10967005,18533,5223.0,4963.0
47,2020-05-09,5019.0,5230.0,5019.0,5180.0,570307751670,8456078,13939,4981.0,5127.0
48,2020-05-10,5215.0,5216.0,4921.0,4961.0,679866739181,10525359,18811,5180.0,4921.0
49,2020-05-11,4725.0,4855.0,4713.0,4721.0,748750191154,12181091,14520,4961.0,4713.0
50,2020-05-12,4506.0,4620.0,4485.0,4491.0,560165886950,9580506,12203,4721.0,4485.0
51,2020-05-13,4336.0,4715.0,4336.0,4642.0,512604922622,8481012,17212,4491.0,4570.0
52,2020-05-16,4570.0,4712.0,4410.0,4452.0,376279200911,6491977,11497,4642.0,4410.0
53,2020-05-17,4255.0,4674.0,4255.0,4617.0,300614865982,5001000,12110,4452.0,4674.0
54,2020-05-18,4848.0,4848.0,4716.0,4836.0,247089690270,3924073,6518,4617.0,4848.0
55,2020-05-19,5062.0,5062.0,4762.0,4908.0,288485602785,4514661,12163,4836.0,4823.0
56,2020-05-20,4701.0,4839.0,4663.0,4706.0,296300342077,4835853,14457,4908.0,4694.0
57,2020-05-23,4493.0,4668.0,4471.0,4508.0,206821799104,3523420,9588,4706.0,4471.0
58,2020-05-26,4500.0,4682.0,4485.0,4488.0,212926000000,3815821,7247,4508.0,4485.0
59,2020-05-27,4353.0,4713.0,4353.0,4662.0,166929178786,2880299,9913,4488.0,4713.0
60,2020-05-30,4895.0,4895.0,4895.0,4895.0,164762722709,2707553,3212,4662.0,4895.0
61,2020-05-31,5083.0,5083.0,4665.0,4911.0,207312403359,3395125,5822,4895.0,4891.0
62,2020-06-01,4754.0,5157.0,4754.0,5131.0,345576406571,5416694,6121,4911.0,5157.0
63,2020-06-02,5379.0,5388.0,5310.0,5382.0,595456611844,8898452,6174,5131.0,5388.0
64,2020-06-07,5872.0,6165.0,5671.0,5896.0,804602816089,10976600,13252,5382.0,5711.0
65,2020-06-09,5601.0,5791.0,5601.0,5626.0,331489426610,4738913,5289,5896.0,5601.0
66,2020-06-10,5373.0,5707.0,5345.0,5421.0,644825246048,9567544,14647,5626.0,5413.0
