,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-11-06,9.0,9.0,9.0,9.0,1809137160,534615,60,9.0,9.0
1,2001-11-07,9.0,9.0,9.0,9.0,33850000,10000,1,9.0,9.0
2,2001-11-11,9.0,9.0,9.0,9.0,406320,120,2,9.0,9.0
3,2001-12-05,9.0,9.0,9.0,9.0,3300000,1000,4,9.0,9.0
4,2001-12-18,9.0,9.0,9.0,9.0,660200,200,1,9.0,9.0
5,2001-12-23,10.0,10.0,10.0,10.0,1732500,500,1,9.0,10.0
6,2001-12-30,10.0,10.0,10.0,10.0,519750,150,1,10.0,10.0
7,2002-01-23,10.0,10.0,10.0,10.0,2757419,796,2,10.0,10.0
8,2002-09-18,9.0,9.0,9.0,9.0,342000,100,1,10.0,9.0
9,2003-06-01,28.0,28.0,28.0,28.0,10011000,1000,1,9.0,28.0
10,2003-06-09,28.0,28.0,28.0,28.0,1001000,100,1,28.0,28.0
11,2003-08-17,28.0,28.0,28.0,28.0,400400,40,1,28.0,28.0
12,2004-05-22,28.0,28.0,28.0,28.0,10001000,1000,1,28.0,28.0
13,2004-06-08,28.0,28.0,28.0,28.0,7170000,717,1,28.0,28.0
14,2004-06-19,28.0,28.0,28.0,28.0,16000000,1600,3,28.0,28.0
15,2004-07-12,28.0,28.0,28.0,28.0,7960000,796,1,28.0,28.0
16,2004-09-22,28.0,28.0,28.0,28.0,3000000,300,1,28.0,28.0
17,2004-10-06,28.0,28.0,28.0,28.0,13890000,1389,1,28.0,28.0
18,2004-10-13,29.0,29.0,28.0,28.0,3149515,300,2,28.0,28.0
19,2004-11-01,29.0,29.0,28.0,28.0,2203250,210,3,28.0,28.0
20,2004-11-02,29.0,29.0,28.0,28.0,9847806,936,3,28.0,28.0
21,2004-11-06,29.0,29.0,28.0,28.0,15838588,1498,2,28.0,28.0
22,2004-11-10,30.0,30.0,28.0,28.0,14904803,1399,2,28.0,28.0
23,2004-12-21,28.0,30.0,28.0,30.0,11009000,1010,3,28.0,30.0
24,2004-12-26,30.0,30.0,30.0,30.0,143239040,13140,8,30.0,30.0
25,2004-12-27,30.0,30.0,30.0,30.0,11109100,1010,2,30.0,30.0
26,2005-01-11,30.0,30.0,30.0,30.0,2607251,239,1,30.0,30.0
27,2005-05-11,29.0,30.0,29.0,29.0,8675142,834,5,30.0,29.0
28,2005-05-15,29.0,29.0,29.0,29.0,59924980,5762,4,29.0,29.0
29,2005-07-02,30.0,30.0,29.0,29.0,18002760,1649,4,29.0,29.0
30,2005-09-13,15.0,15.0,15.0,15.0,5775000,1100,1,29.0,15.0
31,2005-09-14,15.0,15.0,15.0,15.0,27405000,5220,2,15.0,15.0
32,2005-09-21,15.0,15.0,15.0,15.0,19798260,3770,3,15.0,15.0
33,2005-10-04,15.0,15.0,15.0,15.0,1050000,200,2,15.0,15.0
34,2005-10-05,15.0,15.0,15.0,15.0,1186500,226,1,15.0,15.0
35,2005-10-15,15.0,15.0,15.0,15.0,6775060,1290,4,15.0,15.0
36,2005-10-18,15.0,15.0,15.0,15.0,5860510,1110,2,15.0,15.0
37,2005-10-30,15.0,15.0,15.0,15.0,49936350,9422,14,15.0,15.0
38,2005-11-06,15.0,15.0,15.0,15.0,6900790,1290,3,15.0,15.0
39,2005-11-07,15.0,15.0,15.0,15.0,16042860,3010,2,15.0,15.0
40,2005-11-08,15.0,15.0,15.0,15.0,8590220,1610,4,15.0,15.0
41,2005-11-13,15.0,15.0,15.0,15.0,77756000,14000,9,15.0,15.0
42,2005-12-06,15.0,16.0,15.0,15.0,15035200,2700,5,15.0,15.0
43,2005-12-12,15.0,15.0,15.0,15.0,902016,162,1,15.0,15.0
44,2005-12-13,15.0,15.0,15.0,15.0,7127040,1280,2,15.0,15.0
45,2005-12-14,15.0,15.0,15.0,15.0,3620480,650,2,15.0,15.0
46,2006-01-16,15.0,15.0,15.0,15.0,22363690,4010,2,15.0,15.0
47,2006-01-23,15.0,15.0,15.0,15.0,3636490,650,2,15.0,15.0
48,2006-01-25,16.0,16.0,15.0,15.0,33618540,5998,2,15.0,15.0
49,2006-01-28,16.0,16.0,15.0,15.0,31516761,5619,2,15.0,15.0
50,2006-01-30,16.0,16.0,15.0,15.0,3767950,650,2,15.0,15.0
51,2006-02-04,16.0,16.0,16.0,16.0,28181020,5010,2,15.0,16.0
52,2006-02-05,16.0,16.0,16.0,16.0,17970928,3196,3,16.0,16.0
53,2006-02-06,16.0,16.0,16.0,16.0,15694000,2800,1,16.0,16.0
54,2007-12-08,15.0,15.0,15.0,15.0,5560000,1000,1,16.0,15.0
55,2007-12-12,15.0,15.0,15.0,15.0,3614640,650,2,15.0,15.0
56,2008-01-12,16.0,16.0,16.0,16.0,5671000,1000,1,15.0,16.0
57,2008-02-09,16.0,16.0,16.0,16.0,9311200,1610,2,16.0,16.0
58,2008-02-19,16.0,16.0,16.0,16.0,86500826,14932,6,16.0,16.0
59,2008-02-26,16.0,16.0,16.0,16.0,7383040,1280,2,16.0,16.0
60,2008-11-24,5.0,5.0,4.0,5.0,1990850,1210,3,16.0,5.0
61,2008-11-25,5.0,5.0,5.0,5.0,16956710,10010,2,5.0,5.0
62,2009-07-29,4.0,4.0,4.0,4.0,15150000,10100,3,5.0,4.0
63,2009-08-10,4.0,4.0,4.0,4.0,664350,430,2,4.0,4.0
64,2009-09-09,4.0,4.0,4.0,4.0,3064172,1982,1,4.0,4.0
65,2009-09-30,4.0,4.0,4.0,4.0,15510,10,1,4.0,4.0
66,2009-10-03,4.0,4.0,4.0,4.0,15970,10,1,4.0,4.0
67,2009-10-04,4.0,4.0,4.0,4.0,15970,10,1,4.0,4.0
68,2009-10-06,5.0,5.0,5.0,5.0,16440,10,1,4.0,5.0
69,2009-10-07,5.0,5.0,5.0,5.0,16930,10,1,5.0,5.0
70,2009-10-10,5.0,5.0,5.0,5.0,17430,10,1,5.0,5.0
71,2009-10-17,5.0,5.0,5.0,5.0,17950,10,1,5.0,5.0
72,2009-10-18,5.0,5.0,5.0,5.0,17950,10,1,5.0,5.0
73,2009-10-20,5.0,5.0,5.0,5.0,18480,10,1,5.0,5.0
74,2009-10-25,5.0,5.0,5.0,5.0,19030,10,1,5.0,5.0
75,2009-10-28,5.0,5.0,5.0,5.0,39200,20,1,5.0,5.0
76,2010-04-12,8.0,8.0,8.0,8.0,40000,20,1,5.0,8.0
77,2011-01-08,8.0,8.0,8.0,8.0,1590680,805,1,8.0,8.0
78,2011-01-11,8.0,8.0,8.0,8.0,1593095,805,1,8.0,8.0
79,2011-01-12,8.0,8.0,8.0,8.0,1728304,872,1,8.0,8.0
80,2011-01-18,8.0,8.0,8.0,8.0,992500,500,1,8.0,8.0
81,2011-01-23,8.0,8.0,8.0,8.0,993500,500,1,8.0,8.0
82,2011-01-24,8.0,8.0,8.0,8.0,994500,500,1,8.0,8.0
83,2011-01-26,8.0,8.0,8.0,8.0,597300,300,1,8.0,8.0
84,2011-01-29,8.0,8.0,8.0,8.0,99600000,50000,1,8.0,8.0
85,2011-01-30,9.0,9.0,9.0,8.0,6627200,3200,1,8.0,9.0
86,2011-01-31,9.0,9.0,9.0,8.0,2085,1,1,8.0,9.0
87,2011-02-22,17.0,17.0,17.0,17.0,2005000,500,1,8.0,17.0
88,2011-03-05,18.0,18.0,18.0,18.0,152588640,36592,4,17.0,18.0
89,2011-03-13,18.0,18.0,18.0,18.0,3490480,805,1,18.0,18.0
90,2011-04-04,18.0,18.0,18.0,18.0,21720,5,1,18.0,18.0
91,2011-04-12,18.0,18.0,18.0,18.0,3496920,805,1,18.0,18.0
92,2011-04-26,18.0,18.0,18.0,18.0,134881,31,2,18.0,18.0
93,2011-06-01,50.0,52.0,50.0,51.0,784712858,64864,25,18.0,52.0
94,2011-06-06,53.0,53.0,53.0,53.0,284745773,22633,26,51.0,53.0
95,2011-06-07,55.0,55.0,53.0,53.0,225479620,17760,9,53.0,53.0
96,2011-06-08,54.0,54.0,51.0,51.0,375411200,30794,12,53.0,51.0
97,2011-06-11,51.0,51.0,49.0,49.0,384583793,32822,13,51.0,49.0
98,2011-06-12,47.0,47.0,47.0,48.0,98991200,8800,10,49.0,47.0
99,2011-06-13,46.0,46.0,46.0,48.0,38150110,3455,7,48.0,46.0
100,2011-06-14,46.0,46.0,46.0,47.0,65778000,6000,3,48.0,46.0
101,2011-06-15,47.0,47.0,45.0,47.0,100130900,8900,2,47.0,45.0
102,2011-06-18,45.0,45.0,45.0,47.0,1903264,176,1,47.0,45.0
103,2011-06-19,45.0,45.0,45.0,47.0,1967420,182,1,47.0,45.0
104,2011-06-20,49.0,49.0,49.0,47.0,17559000,1500,2,47.0,49.0
105,2011-06-29,46.0,46.0,46.0,47.0,16260000,1500,2,47.0,46.0
106,2011-07-06,47.0,49.0,47.0,48.0,88422960,7560,9,47.0,49.0
107,2011-07-18,46.0,46.0,46.0,48.0,10972000,1000,1,48.0,46.0
108,2011-07-25,48.0,49.0,46.0,48.0,79769800,7160,6,48.0,49.0
109,2011-07-26,49.0,49.0,49.0,48.0,11700000,1000,1,48.0,49.0
110,2011-07-27,50.0,50.0,50.0,48.0,1472500,125,1,48.0,50.0
111,2011-07-31,46.0,46.0,46.0,47.0,56833525,5225,3,48.0,46.0
112,2011-08-07,47.0,47.0,47.0,47.0,975009,87,1,47.0,47.0
113,2011-08-15,52.0,52.0,52.0,52.0,246001000,20000,10,47.0,52.0
114,2011-08-16,54.0,54.0,54.0,54.0,275028000,21500,11,52.0,54.0
115,2011-08-17,56.0,56.0,56.0,55.0,147005953,11051,17,54.0,56.0
116,2011-08-21,57.0,57.0,54.0,57.0,267658482,19872,20,55.0,57.0
117,2011-08-23,59.0,59.0,59.0,59.0,291873866,20838,6,57.0,59.0
118,2011-08-24,61.0,61.0,61.0,59.0,1456700,100,1,59.0,61.0
119,2011-08-27,61.0,61.0,61.0,59.0,17454860,1198,2,59.0,61.0
120,2011-08-28,61.0,61.0,61.0,61.0,341225372,23362,4,59.0,61.0
121,2011-08-29,64.0,64.0,64.0,64.0,462931150,30478,19,61.0,64.0
122,2011-08-30,66.0,66.0,63.0,66.0,566263446,36167,24,64.0,63.0
123,2011-09-04,65.0,68.0,65.0,68.0,548956022,33750,24,66.0,67.0
124,2011-09-05,71.0,71.0,69.0,71.0,1971871510,116584,82,68.0,71.0
125,2011-09-06,74.0,74.0,74.0,74.0,942384250,53575,27,71.0,74.0
126,2011-09-07,77.0,77.0,77.0,77.0,603248261,32977,20,74.0,77.0
127,2011-09-10,80.0,80.0,74.0,78.0,328800852,17700,30,77.0,74.0
128,2011-09-11,75.0,75.0,75.0,78.0,20430364,1147,2,78.0,75.0
129,2011-09-12,79.0,79.0,75.0,77.0,174865890,9750,21,78.0,75.0
130,2011-09-13,73.0,74.0,73.0,75.0,195093470,11153,20,77.0,73.0
131,2011-09-14,72.0,72.0,72.0,74.0,103962072,6077,10,75.0,72.0
132,2011-09-17,72.0,72.0,72.0,74.0,19674050,1147,2,74.0,72.0
133,2011-09-18,75.0,75.0,71.0,72.0,147055768,8716,8,74.0,71.0
134,2011-09-19,73.0,74.0,73.0,73.0,117512881,6739,3,72.0,74.0
135,2011-09-21,70.0,70.0,70.0,73.0,15257160,918,1,73.0,70.0
136,2011-09-25,70.0,70.0,70.0,72.0,99528000,6000,3,73.0,70.0
137,2011-09-26,69.0,69.0,69.0,72.0,6323066,386,2,72.0,69.0
138,2011-10-01,71.0,74.0,71.0,72.0,37810000,2205,6,72.0,74.0
139,2011-10-02,73.0,75.0,73.0,72.0,83744600,4742,8,72.0,75.0
140,2011-10-04,69.0,69.0,69.0,69.0,327376840,19817,8,72.0,69.0
141,2011-10-05,67.0,67.0,67.0,68.0,150670000,9500,3,69.0,67.0
142,2011-10-08,65.0,65.0,65.0,68.0,38103497,2451,7,68.0,65.0
143,2011-10-10,65.0,65.0,65.0,67.0,77330000,5000,1,68.0,65.0
144,2011-10-11,64.0,64.0,64.0,66.0,90302000,5900,4,67.0,64.0
145,2011-10-12,66.0,66.0,66.0,66.0,102415100,6500,3,66.0,66.0
146,2011-10-15,65.0,65.0,65.0,66.0,7750385,500,2,66.0,65.0
147,2011-10-16,65.0,65.0,65.0,66.0,9920000,640,1,66.0,65.0
148,2011-10-17,65.0,65.0,65.0,66.0,13159500,849,3,66.0,65.0
149,2011-10-18,66.0,67.0,66.0,66.0,12618250,791,2,66.0,67.0
150,2011-10-23,67.0,69.0,67.0,69.0,314985590,19315,18,66.0,69.0
151,2011-10-24,70.0,71.0,70.0,69.0,30226880,1800,5,69.0,71.0
152,2011-10-25,71.0,71.0,71.0,69.0,51021000,3000,1,69.0,71.0
153,2011-10-26,72.0,72.0,67.0,69.0,31897100,1920,3,69.0,67.0
154,2011-10-30,71.0,71.0,71.0,69.0,9072000,540,2,69.0,71.0
155,2011-10-31,71.0,72.0,72.0,72.0,400837932,23388,7,69.0,72.0
156,2011-11-01,75.0,75.0,74.0,74.0,199463552,11198,13,72.0,74.0
157,2011-11-02,74.0,74.0,74.0,74.0,143999200,8200,3,74.0,74.0
158,2011-11-05,75.0,76.0,71.0,72.0,168788000,10021,9,74.0,71.0
159,2011-11-08,69.0,69.0,69.0,71.0,79635039,4829,2,72.0,69.0
160,2011-11-09,72.0,74.0,72.0,72.0,96607950,5470,10,71.0,74.0
161,2011-11-20,100.0,104.0,100.0,103.0,7101352911,376989,187,72.0,104.0
162,2011-11-21,104.0,104.0,99.0,99.0,1971562107,108767,72,103.0,99.0
163,2011-11-22,95.0,95.0,95.0,95.0,485261687,27887,20,99.0,95.0
164,2011-11-23,96.0,99.0,96.0,99.0,1307400446,72404,57,95.0,99.0
165,2011-11-26,103.0,103.0,95.0,95.0,402292435,23206,20,99.0,95.0
166,2011-11-27,91.0,91.0,91.0,91.0,316217000,19000,11,95.0,91.0
167,2011-11-28,88.0,88.0,88.0,88.0,327672000,20500,5,91.0,88.0
168,2011-11-29,84.0,84.0,84.0,84.0,294624000,19200,9,88.0,84.0
169,2011-11-30,81.0,81.0,81.0,81.0,287274000,19500,10,84.0,81.0
170,2011-12-03,77.0,84.0,77.0,79.0,606244243,41979,39,81.0,79.0
171,2011-12-04,80.0,82.0,80.0,82.0,347901466,23374,28,79.0,82.0
172,2011-12-07,85.0,85.0,85.0,85.0,791596060,51140,35,82.0,85.0
173,2011-12-10,88.0,88.0,88.0,88.0,544917300,33850,19,85.0,88.0
174,2011-12-11,92.0,92.0,92.0,92.0,319920510,19110,3,88.0,92.0
175,2011-12-12,95.0,95.0,95.0,95.0,819132199,47067,21,92.0,95.0
176,2011-12-13,95.0,99.0,91.0,95.0,618947566,35827,41,95.0,93.0
177,2011-12-14,97.0,97.0,91.0,92.0,1341715020,79456,51,95.0,92.0
178,2011-12-17,90.0,96.0,89.0,92.0,283825999,16886,33,92.0,92.0
179,2011-12-18,94.0,94.0,90.0,92.0,719725570,42737,32,92.0,94.0
180,2011-12-19,96.0,96.0,96.0,96.0,324772980,18548,23,92.0,96.0
181,2011-12-20,100.0,100.0,97.0,99.0,1081565302,59774,51,96.0,97.0
182,2011-12-21,95.0,99.0,95.0,98.0,375914520,21087,27,99.0,96.0
183,2011-12-24,99.0,99.0,96.0,97.0,140185000,8010,4,98.0,96.0
184,2011-12-25,97.0,97.0,93.0,95.0,420594054,24371,9,97.0,93.0
185,2011-12-26,91.0,91.0,91.0,91.0,849404316,51178,23,95.0,91.0
186,2011-12-27,95.0,95.0,95.0,91.0,20090052,1164,4,91.0,95.0
187,2011-12-28,95.0,95.0,95.0,92.0,78758320,4552,10,91.0,95.0
188,2011-12-31,95.0,95.0,92.0,92.0,246943576,14690,10,92.0,92.0
189,2012-01-02,95.0,95.0,88.0,90.0,159605505,9829,9,92.0,88.0
190,2012-01-03,94.0,94.0,94.0,92.0,136875544,7969,21,90.0,94.0
191,2012-01-31,153.0,159.0,147.0,151.0,5523728459,200105,159,92.0,159.0
192,2012-02-01,157.0,157.0,157.0,157.0,1333486600,46450,9,151.0,157.0
193,2012-02-04,163.0,163.0,163.0,163.0,4678881540,156715,74,157.0,163.0
194,2012-02-05,164.0,164.0,157.0,158.0,5057123705,175331,129,163.0,157.0
195,2012-02-06,164.0,164.0,164.0,164.0,4193333658,139804,69,158.0,164.0
196,2012-02-07,171.0,171.0,164.0,167.0,810797663,26526,50,164.0,165.0
197,2012-02-08,169.0,170.0,161.0,165.0,6198571765,205806,102,167.0,162.0
198,2012-02-12,159.0,164.0,158.0,160.0,1713309406,58668,64,165.0,161.0
