,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-04-07,6.0,6.0,6.0,6.0,1251720,570,1,6.0,6.0
1,2001-04-21,6.0,6.0,6.0,6.0,3321000,1560,6,6.0,6.0
2,2001-04-24,6.0,6.0,6.0,6.0,2114000,1000,2,6.0,6.0
3,2001-05-06,6.0,6.0,6.0,6.0,10223300,4900,2,6.0,6.0
4,2001-05-07,6.0,6.0,6.0,6.0,6236739,3000,7,6.0,6.0
5,2001-05-08,6.0,6.0,6.0,6.0,4158805,2000,3,6.0,6.0
6,2001-05-09,6.0,6.0,6.0,6.0,9345716,4500,11,6.0,6.0
7,2001-05-16,6.0,6.0,6.0,6.0,187110,90,1,6.0,6.0
8,2001-05-29,6.0,6.0,6.0,6.0,2132974,1042,1,6.0,6.0
9,2001-06-02,6.0,6.0,6.0,6.0,1500000,750,5,6.0,6.0
10,2001-06-03,6.0,6.0,6.0,6.0,5700000,3000,4,6.0,6.0
11,2001-06-09,6.0,6.0,6.0,6.0,184300,97,1,6.0,6.0
12,2001-06-13,6.0,6.0,6.0,6.0,3608100,1900,1,6.0,6.0
13,2001-06-18,6.0,6.0,6.0,6.0,3794000,2000,3,6.0,6.0
14,2001-06-19,6.0,6.0,6.0,6.0,3227001,1700,5,6.0,6.0
15,2001-06-26,6.0,6.0,6.0,6.0,569400,300,2,6.0,6.0
16,2001-06-27,6.0,6.0,6.0,6.0,7584000,4000,3,6.0,6.0
17,2001-07-04,6.0,6.0,6.0,6.0,9928785,5245,2,6.0,6.0
18,2001-07-07,5.0,6.0,5.0,6.0,3785163,2000,5,6.0,6.0
19,2001-07-08,6.0,6.0,6.0,6.0,189900,100,3,6.0,6.0
20,2001-07-09,6.0,6.0,6.0,6.0,12661562,6664,8,6.0,6.0
21,2001-07-10,6.0,6.0,6.0,6.0,8477800,4462,5,6.0,6.0
22,2001-07-17,4.0,6.0,4.0,6.0,7004000,4628,68,6.0,6.0
23,2001-07-18,6.0,6.0,6.0,6.0,494000,260,1,6.0,6.0
24,2001-07-21,5.0,5.0,5.0,5.0,3866500,2090,1,6.0,5.0
25,2001-07-22,5.0,5.0,5.0,5.0,14863900,8034,4,5.0,5.0
26,2001-07-28,5.0,5.0,5.0,5.0,33300,18,1,5.0,5.0
27,2001-07-29,5.0,5.0,5.0,5.0,1928238,1042,5,5.0,5.0
28,2001-07-31,5.0,5.0,5.0,5.0,3866500,2090,2,5.0,5.0
29,2001-08-04,5.0,5.0,5.0,5.0,138750,75,1,5.0,5.0
30,2001-08-06,5.0,5.0,5.0,5.0,1850000,1000,1,5.0,5.0
31,2001-08-07,6.0,6.0,6.0,6.0,11400000,6000,3,5.0,6.0
32,2001-08-08,6.0,6.0,6.0,6.0,134900,71,1,6.0,6.0
33,2001-08-20,6.0,6.0,6.0,6.0,997500,500,1,6.0,6.0
34,2001-08-21,6.0,6.0,6.0,6.0,584000,292,1,6.0,6.0
35,2001-08-22,6.0,6.0,6.0,6.0,4207170,2090,1,6.0,6.0
36,2001-08-27,6.0,6.0,6.0,6.0,1056500,500,1,6.0,6.0
37,2001-08-28,6.0,6.0,6.0,6.0,4463021,2039,4,6.0,6.0
38,2001-08-29,7.0,7.0,7.0,7.0,4642032,1994,3,6.0,7.0
39,2001-09-01,7.0,7.0,7.0,7.0,14935284,6111,7,7.0,7.0
40,2001-09-02,7.0,7.0,7.0,7.0,31081183,12723,10,7.0,7.0
41,2001-09-03,7.0,7.0,7.0,7.0,4277000,1820,2,7.0,7.0
42,2001-09-04,7.0,7.0,7.0,7.0,2380550,1013,1,7.0,7.0
43,2001-09-05,7.0,7.0,7.0,7.0,9335780,4065,4,7.0,7.0
44,2001-09-11,7.0,7.0,7.0,7.0,7888000,3400,5,7.0,7.0
45,2001-09-12,7.0,7.0,7.0,7.0,4138880,1784,2,7.0,7.0
46,2001-09-17,7.0,7.0,7.0,7.0,616588,266,1,7.0,7.0
47,2001-09-19,7.0,7.0,7.0,7.0,231700,100,1,7.0,7.0
48,2001-09-22,7.0,7.0,7.0,7.0,11553394,4986,6,7.0,7.0
49,2001-09-23,7.0,7.0,7.0,7.0,1821200,785,3,7.0,7.0
50,2001-09-26,7.0,7.0,7.0,7.0,14538205,6280,2,7.0,7.0
51,2001-10-16,6.0,6.0,6.0,6.0,7141200,3246,4,7.0,6.0
52,2001-10-17,6.0,6.0,6.0,6.0,2200000,1000,2,6.0,6.0
53,2001-10-20,6.0,6.0,6.0,6.0,10065000,4575,5,6.0,6.0
54,2001-10-21,6.0,6.0,6.0,6.0,6937105,3145,2,6.0,6.0
55,2001-10-22,7.0,7.0,7.0,7.0,4851000,2100,1,6.0,7.0
56,2001-10-23,7.0,7.0,7.0,7.0,38753500,16700,5,7.0,7.0
57,2001-10-24,7.0,7.0,7.0,7.0,13630000,5875,13,7.0,7.0
58,2001-10-31,7.0,7.0,7.0,7.0,7594847,3282,6,7.0,7.0
59,2001-11-03,7.0,7.0,7.0,7.0,62179623,26913,12,7.0,7.0
60,2001-11-04,7.0,7.0,7.0,7.0,2378532,1027,2,7.0,7.0
61,2001-11-06,6.0,6.0,6.0,6.0,2598516,1179,3,7.0,6.0
62,2001-11-07,6.0,6.0,6.0,6.0,33574035,15211,15,6.0,6.0
63,2001-11-10,6.0,6.0,6.0,6.0,1102500,500,1,6.0,6.0
64,2001-11-11,6.0,6.0,6.0,6.0,2325220,1055,2,6.0,6.0
65,2001-11-12,6.0,6.0,6.0,6.0,56348500,25582,15,6.0,6.0
66,2002-04-22,4.0,4.0,4.0,4.0,750000,500,1,6.0,4.0
67,2002-04-27,5.0,5.0,5.0,5.0,1575000,1000,1,4.0,5.0
68,2002-05-08,5.0,5.0,5.0,5.0,628140,380,2,5.0,5.0
69,2002-05-25,5.0,5.0,5.0,5.0,3626150,2090,1,5.0,5.0
70,2002-05-26,5.0,5.0,5.0,5.0,2791593,1533,2,5.0,5.0
71,2002-05-27,6.0,6.0,6.0,6.0,1912000,1000,2,5.0,6.0
72,2002-05-28,6.0,6.0,6.0,6.0,5055633,2519,3,6.0,6.0
73,2002-05-29,6.0,6.0,6.0,6.0,2119642,1006,3,6.0,6.0
74,2002-06-01,6.0,6.0,6.0,6.0,2212000,1000,1,6.0,6.0
75,2002-06-02,7.0,7.0,7.0,7.0,2507760,1080,2,6.0,7.0
76,2002-06-08,7.0,7.0,7.0,7.0,2925600,1200,3,7.0,7.0
77,2002-06-09,7.0,7.0,7.0,7.0,3921860,1570,2,7.0,7.0
78,2002-06-10,7.0,7.0,7.0,7.0,2560000,1000,2,7.0,7.0
79,2002-06-11,8.0,8.0,8.0,8.0,2624000,1000,1,7.0,8.0
80,2002-06-12,8.0,8.0,8.0,8.0,6684854,2486,4,8.0,8.0
81,2002-06-16,8.0,8.0,8.0,8.0,826800,300,1,8.0,8.0
82,2002-06-17,8.0,8.0,8.0,8.0,108452996,38796,26,8.0,8.0
83,2002-06-18,8.0,8.0,8.0,8.0,43910448,15933,18,8.0,8.0
84,2002-06-19,8.0,8.0,8.0,8.0,8442190,3141,8,8.0,8.0
85,2002-06-23,8.0,8.0,8.0,8.0,1723960,658,2,8.0,8.0
86,2002-06-24,7.0,7.0,7.0,7.0,12366200,4840,5,8.0,7.0
87,2002-06-25,7.0,7.0,7.0,7.0,25984204,10658,6,7.0,7.0
88,2002-06-26,7.0,7.0,7.0,7.0,19123102,7853,4,7.0,7.0
89,2002-06-29,7.0,7.0,7.0,7.0,92596462,38017,23,7.0,7.0
90,2002-06-30,7.0,7.0,7.0,7.0,2769568,1136,1,7.0,7.0
91,2002-07-01,7.0,7.0,7.0,7.0,11975000,5000,1,7.0,7.0
92,2002-07-02,7.0,7.0,7.0,7.0,4908650,2050,2,7.0,7.0
93,2002-07-03,7.0,7.0,7.0,7.0,1895200,800,1,7.0,7.0
94,2002-07-07,7.0,7.0,7.0,7.0,2300000,1000,1,7.0,7.0
95,2002-07-08,7.0,7.0,7.0,7.0,38324844,16691,11,7.0,7.0
96,2002-07-09,7.0,7.0,7.0,7.0,1487808,648,1,7.0,7.0
97,2002-07-14,7.0,7.0,7.0,7.0,3870350,1705,1,7.0,7.0
98,2002-07-28,6.0,6.0,6.0,6.0,3235500,1500,2,7.0,6.0
99,2002-08-03,6.0,6.0,6.0,6.0,38650336,18614,12,6.0,6.0
100,2002-08-05,6.0,6.0,6.0,6.0,11847060,5751,4,6.0,6.0
101,2002-08-07,6.0,6.0,6.0,6.0,3000000,1500,3,6.0,6.0
102,2002-08-13,6.0,6.0,6.0,6.0,19508320,9810,5,6.0,6.0
103,2002-08-14,6.0,6.0,6.0,6.0,406368,204,1,6.0,6.0
104,2002-08-17,6.0,6.0,6.0,6.0,12999069,6317,3,6.0,6.0
105,2002-08-18,6.0,6.0,6.0,6.0,21525000,10500,3,6.0,6.0
106,2002-08-21,6.0,6.0,6.0,6.0,19929000,9962,5,6.0,6.0
107,2002-08-24,6.0,6.0,6.0,6.0,29715800,14857,10,6.0,6.0
108,2002-08-25,6.0,6.0,6.0,6.0,7586532,3766,4,6.0,6.0
109,2002-08-26,6.0,6.0,6.0,6.0,9494270,4670,8,6.0,6.0
110,2002-08-27,6.0,6.0,6.0,6.0,2456904,1226,2,6.0,6.0
111,2002-08-28,6.0,6.0,6.0,6.0,24162091,12221,10,6.0,6.0
112,2002-08-31,6.0,6.0,6.0,6.0,280800,144,1,6.0,6.0
113,2002-09-01,6.0,6.0,6.0,6.0,8627486,4318,3,6.0,6.0
114,2002-09-02,6.0,6.0,6.0,6.0,11796586,5708,7,6.0,6.0
115,2002-09-07,6.0,6.0,6.0,6.0,15747900,7499,7,6.0,6.0
116,2002-09-08,6.0,6.0,6.0,6.0,445200,212,1,6.0,6.0
117,2002-09-11,6.0,6.0,6.0,6.0,839600,400,1,6.0,6.0
118,2002-09-15,6.0,6.0,6.0,6.0,2080000,1000,1,6.0,6.0
119,2002-09-16,6.0,6.0,6.0,6.0,22009477,10517,7,6.0,6.0
120,2002-09-18,6.0,6.0,6.0,6.0,10990115,5465,3,6.0,6.0
121,2002-09-22,6.0,6.0,6.0,6.0,3575558,1778,4,6.0,6.0
122,2002-09-24,6.0,6.0,6.0,6.0,10482176,5000,4,6.0,6.0
123,2002-09-28,6.0,6.0,6.0,6.0,1050000,500,1,6.0,6.0
124,2002-10-01,6.0,6.0,6.0,6.0,835200,400,1,6.0,6.0
125,2002-10-02,6.0,6.0,6.0,6.0,4038000,2000,2,6.0,6.0
126,2002-10-06,6.0,6.0,6.0,6.0,2088361,1019,2,6.0,6.0
127,2002-10-07,6.0,6.0,6.0,6.0,2849140,1380,2,6.0,6.0
128,2002-10-09,6.0,6.0,6.0,6.0,9108280,4332,5,6.0,6.0
129,2002-10-12,6.0,6.0,6.0,6.0,411796,191,1,6.0,6.0
130,2002-10-13,6.0,6.0,6.0,6.0,367400,167,1,6.0,6.0
131,2002-10-14,6.0,6.0,6.0,6.0,4199800,1909,2,6.0,6.0
132,2002-10-19,6.0,6.0,6.0,6.0,2948000,1340,2,6.0,6.0
133,2002-10-20,7.0,7.0,7.0,7.0,3829980,1658,1,6.0,7.0
134,2002-10-21,7.0,7.0,7.0,7.0,13904940,5930,6,7.0,7.0
135,2002-10-26,7.0,7.0,7.0,7.0,24493377,9973,9,7.0,7.0
136,2002-10-27,7.0,8.0,7.0,8.0,54385836,21108,11,7.0,8.0
137,2002-10-28,8.0,8.0,8.0,8.0,7252000,2800,3,8.0,8.0
138,2002-10-29,8.0,8.0,8.0,8.0,17319330,6687,2,8.0,8.0
139,2002-11-02,8.0,8.0,7.0,7.0,8822800,3420,3,8.0,7.0
140,2002-11-03,8.0,8.0,8.0,8.0,13000000,5000,1,7.0,8.0
141,2002-11-06,8.0,8.0,8.0,8.0,29403648,11096,7,8.0,8.0
142,2002-11-09,8.0,8.0,8.0,8.0,781750,295,1,8.0,8.0
143,2002-11-10,8.0,8.0,8.0,8.0,795300,300,1,8.0,8.0
144,2002-11-11,8.0,8.0,8.0,8.0,9187180,3465,2,8.0,8.0
145,2002-11-12,8.0,8.0,8.0,8.0,2652000,1000,1,8.0,8.0
146,2002-11-13,8.0,8.0,8.0,8.0,22013900,8300,6,8.0,8.0
147,2002-11-16,8.0,8.0,8.0,8.0,2263100,854,1,8.0,8.0
148,2002-11-17,8.0,8.0,8.0,8.0,8909300,3362,2,8.0,8.0
149,2002-12-21,8.0,8.0,8.0,8.0,2602000,1000,1,8.0,8.0
150,2002-12-22,8.0,8.0,8.0,8.0,59653300,21839,8,8.0,8.0
151,2002-12-23,8.0,8.0,8.0,8.0,26838515,10065,7,8.0,8.0
152,2002-12-24,7.0,7.0,7.0,7.0,12360000,5000,2,8.0,7.0
153,2002-12-28,7.0,7.0,7.0,7.0,6024015,2545,1,7.0,7.0
154,2002-12-29,7.0,7.0,7.0,7.0,23680000,10000,6,7.0,7.0
155,2003-01-04,7.0,7.0,7.0,7.0,47311460,20015,14,7.0,7.0
156,2003-01-05,7.0,7.0,7.0,7.0,42285694,17687,8,7.0,7.0
157,2003-01-07,7.0,7.0,7.0,7.0,30864000,12000,4,7.0,7.0
158,2003-01-08,8.0,8.0,7.0,7.0,79547700,30708,12,7.0,7.0
159,2003-01-11,7.0,7.0,7.0,7.0,10459260,4065,3,7.0,7.0
160,2003-01-14,7.0,7.0,7.0,7.0,5136000,2000,1,7.0,7.0
161,2003-01-27,7.0,7.0,7.0,7.0,2605920,1068,2,7.0,7.0
162,2003-01-29,7.0,7.0,7.0,7.0,26343208,11356,4,7.0,7.0
163,2003-02-03,6.0,6.0,6.0,6.0,2203000,1000,1,7.0,6.0
164,2003-02-05,6.0,6.0,6.0,6.0,114388437,51951,24,6.0,6.0
165,2003-02-08,6.0,6.0,6.0,6.0,5152817,2339,1,6.0,6.0
166,2003-02-09,7.0,7.0,7.0,7.0,23088781,10000,6,6.0,7.0
167,2003-02-16,7.0,8.0,7.0,8.0,84815550,33994,19,7.0,8.0
168,2003-02-17,8.0,8.0,8.0,8.0,14175000,5000,1,8.0,8.0
169,2003-02-18,8.0,9.0,8.0,9.0,37278000,13000,8,8.0,9.0
170,2003-02-19,8.0,8.0,8.0,8.0,22863048,8044,4,9.0,8.0
171,2003-02-22,8.0,8.0,8.0,8.0,11242952,3956,3,8.0,8.0
