,date,open,high,low,adjClose,value,volume,count,yesterday,close
0,2001-03-25,28.0,28.0,28.0,28.0,11100000,5000,9,28.0,28.0
1,2001-04-03,28.0,28.0,28.0,28.0,2055720,926,3,28.0,28.0
2,2001-04-07,28.0,28.0,28.0,28.0,2220000,1000,2,28.0,28.0
3,2001-04-08,28.0,28.0,28.0,28.0,35520000,16000,13,28.0,28.0
4,2001-04-09,28.0,28.0,28.0,28.0,4440000,2000,1,28.0,28.0
5,2001-04-10,28.0,28.0,28.0,28.0,23323000,10500,10,28.0,28.0
6,2001-04-11,28.0,28.0,28.0,28.0,53305840,23990,11,28.0,28.0
7,2001-04-14,28.0,29.0,28.0,29.0,58979703,26115,13,28.0,29.0
8,2001-04-15,29.0,29.0,29.0,29.0,12527500,5453,11,29.0,29.0
9,2001-04-16,29.0,29.0,29.0,29.0,30726080,13244,13,29.0,29.0
10,2001-04-17,30.0,30.0,29.0,30.0,35780880,14971,6,29.0,30.0
11,2001-04-18,30.0,31.0,30.0,31.0,70079793,29193,16,30.0,31.0
12,2001-04-21,31.0,31.0,30.0,30.0,19155538,7969,14,31.0,30.0
13,2001-04-22,30.0,31.0,30.0,30.0,68431960,28540,15,30.0,30.0
14,2001-04-23,30.0,30.0,30.0,30.0,11756920,5000,2,30.0,30.0
15,2001-04-24,30.0,30.0,30.0,30.0,29931950,12737,11,30.0,30.0
16,2001-04-25,30.0,30.0,21.0,30.0,249627414,142745,496,30.0,30.0
17,2001-04-28,30.0,30.0,30.0,30.0,13579758,5780,9,30.0,30.0
18,2001-04-29,30.0,30.0,30.0,30.0,24500014,10430,10,30.0,30.0
19,2001-04-30,30.0,30.0,30.0,30.0,61062350,25695,15,30.0,30.0
20,2001-05-01,30.0,30.0,29.0,29.0,24047804,10437,9,30.0,29.0
21,2001-05-02,29.0,29.0,29.0,29.0,21033844,9146,13,29.0,29.0
22,2001-05-05,29.0,29.0,29.0,29.0,2300000,1000,1,29.0,29.0
23,2001-05-06,29.0,29.0,29.0,29.0,75453913,32902,21,29.0,29.0
24,2001-05-07,29.0,29.0,29.0,29.0,118102889,51381,32,29.0,29.0
25,2001-05-08,29.0,29.0,29.0,29.0,16960200,7374,11,29.0,29.0
